time(UTC),error,lowalarm,highalarm,"Outdoor (Degrees F)","Outdoor Ave (Degrees F)","Outdoor Min (Degrees F)","Outdoor Max (Degrees F)","-","Do Not Use (Degrees F)","-","-","-","-","Middle Classroom (Degrees F)","Middle Classroom Ave (Degrees F)","Middle Classroom Min (Degrees F)","Middle Classroom Max (Degrees F)","-","South Classroom (Degrees F)","South Classroom Ave (Degrees F)","South Classroom Min (Degrees F)","South Classroom Max (Degrees F)","-","Main Classroom/Offices (Degrees F)","Main Classroom/Offices Ave (Degrees F)","Main Classroom/Offices Min (Degrees F)","Main Classroom/Offices Max (Degrees F)","-","Input 6","-","-","-","-","Input 7","-","-","-","-","Input 8","-","-","-","-","Output 01","Output 02"
"2015-07-08 19:45:00",0,0,0,80.58,79.00,80.59,77.78,,,,,,,70.02,66.93,72.72,61.11,,64.44,65.38,66.94,61.69,,73.39,74.15,74.55,73.29,,,,,,,,,,,,,,,,,0,0
"2015-07-08 20:00:00",0,0,0,83.10,81.89,83.14,80.53,,,,,,,69.54,68.26,74.89,62.52,,66.16,65.44,67.17,61.91,,74.40,74.18,74.69,73.24,,,,,,,,,,,,,,,,,0,0
"2015-07-08 20:15:00",0,0,0,86.16,84.50,86.22,83.11,,,,,,,66.86,68.50,74.66,62.77,,67.58,65.81,67.61,62.23,,74.33,73.95,74.52,73.49,,,,,,,,,,,,,,,,,0,0
"2015-07-08 20:30:00",0,0,0,86.94,87.14,87.70,86.14,,,,,,,63.26,68.97,74.15,63.07,,68.93,66.19,69.02,62.62,,74.21,74.47,74.70,74.12,,,,,,,,,,,,,,,,,0,0
"2015-07-08 20:45:00",0,0,0,84.63,85.64,86.97,84.59,,,,,,,63.58,68.97,74.23,63.27,,69.17,66.60,69.31,62.89,,75.20,74.64,75.28,74.09,,,,,,,,,,,,,,,,,0,0
"2015-07-08 21:00:00",0,0,0,85.88,85.55,86.24,84.57,,,,,,,63.72,68.03,73.24,62.83,,68.81,66.97,69.58,63.07,,74.89,74.81,75.25,74.42,,,,,,,,,,,,,,,,,0,0
"2015-07-08 21:15:00",0,0,0,84.92,85.84,86.39,84.90,,,,,,,63.83,67.84,73.22,62.85,,68.64,66.73,69.03,63.15,,75.13,75.24,75.62,74.82,,,,,,,,,,,,,,,,,0,0
"2015-07-08 21:30:00",0,0,0,85.68,85.19,85.87,84.63,,,,,,,63.81,67.37,72.73,62.60,,67.15,66.52,68.69,62.97,,75.73,75.10,75.73,74.77,,,,,,,,,,,,,,,,,0,0
"2015-07-08 21:45:00",0,0,0,87.53,87.12,88.21,85.61,,,,,,,63.38,67.52,73.19,62.99,,64.15,66.72,69.03,63.19,,75.10,75.48,75.86,75.06,,,,,,,,,,,,,,,,,0,0
"2015-07-08 22:00:00",0,0,0,87.34,87.22,87.86,86.63,,,,,,,62.93,67.24,72.82,62.72,,62.72,65.90,68.45,62.19,,75.78,75.68,76.12,75.05,,,,,,,,,,,,,,,,,0,0
"2015-07-08 22:15:00",0,0,0,89.33,88.80,89.51,87.25,,,,,,,62.73,67.19,72.87,62.37,,65.31,65.91,68.22,62.32,,75.74,75.39,75.84,75.10,,,,,,,,,,,,,,,,,0,0
"2015-07-08 22:30:00",0,0,0,93.67,90.82,93.62,89.22,,,,,,,63.41,66.87,72.49,62.37,,66.13,65.89,68.00,62.13,,75.52,76.02,76.46,75.44,,,,,,,,,,,,,,,,,0,0
"2015-07-08 22:45:00",0,0,0,102.19,99.27,102.21,93.63,,,,,,,63.91,67.43,73.21,62.88,,66.83,66.08,68.08,62.34,,76.39,75.71,76.49,75.23,,,,,,,,,,,,,,,,,0,0
