time(UTC),error,lowalarm,highalarm,"Outdoor (Degrees F)","Outdoor Ave (Degrees F)","Outdoor Min (Degrees F)","Outdoor Max (Degrees F)","-","Do Not Use (Degrees F)","-","-","-","-","Middle Classroom (Degrees F)","Middle Classroom Ave (Degrees F)","Middle Classroom Min (Degrees F)","Middle Classroom Max (Degrees F)","-","South Classroom (Degrees F)","South Classroom Ave (Degrees F)","South Classroom Min (Degrees F)","South Classroom Max (Degrees F)","-","Main Classroom/Offices (Degrees F)","Main Classroom/Offices Ave (Degrees F)","Main Classroom/Offices Min (Degrees F)","Main Classroom/Offices Max (Degrees F)","-","Input 6","-","-","-","-","Input 7","-","-","-","-","Input 8","-","-","-","-","Output 01","Output 02"
"2015-07-08 23:00:00",0,0,0,105.60,103.43,105.63,102.16,,,,,,,66.26,67.09,72.99,62.72,,67.37,66.31,68.33,62.27,,75.66,76.13,76.52,75.63,,,,,,,,,,,,,,,,,0,0
"2015-07-08 23:15:00",0,0,0,104.08,106.60,108.39,104.09,,,,,,,66.77,67.01,72.89,62.48,,67.68,66.32,68.44,62.32,,77.05,76.12,77.07,75.46,,,,,,,,,,,,,,,,,0,0
"2015-07-08 23:30:00",0,0,0,95.53,100.51,105.17,95.47,,,,,,,67.04,66.42,72.31,61.62,,67.68,66.12,68.28,62.03,,73.29,70.70,77.22,62.82,,,,,,,,,,,,,,,,,0,0
"2015-07-08 23:45:00",0,0,0,85.22,90.03,95.49,85.19,,,,,,,67.24,66.42,71.83,61.47,,63.33,65.67,67.85,61.79,,75.84,74.94,75.89,73.28,,,,,,,,,,,,,,,,,0,0
"2015-07-09 00:00:00",0,0,0,72.59,78.36,85.22,72.55,,,,,,,66.83,66.03,71.30,60.40,,63.12,65.12,67.62,61.32,,75.63,75.33,75.86,74.89,,,,,,,,,,,,,,,,,0,0
"2015-07-09 00:15:00",0,0,0,61.18,65.10,72.56,60.85,,,,,,,65.94,65.24,70.06,58.92,,64.27,64.74,67.11,60.61,,74.92,75.44,75.99,74.61,,,,,,,,,,,,,,,,,0,0
"2015-07-09 00:30:00",0,0,0,61.35,61.17,61.63,60.74,,,,,,,65.36,65.03,68.78,58.67,,64.37,64.37,66.68,60.20,,74.65,75.75,76.28,74.63,,,,,,,,,,,,,,,,,0,0
"2015-07-09 00:45:00",0,0,0,61.18,61.33,61.71,60.91,,,,,,,58.51,66.12,69.56,58.53,,64.69,64.32,66.45,60.15,,69.25,65.54,74.70,58.27,,,,,,,,,,,,,,,,,0,0
"2015-07-09 01:00:00",0,0,0,61.69,61.45,61.82,61.01,,,,,,,68.32,66.64,69.58,58.52,,64.69,64.16,66.25,59.99,,73.66,72.54,73.68,69.30,,,,,,,,,,,,,,,,,0,0
"2015-07-09 01:15:00",0,0,0,62.05,61.86,62.17,61.58,,,,,,,68.37,64.90,68.49,58.71,,64.75,63.95,66.06,59.78,,73.31,74.12,74.55,73.29,,,,,,,,,,,,,,,,,0,0
"2015-07-09 01:30:00",0,0,0,62.42,62.22,62.44,61.95,,,,,,,67.03,65.36,70.07,58.83,,64.74,63.77,65.82,59.59,,75.01,74.26,75.08,73.27,,,,,,,,,,,,,,,,,0,0
"2015-07-09 01:45:00",0,0,0,62.74,62.56,62.82,62.29,,,,,,,60.70,66.74,71.13,58.83,,67.60,64.65,67.70,59.55,,49.21,62.59,75.11,49.22,,,,,,,,,,,,,,,,,0,0
"2015-07-09 02:00:00",0,0,0,62.74,62.78,62.95,62.60,,,,,,,70.55,66.92,70.62,60.64,,66.46,65.32,68.73,60.18,,67.21,58.82,68.03,48.24,,,,,,,,,,,,,,,,,0,0
"2015-07-09 02:15:00",0,0,0,62.34,62.58,62.82,62.31,,,,,,,67.73,64.71,70.67,58.48,,64.54,64.13,67.56,59.81,,69.76,67.70,69.83,66.65,,,,,,,,,,,,,,,,,0,0
