time(UTC),error,lowalarm,highalarm,"Outdoor (Degrees F)","Outdoor Ave (Degrees F)","Outdoor Min (Degrees F)","Outdoor Max (Degrees F)","-","Do Not Use (Degrees F)","-","-","-","-","Middle Classroom (Degrees F)","Middle Classroom Ave (Degrees F)","Middle Classroom Min (Degrees F)","Middle Classroom Max (Degrees F)","-","South Classroom (Degrees F)","South Classroom Ave (Degrees F)","South Classroom Min (Degrees F)","South Classroom Max (Degrees F)","-","Main Classroom/Offices (Degrees F)","Main Classroom/Offices Ave (Degrees F)","Main Classroom/Offices Min (Degrees F)","Main Classroom/Offices Max (Degrees F)","-","Input 6","-","-","-","-","Input 7","-","-","-","-","Input 8","-","-","-","-","Output 01","Output 02"
"2015-07-09 02:30:00",0,0,0,62.13,62.20,62.46,62.00,,,,,,,64.12,66.39,70.84,58.48,,64.75,63.74,66.30,59.31,,72.42,71.70,72.42,69.75,,,,,,,,,,,,,,,,,0,0
"2015-07-09 02:45:00",0,0,0,62.13,62.17,62.34,61.99,,,,,,,70.31,67.44,70.40,64.13,,65.61,63.95,65.93,59.12,,72.61,72.86,73.37,72.37,,,,,,,,,,,,,,,,,0,0
"2015-07-09 03:00:00",0,0,0,61.46,61.77,62.18,61.33,,,,,,,66.62,64.77,70.52,58.19,,65.47,64.22,67.26,59.26,,73.72,73.27,73.79,72.56,,,,,,,,,,,,,,,,,0,0
"2015-07-09 03:15:00",0,0,0,61.38,61.32,61.52,61.06,,,,,,,70.24,69.22,70.36,66.63,,65.30,64.61,67.50,59.49,,73.97,73.90,74.09,73.67,,,,,,,,,,,,,,,,,0,0
"2015-07-09 03:30:00",0,0,0,61.19,61.26,61.45,61.08,,,,,,,70.87,70.70,71.05,70.14,,64.50,65.03,68.00,59.52,,73.94,73.90,74.09,73.73,,,,,,,,,,,,,,,,,0,0
"2015-07-09 03:45:00",0,0,0,60.78,60.97,61.29,60.67,,,,,,,71.06,70.89,71.10,70.64,,62.64,65.14,67.99,59.41,,74.16,74.04,74.19,73.82,,,,,,,,,,,,,,,,,0,0
"2015-07-09 04:00:00",0,0,0,60.59,60.72,60.94,60.48,,,,,,,71.16,71.09,71.33,70.89,,59.69,65.67,68.11,59.75,,74.02,74.11,74.25,73.95,,,,,,,,,,,,,,,,,0,0
"2015-07-09 04:15:00",0,0,0,60.93,60.68,61.06,60.44,,,,,,,71.33,71.24,71.45,71.06,,68.08,65.44,68.22,59.81,,74.00,74.08,74.19,73.94,,,,,,,,,,,,,,,,,0,0
"2015-07-09 04:30:00",0,0,0,61.10,60.99,61.21,60.79,,,,,,,71.57,71.53,71.73,71.27,,67.74,64.95,68.10,59.90,,74.04,74.03,74.16,73.90,,,,,,,,,,,,,,,,,0,0
"2015-07-09 04:45:00",0,0,0,62.64,61.86,62.73,61.03,,,,,,,71.79,71.73,71.91,71.50,,67.39,65.15,68.25,59.88,,74.04,74.03,74.16,73.90,,,,,,,,,,,,,,,,,0,0
"2015-07-09 05:00:00",0,0,0,62.85,62.80,62.95,62.57,,,,,,,71.61,71.76,71.98,71.52,,66.61,65.33,68.27,59.97,,73.99,74.02,74.14,73.87,,,,,,,,,,,,,,,,,0,0
"2015-07-09 05:15:00",0,0,0,62.82,62.80,62.97,62.60,,,,,,,71.69,71.68,71.84,71.54,,64.83,65.59,68.32,59.87,,73.90,73.96,74.09,73.84,,,,,,,,,,,,,,,,,0,0
"2015-07-09 05:30:00",0,0,0,62.99,62.92,63.13,62.77,,,,,,,71.84,71.73,71.90,71.57,,61.02,66.25,68.39,59.91,,73.85,73.86,74.00,73.73,,,,,,,,,,,,,,,,,0,0
