time(UTC),error,lowalarm,highalarm,"Outdoor (Degrees F)","Outdoor Ave (Degrees F)","Outdoor Min (Degrees F)","Outdoor Max (Degrees F)","-","Do Not Use (Degrees F)","-","-","-","-","Middle Classroom (Degrees F)","Middle Classroom Ave (Degrees F)","Middle Classroom Min (Degrees F)","Middle Classroom Max (Degrees F)","-","South Classroom (Degrees F)","South Classroom Ave (Degrees F)","South Classroom Min (Degrees F)","South Classroom Max (Degrees F)","-","Main Classroom/Offices (Degrees F)","Main Classroom/Offices Ave (Degrees F)","Main Classroom/Offices Min (Degrees F)","Main Classroom/Offices Max (Degrees F)","-","Input 6","-","-","-","-","Input 7","-","-","-","-","Input 8","-","-","-","-","Output 01","Output 02"
"2015-07-09 05:45:00",0,0,0,62.96,62.96,63.10,62.82,,,,,,,71.90,71.80,71.98,71.66,,68.11,65.98,68.30,61.07,,73.77,73.83,73.95,73.72,,,,,,,,,,,,,,,,,0,0
"2015-07-09 06:00:00",0,0,0,63.03,63.03,63.19,62.86,,,,,,,72.01,71.92,72.13,71.69,,67.45,64.96,68.54,59.97,,73.79,73.79,73.92,73.70,,,,,,,,,,,,,,,,,0,0
"2015-07-09 06:15:00",0,0,0,62.99,62.96,63.15,62.80,,,,,,,72.20,72.06,72.31,71.78,,66.31,65.15,68.54,59.96,,73.82,73.80,73.90,73.68,,,,,,,,,,,,,,,,,0,0
"2015-07-09 06:30:00",0,0,0,63.48,63.28,63.51,62.93,,,,,,,72.20,72.25,72.44,72.05,,64.62,65.62,68.40,59.94,,73.72,73.73,73.89,73.61,,,,,,,,,,,,,,,,,0,0
"2015-07-09 06:45:00",0,0,0,63.05,63.24,63.48,62.99,,,,,,,71.88,72.00,72.31,71.74,,60.00,66.64,68.28,59.94,,73.77,73.73,73.84,73.63,,,,,,,,,,,,,,,,,0,0
"2015-07-09 07:00:00",0,0,0,62.86,62.94,63.10,62.77,,,,,,,71.73,71.81,72.00,71.63,,67.81,65.57,67.92,59.81,,73.63,73.68,73.82,73.55,,,,,,,,,,,,,,,,,0,0
"2015-07-09 07:15:00",0,0,0,62.72,62.83,62.99,62.62,,,,,,,71.74,71.71,71.88,71.56,,67.15,65.12,68.47,59.86,,73.53,73.55,73.77,73.39,,,,,,,,,,,,,,,,,0,0
"2015-07-09 07:30:00",0,0,0,62.46,62.55,62.78,62.39,,,,,,,71.66,71.66,71.83,71.49,,65.42,65.47,68.56,59.94,,73.43,73.50,73.61,73.37,,,,,,,,,,,,,,,,,0,0
"2015-07-09 07:45:00",0,0,0,62.30,62.43,62.62,62.21,,,,,,,71.54,71.60,71.84,71.42,,61.79,66.20,68.54,60.02,,73.34,73.35,73.48,73.22,,,,,,,,,,,,,,,,,0,0
"2015-07-09 08:00:00",0,0,0,62.25,62.25,62.42,62.09,,,,,,,71.61,71.63,71.83,71.44,,68.28,66.02,68.32,61.70,,73.22,73.24,73.37,73.12,,,,,,,,,,,,,,,,,0,0
"2015-07-09 08:15:00",0,0,0,62.19,62.21,62.35,62.05,,,,,,,71.49,71.54,71.73,71.35,,67.45,65.01,68.44,59.93,,73.17,73.27,73.39,73.09,,,,,,,,,,,,,,,,,0,0
"2015-07-09 08:30:00",0,0,0,61.99,62.08,62.32,61.94,,,,,,,71.44,71.50,71.68,71.30,,65.77,65.39,68.27,59.82,,73.07,73.13,73.26,73.00,,,,,,,,,,,,,,,,,0,0
"2015-07-09 08:45:00",0,0,0,61.66,61.84,62.13,61.54,,,,,,,71.37,71.31,71.49,71.15,,61.30,66.26,68.17,59.75,,73.04,73.11,73.26,72.93,,,,,,,,,,,,,,,,,0,0
"2015-07-09 09:00:00",0,0,0,61.40,61.58,61.80,61.33,,,,,,,71.28,71.33,71.51,71.18,,67.97,65.91,68.10,61.21,,72.91,72.94,73.12,72.76,,,,,,,,,,,,,,,,,0,0
