time(UTC),error,lowalarm,highalarm,"Outdoor (Degrees F)","Outdoor Ave (Degrees F)","Outdoor Min (Degrees F)","Outdoor Max (Degrees F)","-","Do Not Use (Degrees F)","-","-","-","-","Middle Classroom (Degrees F)","Middle Classroom Ave (Degrees F)","Middle Classroom Min (Degrees F)","Middle Classroom Max (Degrees F)","-","South Classroom (Degrees F)","South Classroom Ave (Degrees F)","South Classroom Min (Degrees F)","South Classroom Max (Degrees F)","-","Main Classroom/Offices (Degrees F)","Main Classroom/Offices Ave (Degrees F)","Main Classroom/Offices Min (Degrees F)","Main Classroom/Offices Max (Degrees F)","-","Input 6","-","-","-","-","Input 7","-","-","-","-","Input 8","-","-","-","-","Output 01","Output 02"
"2015-07-09 12:30:00",0,0,0,59.91,59.50,59.92,58.81,,,,,,,70.60,70.54,70.89,70.21,,67.17,66.27,67.31,64.58,,69.08,69.77,70.84,68.62,,,,,,,,,,,,,,,,,0,0
"2015-07-09 12:45:00",0,0,0,60.17,60.04,60.32,59.75,,,,,,,70.57,70.58,70.79,70.38,,67.13,66.47,67.50,65.04,,70.31,70.59,71.47,69.01,,,,,,,,,,,,,,,,,0,0
"2015-07-09 13:00:00",0,0,0,60.77,60.41,60.84,60.16,,,,,,,70.79,70.74,70.96,70.52,,67.21,66.67,67.74,65.47,,71.74,71.05,71.81,69.73,,,,,,,,,,,,,,,,,0,0
"2015-07-09 13:15:00",0,0,0,61.71,61.26,61.80,60.63,,,,,,,71.18,71.07,71.28,70.72,,67.45,66.92,67.57,65.85,,71.35,71.13,71.98,70.03,,,,,,,,,,,,,,,,,0,0
"2015-07-09 13:30:00",0,0,0,63.13,62.46,63.20,61.62,,,,,,,71.59,71.42,71.69,71.08,,67.88,67.21,67.90,66.46,,71.38,71.96,72.28,71.28,,,,,,,,,,,,,,,,,0,0
"2015-07-09 13:45:00",0,0,0,63.58,63.36,63.70,62.96,,,,,,,71.86,71.78,71.98,71.54,,66.77,64.52,67.90,60.24,,71.84,71.47,71.98,70.72,,,,,,,,,,,,,,,,,0,0
"2015-07-09 14:00:00",0,0,0,63.48,63.57,63.73,63.35,,,,,,,71.47,71.53,71.90,71.30,,65.40,64.68,67.66,59.77,,71.33,71.38,72.05,70.70,,,,,,,,,,,,,,,,,0,0
"2015-07-09 14:15:00",0,0,0,67.24,65.00,67.24,63.42,,,,,,,72.32,71.86,72.46,71.32,,61.71,65.93,67.60,60.16,,72.01,71.82,72.25,71.32,,,,,,,,,,,,,,,,,0,0
"2015-07-09 14:30:00",0,0,0,70.29,68.76,70.31,67.14,,,,,,,72.73,72.56,72.85,72.20,,67.46,65.78,67.63,61.69,,71.96,71.52,72.10,71.06,,,,,,,,,,,,,,,,,0,0
"2015-07-09 14:45:00",0,0,0,73.02,71.86,73.07,70.22,,,,,,,66.71,65.51,73.04,57.91,,65.67,65.06,67.90,60.63,,71.79,71.86,72.37,71.30,,,,,,,,,,,,,,,,,0,0
"2015-07-09 15:00:00",0,0,0,74.43,73.71,74.49,72.95,,,,,,,65.27,66.45,72.56,58.88,,62.78,65.81,67.76,60.71,,72.34,72.31,72.83,71.81,,,,,,,,,,,,,,,,,0,0
"2015-07-09 15:15:00",0,0,0,71.90,73.45,74.57,71.93,,,,,,,63.98,69.37,73.19,64.05,,67.42,65.69,67.61,62.72,,72.46,72.20,72.56,71.88,,,,,,,,,,,,,,,,,0,0
"2015-07-09 15:30:00",0,0,0,70.48,70.97,71.98,70.33,,,,,,,72.99,66.42,73.02,59.31,,66.61,65.35,67.87,60.86,,72.51,72.67,73.21,72.32,,,,,,,,,,,,,,,,,0,0
"2015-07-09 15:45:00",0,0,0,70.98,70.74,71.15,70.38,,,,,,,68.86,67.01,73.87,60.00,,63.70,66.24,67.97,61.10,,72.80,72.85,73.37,72.45,,,,,,,,,,,,,,,,,0,0
