time(UTC),error,lowalarm,highalarm,"Outdoor (Degrees F)","Outdoor Ave (Degrees F)","Outdoor Min (Degrees F)","Outdoor Max (Degrees F)","-","Do Not Use (Degrees F)","-","-","-","-","Middle Classroom (Degrees F)","Middle Classroom Ave (Degrees F)","Middle Classroom Min (Degrees F)","Middle Classroom Max (Degrees F)","-","South Classroom (Degrees F)","South Classroom Ave (Degrees F)","South Classroom Min (Degrees F)","South Classroom Max (Degrees F)","-","Main Classroom/Offices (Degrees F)","Main Classroom/Offices Ave (Degrees F)","Main Classroom/Offices Min (Degrees F)","Main Classroom/Offices Max (Degrees F)","-","Input 6","-","-","-","-","Input 7","-","-","-","-","Input 8","-","-","-","-","Output 01","Output 02"
"2015-07-09 16:00:00",0,0,0,70.96,70.98,71.18,70.79,,,,,,,64.09,68.47,74.35,59.86,,67.87,66.36,68.06,63.59,,73.51,72.95,73.68,72.66,,,,,,,,,,,,,,,,,0,0
"2015-07-09 16:15:00",0,0,0,71.52,71.46,71.84,70.91,,,,,,,67.71,70.34,74.74,64.14,,67.64,65.82,68.28,61.35,,73.03,73.09,73.53,72.91,,,,,,,,,,,,,,,,,0,0
"2015-07-09 16:30:00",0,0,0,71.79,71.64,71.93,71.33,,,,,,,74.50,67.44,74.62,60.71,,65.46,66.47,68.64,61.69,,73.31,73.43,73.87,72.96,,,,,,,,,,,,,,,,,0,0
"2015-07-09 16:45:00",0,0,0,72.44,72.10,72.61,71.61,,,,,,,71.40,67.49,75.15,60.77,,64.79,67.41,68.85,64.87,,73.31,73.57,74.12,73.22,,,,,,,,,,,,,,,,,0,0
"2015-07-09 17:00:00",0,0,0,73.75,73.01,73.81,72.37,,,,,,,67.82,68.31,75.78,60.91,,68.17,66.11,68.28,61.86,,73.89,73.64,74.12,73.27,,,,,,,,,,,,,,,,,0,0
"2015-07-09 17:15:00",0,0,0,74.26,74.04,74.40,73.62,,,,,,,62.11,69.51,75.80,61.30,,67.64,66.36,68.86,62.04,,74.65,73.93,74.74,73.46,,,,,,,,,,,,,,,,,0,0
"2015-07-09 17:30:00",0,0,0,75.51,74.85,75.63,74.20,,,,,,,64.68,70.06,76.10,62.13,,66.54,66.67,69.26,62.09,,74.11,74.04,74.77,73.55,,,,,,,,,,,,,,,,,0,0
"2015-07-09 17:45:00",0,0,0,76.31,76.14,76.46,75.46,,,,,,,72.55,68.36,75.91,61.71,,65.35,66.75,69.20,62.15,,74.16,74.30,74.72,73.85,,,,,,,,,,,,,,,,,0,0
"2015-07-09 18:00:00",0,0,0,78.23,77.30,78.27,76.28,,,,,,,75.83,67.77,75.85,61.74,,63.46,66.89,69.19,63.46,,74.18,74.53,75.01,74.07,,,,,,,,,,,,,,,,,0,0
"2015-07-09 18:15:00",0,0,0,79.30,78.73,79.32,78.19,,,,,,,73.96,67.95,76.38,62.10,,69.02,66.42,69.12,62.37,,74.94,74.61,75.13,74.00,,,,,,,,,,,,,,,,,0,0
"2015-07-09 18:30:00",0,0,0,80.06,79.79,80.10,79.21,,,,,,,72.41,68.27,76.29,62.30,,68.57,66.55,69.39,62.52,,75.05,74.56,75.06,74.09,,,,,,,,,,,,,,,,,0,0
"2015-07-09 18:45:00",0,0,0,80.81,80.54,80.85,80.05,,,,,,,71.61,68.27,76.17,62.32,,67.95,66.68,69.58,62.49,,74.53,74.94,75.33,74.38,,,,,,,,,,,,,,,,,0,0
"2015-07-09 19:00:00",0,0,0,83.27,82.22,83.34,80.72,,,,,,,72.34,68.36,75.80,62.73,,68.95,66.91,69.07,62.72,,75.27,75.13,75.61,74.48,,,,,,,,,,,,,,,,,0,0
