time(UTC),error,lowalarm,highalarm,"Outdoor (Degrees F)","Outdoor Ave (Degrees F)","Outdoor Min (Degrees F)","Outdoor Max (Degrees F)","-","Do Not Use (Degrees F)","-","-","-","-","Middle Classroom (Degrees F)","Middle Classroom Ave (Degrees F)","Middle Classroom Min (Degrees F)","Middle Classroom Max (Degrees F)","-","South Classroom (Degrees F)","South Classroom Ave (Degrees F)","South Classroom Min (Degrees F)","South Classroom Max (Degrees F)","-","Main Classroom/Offices (Degrees F)","Main Classroom/Offices Ave (Degrees F)","Main Classroom/Offices Min (Degrees F)","Main Classroom/Offices Max (Degrees F)","-","Input 6","-","-","-","-","Input 7","-","-","-","-","Input 8","-","-","-","-","Output 01","Output 02"
"2015-07-09 19:15:00",0,0,0,84.92,84.04,84.94,83.25,,,,,,,71.56,68.31,76.55,62.30,,68.22,67.07,70.26,62.90,,75.54,75.10,75.62,74.75,,,,,,,,,,,,,,,,,0,0
"2015-07-09 19:30:00",0,0,0,84.04,84.74,85.04,83.99,,,,,,,71.40,67.87,75.56,62.05,,68.04,66.84,69.72,62.68,,74.93,75.42,75.81,74.87,,,,,,,,,,,,,,,,,0,0
"2015-07-09 19:45:00",0,0,0,82.46,83.29,84.09,82.42,,,,,,,70.28,67.61,75.66,61.43,,67.43,66.59,69.82,62.37,,75.73,75.50,76.04,74.82,,,,,,,,,,,,,,,,,0,0
"2015-07-09 20:00:00",0,0,0,80.35,81.55,82.51,80.30,,,,,,,70.12,67.51,75.19,61.30,,67.10,66.37,69.58,62.15,,75.79,75.35,75.85,74.89,,,,,,,,,,,,,,,,,0,0
"2015-07-09 20:15:00",0,0,0,78.80,79.46,80.35,78.73,,,,,,,69.41,67.33,75.17,61.07,,67.31,66.08,68.35,61.90,,74.58,75.40,76.05,74.43,,,,,,,,,,,,,,,,,0,0
"2015-07-09 20:30:00",0,0,0,78.68,78.62,78.83,78.45,,,,,,,68.98,67.17,74.78,60.93,,67.03,66.03,68.23,61.72,,75.10,75.45,76.02,74.50,,,,,,,,,,,,,,,,,0,0
"2015-07-09 20:45:00",0,0,0,80.14,79.52,80.34,78.60,,,,,,,68.68,67.60,75.15,61.44,,66.86,66.25,68.98,61.97,,75.73,75.02,75.76,74.31,,,,,,,,,,,,,,,,,0,0
"2015-07-09 21:00:00",0,0,0,80.50,79.92,80.54,79.41,,,,,,,68.40,67.55,75.20,61.09,,66.59,66.02,68.90,61.74,,74.91,75.00,75.83,74.31,,,,,,,,,,,,,,,,,0,0
"2015-07-09 21:15:00",0,0,0,80.49,80.87,81.35,80.40,,,,,,,67.72,67.63,75.77,61.16,,66.80,65.95,67.95,61.78,,75.08,75.56,75.97,74.91,,,,,,,,,,,,,,,,,0,0
"2015-07-09 21:30:00",0,0,0,82.12,81.22,82.23,80.42,,,,,,,66.12,67.88,76.26,61.49,,66.96,66.28,68.45,61.92,,75.86,75.12,75.90,74.52,,,,,,,,,,,,,,,,,0,0
"2015-07-09 21:45:00",0,0,0,83.34,83.02,83.48,82.04,,,,,,,61.79,68.05,76.16,61.34,,67.38,66.77,70.33,62.23,,72.63,69.21,76.19,61.91,,,,,,,,,,,,,,,,,0,0
"2015-07-09 22:00:00",0,0,0,84.39,84.05,84.61,83.26,,,,,,,61.39,67.88,76.29,61.39,,67.76,66.74,68.90,62.00,,75.76,74.49,75.86,72.59,,,,,,,,,,,,,,,,,0,0
"2015-07-09 22:15:00",0,0,0,87.23,85.17,87.27,84.37,,,,,,,62.26,67.80,76.14,61.00,,67.93,66.94,69.20,61.87,,75.47,75.34,75.84,75.01,,,,,,,,,,,,,,,,,0,0
"2015-07-09 22:30:00",0,0,0,85.12,87.85,89.06,85.12,,,,,,,62.44,67.55,75.77,61.01,,68.61,67.22,69.54,61.97,,75.32,75.80,76.14,75.28,,,,,,,,,,,,,,,,,0,0
