time(UTC),error,lowalarm,highalarm,"Outdoor (Degrees F)","Outdoor Ave (Degrees F)","Outdoor Min (Degrees F)","Outdoor Max (Degrees F)","-","Do Not Use (Degrees F)","-","-","-","-","Middle Classroom (Degrees F)","Middle Classroom Ave (Degrees F)","Middle Classroom Min (Degrees F)","Middle Classroom Max (Degrees F)","-","South Classroom (Degrees F)","South Classroom Ave (Degrees F)","South Classroom Min (Degrees F)","South Classroom Max (Degrees F)","-","Main Classroom/Offices (Degrees F)","Main Classroom/Offices Ave (Degrees F)","Main Classroom/Offices Min (Degrees F)","Main Classroom/Offices Max (Degrees F)","-","Input 6","-","-","-","-","Input 7","-","-","-","-","Input 8","-","-","-","-","Output 01","Output 02"
"2015-07-10 02:00:00",0,0,0,61.09,61.61,62.52,61.01,,,,,,,71.32,71.48,71.73,71.20,,67.60,64.89,68.49,59.98,,74.47,74.10,74.50,73.02,,,,,,,,,,,,,,,,,0,0
"2015-07-10 02:15:00",0,0,0,60.76,60.98,61.17,60.65,,,,,,,71.52,71.47,71.74,71.20,,66.87,65.01,68.06,59.90,,74.36,73.89,74.67,72.78,,,,,,,,,,,,,,,,,0,0
"2015-07-10 02:30:00",0,0,0,60.44,60.61,60.86,60.35,,,,,,,71.76,71.49,71.84,71.30,,67.17,65.23,68.23,59.59,,66.27,74.02,74.70,66.30,,,,,,,,,,,,,,,,,0,0
"2015-07-10 02:45:00",0,0,0,60.09,60.28,60.53,60.07,,,,,,,71.93,71.99,72.22,71.63,,65.46,66.30,69.53,60.04,,45.41,48.96,66.23,45.41,,,,,,,,,,,,,,,,,0,0
"2015-07-10 03:00:00",0,0,0,60.72,60.29,60.84,59.94,,,,,,,71.54,71.72,72.03,71.45,,60.35,67.28,69.26,60.23,,60.09,50.84,61.04,44.57,,,,,,,,,,,,,,,,,0,0
"2015-07-10 03:15:00",0,0,0,60.45,60.62,60.91,60.33,,,,,,,71.69,71.65,71.93,71.32,,69.05,66.26,69.22,60.31,,51.80,52.22,64.17,44.85,,,,,,,,,,,,,,,,,0,0
"2015-07-10 03:30:00",0,0,0,60.26,60.34,60.53,60.16,,,,,,,71.30,71.44,71.84,71.18,,67.64,65.29,69.27,60.02,,68.54,62.73,70.24,51.79,,,,,,,,,,,,,,,,,0,0
"2015-07-10 03:45:00",0,0,0,60.14,60.19,60.32,60.05,,,,,,,71.10,71.50,71.84,71.06,,65.99,65.41,69.12,60.06,,55.46,50.91,68.50,44.94,,,,,,,,,,,,,,,,,0,0
"2015-07-10 04:00:00",0,0,0,59.84,59.92,60.25,59.68,,,,,,,71.40,71.12,71.45,70.96,,64.82,65.54,68.17,59.71,,51.08,58.62,62.66,51.07,,,,,,,,,,,,,,,,,0,0
"2015-07-10 04:15:00",0,0,0,59.59,59.71,59.88,59.52,,,,,,,71.03,71.33,71.69,70.96,,61.25,67.10,68.54,61.30,,55.73,49.99,55.79,44.83,,,,,,,,,,,,,,,,,0,0
"2015-07-10 04:30:00",0,0,0,59.36,59.40,59.65,59.22,,,,,,,71.03,71.02,71.21,70.87,,67.64,65.09,67.76,59.74,,62.86,60.00,62.90,55.69,,,,,,,,,,,,,,,,,0,0
"2015-07-10 04:45:00",0,0,0,58.87,59.08,59.42,58.73,,,,,,,70.93,71.14,71.47,70.82,,67.25,65.21,68.03,59.58,,57.09,54.26,64.17,45.99,,,,,,,,,,,,,,,,,0,0
"2015-07-10 05:00:00",0,0,0,58.79,58.74,58.88,58.57,,,,,,,71.10,71.01,71.27,70.77,,65.00,65.44,68.52,59.92,,71.09,67.08,71.16,57.08,,,,,,,,,,,,,,,,,0,0
