time(UTC),error,lowalarm,highalarm,"Outdoor (Degrees F)","Outdoor Ave (Degrees F)","Outdoor Min (Degrees F)","Outdoor Max (Degrees F)","-","Do Not Use (Degrees F)","-","-","-","-","Middle Classroom (Degrees F)","Middle Classroom Ave (Degrees F)","Middle Classroom Min (Degrees F)","Middle Classroom Max (Degrees F)","-","South Classroom (Degrees F)","South Classroom Ave (Degrees F)","South Classroom Min (Degrees F)","South Classroom Max (Degrees F)","-","Main Classroom/Offices (Degrees F)","Main Classroom/Offices Ave (Degrees F)","Main Classroom/Offices Min (Degrees F)","Main Classroom/Offices Max (Degrees F)","-","Input 6","-","-","-","-","Input 7","-","-","-","-","Input 8","-","-","-","-","Output 01","Output 02"
"2015-07-10 05:15:00",0,0,0,58.68,58.69,58.85,58.48,,,,,,,70.87,71.14,71.52,70.79,,60.04,66.93,68.86,59.80,,67.60,59.45,71.47,46.87,,,,,,,,,,,,,,,,,0,0
"2015-07-10 05:30:00",0,0,0,58.43,58.25,58.72,57.91,,,,,,,70.80,70.79,70.96,70.62,,67.90,65.31,67.93,59.98,,71.89,70.62,71.98,67.58,,,,,,,,,,,,,,,,,0,0
"2015-07-10 05:45:00",0,0,0,58.92,58.83,59.04,58.40,,,,,,,70.74,71.05,71.61,70.62,,67.77,66.88,68.64,64.79,,68.13,59.29,71.98,47.08,,,,,,,,,,,,,,,,,0,0
"2015-07-10 06:00:00",0,0,0,58.76,58.83,59.03,58.67,,,,,,,70.79,70.71,70.93,70.47,,68.18,66.95,68.25,65.00,,71.75,70.61,71.81,68.11,,,,,,,,,,,,,,,,,0,0
"2015-07-10 06:15:00",0,0,0,59.21,58.94,59.36,58.69,,,,,,,70.92,70.93,71.23,70.69,,67.23,67.16,68.37,65.57,,72.20,72.00,72.30,71.69,,,,,,,,,,,,,,,,,0,0
"2015-07-10 06:30:00",0,0,0,59.50,59.26,59.60,59.01,,,,,,,70.91,70.84,71.11,70.60,,66.12,67.10,68.47,65.62,,71.91,72.24,72.40,71.89,,,,,,,,,,,,,,,,,0,0
"2015-07-10 06:45:00",0,0,0,59.42,59.45,59.62,59.30,,,,,,,70.98,70.80,71.18,70.53,,66.39,66.88,68.03,65.52,,72.20,71.90,72.34,71.45,,,,,,,,,,,,,,,,,0,0
"2015-07-10 07:00:00",0,0,0,59.60,59.51,59.63,59.31,,,,,,,70.69,70.77,71.06,70.57,,66.98,67.18,68.44,65.85,,71.82,72.12,72.40,71.55,,,,,,,,,,,,,,,,,0,0
"2015-07-10 07:15:00",0,0,0,59.22,59.56,59.81,59.19,,,,,,,70.57,70.78,71.11,70.53,,67.60,67.18,68.18,65.76,,72.28,72.14,72.39,71.72,,,,,,,,,,,,,,,,,0,0
"2015-07-10 07:30:00",0,0,0,59.26,59.17,59.35,58.99,,,,,,,70.45,70.56,70.74,70.33,,67.53,67.14,68.40,65.77,,71.43,71.82,72.40,71.33,,,,,,,,,,,,,,,,,0,0
"2015-07-10 07:45:00",0,0,0,59.20,59.20,59.38,58.98,,,,,,,70.55,70.61,70.89,70.36,,67.79,67.20,68.35,65.77,,72.23,71.93,72.25,71.33,,,,,,,,,,,,,,,,,0,0
"2015-07-10 08:00:00",0,0,0,59.15,59.20,59.44,58.98,,,,,,,70.60,70.55,70.84,70.31,,66.47,67.07,68.25,65.75,,71.69,71.92,72.23,71.64,,,,,,,,,,,,,,,,,0,0
"2015-07-10 08:15:00",0,0,0,59.00,59.02,59.43,58.37,,,,,,,70.69,70.54,70.79,70.31,,66.12,66.80,67.97,65.68,,72.13,71.86,72.13,71.47,,,,,,,,,,,,,,,,,0,0
"2015-07-10 08:30:00",0,0,0,58.59,58.75,59.32,57.99,,,,,,,70.38,70.46,70.72,70.26,,66.87,66.98,68.15,65.71,,71.64,71.96,72.27,71.50,,,,,,,,,,,,,,,,,0,0
