time(UTC),error,lowalarm,highalarm,"Outdoor (Degrees F)","Outdoor Ave (Degrees F)","Outdoor Min (Degrees F)","Outdoor Max (Degrees F)","-","Do Not Use (Degrees F)","-","-","-","-","Middle Classroom (Degrees F)","Middle Classroom Ave (Degrees F)","Middle Classroom Min (Degrees F)","Middle Classroom Max (Degrees F)","-","South Classroom (Degrees F)","South Classroom Ave (Degrees F)","South Classroom Min (Degrees F)","South Classroom Max (Degrees F)","-","Main Classroom/Offices (Degrees F)","Main Classroom/Offices Ave (Degrees F)","Main Classroom/Offices Min (Degrees F)","Main Classroom/Offices Max (Degrees F)","-","Input 6","-","-","-","-","Input 7","-","-","-","-","Input 8","-","-","-","-","Output 01","Output 02"
"2015-07-10 12:00:00",0,0,0,54.94,55.43,56.60,54.22,,,,,,,69.46,69.63,69.94,69.36,,67.35,66.85,68.08,65.15,,68.95,67.93,68.98,67.33,,,,,,,,,,,,,,,,,0,0
"2015-07-10 12:15:00",0,0,0,55.01,55.39,56.40,54.27,,,,,,,69.34,69.49,69.99,69.26,,67.56,66.76,67.73,65.06,,68.50,68.70,69.61,67.92,,,,,,,,,,,,,,,,,0,0
"2015-07-10 12:30:00",0,0,0,56.58,55.98,56.65,54.42,,,,,,,69.61,69.51,69.77,69.26,,66.40,66.59,67.73,65.26,,68.95,69.89,70.72,68.47,,,,,,,,,,,,,,,,,0,0
"2015-07-10 12:45:00",0,0,0,57.33,57.01,57.62,56.40,,,,,,,70.01,69.64,70.09,69.38,,65.53,66.61,67.81,65.10,,70.09,69.61,70.12,68.82,,,,,,,,,,,,,,,,,0,0
"2015-07-10 13:00:00",0,0,0,57.91,57.73,58.06,57.29,,,,,,,70.29,70.04,70.52,69.65,,66.43,66.88,67.94,65.45,,69.75,69.46,70.36,68.47,,,,,,,,,,,,,,,,,0,0
"2015-07-10 13:15:00",0,0,0,58.35,58.04,58.37,57.83,,,,,,,70.45,70.27,70.53,70.01,,67.27,66.99,67.73,66.10,,70.21,70.40,70.96,69.65,,,,,,,,,,,,,,,,,0,0
"2015-07-10 13:30:00",0,0,0,59.06,58.69,59.20,58.18,,,,,,,70.12,70.31,70.57,70.09,,67.42,67.28,68.08,66.17,,70.72,70.11,70.80,69.30,,,,,,,,,,,,,,,,,0,0
"2015-07-10 13:45:00",0,0,0,60.10,59.38,60.10,58.93,,,,,,,70.60,70.37,70.79,69.95,,67.64,67.26,67.99,66.21,,69.90,70.49,71.06,69.66,,,,,,,,,,,,,,,,,0,0
"2015-07-10 14:00:00",0,0,0,61.55,60.86,61.65,60.01,,,,,,,71.20,70.84,71.25,70.38,,68.00,67.53,68.11,66.74,,71.04,70.74,71.09,69.86,,,,,,,,,,,,,,,,,0,0
"2015-07-10 14:15:00",0,0,0,65.51,63.51,65.57,61.50,,,,,,,71.93,71.77,72.10,71.10,,68.98,68.09,69.19,67.59,,70.84,70.76,71.19,70.19,,,,,,,,,,,,,,,,,0,0
"2015-07-10 14:30:00",0,0,0,65.09,65.81,66.36,65.09,,,,,,,72.07,72.14,72.39,71.81,,62.76,67.51,69.10,61.64,,71.32,71.26,71.64,70.79,,,,,,,,,,,,,,,,,0,0
"2015-07-10 14:45:00",0,0,0,66.35,65.61,66.41,65.04,,,,,,,67.19,65.21,72.24,58.53,,65.83,66.13,67.46,62.79,,71.33,71.07,71.40,70.70,,,,,,,,,,,,,,,,,0,0
"2015-07-10 15:00:00",0,0,0,68.35,67.24,68.35,66.28,,,,,,,64.91,66.69,71.91,59.05,,67.04,65.17,67.16,60.40,,71.45,71.51,71.93,71.23,,,,,,,,,,,,,,,,,0,0
"2015-07-10 15:15:00",0,0,0,68.11,68.85,69.43,68.01,,,,,,,72.37,68.72,72.49,64.91,,66.85,65.19,67.47,60.74,,72.11,71.83,72.56,71.38,,,,,,,,,,,,,,,,,0,0
