time(UTC),error,lowalarm,highalarm,"Outdoor (Degrees F)","Outdoor Ave (Degrees F)","Outdoor Min (Degrees F)","Outdoor Max (Degrees F)","-","Do Not Use (Degrees F)","-","-","-","-","Middle Classroom (Degrees F)","Middle Classroom Ave (Degrees F)","Middle Classroom Min (Degrees F)","Middle Classroom Max (Degrees F)","-","South Classroom (Degrees F)","South Classroom Ave (Degrees F)","South Classroom Min (Degrees F)","South Classroom Max (Degrees F)","-","Main Classroom/Offices (Degrees F)","Main Classroom/Offices Ave (Degrees F)","Main Classroom/Offices Min (Degrees F)","Main Classroom/Offices Max (Degrees F)","-","Input 6","-","-","-","-","Input 7","-","-","-","-","Input 8","-","-","-","-","Output 01","Output 02"
"2015-07-10 15:30:00",0,0,0,67.64,67.85,68.20,67.58,,,,,,,68.76,66.19,72.78,59.93,,64.96,65.82,67.92,61.02,,71.70,71.87,72.17,71.69,,,,,,,,,,,,,,,,,0,0
"2015-07-10 15:45:00",0,0,0,67.94,67.75,68.03,67.54,,,,,,,64.17,68.29,73.33,60.28,,61.35,66.64,68.13,61.21,,71.96,72.22,72.78,71.65,,,,,,,,,,,,,,,,,0,0
"2015-07-10 16:00:00",0,0,0,69.08,68.51,69.17,67.85,,,,,,,73.62,69.25,73.67,64.17,,67.94,65.67,68.01,61.45,,72.45,72.34,73.05,71.86,,,,,,,,,,,,,,,,,0,0
"2015-07-10 16:15:00",0,0,0,70.43,69.74,70.58,68.93,,,,,,,70.47,66.87,73.91,60.65,,66.24,65.13,68.44,61.41,,73.10,72.41,73.14,72.18,,,,,,,,,,,,,,,,,0,0
"2015-07-10 16:30:00",0,0,0,70.42,70.43,70.64,70.16,,,,,,,66.62,67.91,73.91,60.36,,65.26,65.71,68.50,61.32,,72.40,72.69,73.22,72.32,,,,,,,,,,,,,,,,,0,0
"2015-07-10 16:45:00",0,0,0,71.03,70.64,71.05,70.35,,,,,,,67.15,70.66,74.15,66.54,,63.73,65.85,68.35,61.38,,72.54,72.64,73.14,72.28,,,,,,,,,,,,,,,,,0,0
"2015-07-10 17:00:00",0,0,0,72.36,71.64,72.46,70.91,,,,,,,73.40,66.89,73.43,60.69,,67.97,65.98,68.04,63.57,,73.17,72.72,73.31,72.40,,,,,,,,,,,,,,,,,0,0
"2015-07-10 17:15:00",0,0,0,72.97,72.82,73.16,72.36,,,,,,,68.49,67.90,75.08,61.05,,67.39,65.42,67.99,61.54,,72.95,72.75,73.21,72.58,,,,,,,,,,,,,,,,,0,0
"2015-07-10 17:30:00",0,0,0,74.38,73.74,74.44,72.94,,,,,,,62.01,70.12,75.68,61.91,,66.12,65.59,68.30,61.95,,72.97,73.07,73.48,72.81,,,,,,,,,,,,,,,,,0,0
"2015-07-10 17:45:00",0,0,0,75.01,74.78,75.24,74.28,,,,,,,68.12,70.53,75.92,62.07,,66.55,66.06,68.25,62.04,,73.05,73.56,74.19,72.90,,,,,,,,,,,,,,,,,0,0
"2015-07-10 18:00:00",0,0,0,76.11,75.75,76.17,74.98,,,,,,,75.97,68.20,76.05,62.23,,65.53,66.54,68.73,62.46,,74.02,73.70,74.18,73.05,,,,,,,,,,,,,,,,,0,0
"2015-07-10 18:15:00",0,0,0,76.50,76.28,76.83,75.94,,,,,,,73.98,67.91,76.09,62.15,,64.19,66.96,69.05,62.66,,73.68,73.72,74.09,73.39,,,,,,,,,,,,,,,,,0,0
"2015-07-10 18:30:00",0,0,0,77.47,76.78,77.52,76.06,,,,,,,71.79,68.44,76.25,62.31,,64.77,66.98,69.20,64.19,,73.94,73.97,74.21,73.61,,,,,,,,,,,,,,,,,0,0
