time(UTC),error,lowalarm,highalarm,"Outdoor (Degrees F)","Outdoor Ave (Degrees F)","Outdoor Min (Degrees F)","Outdoor Max (Degrees F)","-","Do Not Use (Degrees F)","-","-","-","-","Middle Classroom (Degrees F)","Middle Classroom Ave (Degrees F)","Middle Classroom Min (Degrees F)","Middle Classroom Max (Degrees F)","-","South Classroom (Degrees F)","South Classroom Ave (Degrees F)","South Classroom Min (Degrees F)","South Classroom Max (Degrees F)","-","Main Classroom/Offices (Degrees F)","Main Classroom/Offices Ave (Degrees F)","Main Classroom/Offices Min (Degrees F)","Main Classroom/Offices Max (Degrees F)","-","Input 6","-","-","-","-","Input 7","-","-","-","-","Input 8","-","-","-","-","Output 01","Output 02"
"2015-07-10 22:15:00",0,0,0,81.49,79.50,81.50,78.33,,,,,,,69.43,67.50,74.54,61.92,,65.79,67.07,70.45,62.76,,74.62,74.72,75.03,74.45,,,,,,,,,,,,,,,,,0,0
"2015-07-10 22:30:00",0,0,0,81.44,82.15,83.15,81.05,,,,,,,69.02,67.15,73.75,61.62,,65.85,66.18,68.22,62.34,,74.98,74.94,75.28,74.57,,,,,,,,,,,,,,,,,0,0
"2015-07-10 22:45:00",0,0,0,77.64,79.81,81.68,77.62,,,,,,,68.27,66.55,72.75,60.71,,65.93,65.97,68.05,61.94,,75.20,74.98,75.32,74.77,,,,,,,,,,,,,,,,,0,0
"2015-07-10 23:00:00",0,0,0,78.43,77.71,78.52,76.99,,,,,,,67.80,66.57,72.95,60.67,,65.36,65.87,67.96,61.93,,75.08,74.97,75.23,74.67,,,,,,,,,,,,,,,,,0,0
"2015-07-10 23:15:00",0,0,0,79.23,80.28,81.03,78.39,,,,,,,67.34,66.92,73.91,60.76,,66.08,65.75,67.64,61.80,,75.03,75.01,75.30,74.67,,,,,,,,,,,,,,,,,0,0
"2015-07-10 23:30:00",0,0,0,78.44,79.99,81.15,78.37,,,,,,,67.40,66.78,73.43,60.90,,66.60,65.95,67.76,61.84,,74.42,74.96,75.30,74.35,,,,,,,,,,,,,,,,,0,0
"2015-07-10 23:45:00",0,0,0,84.05,80.36,84.12,77.79,,,,,,,67.78,66.50,72.44,60.74,,66.67,66.09,67.94,61.87,,75.11,74.98,75.33,74.36,,,,,,,,,,,,,,,,,0,0
"2015-07-11 00:00:00",0,0,0,87.65,85.44,87.66,84.03,,,,,,,67.90,66.68,72.78,61.07,,66.67,66.13,68.01,62.07,,75.30,75.01,75.37,74.62,,,,,,,,,,,,,,,,,0,0
"2015-07-11 00:15:00",0,0,0,82.66,87.01,89.35,82.69,,,,,,,68.08,66.52,72.05,60.96,,66.77,66.10,68.03,61.99,,75.21,75.13,75.47,74.79,,,,,,,,,,,,,,,,,0,0
"2015-07-11 00:30:00",0,0,0,76.86,79.09,82.66,76.83,,,,,,,67.99,65.84,70.93,59.99,,66.78,66.01,67.92,61.76,,74.87,75.11,75.47,74.58,,,,,,,,,,,,,,,,,0,0
"2015-07-11 00:45:00",0,0,0,75.91,76.11,76.90,75.50,,,,,,,68.17,66.12,71.35,60.10,,67.65,65.92,67.72,61.54,,74.98,75.23,75.47,74.89,,,,,,,,,,,,,,,,,0,0
"2015-07-11 01:00:00",0,0,0,79.80,79.44,80.69,75.91,,,,,,,67.77,66.64,73.40,60.46,,66.38,66.07,68.59,61.58,,75.57,75.02,75.61,74.42,,,,,,,,,,,,,,,,,0,0
"2015-07-11 01:15:00",0,0,0,84.15,81.38,84.14,79.71,,,,,,,67.58,66.42,72.59,60.40,,66.49,65.69,67.81,61.60,,75.03,74.92,75.64,74.28,,,,,,,,,,,,,,,,,0,0
