time(UTC),error,lowalarm,highalarm,"Outdoor (Degrees F)","Outdoor Ave (Degrees F)","Outdoor Min (Degrees F)","Outdoor Max (Degrees F)","-","Do Not Use (Degrees F)","-","-","-","-","Middle Classroom (Degrees F)","Middle Classroom Ave (Degrees F)","Middle Classroom Min (Degrees F)","Middle Classroom Max (Degrees F)","-","South Classroom (Degrees F)","South Classroom Ave (Degrees F)","South Classroom Min (Degrees F)","South Classroom Max (Degrees F)","-","Main Classroom/Offices (Degrees F)","Main Classroom/Offices Ave (Degrees F)","Main Classroom/Offices Min (Degrees F)","Main Classroom/Offices Max (Degrees F)","-","Input 6","-","-","-","-","Input 7","-","-","-","-","Input 8","-","-","-","-","Output 01","Output 02"
"2015-07-11 01:30:00",0,0,0,82.86,84.45,85.63,82.79,,,,,,,67.42,66.24,72.26,60.16,,66.52,65.60,67.58,61.77,,74.47,75.12,75.59,74.36,,,,,,,,,,,,,,,,,0,0
"2015-07-11 01:45:00",0,0,0,78.97,81.69,82.96,78.92,,,,,,,66.87,66.02,71.71,60.02,,66.48,65.55,67.46,61.49,,75.03,75.06,75.42,74.40,,,,,,,,,,,,,,,,,0,0
"2015-07-11 02:00:00",0,0,0,75.02,76.46,78.99,74.99,,,,,,,65.57,66.03,71.69,59.65,,66.29,65.29,67.30,61.22,,75.23,74.94,75.34,74.38,,,,,,,,,,,,,,,,,0,0
"2015-07-11 02:15:00",0,0,0,74.03,74.82,75.26,74.02,,,,,,,59.76,66.98,72.63,59.71,,66.06,65.06,67.03,61.06,,75.10,74.89,75.44,74.28,,,,,,,,,,,,,,,,,0,0
"2015-07-11 02:30:00",0,0,0,71.88,73.00,74.10,71.89,,,,,,,62.97,67.02,72.32,59.52,,67.72,65.36,67.71,60.78,,73.97,75.07,75.54,73.97,,,,,,,,,,,,,,,,,0,0
"2015-07-11 02:45:00",0,0,0,70.91,71.33,71.97,70.89,,,,,,,72.37,66.10,72.47,59.34,,66.08,65.22,68.23,60.90,,75.25,74.88,75.40,73.87,,,,,,,,,,,,,,,,,0,0
"2015-07-11 03:00:00",0,0,0,70.38,70.62,70.98,70.33,,,,,,,70.23,65.75,72.73,59.38,,65.12,64.82,67.88,60.75,,75.05,74.82,75.28,74.04,,,,,,,,,,,,,,,,,0,0
"2015-07-11 03:15:00",0,0,0,70.08,70.12,70.43,69.92,,,,,,,67.64,66.35,72.82,59.54,,65.04,64.33,66.28,60.24,,75.44,75.27,75.47,74.99,,,,,,,,,,,,,,,,,0,0
"2015-07-11 03:30:00",0,0,0,69.13,69.69,70.12,69.11,,,,,,,66.16,66.57,72.89,59.29,,64.63,64.12,66.06,60.10,,75.30,75.39,75.49,75.26,,,,,,,,,,,,,,,,,0,0
"2015-07-11 03:45:00",0,0,0,68.10,68.51,69.19,68.04,,,,,,,60.62,68.13,72.65,60.64,,65.51,64.26,65.83,59.94,,75.32,75.40,75.54,75.27,,,,,,,,,,,,,,,,,0,0
"2015-07-11 04:00:00",0,0,0,67.62,67.93,68.19,67.61,,,,,,,72.05,66.37,72.05,58.97,,65.67,64.51,66.32,60.02,,75.23,75.29,75.44,75.15,,,,,,,,,,,,,,,,,0,0
"2015-07-11 04:15:00",0,0,0,67.54,67.61,67.70,67.50,,,,,,,67.69,65.65,72.56,59.05,,64.95,65.04,67.01,60.12,,75.18,75.19,75.30,75.08,,,,,,,,,,,,,,,,,0,0
"2015-07-11 04:30:00",0,0,0,67.21,67.37,67.58,67.14,,,,,,,65.53,66.72,72.34,59.08,,63.43,65.26,67.94,60.37,,75.11,75.13,75.26,75.01,,,,,,,,,,,,,,,,,0,0
"2015-07-11 04:45:00",0,0,0,66.70,66.99,67.29,66.65,,,,,,,65.53,69.01,72.49,65.50,,63.12,64.41,67.04,60.14,,74.99,75.03,75.16,74.89,,,,,,,,,,,,,,,,,0,0
