time(UTC),error,lowalarm,highalarm,"Outdoor (Degrees F)","Outdoor Ave (Degrees F)","Outdoor Min (Degrees F)","Outdoor Max (Degrees F)","-","Do Not Use (Degrees F)","-","-","-","-","Middle Classroom (Degrees F)","Middle Classroom Ave (Degrees F)","Middle Classroom Min (Degrees F)","Middle Classroom Max (Degrees F)","-","South Classroom (Degrees F)","South Classroom Ave (Degrees F)","South Classroom Min (Degrees F)","South Classroom Max (Degrees F)","-","Main Classroom/Offices (Degrees F)","Main Classroom/Offices Ave (Degrees F)","Main Classroom/Offices Min (Degrees F)","Main Classroom/Offices Max (Degrees F)","-","Input 6","-","-","-","-","Input 7","-","-","-","-","Input 8","-","-","-","-","Output 01","Output 02"
"2015-07-11 05:00:00",0,0,0,66.60,66.80,66.96,66.52,,,,,,,71.08,65.60,71.10,59.24,,61.25,64.23,65.85,59.89,,74.94,74.98,75.08,74.87,,,,,,,,,,,,,,,,,0,0
"2015-07-11 05:15:00",0,0,0,66.47,66.47,66.64,66.36,,,,,,,66.75,66.43,72.39,59.29,,62.85,65.15,66.80,61.27,,75.03,74.94,75.06,74.82,,,,,,,,,,,,,,,,,0,0
"2015-07-11 05:30:00",0,0,0,67.31,66.93,67.36,66.43,,,,,,,60.21,68.46,72.42,60.10,,66.32,64.79,66.56,60.05,,74.81,74.92,75.11,74.72,,,,,,,,,,,,,,,,,0,0
"2015-07-11 05:45:00",0,0,0,66.52,67.37,67.57,66.56,,,,,,,71.05,66.27,71.13,59.12,,67.16,64.65,67.19,59.99,,74.65,74.72,74.86,74.58,,,,,,,,,,,,,,,,,0,0
"2015-07-11 06:00:00",0,0,0,63.16,63.85,66.60,62.42,,,,,,,66.26,65.72,71.51,58.45,,66.24,64.58,67.51,59.89,,74.57,74.60,74.72,74.47,,,,,,,,,,,,,,,,,0,0
"2015-07-11 06:15:00",0,0,0,63.15,63.32,63.62,63.04,,,,,,,70.21,69.91,71.37,66.23,,65.38,64.73,67.41,59.79,,74.50,74.49,74.65,74.38,,,,,,,,,,,,,,,,,0,0
"2015-07-11 06:30:00",0,0,0,62.13,62.40,63.21,61.93,,,,,,,68.95,64.55,70.07,58.09,,64.27,64.94,67.50,59.67,,74.47,74.43,74.55,74.33,,,,,,,,,,,,,,,,,0,0
"2015-07-11 06:45:00",0,0,0,60.40,61.31,62.17,60.39,,,,,,,58.07,67.73,70.72,57.89,,60.75,65.61,67.47,59.43,,74.36,74.40,74.55,74.28,,,,,,,,,,,,,,,,,0,0
"2015-07-11 07:00:00",0,0,0,60.62,60.50,60.84,60.22,,,,,,,69.87,65.99,69.95,58.11,,67.19,65.12,67.35,60.82,,74.42,74.38,74.47,74.26,,,,,,,,,,,,,,,,,0,0
"2015-07-11 07:15:00",0,0,0,60.37,60.48,60.72,60.20,,,,,,,60.40,67.47,70.60,58.02,,67.09,64.71,67.45,59.63,,74.31,74.36,74.47,74.23,,,,,,,,,,,,,,,,,0,0
"2015-07-11 07:30:00",0,0,0,59.73,59.95,60.46,59.65,,,,,,,69.80,66.43,69.94,60.37,,65.71,64.67,67.72,59.66,,74.19,74.27,74.38,74.12,,,,,,,,,,,,,,,,,0,0
"2015-07-11 07:45:00",0,0,0,59.50,59.67,59.89,59.39,,,,,,,58.64,68.33,70.48,58.66,,64.13,65.07,67.69,59.67,,74.02,74.13,74.28,73.94,,,,,,,,,,,,,,,,,0,0
"2015-07-11 08:00:00",0,0,0,58.97,59.28,59.55,58.89,,,,,,,69.41,65.51,69.51,58.05,,59.19,65.51,67.01,59.07,,73.92,73.97,74.12,73.82,,,,,,,,,,,,,,,,,0,0
