time(UTC),error,lowalarm,highalarm,"Outdoor (Degrees F)","Outdoor Ave (Degrees F)","Outdoor Min (Degrees F)","Outdoor Max (Degrees F)","-","Do Not Use (Degrees F)","-","-","-","-","Middle Classroom (Degrees F)","Middle Classroom Ave (Degrees F)","Middle Classroom Min (Degrees F)","Middle Classroom Max (Degrees F)","-","South Classroom (Degrees F)","South Classroom Ave (Degrees F)","South Classroom Min (Degrees F)","South Classroom Max (Degrees F)","-","Main Classroom/Offices (Degrees F)","Main Classroom/Offices Ave (Degrees F)","Main Classroom/Offices Min (Degrees F)","Main Classroom/Offices Max (Degrees F)","-","Input 6","-","-","-","-","Input 7","-","-","-","-","Input 8","-","-","-","-","Output 01","Output 02"
"2015-07-11 08:15:00",0,0,0,60.28,59.60,60.39,58.88,,,,,,,70.21,70.01,70.36,69.36,,67.31,65.02,67.50,59.26,,73.89,73.93,74.04,73.82,,,,,,,,,,,,,,,,,0,0
"2015-07-11 08:30:00",0,0,0,61.53,61.03,61.64,60.21,,,,,,,70.43,70.36,70.60,70.14,,66.49,64.77,67.73,59.68,,73.70,73.79,73.95,73.65,,,,,,,,,,,,,,,,,0,0
"2015-07-11 08:45:00",0,0,0,62.16,61.82,62.24,61.47,,,,,,,70.75,70.61,70.87,70.40,,65.21,65.03,67.78,59.68,,73.73,73.68,73.80,73.56,,,,,,,,,,,,,,,,,0,0
"2015-07-11 09:00:00",0,0,0,62.32,62.24,62.47,62.03,,,,,,,70.96,70.87,71.06,70.60,,60.98,65.95,67.70,59.67,,73.49,73.55,73.72,73.39,,,,,,,,,,,,,,,,,0,0
"2015-07-11 09:15:00",0,0,0,61.27,61.79,62.40,61.22,,,,,,,70.80,70.88,71.08,70.62,,67.63,65.61,67.72,61.07,,73.58,73.50,73.65,73.37,,,,,,,,,,,,,,,,,0,0
"2015-07-11 09:30:00",0,0,0,60.39,60.79,61.38,60.25,,,,,,,70.47,70.65,71.01,70.33,,66.47,64.67,67.94,59.82,,73.43,73.48,73.63,73.34,,,,,,,,,,,,,,,,,0,0
"2015-07-11 09:45:00",0,0,0,59.49,59.88,60.39,59.42,,,,,,,70.55,70.49,70.67,70.35,,65.57,65.05,67.82,59.63,,73.34,73.39,73.51,73.21,,,,,,,,,,,,,,,,,0,0
"2015-07-11 10:00:00",0,0,0,58.98,59.17,59.57,58.88,,,,,,,70.70,70.52,70.79,70.31,,59.89,66.54,68.23,59.74,,73.26,73.28,73.37,73.17,,,,,,,,,,,,,,,,,0,0
"2015-07-11 10:15:00",0,0,0,59.23,59.13,59.32,58.92,,,,,,,70.53,70.63,70.91,70.41,,67.72,65.34,67.80,59.88,,73.21,73.21,73.37,73.09,,,,,,,,,,,,,,,,,0,0
"2015-07-11 10:30:00",0,0,0,59.68,59.50,59.82,59.18,,,,,,,70.60,70.62,70.84,70.42,,66.33,64.81,68.15,59.62,,73.16,73.14,73.26,72.98,,,,,,,,,,,,,,,,,0,0
"2015-07-11 10:45:00",0,0,0,60.60,60.03,60.64,59.50,,,,,,,70.80,70.61,70.87,70.33,,63.67,65.61,68.08,59.73,,72.98,73.06,73.19,72.90,,,,,,,,,,,,,,,,,0,0
"2015-07-11 11:00:00",0,0,0,60.86,60.93,61.18,60.52,,,,,,,71.10,70.87,71.15,70.64,,67.88,66.59,67.95,63.60,,73.00,72.99,73.12,72.86,,,,,,,,,,,,,,,,,0,0
"2015-07-11 11:15:00",0,0,0,59.88,60.29,60.87,59.84,,,,,,,70.47,70.78,71.06,70.43,,67.30,64.91,67.97,59.82,,72.80,72.93,73.12,72.73,,,,,,,,,,,,,,,,,0,0
"2015-07-11 11:30:00",0,0,0,58.59,59.15,59.99,58.51,,,,,,,70.12,70.26,70.62,69.92,,65.29,65.42,68.35,59.77,,70.07,71.86,72.95,70.05,,,,,,,,,,,,,,,,,0,0
