time(UTC),error,lowalarm,highalarm,"Outdoor (Degrees F)","Outdoor Ave (Degrees F)","Outdoor Min (Degrees F)","Outdoor Max (Degrees F)","-","Do Not Use (Degrees F)","-","-","-","-","Middle Classroom (Degrees F)","Middle Classroom Ave (Degrees F)","Middle Classroom Min (Degrees F)","Middle Classroom Max (Degrees F)","-","South Classroom (Degrees F)","South Classroom Ave (Degrees F)","South Classroom Min (Degrees F)","South Classroom Max (Degrees F)","-","Main Classroom/Offices (Degrees F)","Main Classroom/Offices Ave (Degrees F)","Main Classroom/Offices Min (Degrees F)","Main Classroom/Offices Max (Degrees F)","-","Input 6","-","-","-","-","Input 7","-","-","-","-","Input 8","-","-","-","-","Output 01","Output 02"
"2015-07-11 11:45:00",0,0,0,57.86,58.21,58.68,57.82,,,,,,,69.84,70.04,70.28,69.75,,66.10,67.04,68.17,65.29,,67.66,68.59,70.12,67.61,,,,,,,,,,,,,,,,,0,0
"2015-07-11 12:00:00",0,0,0,57.85,57.81,57.99,57.64,,,,,,,69.71,69.84,70.17,69.63,,66.96,66.39,67.95,63.87,,68.35,68.41,69.18,67.57,,,,,,,,,,,,,,,,,0,0
"2015-07-11 12:15:00",0,0,0,58.19,58.08,58.27,57.79,,,,,,,69.73,69.82,70.06,69.58,,66.56,66.20,67.60,64.28,,70.96,70.20,71.01,68.24,,,,,,,,,,,,,,,,,0,0
"2015-07-11 12:30:00",0,0,0,58.88,58.56,59.02,58.09,,,,,,,70.12,69.96,70.29,69.66,,66.46,66.51,67.80,64.41,,70.16,70.18,71.52,69.17,,,,,,,,,,,,,,,,,0,0
"2015-07-11 12:45:00",0,0,0,58.93,58.94,59.21,58.76,,,,,,,70.12,70.09,70.40,69.89,,66.13,66.67,67.89,64.97,,69.95,70.54,71.04,69.85,,,,,,,,,,,,,,,,,0,0
"2015-07-11 13:00:00",0,0,0,58.85,58.99,59.22,58.81,,,,,,,70.12,70.02,70.28,69.78,,65.69,66.68,67.85,65.22,,71.91,71.02,71.91,69.83,,,,,,,,,,,,,,,,,0,0
"2015-07-11 13:15:00",0,0,0,59.54,59.31,59.63,58.82,,,,,,,70.40,70.30,70.60,70.02,,66.04,66.83,67.81,65.53,,71.59,71.36,72.05,70.21,,,,,,,,,,,,,,,,,0,0
"2015-07-11 13:30:00",0,0,0,59.84,59.72,59.92,59.41,,,,,,,70.19,70.15,70.55,69.94,,66.60,66.93,67.97,65.65,,72.06,71.71,72.15,71.47,,,,,,,,,,,,,,,,,0,0
"2015-07-11 13:45:00",0,0,0,61.26,60.28,61.35,59.62,,,,,,,71.03,70.54,71.20,70.02,,67.26,67.25,68.11,66.51,,71.84,71.25,72.13,70.14,,,,,,,,,,,,,,,,,0,0
"2015-07-11 14:00:00",0,0,0,62.94,62.30,63.02,61.19,,,,,,,71.78,71.46,71.88,71.05,,68.30,67.82,68.45,67.19,,71.84,72.00,72.35,71.69,,,,,,,,,,,,,,,,,0,0
"2015-07-11 14:15:00",0,0,0,65.04,63.54,65.08,62.87,,,,,,,72.10,71.75,72.15,71.50,,68.54,68.31,68.90,67.87,,72.00,71.54,72.06,70.53,,,,,,,,,,,,,,,,,0,0
"2015-07-11 14:30:00",0,0,0,70.80,67.78,70.84,65.05,,,,,,,63.48,67.92,73.00,58.83,,67.10,65.97,69.02,61.87,,70.85,71.81,72.22,70.75,,,,,,,,,,,,,,,,,0,0
"2015-07-11 14:45:00",0,0,0,74.21,72.55,74.28,70.77,,,,,,,66.14,68.80,73.02,63.55,,66.13,65.23,67.64,60.53,,71.96,71.48,71.96,70.68,,,,,,,,,,,,,,,,,0,0
