time(UTC),error,lowalarm,highalarm,"Outdoor (Degrees F)","Outdoor Ave (Degrees F)","Outdoor Min (Degrees F)","Outdoor Max (Degrees F)","-","Do Not Use (Degrees F)","-","-","-","-","Middle Classroom (Degrees F)","Middle Classroom Ave (Degrees F)","Middle Classroom Min (Degrees F)","Middle Classroom Max (Degrees F)","-","South Classroom (Degrees F)","South Classroom Ave (Degrees F)","South Classroom Min (Degrees F)","South Classroom Max (Degrees F)","-","Main Classroom/Offices (Degrees F)","Main Classroom/Offices Ave (Degrees F)","Main Classroom/Offices Min (Degrees F)","Main Classroom/Offices Max (Degrees F)","-","Input 6","-","-","-","-","Input 7","-","-","-","-","Input 8","-","-","-","-","Output 01","Output 02"
"2015-07-11 15:00:00",0,0,0,75.97,75.18,76.04,74.18,,,,,,,72.75,66.37,72.77,59.37,,63.49,65.75,67.65,60.72,,71.95,71.79,72.39,71.32,,,,,,,,,,,,,,,,,0,0
"2015-07-11 15:15:00",0,0,0,74.22,75.65,76.48,74.21,,,,,,,67.96,66.94,73.62,59.71,,67.61,66.30,67.72,63.48,,72.28,72.23,72.86,71.86,,,,,,,,,,,,,,,,,0,0
"2015-07-11 15:30:00",0,0,0,73.32,73.57,74.26,73.24,,,,,,,60.48,70.34,74.42,60.49,,67.11,65.44,67.72,60.96,,72.33,72.14,72.40,71.86,,,,,,,,,,,,,,,,,0,0
"2015-07-11 15:45:00",0,0,0,74.53,73.76,74.60,73.18,,,,,,,74.86,69.17,74.93,60.20,,66.67,65.69,67.80,61.17,,72.56,72.72,73.17,72.28,,,,,,,,,,,,,,,,,0,0
"2015-07-11 16:00:00",0,0,0,77.65,75.83,77.65,74.55,,,,,,,73.48,67.46,75.17,60.77,,65.03,66.55,68.20,61.60,,73.03,72.91,73.44,72.42,,,,,,,,,,,,,,,,,0,0
"2015-07-11 16:15:00",0,0,0,78.69,78.61,79.00,77.57,,,,,,,68.69,68.76,75.44,61.45,,68.49,67.23,68.61,64.91,,73.77,73.00,73.85,72.74,,,,,,,,,,,,,,,,,0,0
"2015-07-11 16:30:00",0,0,0,78.11,78.20,78.67,77.89,,,,,,,64.21,69.59,75.97,61.47,,67.53,66.09,68.64,62.04,,73.17,73.37,73.85,73.09,,,,,,,,,,,,,,,,,0,0
"2015-07-11 16:45:00",0,0,0,79.90,78.54,79.90,78.02,,,,,,,64.39,71.00,76.47,64.30,,67.98,66.56,68.49,62.13,,73.51,73.66,74.12,73.12,,,,,,,,,,,,,,,,,0,0
"2015-07-11 17:00:00",0,0,0,83.10,81.90,83.17,79.86,,,,,,,71.94,69.27,76.04,62.03,,67.45,66.71,68.49,62.07,,73.77,73.86,74.38,73.41,,,,,,,,,,,,,,,,,0,0
"2015-07-11 17:15:00",0,0,0,80.24,82.06,83.21,80.20,,,,,,,73.68,66.73,73.75,60.70,,66.04,66.58,68.16,61.84,,74.12,73.89,74.21,73.72,,,,,,,,,,,,,,,,,0,0
"2015-07-11 17:30:00",0,0,0,76.24,77.36,80.24,76.04,,,,,,,69.14,66.68,74.47,60.05,,63.70,66.89,68.73,61.58,,74.02,73.94,74.21,73.67,,,,,,,,,,,,,,,,,0,0
"2015-07-11 17:45:00",0,0,0,79.23,77.19,79.22,76.13,,,,,,,69.73,67.86,74.42,61.62,,66.27,67.17,69.26,63.68,,73.92,74.02,74.45,73.49,,,,,,,,,,,,,,,,,0,0
"2015-07-11 18:00:00",0,0,0,78.04,78.86,79.38,78.04,,,,,,,67.92,68.68,75.82,62.13,,68.95,66.52,69.12,62.33,,73.85,74.24,74.55,73.79,,,,,,,,,,,,,,,,,0,0
"2015-07-11 18:15:00",0,0,0,78.27,77.99,78.30,77.74,,,,,,,65.31,68.58,75.97,62.27,,68.40,66.61,69.39,62.43,,74.45,74.20,74.60,73.58,,,,,,,,,,,,,,,,,0,0
