time(UTC),error,lowalarm,highalarm,"Outdoor (Degrees F)","Outdoor Ave (Degrees F)","Outdoor Min (Degrees F)","Outdoor Max (Degrees F)","-","Do Not Use (Degrees F)","-","-","-","-","Middle Classroom (Degrees F)","Middle Classroom Ave (Degrees F)","Middle Classroom Min (Degrees F)","Middle Classroom Max (Degrees F)","-","South Classroom (Degrees F)","South Classroom Ave (Degrees F)","South Classroom Min (Degrees F)","South Classroom Max (Degrees F)","-","Main Classroom/Offices (Degrees F)","Main Classroom/Offices Ave (Degrees F)","Main Classroom/Offices Min (Degrees F)","Main Classroom/Offices Max (Degrees F)","-","Input 6","-","-","-","-","Input 7","-","-","-","-","Input 8","-","-","-","-","Output 01","Output 02"
"2015-07-11 18:30:00",0,0,0,80.31,79.17,80.33,78.23,,,,,,,62.82,69.54,76.37,62.31,,67.85,66.73,69.02,62.54,,74.47,74.32,74.55,74.00,,,,,,,,,,,,,,,,,0,0
"2015-07-11 18:45:00",0,0,0,82.20,81.21,82.28,80.22,,,,,,,64.11,69.12,76.02,62.25,,67.68,66.74,69.34,62.60,,74.53,74.59,74.86,74.35,,,,,,,,,,,,,,,,,0,0
"2015-07-11 19:00:00",0,0,0,79.93,81.20,82.29,79.90,,,,,,,67.42,68.18,75.17,62.10,,67.69,66.43,68.52,62.11,,74.43,74.72,75.03,74.38,,,,,,,,,,,,,,,,,0,0
"2015-07-11 19:15:00",0,0,0,69.20,76.40,79.95,69.17,,,,,,,69.22,66.74,72.59,61.02,,65.76,66.07,68.30,61.87,,74.93,74.86,75.27,74.38,,,,,,,,,,,,,,,,,0,0
"2015-07-11 19:30:00",0,0,0,64.50,65.81,69.18,64.46,,,,,,,69.22,64.95,69.31,58.67,,64.85,64.92,67.25,60.68,,74.84,74.61,74.91,74.30,,,,,,,,,,,,,,,,,0,0
"2015-07-11 19:45:00",0,0,0,63.32,64.06,64.60,63.23,,,,,,,67.09,65.46,71.37,58.95,,65.03,64.47,66.59,60.16,,74.55,74.34,74.99,73.68,,,,,,,,,,,,,,,,,0,0
"2015-07-11 20:00:00",0,0,0,64.03,63.35,65.14,62.52,,,,,,,64.79,66.39,71.52,58.84,,64.11,65.53,67.88,60.36,,74.04,74.41,74.77,73.73,,,,,,,,,,,,,,,,,0,0
"2015-07-11 20:15:00",0,0,0,67.04,65.78,67.18,63.98,,,,,,,71.56,69.53,74.08,64.74,,63.52,64.83,66.54,60.88,,74.55,74.52,74.74,74.02,,,,,,,,,,,,,,,,,0,0
"2015-07-11 20:30:00",0,0,0,67.98,67.30,68.06,66.92,,,,,,,72.41,66.54,72.47,60.30,,61.35,65.34,66.78,61.29,,74.42,74.14,74.62,73.41,,,,,,,,,,,,,,,,,0,0
"2015-07-11 20:45:00",0,0,0,70.06,69.49,70.36,67.95,,,,,,,69.17,67.18,74.56,60.75,,65.49,65.65,67.09,61.25,,74.11,74.14,74.65,73.58,,,,,,,,,,,,,,,,,0,0
"2015-07-11 21:00:00",0,0,0,71.95,70.75,72.05,70.02,,,,,,,68.27,67.22,73.86,60.93,,67.45,65.47,67.60,61.32,,73.90,74.36,74.67,73.84,,,,,,,,,,,,,,,,,0,0
"2015-07-11 21:15:00",0,0,0,74.30,73.26,74.45,71.93,,,,,,,64.42,67.73,74.59,61.01,,66.99,65.62,67.79,61.77,,74.72,74.40,74.82,73.82,,,,,,,,,,,,,,,,,0,0
"2015-07-11 21:30:00",0,0,0,75.71,75.14,75.75,74.20,,,,,,,61.70,67.94,73.60,61.68,,67.08,65.77,67.43,61.93,,74.53,74.41,74.77,74.14,,,,,,,,,,,,,,,,,0,0
