time(UTC),error,lowalarm,highalarm,"Outdoor (Degrees F)","Outdoor Ave (Degrees F)","Outdoor Min (Degrees F)","Outdoor Max (Degrees F)","-","Do Not Use (Degrees F)","-","-","-","-","Middle Classroom (Degrees F)","Middle Classroom Ave (Degrees F)","Middle Classroom Min (Degrees F)","Middle Classroom Max (Degrees F)","-","South Classroom (Degrees F)","South Classroom Ave (Degrees F)","South Classroom Min (Degrees F)","South Classroom Max (Degrees F)","-","Main Classroom/Offices (Degrees F)","Main Classroom/Offices Ave (Degrees F)","Main Classroom/Offices Min (Degrees F)","Main Classroom/Offices Max (Degrees F)","-","Input 6","-","-","-","-","Input 7","-","-","-","-","Input 8","-","-","-","-","Output 01","Output 02"
"2015-07-11 21:45:00",0,0,0,75.79,76.03,76.41,75.63,,,,,,,62.97,67.29,72.51,60.94,,67.32,65.97,67.62,61.97,,74.48,74.55,74.86,74.25,,,,,,,,,,,,,,,,,0,0
"2015-07-11 22:00:00",0,0,0,77.27,76.31,77.29,75.62,,,,,,,65.68,67.09,72.94,60.69,,67.06,65.98,67.77,62.07,,74.42,74.71,74.99,74.38,,,,,,,,,,,,,,,,,0,0
"2015-07-11 22:15:00",0,0,0,78.47,78.25,78.70,77.24,,,,,,,65.85,67.01,72.24,61.58,,67.93,66.28,67.95,62.49,,75.05,74.83,75.21,74.40,,,,,,,,,,,,,,,,,0,0
"2015-07-11 22:30:00",0,0,0,77.14,78.09,78.55,77.10,,,,,,,67.84,66.36,71.49,60.57,,66.98,65.91,68.57,62.10,,75.15,74.90,75.16,74.60,,,,,,,,,,,,,,,,,0,0
"2015-07-11 22:45:00",0,0,0,75.47,75.95,77.17,75.29,,,,,,,71.88,66.08,71.93,60.16,,66.61,65.49,67.65,61.71,,74.93,74.78,75.21,74.28,,,,,,,,,,,,,,,,,0,0
"2015-07-11 23:00:00",0,0,0,81.53,77.42,81.57,75.46,,,,,,,70.75,66.29,72.51,60.23,,67.12,65.76,67.26,61.77,,74.45,74.97,75.21,74.38,,,,,,,,,,,,,,,,,0,0
"2015-07-11 23:15:00",0,0,0,82.91,81.34,82.91,80.57,,,,,,,69.46,66.73,73.45,60.61,,67.60,66.05,67.76,61.85,,75.23,75.01,75.49,74.36,,,,,,,,,,,,,,,,,0,0
"2015-07-11 23:30:00",0,0,0,84.60,84.14,84.66,82.87,,,,,,,69.12,66.52,72.27,60.49,,66.82,65.79,67.99,61.72,,75.18,75.00,75.25,74.60,,,,,,,,,,,,,,,,,0,0
"2015-07-11 23:45:00",0,0,0,89.99,87.19,90.19,84.61,,,,,,,68.91,66.89,73.16,60.91,,66.84,65.71,67.49,61.74,,75.05,74.98,75.40,74.47,,,,,,,,,,,,,,,,,0,0
"2015-07-12 00:00:00",0,0,0,95.04,91.50,95.12,89.88,,,,,,,68.62,66.61,72.56,60.74,,67.66,66.04,67.78,61.85,,74.84,75.19,75.49,74.77,,,,,,,,,,,,,,,,,0,0
"2015-07-12 00:15:00",0,0,0,96.59,96.58,97.93,94.96,,,,,,,68.37,66.75,72.56,61.10,,66.85,66.00,68.15,62.07,,75.46,75.12,75.57,74.63,,,,,,,,,,,,,,,,,0,0
"2015-07-12 00:30:00",0,0,0,92.23,93.31,96.60,92.13,,,,,,,67.93,66.54,71.96,60.77,,66.65,65.63,67.78,61.85,,75.57,75.23,75.66,74.89,,,,,,,,,,,,,,,,,0,0
"2015-07-12 00:45:00",0,0,0,86.81,90.61,92.54,86.79,,,,,,,67.30,66.64,72.42,60.83,,67.02,65.78,67.48,61.86,,75.15,75.37,75.81,74.80,,,,,,,,,,,,,,,,,0,0
"2015-07-12 01:00:00",0,0,0,82.84,84.63,86.84,82.84,,,,,,,66.20,66.49,72.17,60.44,,67.02,65.81,67.68,61.58,,74.84,75.35,75.74,74.77,,,,,,,,,,,,,,,,,0,0
