time(UTC),error,lowalarm,highalarm,"Outdoor (Degrees F)","Outdoor Ave (Degrees F)","Outdoor Min (Degrees F)","Outdoor Max (Degrees F)","-","Do Not Use (Degrees F)","-","-","-","-","Middle Classroom (Degrees F)","Middle Classroom Ave (Degrees F)","Middle Classroom Min (Degrees F)","Middle Classroom Max (Degrees F)","-","South Classroom (Degrees F)","South Classroom Ave (Degrees F)","South Classroom Min (Degrees F)","South Classroom Max (Degrees F)","-","Main Classroom/Offices (Degrees F)","Main Classroom/Offices Ave (Degrees F)","Main Classroom/Offices Min (Degrees F)","Main Classroom/Offices Max (Degrees F)","-","Input 6","-","-","-","-","Input 7","-","-","-","-","Input 8","-","-","-","-","Output 01","Output 02"
"2015-07-12 01:15:00",0,0,0,80.49,81.54,82.88,80.45,,,,,,,61.82,66.98,73.04,60.33,,67.14,65.72,67.59,61.47,,75.57,75.02,75.62,74.58,,,,,,,,,,,,,,,,,0,0
"2015-07-12 01:30:00",0,0,0,83.36,81.68,83.39,79.85,,,,,,,62.64,67.90,73.65,61.82,,66.41,65.46,67.58,61.55,,75.30,75.06,75.62,74.50,,,,,,,,,,,,,,,,,0,0
"2015-07-12 01:45:00",0,0,0,83.06,84.39,85.57,83.05,,,,,,,67.25,66.97,73.04,60.40,,66.98,65.62,67.25,61.47,,74.93,75.16,75.64,74.47,,,,,,,,,,,,,,,,,0,0
"2015-07-12 02:00:00",0,0,0,80.74,82.15,83.07,80.74,,,,,,,72.12,66.06,72.14,60.14,,67.79,65.68,67.88,61.38,,75.11,75.37,75.71,74.86,,,,,,,,,,,,,,,,,0,0
"2015-07-12 02:15:00",0,0,0,80.68,80.87,81.43,80.17,,,,,,,70.11,66.18,72.94,60.08,,65.97,65.68,69.24,61.48,,75.46,75.07,75.59,74.38,,,,,,,,,,,,,,,,,0,0
"2015-07-12 02:30:00",0,0,0,75.66,77.69,80.65,75.58,,,,,,,68.56,66.34,72.90,60.01,,65.68,64.92,67.09,61.02,,74.86,75.04,75.61,74.38,,,,,,,,,,,,,,,,,0,0
"2015-07-12 02:45:00",0,0,0,73.00,74.24,75.66,72.98,,,,,,,67.38,66.44,73.07,59.83,,65.94,64.80,66.64,60.78,,75.05,75.20,75.51,74.81,,,,,,,,,,,,,,,,,0,0
"2015-07-12 03:00:00",0,0,0,71.12,72.05,73.05,71.09,,,,,,,64.87,66.87,73.07,59.68,,66.71,65.02,66.77,60.82,,75.35,74.96,75.42,74.25,,,,,,,,,,,,,,,,,0,0
"2015-07-12 03:15:00",0,0,0,69.74,70.46,71.20,69.70,,,,,,,62.23,68.08,72.80,62.29,,66.20,65.44,68.30,60.84,,75.42,75.40,75.52,75.26,,,,,,,,,,,,,,,,,0,0
"2015-07-12 03:30:00",0,0,0,68.43,69.13,69.81,68.42,,,,,,,71.66,66.05,71.61,59.41,,64.63,64.97,67.74,60.66,,75.39,75.38,75.49,75.26,,,,,,,,,,,,,,,,,0,0
"2015-07-12 03:45:00",0,0,0,67.83,67.98,68.51,67.75,,,,,,,67.50,65.88,72.53,59.37,,64.30,64.74,67.55,60.45,,75.33,75.30,75.46,75.18,,,,,,,,,,,,,,,,,0,0
"2015-07-12 04:00:00",0,0,0,68.31,67.98,68.37,67.76,,,,,,,65.65,66.83,72.44,59.54,,64.76,64.36,67.04,60.23,,75.26,75.29,75.49,75.15,,,,,,,,,,,,,,,,,0,0
"2015-07-12 04:15:00",0,0,0,68.28,68.39,68.51,68.24,,,,,,,66.10,69.32,72.75,65.67,,64.37,64.58,66.16,60.02,,75.10,75.15,75.28,75.03,,,,,,,,,,,,,,,,,0,0
