time(UTC),error,lowalarm,highalarm,"Outdoor (Degrees F)","Outdoor Ave (Degrees F)","Outdoor Min (Degrees F)","Outdoor Max (Degrees F)","-","Do Not Use (Degrees F)","-","-","-","-","Middle Classroom (Degrees F)","Middle Classroom Ave (Degrees F)","Middle Classroom Min (Degrees F)","Middle Classroom Max (Degrees F)","-","South Classroom (Degrees F)","South Classroom Ave (Degrees F)","South Classroom Min (Degrees F)","South Classroom Max (Degrees F)","-","Main Classroom/Offices (Degrees F)","Main Classroom/Offices Ave (Degrees F)","Main Classroom/Offices Min (Degrees F)","Main Classroom/Offices Max (Degrees F)","-","Input 6","-","-","-","-","Input 7","-","-","-","-","Input 8","-","-","-","-","Output 01","Output 02"
"2015-07-12 04:30:00",0,0,0,67.29,67.79,68.33,67.22,,,,,,,70.98,65.57,70.93,59.24,,63.07,65.38,67.69,60.31,,75.03,75.05,75.18,74.94,,,,,,,,,,,,,,,,,0,0
"2015-07-12 04:45:00",0,0,0,66.47,66.83,67.31,66.42,,,,,,,66.42,66.30,72.32,58.98,,61.10,65.33,67.65,60.21,,74.98,74.99,75.10,74.84,,,,,,,,,,,,,,,,,0,0
"2015-07-12 05:00:00",0,0,0,65.93,66.25,66.50,65.93,,,,,,,63.01,68.97,72.05,63.07,,64.43,65.61,67.77,61.09,,74.96,75.00,75.18,74.84,,,,,,,,,,,,,,,,,0,0
"2015-07-12 05:15:00",0,0,0,64.54,65.19,66.01,64.51,,,,,,,70.58,65.43,70.69,58.81,,65.68,64.38,65.85,60.13,,74.77,74.85,75.01,74.72,,,,,,,,,,,,,,,,,0,0
"2015-07-12 05:30:00",0,0,0,63.49,64.02,64.59,63.47,,,,,,,66.04,66.29,71.90,58.81,,66.90,64.57,67.00,59.91,,74.67,74.75,74.88,74.60,,,,,,,,,,,,,,,,,0,0
"2015-07-12 05:45:00",0,0,0,63.08,63.22,63.54,63.01,,,,,,,71.49,69.18,71.57,66.04,,66.34,64.58,67.46,59.97,,74.65,74.64,74.75,74.53,,,,,,,,,,,,,,,,,0,0
"2015-07-12 06:00:00",0,0,0,62.89,63.06,63.17,62.84,,,,,,,68.30,64.95,71.63,58.52,,65.39,64.91,67.62,59.93,,74.47,74.52,74.65,74.40,,,,,,,,,,,,,,,,,0,0
"2015-07-12 06:15:00",0,0,0,62.57,62.65,62.93,62.50,,,,,,,60.54,69.36,71.57,60.57,,63.98,64.77,67.11,59.68,,74.42,74.44,74.53,74.36,,,,,,,,,,,,,,,,,0,0
"2015-07-12 06:30:00",0,0,0,62.91,62.66,63.16,62.29,,,,,,,69.90,65.53,69.94,58.79,,61.04,65.43,67.35,59.76,,74.42,74.36,74.48,74.23,,,,,,,,,,,,,,,,,0,0
"2015-07-12 06:45:00",0,0,0,63.09,62.89,63.25,62.74,,,,,,,63.87,66.81,71.20,58.38,,67.39,65.21,67.49,61.00,,74.36,74.38,74.48,74.26,,,,,,,,,,,,,,,,,0,0
"2015-07-12 07:00:00",0,0,0,63.49,63.37,63.60,63.03,,,,,,,70.50,67.34,70.57,63.85,,66.15,63.95,67.54,60.02,,74.18,74.26,74.40,74.12,,,,,,,,,,,,,,,,,0,0
"2015-07-12 07:15:00",0,0,0,63.33,63.43,63.62,63.24,,,,,,,64.99,66.64,71.10,58.66,,65.96,64.52,67.25,59.62,,74.12,74.13,74.30,73.97,,,,,,,,,,,,,,,,,0,0
"2015-07-12 07:30:00",0,0,0,62.82,63.16,63.43,62.80,,,,,,,70.67,67.87,70.77,64.92,,64.97,64.58,66.79,59.65,,74.00,74.04,74.16,73.92,,,,,,,,,,,,,,,,,0,0
"2015-07-12 07:45:00",0,0,0,63.58,63.11,63.64,62.76,,,,,,,66.12,65.55,71.00,58.26,,62.44,65.58,67.61,60.12,,73.89,73.95,74.09,73.84,,,,,,,,,,,,,,,,,0,0
