time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kWh)","Accumulated Real Energy, Phase B, Import (kWh)","Accumulated Real Energy, Phase C, Import (kWh)","Accumulated Real Energy, Phase A, Export (kWh)","Accumulated Real Energy, Phase B, Export (kWh)","Accumulated Real Energy, Phase C, Export (kWh)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-06-24 00:30:00",0,0,0,18644.10,23730.39,5086.29,18080.56,714.38,3539.23,11306.18,21867.84,21873.36,5.53,10.76,5.33,12.01,0.90,212.50,123.06,33.42,60.02,10.80,5.06,11.97,12.66,6.16,13.85,0,-1.93,0,16519.14,3943.33,3267.93,0.57,16.85,5068.87,4217.38,10010.32,3852.86,6.89,201.27,506.21,3.37,18.94,3516.92,4736.48,5243.22,1326.47,19364.68,16568.50,6379.91,10.29,220.94,6660.98,4.31,2.97,3.49,1.24,1.85,2.23,4.48,3.50,4.14,0.96,0.85,0.84,211.71,213.61,212.18,122.37,123.74,123.07,39.79,29.04,31.45
"2015-06-24 00:45:00",0,0,0,18646.59,23732.87,5086.29,18081.70,714.38,3539.23,11306.25,21870.56,21876.09,5.53,1.64,-0.35,1.68,0.98,213.16,123.45,8.17,59.99,8.57,3.41,9.34,12.66,6.16,13.85,0,-1.93,0,16519.97,3944.10,3268.80,0.57,16.85,5068.87,4217.86,10010.78,3853.06,6.89,201.27,506.21,3.37,18.94,3516.92,4736.49,5243.26,1326.51,19365.65,16569.44,6380.84,10.29,220.94,6660.98,0.89,0.27,0.48,1.04,-0.59,-0.80,1.37,0.65,0.93,0.65,0.42,0.52,212.57,214.43,212.49,122.24,124.42,123.68,11.58,6.51,6.41
"2015-06-24 01:00:00",0,0,0,18648.57,23734.86,5086.29,18082.79,714.38,3539.23,11306.34,21872.80,21878.33,5.53,10.82,5.68,12.22,0.89,211.83,122.68,33.26,60.02,8.39,3.38,9.19,12.66,6.16,13.85,0,-1.93,0,16520.78,3944.67,3269.42,0.57,16.85,5068.87,4218.33,10011.12,3853.33,6.89,201.27,506.21,3.37,18.94,3516.92,4736.49,5243.29,1326.56,19366.59,16570.13,6381.55,10.29,220.94,6660.98,4.18,3.20,3.47,1.96,1.95,1.73,4.61,3.75,3.88,0.91,0.86,0.90,211.40,212.90,211.19,121.80,123.36,122.87,37.85,30.36,31.57
"2015-06-24 01:15:00",0,0,0,18649.87,23736.16,5086.29,18083.54,714.38,3539.23,11306.46,21874.29,21879.82,5.53,11.01,5.72,12.41,0.89,210.63,121.99,33.77,60.02,8.38,4.47,9.55,12.66,6.16,13.85,0,-1.93,0,16521.31,3945.01,3269.83,0.57,16.85,5068.87,4218.69,10011.37,3853.48,6.89,201.27,506.21,3.37,18.94,3516.92,4736.50,5243.32,1326.64,19367.26,16570.59,6382.04,10.29,220.94,6660.98,3.96,3.24,3.82,2.05,1.99,1.67,4.46,3.80,4.16,0.89,0.85,0.92,210.06,211.75,210.09,121.10,122.85,122.02,36.84,30.86,33.62
"2015-06-24 01:30:00",0,0,0,18651.57,23737.86,5086.29,18084.30,714.38,3539.23,11306.68,21876.12,21881.64,5.53,4.41,-0.35,4.43,1.00,211.69,122.60,15.09,60.01,6.15,2.91,6.93,12.66,6.16,13.85,0,-1.93,0,16522.08,3945.53,3270.25,0.57,16.85,5068.87,4219.15,10011.52,3853.63,6.89,201.27,506.21,3.37,18.94,3516.92,4736.50,5243.46,1326.72,19368.15,16571.18,6382.52,10.29,220.94,6660.98,2.40,1.37,0.64,1.28,-1.04,-0.58,2.72,1.72,0.86,0.88,0.80,0.74,210.89,213.30,210.87,121.17,123.70,122.92,24.41,14.77,6.11
"2015-06-24 01:45:00",0,0,0,18654.27,23740.56,5086.29,18085.45,714.38,3539.23,11306.78,21879.04,21884.56,5.53,4.43,0.63,4.47,0.99,212.05,122.81,14.62,60.02,6.64,1.84,7.05,12.66,6.16,13.85,0,-1.93,0,16523.22,3946.38,3270.96,0.57,16.85,5068.87,4219.80,10011.78,3853.87,6.89,201.27,506.21,3.37,18.94,3516.92,4736.50,5243.52,1326.76,19369.47,16572.10,6383.29,10.29,220.94,6660.98,2.67,1.41,0.35,1.85,-0.72,-0.50,3.25,1.58,0.61,0.82,0.89,0.58,211.17,213.84,211.15,121.39,123.79,123.25,25.68,13.01,5.18
"2015-06-24 02:00:00",0,0,0,18655.51,23741.80,5086.29,18085.89,714.38,3539.23,11307.13,21880.29,21885.81,5.53,7.58,1.05,7.65,0.99,211.51,122.50,22.98,60.03,10.00,3.71,10.79,12.66,6.16,13.85,0,-1.93,0,16523.89,3946.80,3271.12,0.57,16.85,5068.87,4220.21,10011.81,3853.87,6.89,201.27,506.21,3.37,18.94,3516.92,4736.50,5243.70,1326.94,19370.26,16572.57,6383.54,10.29,220.94,6660.98,2.49,2.92,2.03,1.70,0.87,-1.25,3.02,3.05,2.38,0.83,0.96,0.85,210.49,212.95,211.10,121.43,123.18,122.88,25.41,24.25,19.40
"2015-06-24 02:15:00",0,0,0,18656.93,23743.22,5086.29,18086.38,714.38,3539.23,11307.46,21881.72,21887.25,5.53,3.32,-0.44,3.34,0.99,212.87,123.28,12.43,60.01,5.42,0.51,5.47,12.66,6.16,13.85,0,-1.93,0,16524.53,3947.31,3271.38,0.57,16.85,5068.87,4220.62,10011.89,3853.87,6.89,201.27,506.21,3.37,18.94,3516.92,4736.50,5243.82,1327.15,19371.02,16573.13,6383.89,10.29,220.94,6660.98,1.68,1.28,0.36,1.48,-1.34,-0.58,2.23,1.85,0.68,0.75,0.69,0.53,211.75,214.78,212.08,122.01,124.18,123.65,18.78,12.72,5.78
"2015-06-24 02:30:00",0,0,0,18658.34,23744.62,5086.29,18086.90,714.38,3539.23,11307.79,21883.15,21888.68,5.53,1.34,-0.20,1.35,0.99,214.42,124.18,8.59,60.01,5.40,0.56,5.46,12.66,6.16,13.85,0,-1.93,0,16524.96,3947.90,3271.76,0.57,16.85,5068.87,4221.02,10012.01,3853.87,6.89,201.27,506.21,3.37,18.94,3516.92,4736.50,5243.89,1327.40,19371.61,16573.76,6384.35,10.29,220.94,6660.98,0.69,0.39,0.27,1.34,-0.86,-0.68,1.50,0.95,0.73,0.46,0.41,0.36,213.39,216.04,213.84,123.08,124.58,124.89,13.22,7.03,5.53
"2015-06-24 02:45:00",0,0,0,18661.36,23747.65,5086.29,18088.28,714.38,3539.23,11307.84,21886.46,21891.99,5.53,12.13,5.81,13.45,0.90,212.72,123.20,36.81,60.04,5.49,0.82,5.59,12.66,6.16,13.85,0,-1.93,0,16526.02,3948.86,3272.77,0.57,16.85,5068.87,4221.64,10012.50,3854.14,6.89,201.27,506.21,3.37,18.94,3516.92,4736.50,5243.89,1327.45,19372.85,16574.84,6385.41,10.29,220.94,6660.98,5.11,3.19,3.82,2.75,1.86,1.21,5.80,3.69,4.01,0.88,0.86,0.95,211.67,214.40,212.08,121.84,123.96,123.80,47.35,29.69,33.39
