time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kWh)","Accumulated Real Energy, Phase B, Import (kWh)","Accumulated Real Energy, Phase C, Import (kWh)","Accumulated Real Energy, Phase A, Export (kWh)","Accumulated Real Energy, Phase B, Export (kWh)","Accumulated Real Energy, Phase C, Export (kWh)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-06-24 03:45:00",0,0,0,18671.67,23757.96,5086.29,18093.65,714.38,3539.23,11307.98,21898.06,21903.59,5.53,10.40,5.84,11.93,0.87,212.23,122.92,32.69,60.02,6.26,2.80,6.98,13.21,6.16,14.57,0,-1.93,0,16530.75,3951.41,3275.80,0.57,16.85,5068.87,4224.06,10014.11,3855.49,6.89,201.27,506.21,3.37,18.94,3516.92,4736.50,5243.94,1327.54,19378.18,16577.89,6388.79,10.29,220.94,6660.98,4.15,3.00,3.26,2.52,1.75,1.58,4.85,3.47,3.62,0.86,0.86,0.90,211.35,213.68,211.65,121.75,123.69,123.32,40.20,28.58,29.29
"2015-06-24 04:00:00",0,0,0,18672.70,23758.99,5086.29,18094.35,714.38,3539.24,11308.09,21899.28,21904.80,5.53,10.24,6.09,11.91,0.86,214.46,124.21,31.79,60.01,11.10,6.04,12.65,13.21,6.16,14.57,0,-1.93,0,16531.29,3951.67,3276.04,0.57,16.85,5068.87,4224.44,10014.32,3855.59,6.89,201.27,506.21,3.37,18.94,3516.92,4736.50,5243.98,1327.61,19378.84,16578.26,6389.11,10.29,220.94,6660.98,4.17,2.95,3.13,2.54,1.77,1.59,4.89,3.44,3.51,0.85,0.86,0.89,213.48,215.74,214.10,123.16,124.79,124.65,39.60,27.69,28.11
"2015-06-24 04:15:00",0,0,0,18674.50,23760.79,5086.29,18095.42,714.38,3539.24,11308.13,21901.36,21906.88,5.53,1.89,1.56,2.45,0.77,211.62,122.57,8.36,59.93,4.28,2.40,4.99,13.21,6.16,14.57,0,-1.93,0,16532.07,3952.18,3276.54,0.57,16.85,5068.87,4224.94,10014.65,3855.83,6.89,201.27,506.21,3.37,18.94,3516.92,4736.50,5243.99,1327.64,19379.78,16578.88,6389.68,10.29,220.94,6660.98,1.42,0.34,0.13,1.30,0.64,-0.38,1.93,0.73,0.40,0.74,0.46,0.32,210.81,212.42,211.64,121.81,123.00,122.91,14.65,7.02,3.42
"2015-06-24 04:30:00",0,0,0,18676.32,23762.61,5086.29,18096.51,714.38,3539.24,11308.17,21903.46,21908.99,5.53,1.80,0.41,1.85,0.98,212.08,122.84,7.89,60.01,5.94,3.36,6.87,13.21,6.16,14.57,0,-1.93,0,16532.90,3952.66,3277.05,0.57,16.85,5068.87,4225.46,10014.97,3856.08,6.89,201.27,506.21,3.37,18.94,3516.92,4736.50,5244.01,1327.67,19380.75,16579.49,6390.27,10.29,220.94,6660.98,1.44,0.23,0.13,1.50,-0.75,-0.34,2.08,0.79,0.36,0.69,0.29,0.37,211.15,213.60,211.49,121.63,123.58,123.30,14.71,5.86,3.10
"2015-06-24 04:45:00",0,0,0,18677.28,23763.57,5086.29,18097.10,714.38,3539.24,11308.34,21904.54,21910.06,5.53,9.88,5.63,11.37,0.87,211.99,122.79,31.10,60.01,7.25,4.06,8.36,13.21,6.16,14.57,0,-1.93,0,16533.45,3952.86,3277.26,0.57,16.85,5068.87,4225.83,10015.09,3856.18,6.89,201.27,506.21,3.37,18.94,3516.93,4736.50,5244.12,1327.73,19381.41,16579.80,6390.55,10.29,220.94,6660.98,4.28,2.62,2.97,2.24,1.86,1.53,4.83,3.22,3.34,0.89,0.82,0.89,211.15,213.26,211.55,121.70,123.35,123.33,40.17,25.83,27.30
"2015-06-24 05:00:00",0,0,0,18678.51,23764.80,5086.29,18097.89,714.38,3539.24,11308.42,21905.98,21911.51,5.53,2.08,1.16,2.38,0.87,213.68,123.77,8.49,60.01,5.07,2.53,5.75,13.21,6.16,14.57,0,-1.93,0,16534.06,3953.17,3277.57,0.57,16.85,5068.87,4226.25,10015.31,3856.33,6.89,201.27,506.21,3.37,18.94,3516.93,4736.50,5244.15,1327.78,19382.16,16580.22,6390.93,10.29,220.94,6660.99,1.38,0.53,0.14,1.19,0.71,-0.40,1.82,0.89,0.43,0.79,0.74,0.47,212.82,215.03,213.18,122.72,124.33,124.26,14.86,7.16,3.44
"2015-06-24 05:15:00",0,0,0,18679.93,23766.22,5086.29,18098.79,714.38,3539.24,11308.49,21907.63,21913.15,5.53,10.18,5.66,11.83,0.84,213.79,123.84,31.38,60.01,3.76,2.14,4.41,13.21,6.16,14.57,0,-1.93,0,16534.73,3953.56,3277.93,0.57,16.85,5068.87,4226.70,10015.58,3856.51,6.89,201.27,506.21,3.37,18.94,3516.93,4736.50,5244.17,1327.82,19382.97,16580.71,6391.36,10.29,220.94,6660.99,4.18,2.97,3.03,2.42,1.72,1.53,4.82,3.43,3.39,0.87,0.87,0.89,213.03,215.13,213.53,122.87,124.60,124.23,40.28,28.00,27.58
"2015-06-24 05:30:00",0,0,0,18680.61,23766.90,5086.29,18099.31,714.38,3539.24,11308.60,21908.44,21913.96,5.53,1.93,1.29,2.32,0.83,215.35,124.75,8.12,60.02,6.38,3.81,7.47,13.21,6.16,14.57,0,-1.93,0,16535.15,3953.72,3278.03,0.57,16.85,5068.87,4227.03,10015.73,3856.55,6.89,201.27,506.21,3.37,18.94,3516.93,4736.50,5244.20,1327.90,19383.51,16580.96,6391.53,10.29,220.94,6660.99,1.47,0.33,0.12,1.26,0.40,-0.37,1.94,0.52,0.39,0.76,0.64,0.32,214.56,216.47,215.02,123.90,125.17,125.17,15.67,5.52,3.16
"2015-06-24 05:45:00",0,0,0,18682.23,23768.52,5086.29,18100.33,714.38,3539.24,11308.65,21910.34,21915.86,5.53,2.13,1.72,2.73,0.78,215.74,124.98,8.18,60.04,2.54,1.46,2.98,13.21,6.16,14.57,0,-1.93,0,16535.90,3954.16,3278.46,0.57,16.85,5068.87,4227.53,10016.03,3856.77,6.89,201.27,506.21,3.37,18.94,3516.93,4736.50,5244.22,1327.94,19384.41,16581.51,6392.04,10.29,220.94,6660.99,1.59,0.37,0.17,1.24,0.83,-0.34,2.02,0.90,0.38,0.79,0.41,0.44,214.92,216.89,215.41,123.98,125.67,125.28,16.26,5.07,3.20
"2015-06-24 06:00:00",0,0,0,18683.30,23769.59,5086.29,18101.00,714.38,3539.24,11308.81,21911.54,21917.07,5.53,10.18,5.81,11.72,0.87,214.02,123.98,31.79,59.93,5.95,3.52,6.95,13.21,6.16,14.57,0,-1.93,0,16536.48,3954.40,3278.71,0.57,16.85,5068.87,4227.94,10016.18,3856.88,6.89,201.27,506.21,3.37,18.94,3516.93,4736.50,5244.31,1328.00,19385.13,16581.87,6392.36,10.29,220.94,6660.99,4.22,2.69,3.28,2.62,1.83,1.49,4.96,3.25,3.60,0.86,0.82,0.92,213.31,215.23,213.52,123.08,124.57,124.28,40.33,26.09,28.97
