time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kWh)","Accumulated Real Energy, Phase B, Import (kWh)","Accumulated Real Energy, Phase C, Import (kWh)","Accumulated Real Energy, Phase A, Export (kWh)","Accumulated Real Energy, Phase B, Export (kWh)","Accumulated Real Energy, Phase C, Export (kWh)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-06-24 10:30:00",0,0,0,18696.61,23782.90,5086.29,18109.01,714.38,3539.25,11312.42,21925.96,21931.48,5.53,1.70,0.59,1.80,0.94,215.38,124.75,7.22,59.95,2.07,1.04,2.38,13.21,6.16,14.57,0,-1.93,0,16544.72,3957.78,3280.40,0.57,16.85,5068.87,4234.41,10017.64,3856.96,6.89,201.27,506.21,3.37,18.94,3516.94,4736.50,5245.88,1330.05,19395.64,16586.70,6395.22,10.29,220.94,6660.99,1.43,0.15,0.13,1.30,-0.35,-0.36,1.93,0.38,0.38,0.74,0.39,0.34,214.68,215.97,215.48,123.89,125.24,125.11,15.42,3.26,2.98
"2015-06-24 10:45:00",0,0,0,18697.05,23783.34,5086.29,18109.33,714.38,3539.25,11312.65,21926.41,21931.94,5.53,1.94,1.30,2.34,0.83,213.99,123.95,7.78,59.99,1.85,0.39,1.91,13.21,6.16,14.57,0,-1.93,0,16545.08,3957.82,3280.43,0.57,16.85,5068.87,4234.72,10017.65,3856.96,6.89,201.27,506.21,3.37,18.94,3516.94,4736.50,5246.02,1330.14,19396.12,16586.86,6395.31,10.29,220.94,6660.99,1.42,0.38,0.13,1.21,0.42,-0.33,1.87,0.57,0.36,0.76,0.67,0.37,213.19,214.96,213.81,123.16,124.44,124.24,15.38,5.05,2.92
"2015-06-24 11:00:00",0,0,0,18697.55,23783.84,5086.29,18109.76,714.38,3539.25,11312.77,21927.01,21932.53,5.53,1.98,1.24,2.34,0.85,213.89,123.89,7.87,59.95,1.78,0.51,1.90,13.21,6.16,14.57,0,-1.93,0,16545.45,3957.93,3280.47,0.57,16.85,5068.87,4235.04,10017.76,3856.96,6.89,201.27,506.21,3.37,18.94,3516.94,4736.50,5246.05,1330.23,19396.60,16587.04,6395.41,10.29,220.94,6660.99,1.39,0.37,0.16,1.26,0.52,-0.36,1.88,0.64,0.40,0.76,0.72,0.44,213.19,214.77,213.70,123.02,124.45,124.18,15.27,5.13,3.20
"2015-06-24 11:15:00",0,0,0,18698.40,23784.69,5086.29,18110.38,714.38,3539.25,11312.80,21928.04,21933.57,5.53,3.55,2.88,4.58,0.78,213.22,123.50,12.56,60.01,2.20,1.36,2.63,13.21,6.16,14.57,0,-1.93,0,16546.05,3958.04,3280.60,0.57,16.85,5068.87,4235.37,10017.87,3857.15,6.89,201.27,506.21,3.37,18.94,3516.94,4736.50,5246.08,1330.23,19397.29,16587.21,6395.64,10.29,220.94,6660.99,2.47,0.57,0.54,1.25,0.74,0.77,2.76,0.94,0.94,0.89,0.61,0.58,212.71,214.11,213.04,122.85,124.17,123.60,22.80,5.94,7.61
"2015-06-24 11:30:00",0,0,0,18699.28,23785.56,5086.29,18111.03,714.38,3539.25,11312.83,21929.12,21934.65,5.53,3.51,1.44,3.80,0.93,213.94,123.92,11.92,59.98,3.43,2.40,4.21,13.21,6.16,14.57,0,-1.93,0,16546.69,3958.14,3280.74,0.57,16.85,5068.87,4235.71,10017.98,3857.34,6.89,201.27,506.21,3.37,18.94,3516.94,4736.50,5246.11,1330.23,19398.01,16587.39,6395.88,10.29,220.94,6660.99,2.59,0.37,0.55,1.34,-0.67,0.77,2.92,0.77,0.94,0.89,0.49,0.58,213.38,214.92,213.53,123.10,124.54,124.12,23.81,4.50,7.45
"2015-06-24 11:45:00",0,0,0,18700.16,23786.45,5086.29,18111.65,714.38,3539.25,11312.88,21930.18,21935.71,5.53,3.36,1.16,3.56,0.95,214.02,123.97,12.61,60.02,3.52,2.46,4.31,13.21,6.16,14.57,0,-1.93,0,16547.33,3958.24,3280.88,0.57,16.85,5068.87,4236.05,10018.08,3857.53,6.89,201.27,506.21,3.37,18.94,3516.94,4736.50,5246.15,1330.23,19398.74,16587.57,6396.11,10.29,220.94,6660.99,2.64,0.18,0.54,1.08,-0.72,0.79,2.85,0.74,0.96,0.93,0.25,0.56,213.41,215.01,213.63,123.10,124.66,124.16,24.23,5.81,7.77
"2015-06-24 12:00:00",0,0,0,18700.92,23787.21,5086.29,18112.17,714.38,3539.25,11313.03,21931.04,21936.56,5.53,2.87,1.05,3.05,0.94,212.74,123.24,10.69,59.97,3.47,2.18,4.13,13.21,6.16,14.57,0,-1.93,0,16547.94,3958.28,3281.00,0.57,16.85,5068.87,4236.38,10018.08,3857.72,6.89,201.27,506.21,3.37,18.94,3516.94,4736.50,5246.30,1330.23,19399.43,16587.72,6396.33,10.29,220.94,6660.99,2.19,0.20,0.47,1.13,-0.80,0.72,2.46,0.83,0.86,0.89,0.24,0.55,212.22,213.70,212.30,122.53,123.90,123.29,20.32,4.90,6.85
"2015-06-24 12:15:00",0,0,0,18701.64,23787.93,5086.29,18112.67,714.38,3539.25,11313.14,21931.87,21937.39,5.53,1.79,2.38,2.98,0.60,214.21,124.10,8.32,60.01,3.20,1.48,3.54,13.21,6.16,14.57,0,-1.93,0,16548.41,3958.38,3281.15,0.57,16.85,5068.87,4236.67,10018.13,3857.87,6.89,201.27,506.21,3.37,18.94,3516.94,4736.50,5246.41,1330.24,19399.98,16587.92,6396.58,10.29,220.94,6660.99,1.04,0.36,0.39,1.10,0.65,0.75,1.51,0.74,0.84,0.69,0.48,0.47,213.37,215.48,214.31,123.72,124.40,124.49,12.22,6.68,6.71
"2015-06-24 12:30:00",0,0,0,18702.10,23788.39,5086.29,18113.26,714.38,3539.25,11313.16,21932.61,21938.13,5.53,1.82,2.43,3.04,0.60,212.71,123.23,8.34,59.93,2.55,1.65,3.12,13.21,6.16,14.57,0,-1.93,0,16548.67,3958.47,3281.25,0.57,16.85,5068.87,4236.94,10018.26,3858.06,6.89,201.27,506.21,3.37,18.94,3516.94,4736.50,5246.42,1330.24,19400.36,16588.10,6396.79,10.29,220.94,6660.99,0.99,0.51,0.32,1.04,0.74,0.66,1.43,0.90,0.73,0.69,0.57,0.44,212.31,213.33,212.48,122.87,123.75,123.06,11.79,7.27,5.95
"2015-06-24 12:45:00",0,0,0,18702.53,23788.82,5086.29,18113.83,714.38,3539.25,11313.17,21933.32,21938.84,5.53,2.07,2.16,3.00,0.69,212.49,123.10,8.42,60.01,1.83,2.28,2.94,13.21,6.16,14.57,0,-1.93,0,16548.92,3958.57,3281.33,0.57,16.85,5068.87,4237.20,10018.40,3858.23,6.89,201.27,506.21,3.37,18.94,3516.94,4736.50,5246.43,1330.24,19400.73,16588.28,6396.98,10.29,220.94,6660.99,1.17,0.52,0.39,0.80,0.73,0.63,1.41,0.89,0.74,0.82,0.58,0.52,211.89,213.39,212.18,122.59,123.62,123.09,13.82,5.35,6.09
