time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kWh)","Accumulated Real Energy, Phase B, Import (kWh)","Accumulated Real Energy, Phase C, Import (kWh)","Accumulated Real Energy, Phase A, Export (kWh)","Accumulated Real Energy, Phase B, Export (kWh)","Accumulated Real Energy, Phase C, Export (kWh)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-06-24 17:15:00",0,0,0,18706.42,23792.71,5086.29,18119.47,714.38,3539.26,11315.56,21939.02,21944.54,5.53,0.87,1.22,1.50,0.58,211.78,122.66,5.38,60.01,0.72,0.85,1.22,13.21,6.16,14.57,0,-1.93,0,16550.46,3960.08,3282.17,0.57,16.85,5068.87,4240.98,10020.17,3858.33,6.90,201.27,506.21,3.37,18.94,3516.94,4736.58,5247.36,1331.62,19404.96,16591.47,6398.74,10.29,220.94,6661.00,0.37,0.34,0.16,0.80,0.69,-0.29,0.88,0.77,0.33,0.42,0.45,0.48,211.09,212.36,211.56,122.25,122.82,122.75,6.89,6.52,2.66
"2015-06-24 17:30:00",0,0,0,18706.85,23793.14,5086.29,18119.90,714.38,3539.26,11315.64,21939.58,21945.11,5.53,9.67,5.39,11.07,0.87,208.70,120.88,30.45,59.95,0.84,0.83,1.27,13.21,6.16,14.57,0,-1.93,0,16550.62,3960.24,3282.28,0.57,16.85,5068.87,4241.20,10020.33,3858.37,6.90,201.27,506.21,3.37,18.94,3516.94,4736.58,5247.37,1331.69,19405.25,16591.71,6398.90,10.29,220.94,6661.00,3.29,3.14,3.24,2.02,1.79,1.59,3.86,3.61,3.61,0.85,0.87,0.90,208.22,209.64,208.23,120.34,121.09,121.22,31.84,29.95,29.57
"2015-06-24 17:45:00",0,0,0,18707.67,23793.96,5086.29,18120.47,714.38,3539.26,11315.75,21940.55,21946.08,5.53,0.40,0.13,0.42,0.95,211.43,122.46,4.17,59.98,3.02,2.03,3.71,13.21,6.16,14.57,0,-1.93,0,16550.92,3960.51,3282.53,0.57,16.85,5068.87,4241.49,10020.50,3858.49,6.90,201.27,506.21,3.37,18.94,3516.94,4736.58,5247.44,1331.73,19405.68,16592.10,6399.21,10.29,220.94,6661.00,0.20,0.11,0.09,0.75,-0.34,-0.28,0.78,0.36,0.30,0.26,0.30,0.31,210.69,212.21,211.40,122.10,122.90,122.39,6.41,3.78,2.32
"2015-06-24 18:00:00",0,0,0,18707.79,23794.08,5086.29,18120.67,714.38,3539.26,11315.96,21940.71,21946.24,5.53,0.39,-1.34,1.39,0.28,209.59,121.39,3.67,60.01,1.92,1.05,2.34,13.21,6.16,14.57,0,-1.93,0,16550.97,3960.54,3282.56,0.57,16.85,5068.87,4241.66,10020.52,3858.49,6.90,201.27,506.21,3.37,18.94,3516.94,4736.59,5247.57,1331.80,19405.87,16592.25,6399.29,10.30,220.94,6661.00,0.24,0.09,0.06,-0.62,-0.45,-0.27,0.66,0.45,0.28,0.36,0.19,0.22,209.18,210.57,209.01,120.86,121.97,121.34,5.57,3.24,2.21
"2015-06-24 18:15:00",0,0,0,18707.94,23794.23,5086.29,18120.90,714.38,3539.27,11316.12,21940.93,21946.46,5.53,0.91,1.12,1.44,0.63,209.99,121.62,5.13,59.95,0.46,-0.08,0.64,13.21,6.16,14.57,0,-1.93,0,16551.03,3960.61,3282.60,0.57,16.85,5068.87,4241.83,10020.58,3858.49,6.90,201.27,506.21,3.38,18.94,3516.95,4736.60,5247.64,1331.87,19406.06,16592.41,6399.37,10.30,220.94,6661.00,0.25,0.52,0.15,0.75,0.58,-0.27,0.79,0.78,0.30,0.32,0.66,0.49,209.31,210.74,209.91,121.39,121.60,121.86,6.70,5.03,2.66
"2015-06-24 18:30:00",0,0,0,18708.12,23794.41,5086.29,18121.22,714.38,3539.27,11316.21,21941.24,21946.77,5.53,0.60,0.97,1.00,0.61,209.71,121.47,4.55,60.01,0.63,0.41,0.96,13.21,6.16,14.57,0,-1.93,0,16551.08,3960.70,3282.63,0.57,16.85,5068.87,4242.02,10020.72,3858.49,6.90,201.27,506.21,3.38,18.94,3516.95,4736.60,5247.66,1331.95,19406.26,16592.59,6399.45,10.30,220.94,6661.00,0.20,0.29,0.11,0.76,0.49,-0.28,0.78,0.57,0.30,0.25,0.51,0.38,209.30,210.38,209.38,121.14,121.83,121.38,6.71,4.13,2.64
"2015-06-24 18:45:00",0,0,0,18709.18,23795.47,5086.29,18121.95,714.38,3539.27,11316.26,21942.53,21948.05,5.53,0.80,0.98,1.27,0.63,209.96,121.60,5.45,60.01,0.72,0.95,1.23,13.21,6.16,14.57,0,-1.93,0,16551.45,3961.06,3282.96,0.57,16.85,5068.87,4242.33,10020.97,3858.64,6.90,201.27,506.21,3.38,18.94,3516.95,4736.60,5247.66,1331.99,19406.76,16593.05,6399.84,10.30,220.94,6661.00,0.35,0.30,0.15,0.77,0.52,-0.30,0.84,0.60,0.34,0.42,0.50,0.44,209.35,210.85,209.67,121.45,121.87,121.48,7.20,6.41,2.73
"2015-06-24 19:00:00",0,0,0,18709.39,23795.68,5086.29,18122.29,714.38,3539.27,11316.35,21942.86,21948.39,5.53,0.74,0.92,1.18,0.62,210.17,121.72,4.64,59.96,4.28,2.71,5.15,13.21,6.16,14.57,0,-1.93,0,16551.54,3961.15,3282.99,0.57,16.85,5068.87,4242.55,10021.10,3858.64,6.90,201.27,506.21,3.38,18.94,3516.95,4736.60,5247.68,1332.07,19407.00,16593.22,6399.93,10.30,220.94,6661.00,0.32,0.30,0.11,0.89,0.33,-0.29,0.94,0.44,0.31,0.34,0.68,0.36,209.34,211.09,210.08,121.46,122.03,121.67,7.76,3.64,2.52
"2015-06-24 19:15:00",0,0,0,18709.57,23795.86,5086.29,18122.58,714.38,3539.27,11316.51,21943.12,21948.64,5.53,0.39,0.07,0.40,0.98,208.49,120.75,4.75,59.95,0.85,1.00,1.36,13.21,6.16,14.57,0,-1.93,0,16551.62,3961.22,3283.03,0.57,16.85,5068.87,4242.78,10021.17,3858.64,6.90,201.27,506.21,3.38,18.94,3516.95,4736.60,5247.76,1332.15,19407.23,16593.38,6400.01,10.30,220.94,6661.01,0.20,0.09,0.10,0.93,-0.46,-0.29,0.95,0.47,0.30,0.22,0.19,0.31,207.80,209.59,208.08,120.39,121.41,120.47,7.90,3.84,2.52
"2015-06-24 19:30:00",0,0,0,18710.52,23796.81,5086.29,18123.25,714.38,3539.27,11316.63,21944.23,21949.76,5.53,0.40,0.01,0.41,0.93,212.70,123.19,5.10,59.97,0.65,0.42,0.90,13.21,6.16,14.57,0,-1.93,0,16551.96,3961.51,3283.34,0.57,16.85,5068.87,4243.11,10021.34,3858.79,6.90,201.27,506.21,3.38,18.94,3516.95,4736.61,5247.83,1332.19,19407.74,16593.80,6400.40,10.30,220.94,6661.01,0.21,0.10,0.09,0.92,-0.60,-0.31,0.95,0.61,0.33,0.22,0.16,0.27,211.91,213.69,212.58,122.96,123.67,122.99,7.59,3.76,2.75
