time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kWh)","Accumulated Real Energy, Phase B, Import (kWh)","Accumulated Real Energy, Phase C, Import (kWh)","Accumulated Real Energy, Phase A, Export (kWh)","Accumulated Real Energy, Phase B, Export (kWh)","Accumulated Real Energy, Phase C, Export (kWh)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-06-24 20:30:00",0,0,0,18712.19,23798.48,5086.29,18125.06,714.38,3539.27,11317.08,21946.50,21952.03,5.53,0.95,1.44,1.62,0.59,210.97,122.18,6.17,60.02,0.88,1.12,1.47,13.21,6.16,14.57,0,-1.93,0,16552.51,3962.16,3283.81,0.57,16.85,5068.87,4244.18,10021.95,3858.94,6.90,201.27,506.21,3.38,18.94,3516.95,4736.61,5247.95,1332.52,19409.01,16594.81,6401.11,10.30,220.94,6661.01,0.31,0.49,0.15,1.05,0.68,-0.29,1.10,0.83,0.33,0.28,0.58,0.47,210.27,211.92,210.75,121.99,122.62,121.96,8.22,6.39,2.86
"2015-06-24 20:45:00",0,0,0,18713.08,23799.37,5086.29,18125.71,714.38,3539.27,11317.20,21947.56,21953.09,5.53,0.53,0.05,0.53,1.00,211.21,122.33,4.75,59.95,1.06,1.16,1.63,13.21,6.16,14.57,0,-1.93,0,16552.82,3962.45,3284.10,0.57,16.85,5068.87,4244.50,10022.13,3859.08,6.90,201.27,506.21,3.38,18.94,3516.95,4736.61,5248.02,1332.57,19409.48,16595.22,6401.47,10.30,220.94,6661.01,0.25,0.14,0.14,0.94,-0.60,-0.29,0.97,0.61,0.32,0.26,0.23,0.42,210.49,212.65,210.50,121.78,122.62,122.58,7.94,3.81,2.52
"2015-06-24 21:00:00",0,0,0,18713.19,23799.48,5086.29,18125.95,714.38,3539.27,11317.42,21947.70,21953.23,5.53,0.41,0.02,0.41,1.00,211.94,122.75,4.84,60.01,3.28,1.87,3.90,13.21,6.16,14.57,0,-1.93,0,16552.87,3962.48,3284.13,0.57,16.85,5068.87,4244.73,10022.14,3859.08,6.90,201.27,506.21,3.38,18.94,3516.95,4736.61,5248.16,1332.65,19409.72,16595.37,6401.55,10.30,220.94,6661.01,0.19,0.14,0.08,1.06,-0.73,-0.31,1.07,0.74,0.32,0.17,0.19,0.26,211.18,213.23,211.41,122.14,123.27,122.82,7.95,4.09,2.47
"2015-06-24 21:15:00",0,0,0,18714.06,23800.36,5086.29,18126.61,714.38,3539.27,11317.51,21948.76,21954.29,5.53,0.73,1.24,1.43,0.51,210.68,122.01,5.79,59.99,0.46,0.12,0.56,13.21,6.16,14.57,0,-1.93,0,16553.16,3962.78,3284.41,0.57,16.85,5068.87,4245.06,10022.34,3859.21,6.90,201.27,506.21,3.38,18.94,3516.95,4736.61,5248.20,1332.70,19410.19,16595.77,6401.90,10.30,220.94,6661.01,0.22,0.37,0.14,0.96,0.63,-0.35,0.99,0.73,0.38,0.22,0.51,0.37,209.92,211.97,210.14,121.59,122.22,122.23,7.91,6.58,2.88
"2015-06-24 21:30:00",0,0,0,18714.27,23800.56,5086.29,18126.97,714.38,3539.27,11317.62,21949.11,21954.63,5.53,0.77,0.92,1.20,0.64,212.98,123.34,5.11,60.01,3.52,2.34,4.34,13.21,6.16,14.57,0,-1.93,0,16553.24,3962.87,3284.44,0.57,16.85,5068.87,4245.30,10022.47,3859.21,6.90,201.27,506.21,3.38,18.94,3516.95,4736.61,5248.22,1332.78,19410.44,16595.95,6401.99,10.30,220.94,6661.01,0.31,0.30,0.16,1.02,0.32,-0.34,1.07,0.44,0.38,0.29,0.68,0.43,212.49,213.85,212.62,122.87,123.69,123.48,8.89,3.71,3.10
"2015-06-24 21:45:00",0,0,0,18715.21,23801.50,5086.29,18127.67,714.38,3539.27,11317.69,21950.26,21955.79,5.53,1.47,2.42,2.84,0.52,211.98,122.77,7.84,60.02,0.84,1.07,1.41,13.21,6.16,14.57,0,-1.93,0,16553.57,3963.19,3284.73,0.57,16.85,5068.87,4245.63,10022.71,3859.34,6.90,201.27,506.21,3.38,18.94,3516.95,4736.61,5248.24,1332.84,19410.94,16596.37,6402.34,10.30,220.94,6661.01,0.56,0.55,0.36,0.95,0.92,0.54,1.11,1.07,0.65,0.51,0.51,0.55,211.21,213.05,211.69,122.49,122.84,122.98,9.09,9.21,5.22
"2015-06-24 22:00:00",0,0,0,18715.42,23801.71,5086.29,18128.03,714.38,3539.27,11317.80,21950.61,21956.14,5.53,0.65,0.91,1.12,0.58,210.90,122.14,4.88,60.01,3.78,2.53,4.66,13.21,6.16,14.57,0,-1.93,0,16553.65,3963.29,3284.77,0.57,16.85,5068.87,4245.86,10022.82,3859.34,6.90,201.27,506.21,3.38,18.94,3516.95,4736.61,5248.27,1332.92,19411.19,16596.55,6402.44,10.30,220.94,6661.01,0.03,0.53,0.09,0.83,0.41,-0.33,0.83,0.67,0.34,0.03,0.79,0.26,210.38,211.82,210.48,121.89,122.44,122.09,6.27,5.59,2.77
"2015-06-24 22:15:00",0,0,0,18716.35,23802.64,5086.29,18128.68,714.39,3539.27,11317.91,21951.73,21957.25,5.53,1.22,2.17,2.49,0.49,209.66,121.43,6.43,60.02,0.82,0.94,1.35,13.21,6.16,14.57,0,-1.93,0,16553.97,3963.60,3285.07,0.57,16.85,5068.87,4246.18,10023.02,3859.48,6.90,201.27,506.21,3.38,18.94,3516.95,4736.62,5248.32,1332.97,19411.67,16596.96,6402.80,10.30,220.94,6661.01,0.56,0.30,0.36,1.02,0.57,0.57,1.16,0.65,0.68,0.48,0.46,0.54,209.51,210.61,208.86,120.93,122.07,121.28,9.37,5.09,4.84
"2015-06-24 22:30:00",0,0,0,18716.48,23802.78,5086.29,18128.94,714.39,3539.27,11318.11,21951.91,21957.43,5.53,0.47,-0.14,0.49,0.96,211.36,122.41,4.95,60.02,3.70,2.21,4.47,13.21,6.16,14.57,0,-1.93,0,16554.03,3963.64,3285.11,0.57,16.85,5068.87,4246.41,10023.05,3859.48,6.90,201.27,506.21,3.38,18.94,3516.95,4736.62,5248.44,1333.04,19411.91,16597.12,6402.90,10.30,220.94,6661.01,0.21,0.14,0.13,0.89,-0.68,-0.36,0.92,0.69,0.38,0.23,0.20,0.33,210.83,212.27,210.97,121.85,122.85,122.52,7.44,4.42,2.98
"2015-06-24 22:45:00",0,0,0,18717.27,23803.56,5086.29,18129.52,714.39,3539.27,11318.24,21952.84,21958.36,5.53,10.21,5.53,11.61,0.88,209.94,121.59,31.91,59.98,0.50,0.11,0.59,13.21,6.16,14.57,0,-1.93,0,16554.29,3963.91,3285.36,0.57,16.85,5068.87,4246.72,10023.22,3859.59,6.90,201.27,506.21,3.38,18.94,3516.95,4736.62,5248.51,1333.10,19412.35,16597.49,6403.21,10.30,220.94,6661.01,3.42,3.33,3.42,2.09,1.89,1.68,4.00,3.83,3.80,0.86,0.86,0.91,209.31,211.32,209.20,121.01,122.00,121.74,33.08,31.39,31.25
