time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kWh)","Accumulated Real Energy, Phase B, Import (kWh)","Accumulated Real Energy, Phase C, Import (kWh)","Accumulated Real Energy, Phase A, Export (kWh)","Accumulated Real Energy, Phase B, Export (kWh)","Accumulated Real Energy, Phase C, Export (kWh)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-06-25 00:00:00",0,0,0,18722.54,23808.84,5086.29,18132.29,714.39,3539.27,11319.23,21958.60,21964.12,5.53,3.91,0.80,4.00,0.98,211.57,122.52,13.89,60.02,6.31,2.26,6.78,13.21,6.16,14.57,0,-1.93,0,16555.88,3965.96,3287.00,0.57,16.85,5068.87,4248.38,10024.08,3859.83,6.90,201.27,506.21,3.38,18.94,3516.95,4736.64,5248.90,1333.69,19414.75,16599.96,6405.11,10.31,220.94,6661.01,0.37,1.71,1.83,0.93,1.04,-1.16,1.00,2.00,2.17,0.37,0.86,0.84,210.94,212.52,211.24,121.63,122.96,122.98,8.28,16.06,17.34
"2015-06-25 00:15:00",0,0,0,18723.69,23809.98,5086.29,18133.00,714.39,3539.27,11319.34,21959.93,21965.45,5.53,5.53,0.34,5.54,1.00,212.45,123.04,18.26,60.02,2.59,0.50,2.71,13.21,6.16,14.57,0,-1.93,0,16556.21,3966.34,3287.43,0.57,16.85,5068.87,4248.70,10024.34,3859.96,6.90,201.27,506.21,3.38,18.94,3516.95,4736.64,5248.91,1333.78,19415.25,16600.44,6405.60,10.31,220.94,6661.01,2.66,2.38,0.49,2.07,-1.31,-0.41,3.37,2.72,0.64,0.79,0.88,0.77,211.08,214.49,211.78,121.73,123.72,123.67,27.45,22.10,5.24
"2015-06-25 00:30:00",0,0,0,18725.01,23811.30,5086.29,18133.49,714.39,3539.27,11319.75,21961.25,21966.77,5.53,3.06,0.25,3.07,1.00,211.68,122.60,11.46,60.01,4.76,2.35,5.47,13.21,6.16,14.57,0,-1.93,0,16556.86,3966.92,3287.52,0.57,16.85,5068.87,4249.20,10024.34,3859.96,6.90,201.27,506.21,3.38,18.94,3516.95,4736.64,5249.22,1333.89,19416.07,16601.09,6405.74,10.31,220.94,6661.01,1.64,1.31,0.12,1.52,-0.92,-0.35,2.23,1.60,0.37,0.73,0.82,0.32,210.99,213.09,210.95,121.52,123.57,122.71,18.38,12.96,3.04
"2015-06-25 00:45:00",0,0,0,18726.73,23813.02,5086.29,18134.30,714.39,3539.27,11319.97,21963.10,21968.63,5.53,1.08,1.11,1.55,0.70,214.75,124.38,6.02,59.96,5.17,0.33,5.18,13.21,6.16,14.57,0,-1.93,0,16557.62,3967.59,3287.81,0.57,16.85,5068.87,4249.77,10024.45,3860.09,6.90,201.27,506.21,3.38,18.94,3516.95,4736.64,5249.38,1333.95,19417.02,16601.83,6406.09,10.31,220.94,6661.01,0.62,0.31,0.15,1.08,0.39,-0.36,1.25,0.50,0.39,0.50,0.63,0.38,213.70,216.09,214.47,123.47,124.73,124.94,10.17,4.82,3.06
"2015-06-25 01:00:00",0,0,0,18727.25,23813.54,5086.29,18134.69,714.39,3539.27,11320.16,21963.70,21969.22,5.53,1.35,1.21,2.20,0.60,215.81,125.00,6.39,60.02,6.53,2.43,7.12,13.21,6.16,14.57,0,-1.93,0,16557.87,3967.79,3287.88,0.57,16.85,5068.87,4250.09,10024.52,3860.09,6.90,201.27,506.21,3.38,18.94,3516.95,4736.64,5249.47,1334.04,19417.44,16602.10,6406.21,10.31,220.94,6661.01,0.23,0.56,0.55,0.97,0.53,-0.30,1.00,0.77,0.63,0.23,0.72,0.88,214.78,216.70,215.54,124.33,125.46,124.95,8.00,5.61,5.52
"2015-06-25 01:15:00",0,0,0,18727.97,23814.26,5086.29,18135.25,714.39,3539.27,11320.28,21964.59,21970.11,5.53,9.53,5.83,11.17,0.85,213.81,123.84,29.92,60.02,1.98,0.85,2.31,13.21,6.16,14.57,0,-1.93,0,16558.08,3968.07,3288.12,0.57,16.85,5068.87,4250.36,10024.72,3860.17,6.91,201.27,506.21,3.38,18.94,3516.95,4736.66,5249.49,1334.12,19417.82,16602.46,6406.51,10.31,220.94,6661.01,3.13,3.25,3.15,2.05,1.92,1.85,3.74,3.77,3.65,0.84,0.86,0.86,213.16,214.79,213.48,123.21,124.37,123.93,30.70,30.33,28.72
"2015-06-25 01:30:00",0,0,0,18728.41,23814.71,5086.29,18135.73,714.39,3539.27,11320.39,21965.23,21970.75,5.53,0.73,0.93,1.18,0.62,214.18,124.05,5.72,60.02,3.76,2.35,4.58,13.21,6.16,14.57,0,-1.93,0,16558.21,3968.24,3288.25,0.57,16.85,5068.87,4250.62,10024.89,3860.22,6.91,201.27,506.21,3.38,18.94,3516.95,4736.68,5249.52,1334.19,19418.15,16602.72,6406.71,10.31,220.94,6661.01,0.26,0.30,0.17,0.90,0.35,-0.33,0.94,0.46,0.37,0.28,0.66,0.46,213.53,215.06,213.94,123.46,124.61,124.07,8.70,5.46,3.00
"2015-06-25 01:45:00",0,0,0,18728.61,23814.91,5086.29,18136.08,714.40,3539.27,11320.52,21965.58,21971.10,5.53,0.74,1.30,1.50,0.49,214.42,124.20,5.47,60.03,0.76,0.87,1.42,13.21,6.16,14.57,0,-1.93,0,16558.29,3968.33,3288.29,0.57,16.85,5068.87,4250.86,10025.00,3860.22,6.91,201.27,506.21,3.38,18.94,3516.95,4736.70,5249.55,1334.27,19418.41,16602.89,6406.80,10.31,220.94,6661.01,0.38,0.27,0.09,1.01,0.63,-0.33,1.08,0.69,0.34,0.35,0.39,0.25,213.70,215.71,213.84,123.39,124.81,124.39,8.64,4.82,2.96
"2015-06-25 02:00:00",0,0,0,18730.00,23816.29,5086.29,18136.93,714.40,3539.28,11320.59,21967.19,21972.71,5.53,10.59,5.57,11.96,0.89,212.61,123.15,32.55,60.02,0.81,0.90,1.40,13.21,6.16,14.57,0,-1.93,0,16558.82,3968.73,3288.74,0.57,16.85,5068.87,4251.23,10025.28,3860.41,6.91,201.27,506.21,3.38,18.94,3516.95,4736.70,5249.57,1334.32,19419.10,16603.40,6407.32,10.31,220.94,6661.01,4.09,2.96,3.60,1.75,2.12,1.61,4.44,3.64,3.94,0.92,0.81,0.91,212.32,213.88,211.87,122.25,123.93,123.41,37.70,28.24,31.82
"2015-06-25 02:15:00",0,0,0,18732.73,23819.03,5086.29,18138.32,714.40,3539.28,11320.59,21970.26,21975.79,5.53,11.07,5.72,12.46,0.89,212.94,123.35,33.75,60.01,7.03,3.76,8.05,13.21,6.16,14.57,0,-1.93,0,16559.83,3969.49,3289.71,0.57,16.85,5068.87,4251.75,10025.75,3860.82,6.91,201.27,506.21,3.38,18.94,3516.95,4736.70,5249.57,1334.32,19420.24,16604.29,6408.38,10.31,220.94,6661.01,4.03,3.11,3.92,2.18,1.94,1.60,4.58,3.67,4.23,0.88,0.85,0.93,212.46,214.09,212.28,122.89,123.80,123.36,37.29,29.64,34.32
