time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kWh)","Accumulated Real Energy, Phase B, Import (kWh)","Accumulated Real Energy, Phase C, Import (kWh)","Accumulated Real Energy, Phase A, Export (kWh)","Accumulated Real Energy, Phase B, Export (kWh)","Accumulated Real Energy, Phase C, Export (kWh)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-06-25 03:15:00",0,0,0,18741.22,23827.52,5086.29,18142.80,714.40,3539.28,11320.88,21979.80,21985.33,5.53,11.18,7.01,13.19,0.85,214.17,124.06,34.33,60.02,10.75,5.56,12.13,13.21,6.16,14.57,0,-1.93,0,16563.53,3971.62,3292.37,0.57,16.85,5068.87,4253.73,10027.13,3861.95,6.91,201.27,506.21,3.38,18.94,3516.95,4736.70,5249.68,1334.50,19424.45,16606.93,6411.37,10.31,220.94,6661.01,4.87,2.96,3.35,3.23,1.82,1.96,5.84,3.47,3.88,0.83,0.85,0.86,213.26,215.47,213.79,122.96,124.36,124.87,44.64,28.42,29.92
"2015-06-25 03:30:00",0,0,0,18743.79,23830.08,5086.29,18144.15,714.40,3539.28,11320.91,21982.70,21988.22,5.53,3.32,1.78,3.77,0.88,214.28,124.12,11.09,60.02,7.57,3.52,8.44,13.21,6.16,14.57,0,-1.93,0,16564.71,3972.28,3293.10,0.57,16.85,5068.87,4254.33,10027.54,3862.28,6.91,201.27,506.21,3.38,18.94,3516.95,4736.70,5249.69,1334.52,19425.78,16607.71,6412.19,10.31,220.94,6661.01,2.45,0.42,0.45,1.32,1.09,-0.64,2.78,1.17,0.78,0.88,0.36,0.58,213.42,215.71,213.69,122.66,124.78,124.91,22.69,4.54,6.04
"2015-06-25 03:45:00",0,0,0,18746.08,23832.37,5086.29,18145.28,714.40,3539.28,11320.97,21985.24,21990.76,5.53,11.46,5.98,12.92,0.89,212.91,123.32,35.03,60.01,9.11,4.52,10.23,13.21,6.16,14.57,0,-1.93,0,16565.75,3972.85,3293.77,0.57,16.85,5068.87,4254.86,10027.89,3862.53,6.91,201.27,506.21,3.38,18.94,3516.95,4736.70,5249.71,1334.56,19426.95,16608.39,6412.92,10.31,220.94,6661.01,4.95,3.18,3.33,2.79,1.74,1.44,5.68,3.63,3.62,0.87,0.88,0.92,212.08,214.44,212.20,122.00,123.98,123.99,45.51,29.97,29.60
"2015-06-25 04:00:00",0,0,0,18747.80,23834.10,5086.29,18146.20,714.40,3539.28,11321.10,21987.17,21992.70,5.53,10.39,5.50,11.76,0.88,213.96,123.94,32.14,60.01,10.25,5.02,11.45,13.21,6.16,14.57,0,-1.93,0,16566.67,3973.22,3294.22,0.57,16.85,5068.87,4255.34,10028.13,3862.74,6.91,201.27,506.21,3.38,18.95,3516.95,4736.70,5249.77,1334.63,19427.98,16608.89,6413.46,10.31,220.94,6661.01,4.13,2.79,3.42,2.43,1.77,1.77,4.79,3.31,3.84,0.89,0.85,0.90,213.17,215.30,213.40,122.66,124.80,124.36,39.03,26.50,30.90
"2015-06-25 04:15:00",0,0,0,18749.07,23835.37,5086.29,18146.96,714.40,3539.28,11321.22,21988.62,21994.15,5.53,1.65,0.56,1.74,0.95,215.08,124.59,7.47,60.00,6.76,3.14,7.61,13.21,6.16,14.57,0,-1.93,0,16567.29,3973.50,3294.58,0.57,16.85,5068.87,4255.76,10028.32,3862.88,6.91,201.27,506.21,3.38,18.95,3516.95,4736.70,5249.84,1334.67,19428.74,16609.29,6413.88,10.31,220.94,6661.01,1.28,0.23,0.13,1.51,-0.56,-0.39,1.98,0.61,0.41,0.65,0.38,0.33,214.15,216.30,214.79,123.40,125.11,125.27,13.32,5.98,3.10
"2015-06-25 04:30:00",0,0,0,18750.75,23837.04,5086.29,18147.98,714.40,3539.28,11321.29,21990.56,21996.09,5.53,2.01,0.13,2.01,1.00,213.46,123.65,7.91,60.02,3.81,1.73,4.30,13.21,6.16,14.57,0,-1.93,0,16568.04,3973.96,3295.04,0.57,16.85,5068.87,4256.25,10028.62,3863.12,6.91,201.27,506.21,3.38,18.95,3516.96,4736.70,5249.88,1334.70,19429.64,16609.87,6414.42,10.31,220.94,6661.01,1.42,0.40,0.19,1.08,-0.63,-0.33,1.79,0.74,0.38,0.80,0.53,0.50,212.52,214.98,212.88,122.50,124.27,124.17,15.04,5.65,3.04
"2015-06-25 04:45:00",0,0,0,18751.77,23838.06,5086.29,18148.66,714.40,3539.28,11321.39,21991.75,21997.28,5.53,10.16,6.36,11.98,0.85,214.65,124.33,32.01,59.96,6.72,3.92,7.84,13.21,6.16,14.57,0,-1.93,0,16568.59,3974.21,3295.26,0.57,16.85,5068.87,4256.64,10028.82,3863.21,6.91,201.27,506.21,3.38,18.95,3516.96,4736.70,5249.91,1334.77,19430.32,16610.22,6414.71,10.31,220.94,6661.01,4.34,2.84,3.15,2.79,1.87,1.22,5.15,3.39,3.37,0.85,0.83,0.86,213.83,216.04,214.08,123.16,124.86,124.98,41.85,27.19,26.98
"2015-06-25 05:00:00",0,0,0,18752.99,23839.28,5086.29,18149.46,714.40,3539.28,11321.47,21993.18,21998.70,5.53,2.24,1.47,2.68,0.84,215.75,124.98,8.31,60.01,5.31,3.07,6.18,13.21,6.16,14.57,0,-1.93,0,16569.21,3974.53,3295.54,0.57,16.85,5068.87,4257.06,10029.05,3863.35,6.91,201.27,506.21,3.38,18.95,3516.96,4736.70,5249.94,1334.83,19431.07,16610.64,6415.06,10.31,220.94,6661.01,1.60,0.54,0.14,1.23,0.43,-0.37,2.02,0.69,0.39,0.78,0.66,0.30,214.84,217.27,215.14,123.72,125.55,125.66,16.32,5.50,3.10
"2015-06-25 05:15:00",0,0,0,18754.33,23840.62,5086.29,18150.32,714.40,3539.28,11321.57,21994.73,22000.26,5.53,9.75,5.94,11.42,0.85,215.06,124.58,30.58,60.01,3.71,2.13,4.34,13.21,6.16,14.57,0,-1.93,0,16569.88,3974.86,3295.88,0.57,16.85,5068.87,4257.51,10029.28,3863.52,6.91,201.27,506.21,3.38,18.95,3516.96,4736.70,5249.98,1334.88,19431.88,16611.08,6415.48,10.31,220.94,6661.01,4.11,2.67,2.97,2.52,1.80,1.62,4.81,3.22,3.39,0.85,0.83,0.88,214.15,216.15,214.88,123.69,124.98,125.06,38.91,25.75,27.07
"2015-06-25 05:30:00",0,0,0,18755.06,23841.35,5086.29,18150.79,714.40,3539.28,11321.79,21995.53,22001.06,5.53,6.61,0.97,6.68,0.99,214.59,124.29,21.35,60.01,6.03,3.59,7.07,13.21,6.16,14.57,0,-1.93,0,16570.36,3974.99,3296.00,0.57,16.85,5068.87,4257.88,10029.34,3863.57,6.91,201.27,506.21,3.38,18.95,3516.96,4736.70,5250.12,1334.97,19432.48,16611.33,6415.67,10.31,220.94,6661.02,3.86,2.23,0.52,2.62,-1.21,-0.44,4.67,2.54,0.68,0.83,0.88,0.76,213.20,216.33,214.24,122.87,124.99,125.02,37.54,21.22,5.28
"2015-06-25 05:45:00",0,0,0,18757.62,23843.91,5086.29,18151.89,714.40,3539.28,11321.98,21998.27,22003.80,5.53,4.37,0.87,4.45,0.98,214.60,124.30,15.30,60.02,2.85,0.36,2.91,13.21,6.16,14.57,0,-1.93,0,16571.61,3975.85,3296.46,0.57,16.85,5068.87,4258.68,10029.46,3863.75,6.91,201.27,506.21,3.38,18.95,3516.96,4736.70,5250.27,1335.01,19433.97,16612.24,6416.19,10.31,220.94,6661.02,2.70,1.53,0.15,2.16,-0.94,-0.41,3.45,1.79,0.44,0.76,0.82,0.30,213.41,216.12,214.26,123.04,124.94,124.91,28.08,14.32,3.49
"2015-06-25 06:00:00",0,0,0,18759.07,23845.36,5086.29,18152.58,714.40,3539.28,11322.27,21999.80,22005.33,5.53,10.15,6.07,11.82,0.86,213.25,123.52,32.33,60.02,10.15,3.67,10.89,13.21,6.16,14.57,0,-1.93,0,16572.43,3976.34,3296.59,0.57,16.85,5068.87,4259.25,10029.52,3863.80,6.91,201.27,506.21,3.38,18.95,3516.96,4736.70,5250.47,1335.10,19434.97,16612.79,6416.40,10.31,220.94,6661.02,4.33,2.80,2.96,3.02,1.76,1.62,5.28,3.31,3.37,0.85,0.83,0.90,212.31,214.63,212.81,122.24,124.21,124.10,43.18,26.65,27.16
"2015-06-25 06:15:00",0,0,0,18760.13,23846.43,5086.29,18153.27,714.40,3539.28,11322.39,22001.03,22006.56,5.53,2.40,0.52,2.13,1.00,215.21,124.66,8.13,60.02,6.46,2.40,7.03,13.21,6.16,14.57,0,-1.93,0,16572.98,3976.62,3296.83,0.57,16.85,5068.87,4259.66,10029.72,3863.89,6.91,201.27,506.21,3.38,18.95,3516.96,4736.70,5250.50,1335.19,19435.66,16613.16,6416.71,10.31,220.94,6661.02,1.73,0.37,0.30,1.15,-0.51,-0.12,2.08,0.63,0.32,0.83,0.59,0.92,214.04,216.36,215.18,123.70,125.08,125.16,17.43,4.42,3.18
"2015-06-25 06:30:00",0,0,0,18760.65,23846.95,5086.29,18153.65,714.40,3539.28,11322.55,22001.61,22007.14,5.53,1.83,0.11,1.83,1.00,213.76,123.85,8.49,60.03,3.06,1.50,3.50,13.21,6.16,14.57,0,-1.93,0,16573.37,3976.70,3296.87,0.57,16.85,5068.87,4259.97,10029.80,3863.89,6.91,201.27,506.21,3.38,18.95,3516.96,4736.70,5250.57,1335.28,19436.16,16613.33,6416.80,10.31,220.94,6661.02,1.58,0.14,0.11,1.21,-0.75,-0.35,1.99,0.76,0.37,0.79,0.18,0.31,212.78,214.84,213.65,123.04,124.29,124.22,16.41,5.96,3.08
