time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kWh)","Accumulated Real Energy, Phase B, Import (kWh)","Accumulated Real Energy, Phase C, Import (kWh)","Accumulated Real Energy, Phase A, Export (kWh)","Accumulated Real Energy, Phase B, Export (kWh)","Accumulated Real Energy, Phase C, Export (kWh)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-06-25 10:00:00",0,0,0,18767.55,23853.84,5086.29,18158.63,714.40,3539.29,11324.95,22009.26,22014.78,5.53,2.22,-0.23,2.24,0.99,213.34,123.63,8.65,60.02,1.90,0.66,2.10,13.21,6.16,14.57,0,-1.93,0,16578.63,3977.80,3297.42,0.57,16.85,5068.87,4264.10,10030.63,3863.89,6.91,201.27,506.21,3.38,18.95,3516.97,4736.70,5251.76,1336.49,19442.88,16615.70,6418.16,10.31,220.94,6661.02,1.50,0.56,0.17,0.88,-0.75,-0.36,1.74,0.94,0.39,0.86,0.60,0.42,212.33,214.63,213.05,122.79,124.01,124.10,15.71,7.02,3.22
"2015-06-25 10:15:00",0,0,0,18768.06,23854.35,5086.29,18159.02,714.40,3539.29,11325.08,22009.85,22015.37,5.53,1.89,1.44,2.38,0.80,214.44,124.27,7.54,60.01,2.03,1.08,2.36,13.21,6.16,14.57,0,-1.93,0,16578.99,3977.91,3297.45,0.57,16.85,5068.87,4264.40,10030.73,3863.89,6.91,201.27,506.21,3.38,18.95,3516.97,4736.70,5251.80,1336.58,19443.35,16615.88,6418.25,10.31,220.94,6661.02,1.46,0.34,0.12,1.20,0.43,-0.34,1.89,0.55,0.36,0.77,0.61,0.32,213.41,215.61,214.22,123.22,124.67,124.87,15.16,4.28,2.90
"2015-06-25 10:30:00",0,0,0,18768.58,23854.88,5086.29,18159.42,714.40,3539.29,11325.22,22010.45,22015.97,5.53,1.91,0.45,1.96,0.97,213.82,123.90,8.13,59.98,2.02,1.06,2.35,13.21,6.16,14.57,0,-1.93,0,16579.39,3978.00,3297.49,0.57,16.85,5068.87,4264.70,10030.83,3863.89,6.91,201.27,506.21,3.38,18.95,3516.97,4736.70,5251.85,1336.67,19443.85,16616.06,6418.35,10.31,220.94,6661.02,1.61,0.17,0.13,1.20,-0.44,-0.31,2.00,0.47,0.33,0.80,0.37,0.39,212.65,215.23,213.57,122.70,124.37,124.64,16.38,5.11,2.90
"2015-06-25 10:45:00",0,0,0,18769.05,23855.34,5086.29,18159.73,714.40,3539.29,11325.45,22010.93,22016.45,5.53,2.09,0.15,2.09,1.00,213.74,123.86,8.82,59.94,2.07,0.91,2.32,13.21,6.16,14.57,0,-1.93,0,16579.78,3978.04,3297.52,0.57,16.85,5068.87,4265.01,10030.83,3863.89,6.91,201.27,506.21,3.38,18.95,3516.97,4736.70,5252.00,1336.75,19444.35,16616.21,6418.44,10.31,220.94,6661.02,1.84,0.14,0.10,1.29,-0.79,-0.34,2.24,0.80,0.36,0.82,0.18,0.29,212.65,214.83,213.74,122.91,124.20,124.48,17.53,5.96,2.96
"2015-06-25 11:00:00",0,0,0,18769.55,23855.85,5086.29,18160.02,714.40,3539.29,11325.68,22011.44,22016.96,5.53,1.76,1.39,2.24,0.78,213.22,123.56,7.77,60.00,1.92,0.31,1.95,13.21,6.16,14.57,0,-1.93,0,16580.21,3978.08,3297.55,0.57,16.85,5068.87,4265.30,10030.83,3863.89,6.91,201.27,506.21,3.38,18.95,3516.97,4736.70,5252.14,1336.84,19444.87,16616.37,6418.53,10.31,220.94,6661.03,1.47,0.18,0.10,1.17,0.58,-0.37,1.88,0.61,0.38,0.78,0.29,0.27,212.39,214.15,213.12,122.83,123.88,123.98,15.40,5.02,2.90
"2015-06-25 11:15:00",0,0,0,18770.39,23856.69,5086.29,18160.61,714.40,3539.29,11325.72,22012.45,22017.97,5.53,3.51,2.61,4.37,0.80,212.92,123.39,12.62,60.00,2.15,0.49,2.26,13.21,6.16,14.57,0,-1.93,0,16580.82,3978.18,3297.69,0.57,16.85,5068.87,4265.62,10030.92,3864.07,6.91,201.27,506.21,3.38,18.95,3516.97,4736.70,5252.18,1336.84,19445.55,16616.53,6418.76,10.31,220.94,6661.03,2.59,0.37,0.53,1.28,0.76,0.77,2.88,0.84,0.93,0.90,0.44,0.57,212.33,214.16,212.62,122.57,124.08,123.73,23.58,4.51,7.39
"2015-06-25 11:30:00",0,0,0,18771.28,23857.57,5086.29,18161.23,714.40,3539.29,11325.76,22013.52,22019.04,5.53,3.38,2.67,4.31,0.78,212.98,123.43,11.58,59.93,3.43,2.28,4.14,13.21,6.16,14.57,0,-1.93,0,16581.47,3978.28,3297.82,0.57,16.85,5068.87,4265.94,10031.03,3864.26,6.91,201.27,506.21,3.38,18.95,3516.97,4736.70,5252.21,1336.84,19446.28,16616.71,6418.99,10.31,220.94,6661.03,2.52,0.33,0.53,1.36,0.57,0.75,2.86,0.65,0.92,0.88,0.50,0.58,212.19,214.37,212.39,122.37,123.98,123.93,23.04,4.40,7.29
"2015-06-25 11:45:00",0,0,0,18772.18,23858.47,5086.29,18161.85,714.40,3539.29,11325.79,22014.59,22020.12,5.53,3.63,2.58,4.46,0.81,212.79,123.31,12.39,59.93,3.56,2.35,4.29,13.21,6.16,14.57,0,-1.93,0,16582.11,3978.39,3297.97,0.57,16.85,5068.87,4266.26,10031.14,3864.45,6.91,201.27,506.21,3.38,18.95,3516.97,4736.70,5252.25,1336.84,19447.00,16616.89,6419.23,10.31,220.94,6661.03,2.55,0.53,0.55,1.40,0.43,0.75,2.91,0.68,0.93,0.88,0.77,0.59,212.07,214.05,212.23,122.46,123.85,123.63,23.23,6.52,7.40
"2015-06-25 12:00:00",0,0,0,18772.96,23859.26,5086.29,18162.38,714.40,3539.29,11325.90,22015.50,22021.02,5.53,2.89,1.25,3.15,0.92,211.92,122.81,10.67,60.01,3.57,2.34,4.29,13.21,6.16,14.57,0,-1.93,0,16582.72,3978.45,3298.09,0.57,16.85,5068.87,4266.56,10031.18,3864.63,6.91,201.27,506.21,3.38,18.95,3516.97,4736.70,5252.36,1336.84,19447.68,16617.05,6419.45,10.31,220.94,6661.03,2.31,0.16,0.42,1.10,-0.61,0.76,2.55,0.63,0.87,0.90,0.25,0.49,211.05,213.45,211.25,121.84,123.25,123.35,20.73,4.46,6.83
"2015-06-25 12:15:00",0,0,0,18773.63,23859.93,5086.29,18162.85,714.40,3539.29,11326.04,22016.25,22021.78,5.53,1.61,1.36,2.11,0.76,213.00,123.45,7.56,59.93,3.07,1.51,3.47,13.21,6.16,14.57,0,-1.93,0,16583.25,3978.48,3298.19,0.57,16.85,5068.87,4266.84,10031.19,3864.81,6.91,201.27,506.21,3.38,18.95,3516.97,4736.70,5252.49,1336.84,19448.28,16617.20,6419.65,10.31,220.94,6661.03,1.12,0.09,0.37,1.02,-0.48,0.70,1.51,0.49,0.79,0.74,0.19,0.47,212.06,214.22,212.69,122.91,123.94,123.48,12.37,6.36,6.36
