time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kWh)","Accumulated Real Energy, Phase B, Import (kWh)","Accumulated Real Energy, Phase C, Import (kWh)","Accumulated Real Energy, Phase A, Export (kWh)","Accumulated Real Energy, Phase B, Export (kWh)","Accumulated Real Energy, Phase C, Export (kWh)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-06-25 22:45:00",0,0,0,18787.93,23874.22,5086.30,18179.53,714.41,3539.32,11331.77,22035.73,22041.26,5.53,1.14,1.28,1.72,0.66,209.60,121.39,6.66,60.01,3.57,2.40,4.43,13.21,6.16,14.57,0,-1.93,0,16588.56,3983.57,3302.09,0.57,16.86,5068.88,4277.49,10035.83,3866.22,6.93,201.28,506.21,3.38,18.95,3516.98,4736.88,5254.95,1339.95,19460.93,16626.41,6426.08,10.34,220.94,6661.04,0.23,0.38,0.67,0.81,-0.60,-0.56,0.84,0.71,0.87,0.23,0.33,0.79,209.23,211.03,208.53,120.52,121.96,121.69,6.99,5.84,7.15
"2015-06-25 23:00:00",0,0,0,18788.99,23875.28,5086.30,18180.22,714.41,3539.32,11331.86,22036.97,22042.50,5.53,1.94,1.56,2.49,0.78,210.31,121.80,7.92,59.96,1.73,1.27,2.25,13.21,6.16,14.57,0,-1.93,0,16588.86,3983.92,3302.51,0.57,16.86,5068.88,4277.80,10036.07,3866.35,6.93,201.28,506.21,3.38,18.95,3516.98,4736.88,5254.96,1340.01,19461.40,16626.86,6426.54,10.34,220.94,6661.04,0.22,1.21,0.50,1.01,0.99,-0.44,1.03,0.70,0.67,0.22,1.00,0.75,209.87,211.39,209.68,121.14,122.17,122.10,6.88,11.48,5.41
"2015-06-25 23:15:00",0,0,0,18789.39,23875.69,5086.30,18180.60,714.41,3539.32,11332.03,22037.45,22042.98,5.53,10.07,5.18,11.32,0.89,208.99,121.03,31.45,59.94,3.49,2.07,4.13,13.21,6.16,14.57,0,-1.93,0,16588.99,3984.06,3302.64,0.57,16.86,5068.88,4278.06,10036.16,3866.38,6.93,201.28,506.21,3.38,18.95,3516.98,4736.88,5255.05,1340.10,19461.70,16627.10,6426.73,10.34,220.94,6661.04,3.39,3.09,3.59,2.05,1.65,1.48,3.96,3.50,3.88,0.86,0.88,0.93,208.64,209.99,208.32,120.53,121.51,121.05,32.97,29.37,32.02
"2015-06-25 23:30:00",0,0,0,18790.14,23876.43,5086.30,18181.11,714.41,3539.32,11332.19,22038.31,22043.83,5.53,0.62,0.03,0.62,1.00,210.52,121.92,5.40,59.97,2.95,1.50,3.39,13.21,6.16,14.57,0,-1.93,0,16589.25,3984.26,3302.92,0.57,16.86,5068.88,4278.35,10036.28,3866.47,6.93,201.28,506.21,3.38,18.95,3516.98,4736.88,5255.15,1340.16,19462.12,16627.42,6427.05,10.34,220.94,6661.04,0.33,0.15,0.14,0.90,-0.53,-0.34,0.96,0.55,0.36,0.34,0.28,0.38,209.80,211.82,209.95,121.12,122.14,122.51,8.31,4.90,2.98
"2015-06-25 23:45:00",0,0,0,18791.11,23877.40,5086.30,18181.77,714.41,3539.32,11332.30,22039.45,22044.98,5.53,1.61,2.34,2.84,0.57,210.06,121.66,7.88,60.01,1.56,0.63,1.79,13.21,6.16,14.57,0,-1.93,0,16589.60,3984.58,3303.23,0.57,16.86,5068.88,4278.68,10036.48,3866.61,6.93,201.28,506.21,3.38,18.95,3516.98,4736.88,5255.20,1340.21,19462.63,16627.85,6427.43,10.34,220.94,6661.04,0.56,0.55,0.47,1.13,0.73,0.51,1.26,0.92,0.69,0.45,0.60,0.68,209.29,211.20,209.58,120.79,122.08,122.03,10.32,7.03,5.71
"2015-06-26 00:00:00",0,0,0,18791.32,23877.61,5086.30,18182.12,714.41,3539.32,11332.41,22039.79,22045.32,5.53,0.56,1.02,1.15,0.44,210.35,121.82,5.03,60.01,3.96,2.41,4.75,13.21,6.16,14.57,0,-1.93,0,16589.68,3984.67,3303.26,0.57,16.86,5068.88,4278.91,10036.60,3866.62,6.93,201.28,506.21,3.38,18.95,3516.98,4736.89,5255.23,1340.29,19462.87,16628.03,6427.52,10.34,220.94,6661.04,0.29,0.23,0.05,0.72,0.66,-0.36,0.77,0.70,0.37,0.37,0.33,0.13,210.10,211.14,209.62,121.11,122.65,121.58,7.02,4.43,3.08
"2015-06-26 00:15:00",0,0,0,18792.36,23878.66,5086.30,18182.82,714.42,3539.32,11332.51,22041.04,22046.56,5.53,1.17,1.08,1.59,0.74,211.43,122.45,6.25,60.01,0.78,0.85,1.29,13.21,6.16,14.57,0,-1.93,0,16589.98,3985.06,3303.62,0.57,16.86,5068.88,4279.22,10036.85,3866.75,6.93,201.28,506.21,3.38,18.95,3516.98,4736.89,5255.25,1340.37,19463.33,16628.52,6427.95,10.34,220.94,6661.04,0.28,0.84,0.05,0.89,0.53,-0.34,0.93,0.99,0.35,0.30,0.85,0.15,210.82,212.61,210.88,121.69,123.04,122.62,6.65,9.18,2.92
"2015-06-26 00:30:00",0,0,0,18792.59,23878.89,5086.30,18183.06,714.42,3539.32,11332.72,22041.28,22046.81,5.53,0.43,0.28,0.51,0.84,211.54,122.51,4.70,59.94,4.28,2.27,4.98,13.21,6.16,14.57,0,-1.93,0,16590.04,3985.20,3303.65,0.57,16.86,5068.88,4279.45,10036.86,3866.75,6.93,201.28,506.21,3.38,18.95,3516.98,4736.89,5255.38,1340.45,19463.57,16628.72,6428.04,10.34,220.94,6661.04,0.17,0.14,0.12,0.97,-0.39,-0.31,0.98,0.41,0.33,0.17,0.34,0.37,210.78,213.06,210.78,121.61,123.00,122.93,8.10,3.33,2.68
"2015-06-26 00:45:00",0,0,0,18793.46,23879.76,5086.30,18183.68,714.42,3539.32,11332.85,22042.30,22047.83,5.53,0.67,0.00,0.67,1.00,212.42,123.02,5.38,60.01,0.80,0.13,0.88,13.21,6.16,14.57,0,-1.93,0,16590.35,3985.47,3303.94,0.57,16.86,5068.88,4279.78,10037.02,3866.89,6.93,201.28,506.21,3.38,18.95,3516.98,4736.89,5255.46,1340.50,19464.06,16629.10,6428.39,10.34,220.94,6661.04,0.38,0.12,0.17,0.86,-0.52,-0.33,0.94,0.54,0.37,0.41,0.22,0.45,212.07,213.19,212.01,122.45,123.88,122.75,9.04,4.04,3.04
"2015-06-26 01:00:00",0,0,0,18793.66,23879.96,5086.30,18184.04,714.42,3539.32,11332.96,22042.64,22048.17,5.53,1.14,-0.01,1.14,1.00,211.28,122.36,5.84,60.02,3.51,2.06,4.17,13.21,6.16,14.57,0,-1.93,0,16590.44,3985.54,3303.98,0.57,16.86,5068.88,4280.02,10037.14,3866.89,6.93,201.28,506.21,3.38,18.95,3516.98,4736.89,5255.48,1340.58,19464.31,16629.27,6428.49,10.34,220.94,6661.04,0.36,0.30,0.48,0.76,-0.49,-0.28,0.84,0.57,0.56,0.43,0.52,0.87,210.58,212.40,210.84,121.81,122.97,122.29,9.19,3.66,4.67
