time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kWh)","Accumulated Real Energy, Phase B, Import (kWh)","Accumulated Real Energy, Phase C, Import (kWh)","Accumulated Real Energy, Phase A, Export (kWh)","Accumulated Real Energy, Phase B, Export (kWh)","Accumulated Real Energy, Phase C, Export (kWh)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-06-26 02:00:00",0,0,0,18796.71,23883.01,5086.30,18186.28,714.42,3539.32,11333.46,22046.29,22051.81,5.53,4.35,1.10,4.49,0.97,213.02,123.37,15.19,60.01,4.17,1.98,4.73,13.21,6.16,14.57,0,-1.93,0,16591.27,3986.66,3305.09,0.57,16.86,5068.88,4281.20,10037.98,3867.10,6.93,201.28,506.21,3.38,18.95,3516.98,4736.91,5255.55,1341.00,19465.85,16630.75,6429.81,10.34,220.94,6661.04,0.41,2.13,1.86,0.99,1.09,-1.11,1.07,2.39,2.16,0.38,0.89,0.86,212.03,214.12,212.97,122.99,123.42,123.75,8.92,19.16,17.42
"2015-06-26 02:15:00",0,0,0,18797.49,23883.79,5086.30,18186.74,714.42,3539.32,11333.69,22047.12,22052.64,5.53,2.37,1.12,2.62,0.90,214.54,124.25,9.29,60.01,1.43,1.11,1.98,13.21,6.16,14.57,0,-1.93,0,16591.38,3986.99,3305.42,0.57,16.86,5068.88,4281.45,10038.19,3867.10,6.93,201.28,506.21,3.38,18.95,3516.98,4736.91,5255.56,1341.22,19466.13,16631.16,6430.20,10.34,220.94,6661.04,1.37,0.34,0.66,0.93,0.63,-0.44,1.66,0.71,0.79,0.83,0.47,0.83,213.53,215.80,214.30,123.43,124.64,124.70,14.45,6.80,6.62
"2015-06-26 02:30:00",0,0,0,18800.81,23887.11,5086.30,18188.21,714.42,3539.32,11333.69,22050.75,22056.28,5.53,11.05,6.22,12.68,0.87,213.81,123.83,33.84,60.02,4.16,1.65,4.56,13.21,6.16,14.57,0,-1.93,0,16592.47,3988.03,3306.61,0.57,16.86,5068.88,4282.01,10038.79,3867.41,6.93,201.28,506.21,3.38,18.95,3516.98,4736.91,5255.56,1341.22,19467.36,16632.36,6431.44,10.34,220.94,6661.04,4.09,3.18,3.78,2.78,1.65,1.79,4.94,3.58,4.18,0.83,0.89,0.90,213.00,214.85,213.57,123.01,124.32,124.16,38.46,29.62,33.44
"2015-06-26 02:45:00",0,0,0,18803.59,23889.89,5086.30,18189.65,714.42,3539.32,11333.69,22053.89,22059.42,5.53,11.75,5.91,13.16,0.89,212.64,123.16,35.98,60.02,13.21,5.89,14.49,13.21,6.16,14.57,0,-1.93,0,16593.54,3988.82,3307.54,0.57,16.86,5068.88,4282.57,10039.26,3867.82,6.93,201.28,506.21,3.38,18.95,3516.98,4736.91,5255.56,1341.22,19468.58,16633.28,6432.45,10.34,220.94,6661.04,4.76,3.18,3.81,2.50,1.86,1.56,5.37,3.68,4.11,0.89,0.86,0.93,211.92,214.19,211.83,121.91,123.91,123.66,44.78,29.89,33.28
"2015-06-26 03:00:00",0,0,0,18806.59,23892.89,5086.30,18191.20,714.42,3539.32,11333.69,22057.27,22062.79,5.53,11.94,6.17,13.44,0.89,213.93,123.90,36.49,60.01,11.28,5.80,12.69,13.21,6.16,14.57,0,-1.93,0,16594.84,3989.61,3308.44,0.57,16.86,5068.88,4283.24,10039.74,3868.22,6.93,201.28,506.21,3.38,18.95,3516.98,4736.91,5255.56,1341.22,19470.04,16634.21,6433.45,10.34,220.94,6661.04,5.20,3.29,3.46,2.84,1.76,1.79,5.92,3.73,3.89,0.88,0.88,0.89,212.92,215.41,213.34,122.53,124.44,124.65,47.69,30.36,30.87
"2015-06-26 03:15:00",0,0,0,18809.54,23895.84,5086.30,18192.73,714.42,3539.32,11333.69,22060.59,22066.12,5.53,11.87,5.71,13.17,0.90,213.55,123.68,36.26,60.01,11.98,6.21,13.50,13.21,6.21,14.57,0,-1.93,0,16596.13,3990.40,3309.32,0.57,16.86,5068.88,4283.90,10040.22,3868.62,6.93,201.28,506.21,3.38,18.95,3516.98,4736.91,5255.56,1341.22,19471.49,16635.13,6434.41,10.34,220.94,6661.04,5.21,2.99,3.67,2.39,1.92,1.40,5.73,3.55,3.93,0.91,0.84,0.93,212.63,214.79,213.25,122.53,124.29,124.22,48.00,28.54,32.24
"2015-06-26 03:30:00",0,0,0,18812.48,23898.78,5086.30,18194.24,714.42,3539.32,11333.69,22063.90,22069.42,5.53,11.58,5.91,13.00,0.89,212.90,123.30,35.71,60.01,11.80,6.12,13.29,13.21,6.21,14.57,0,-1.93,0,16597.42,3991.17,3310.20,0.57,16.86,5068.88,4284.55,10040.69,3869.01,6.93,201.28,506.21,3.38,18.95,3516.98,4736.91,5255.56,1341.22,19472.94,16636.03,6435.37,10.34,220.94,6661.04,5.18,2.96,3.44,2.50,2.07,1.34,5.75,3.61,3.69,0.90,0.82,0.93,212.23,214.36,212.09,121.72,124.16,124.03,48.12,28.47,30.55
"2015-06-26 03:45:00",0,0,0,18814.35,23900.65,5086.30,18195.26,714.42,3539.32,11333.79,22066.00,22071.53,5.53,10.46,5.87,12.00,0.87,213.70,123.77,32.27,60.02,11.71,6.03,13.18,13.21,6.21,14.57,0,-1.93,0,16598.36,3991.60,3310.68,0.57,16.86,5068.88,4285.06,10040.99,3869.22,6.93,201.28,506.21,3.38,18.95,3516.98,4736.91,5255.59,1341.29,19474.01,16636.58,6435.95,10.34,220.94,6661.04,4.18,2.95,3.33,2.46,1.96,1.45,4.85,3.54,3.63,0.86,0.83,0.92,212.85,214.47,213.77,122.87,124.08,124.35,39.30,28.07,29.44
"2015-06-26 04:00:00",0,0,0,18816.79,23903.09,5086.30,18196.66,714.42,3539.32,11333.79,22068.82,22074.35,5.53,2.25,1.44,2.67,0.84,215.77,124.97,8.36,60.02,7.35,3.66,8.31,13.21,6.21,14.57,0,-1.93,0,16599.37,3992.29,3311.42,0.57,16.86,5068.88,4285.68,10041.42,3869.56,6.93,201.28,506.21,3.38,18.95,3516.98,4736.91,5255.59,1341.29,19475.20,16637.40,6436.77,10.34,220.94,6661.04,1.62,0.60,0.22,1.03,-0.49,-0.36,1.92,0.78,0.42,0.85,0.77,0.52,214.87,216.93,215.51,123.84,125.52,125.56,15.49,6.20,3.38
"2015-06-26 04:15:00",0,0,0,18818.46,23904.76,5086.30,18197.68,714.42,3539.32,11333.89,22070.75,22076.27,5.53,9.92,5.91,11.55,0.86,213.01,123.38,31.11,60.01,8.46,4.76,9.75,13.21,6.21,14.57,0,-1.93,0,16600.15,3992.72,3311.89,0.57,16.86,5068.88,4286.18,10041.70,3869.80,6.93,201.28,506.21,3.38,18.95,3516.98,4736.91,5255.65,1341.33,19476.13,16637.96,6437.32,10.34,220.94,6661.04,4.10,2.77,3.06,2.72,1.67,1.52,4.91,3.23,3.41,0.83,0.86,0.90,212.40,214.19,212.44,122.22,124.18,123.74,38.98,26.82,27.53
