time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kWh)","Accumulated Real Energy, Phase B, Import (kWh)","Accumulated Real Energy, Phase C, Import (kWh)","Accumulated Real Energy, Phase A, Export (kWh)","Accumulated Real Energy, Phase B, Export (kWh)","Accumulated Real Energy, Phase C, Export (kWh)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-06-26 05:15:00",0,0,0,18823.91,23910.21,5086.30,18201.15,714.42,3539.32,11334.22,22077.10,22082.62,5.53,2.07,1.94,2.83,0.73,214.14,124.03,7.47,60.02,7.85,4.75,9.20,13.21,6.21,14.57,0,-1.93,0,16602.79,3994.15,3313.27,0.57,16.86,5068.88,4287.99,10042.69,3870.48,6.93,201.28,506.21,3.38,18.95,3516.99,4736.91,5255.80,1341.52,19479.34,16639.82,6439.00,10.34,220.94,6661.05,1.35,0.58,0.20,1.08,0.26,-0.36,1.73,0.63,0.41,0.78,0.91,0.50,213.33,215.24,213.85,123.06,124.38,124.66,14.03,5.08,3.31
"2015-06-26 05:30:00",0,0,0,18825.66,23911.96,5086.30,18202.22,714.42,3539.32,11334.28,22079.12,22084.64,5.53,1.81,-0.01,1.81,1.00,213.69,123.78,7.43,60.02,2.81,1.52,3.25,13.21,6.21,14.57,0,-1.93,0,16603.59,3994.62,3313.74,0.57,16.86,5068.88,4288.50,10043.00,3870.72,6.93,201.28,506.21,3.38,18.95,3516.99,4736.91,5255.83,1341.54,19480.29,16640.41,6439.55,10.34,220.94,6661.05,1.57,0.14,0.10,1.05,-0.69,-0.36,1.89,0.71,0.37,0.83,0.20,0.26,212.80,215.01,213.27,122.62,124.21,124.50,16.24,3.16,2.90
"2015-06-26 05:45:00",0,0,0,18826.10,23912.40,5086.30,18202.52,714.42,3539.32,11334.51,22079.57,22085.10,5.53,1.73,-0.00,1.73,1.00,214.50,124.24,8.53,60.04,6.28,3.51,7.26,13.21,6.21,14.57,0,-1.93,0,16603.96,3994.66,3313.78,0.57,16.86,5068.88,4288.80,10043.00,3870.72,6.93,201.28,506.21,3.38,18.95,3516.99,4736.91,5255.97,1341.63,19480.77,16640.57,6439.65,10.34,220.94,6661.05,1.45,0.15,0.12,1.18,-0.82,-0.37,1.87,0.83,0.38,0.78,0.19,0.31,213.56,215.57,214.37,123.27,124.61,124.84,15.33,7.26,3.00
"2015-06-26 06:00:00",0,0,0,18826.58,23912.88,5086.30,18202.85,714.42,3539.32,11334.74,22080.08,22085.60,5.53,5.23,1.32,5.39,0.98,213.92,123.90,17.00,60.02,1.75,0.29,1.79,13.21,6.21,14.57,0,-1.93,0,16604.32,3994.73,3313.83,0.57,16.86,5068.88,4289.10,10043.03,3870.72,6.93,201.28,506.21,3.38,18.95,3516.99,4736.91,5256.10,1341.72,19481.24,16640.74,6439.76,10.34,220.94,6661.05,1.32,2.01,1.89,1.35,1.03,-1.06,1.89,2.26,2.17,0.70,0.89,0.87,212.92,214.74,214.08,123.05,124.14,124.50,14.32,18.45,17.83
"2015-06-26 06:15:00",0,0,0,18827.14,23913.44,5086.30,18203.26,714.42,3539.33,11334.88,22080.72,22086.24,5.53,1.65,1.77,2.42,0.68,215.77,124.98,7.36,60.02,2.18,0.48,2.28,13.21,6.21,14.57,0,-1.93,0,16604.69,3994.86,3313.89,0.57,16.86,5068.88,4289.41,10043.14,3870.72,6.93,201.28,506.21,3.38,18.95,3516.99,4736.91,5256.14,1341.82,19481.72,16640.95,6439.88,10.34,220.94,6661.05,1.25,0.30,0.10,1.55,0.57,-0.35,1.99,0.65,0.36,0.63,0.47,0.27,214.71,217.01,215.59,124.06,125.26,125.61,13.76,5.59,2.75
"2015-06-26 06:30:00",0,0,0,18827.66,23913.96,5086.30,18203.68,714.42,3539.33,11335.01,22081.33,22086.85,5.53,2.26,0.33,2.28,0.99,214.91,124.47,8.92,60.04,2.04,1.11,2.40,13.21,6.21,14.57,0,-1.93,0,16605.06,3994.96,3313.93,0.57,16.86,5068.88,4289.72,10043.24,3870.72,6.93,201.28,506.21,3.38,18.95,3516.99,4736.91,5256.18,1341.91,19482.21,16641.13,6439.98,10.34,220.94,6661.05,1.58,0.53,0.14,1.31,0.70,-0.36,2.05,0.88,0.39,0.77,0.61,0.36,213.96,216.13,214.79,123.51,124.82,125.17,16.56,5.19,3.02
"2015-06-26 06:45:00",0,0,0,18828.21,23914.50,5086.30,18204.11,714.42,3539.33,11335.13,22081.96,22087.49,5.53,2.18,1.46,2.62,0.83,215.19,124.62,8.35,60.02,2.10,1.17,2.47,13.21,6.21,14.57,0,-1.93,0,16605.46,3995.07,3313.97,0.57,16.86,5068.88,4290.04,10043.35,3870.72,6.93,201.28,506.21,3.38,18.95,3516.99,4736.91,5256.22,1342.00,19482.73,16641.31,6440.08,10.34,220.94,6661.05,1.61,0.40,0.16,1.38,0.41,-0.33,2.12,0.57,0.37,0.76,0.71,0.45,214.32,215.99,215.25,123.90,124.92,125.05,16.48,5.34,3.24
"2015-06-26 07:00:00",0,0,0,18828.74,23915.04,5086.30,18204.48,714.42,3539.33,11335.32,22082.55,22088.08,5.53,2.24,0.64,2.34,0.96,214.60,124.28,8.24,59.93,2.15,1.24,2.53,13.21,6.21,14.57,0,-1.93,0,16605.90,3995.14,3314.01,0.57,16.86,5068.88,4290.37,10043.39,3870.72,6.93,201.28,506.21,3.38,18.95,3516.99,4736.91,5256.32,1342.09,19483.27,16641.47,6440.17,10.34,220.94,6661.05,1.89,0.21,0.15,1.32,-0.33,-0.34,2.30,0.39,0.37,0.82,0.53,0.40,213.56,215.70,214.53,123.47,124.53,124.85,18.34,3.29,3.08
"2015-06-26 07:15:00",0,0,0,18829.20,23915.50,5086.30,18204.79,714.42,3539.33,11335.54,22083.02,22088.54,5.53,1.75,0.31,1.77,0.99,214.93,124.48,8.03,60.00,2.17,0.60,2.31,13.21,6.21,14.57,0,-1.93,0,16606.28,3995.18,3314.04,0.57,16.86,5068.88,4290.68,10043.40,3870.72,6.93,201.28,506.21,3.38,18.95,3516.99,4736.91,5256.46,1342.18,19483.77,16641.62,6440.26,10.34,220.94,6661.05,1.45,0.16,0.14,1.18,-0.53,-0.35,1.87,0.55,0.37,0.78,0.29,0.37,214.21,215.81,214.79,123.47,125.18,124.80,15.66,5.40,3.02
"2015-06-26 07:30:00",0,0,0,18829.69,23915.99,5086.30,18205.17,714.42,3539.33,11335.72,22083.57,22089.10,5.53,2.26,0.79,2.40,0.94,215.06,124.56,8.87,60.01,1.76,0.34,1.81,13.21,6.21,14.57,0,-1.93,0,16606.67,3995.25,3314.07,0.57,16.86,5068.88,4291.00,10043.45,3870.72,6.93,201.28,506.21,3.38,18.95,3516.99,4736.91,5256.54,1342.26,19484.27,16641.78,6440.36,10.34,220.94,6661.05,1.51,0.58,0.18,1.39,-0.28,-0.32,2.05,0.64,0.37,0.74,0.90,0.48,214.06,216.14,215.00,123.72,124.85,125.09,16.15,7.11,3.35
