time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kWh)","Accumulated Real Energy, Phase B, Import (kWh)","Accumulated Real Energy, Phase C, Import (kWh)","Accumulated Real Energy, Phase A, Export (kWh)","Accumulated Real Energy, Phase B, Export (kWh)","Accumulated Real Energy, Phase C, Export (kWh)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-06-26 08:45:00",0,0,0,18832.20,23918.50,5086.30,18207.11,714.42,3539.33,11336.55,22086.41,22091.93,5.53,1.85,1.49,2.38,0.78,212.63,123.17,7.82,60.02,1.81,0.42,1.91,13.21,6.21,14.57,0,-1.93,0,16608.61,3995.64,3314.25,0.57,16.86,5068.88,4292.60,10043.79,3870.72,6.93,201.28,506.21,3.38,18.95,3516.99,4736.91,5256.94,1342.70,19486.80,16642.63,6440.83,10.34,220.94,6661.05,1.38,0.36,0.11,1.19,0.67,-0.37,1.82,0.76,0.38,0.76,0.47,0.30,211.68,214.08,212.14,122.14,123.77,123.60,15.39,5.36,2.70
"2015-06-26 09:00:00",0,0,0,18832.71,23919.00,5086.30,18207.53,714.42,3539.33,11336.67,22087.01,22092.53,5.53,2.22,1.52,2.69,0.83,214.95,124.50,8.25,59.99,1.79,0.55,1.95,13.21,6.21,14.57,0,-1.93,0,16608.98,3995.74,3314.28,0.57,16.86,5068.88,4292.91,10043.90,3870.72,6.93,201.28,506.21,3.38,18.95,3516.99,4736.91,5256.98,1342.79,19487.29,16642.81,6440.92,10.34,220.94,6661.05,1.51,0.57,0.18,1.25,0.44,-0.35,1.96,0.72,0.39,0.75,0.71,0.42,213.93,215.88,215.04,123.70,124.76,125.05,15.85,5.79,3.10
"2015-06-26 09:15:00",0,0,0,18833.23,23919.53,5086.30,18207.96,714.42,3539.33,11336.80,22087.63,22093.15,5.53,2.21,1.46,2.66,0.84,214.74,124.38,8.44,60.01,2.04,1.18,2.42,13.21,6.21,14.57,0,-1.93,0,16609.35,3995.85,3314.32,0.57,16.86,5068.88,4293.23,10044.01,3870.72,6.93,201.28,506.21,3.38,18.95,3516.99,4736.91,5257.01,1342.87,19487.78,16643.00,6441.02,10.34,220.94,6661.05,1.53,0.52,0.15,1.34,0.48,-0.36,2.03,0.71,0.39,0.75,0.74,0.39,213.63,215.97,214.41,123.23,124.73,125.06,16.23,7.13,3.14
"2015-06-26 09:30:00",0,0,0,18833.88,23920.18,5086.30,18208.41,714.42,3539.33,11336.95,22088.36,22093.88,5.53,2.11,1.55,2.62,0.81,214.04,123.98,8.24,60.01,2.09,1.24,2.48,13.21,6.21,14.57,0,-1.93,0,16609.75,3996.01,3314.42,0.57,16.86,5068.88,4293.56,10044.13,3870.72,6.93,201.28,506.21,3.38,18.95,3516.99,4736.91,5257.05,1342.99,19488.29,16643.23,6441.18,10.34,220.94,6661.06,1.60,0.35,0.17,1.35,0.53,-0.33,2.09,0.63,0.37,0.76,0.55,0.45,213.06,215.34,213.72,122.92,124.55,124.47,16.66,4.97,3.08
"2015-06-26 09:45:00",0,0,0,18834.35,23920.65,5086.30,18208.74,714.42,3539.33,11337.16,22088.87,22094.39,5.53,1.77,0.11,1.77,1.00,214.39,124.19,8.15,60.01,2.58,1.17,2.92,13.21,6.21,14.57,0,-1.93,0,16610.14,3996.06,3314.45,0.57,16.86,5068.88,4293.87,10044.15,3870.72,6.93,201.28,506.21,3.38,18.95,3517.00,4736.91,5257.17,1343.08,19488.80,16643.39,6441.27,10.34,220.94,6661.06,1.49,0.14,0.13,0.94,-0.54,-0.29,1.76,0.56,0.32,0.85,0.26,0.42,213.34,215.69,214.14,123.05,124.82,124.70,16.50,4.97,2.98
"2015-06-26 10:00:00",0,0,0,18834.81,23921.11,5086.30,18209.06,714.42,3539.33,11337.39,22089.35,22094.87,5.53,1.83,0.01,1.83,1.00,214.24,124.10,7.78,59.93,1.87,0.37,1.95,13.21,6.21,14.57,0,-1.93,0,16610.52,3996.11,3314.48,0.57,16.86,5068.88,4294.18,10044.16,3870.72,6.93,201.28,506.21,3.38,18.95,3517.00,4736.91,5257.31,1343.16,19489.30,16643.54,6441.37,10.34,220.94,6661.06,1.49,0.20,0.12,1.25,-0.53,-0.36,1.94,0.57,0.38,0.77,0.35,0.31,213.26,214.95,214.65,123.35,124.37,124.68,15.77,3.27,2.90
"2015-06-26 10:15:00",0,0,0,18835.29,23921.59,5086.30,18209.45,714.42,3539.33,11337.55,22089.89,22095.42,5.53,2.01,1.55,2.54,0.79,214.92,124.50,8.01,60.01,1.84,0.36,1.90,13.21,6.21,14.57,0,-1.93,0,16610.88,3996.19,3314.52,0.57,16.86,5068.88,4294.50,10044.23,3870.72,6.93,201.28,506.21,3.38,18.95,3517.00,4736.91,5257.39,1343.25,19489.78,16643.71,6441.46,10.34,220.94,6661.06,1.36,0.48,0.17,1.41,0.46,-0.32,1.96,0.67,0.37,0.69,0.72,0.47,213.87,215.85,215.04,123.82,124.62,125.06,14.40,6.20,3.44
"2015-06-26 10:30:00",0,0,0,18835.80,23922.10,5086.30,18209.86,714.42,3539.33,11337.67,22090.50,22096.03,5.53,2.24,0.99,2.45,0.92,215.19,124.65,7.75,60.02,1.98,1.01,2.29,13.21,6.21,14.57,0,-1.93,0,16611.25,3996.30,3314.56,0.57,16.86,5068.88,4294.80,10044.34,3870.72,6.93,201.28,506.21,3.38,18.95,3517.00,4736.91,5257.43,1343.34,19490.26,16643.89,6441.56,10.34,220.94,6661.06,1.62,0.34,0.28,0.48,0.55,-0.04,1.54,0.65,0.29,1.00,0.53,0.99,214.29,216.24,215.04,123.67,125.15,125.14,15.66,3.76,3.84
"2015-06-26 10:45:00",0,0,0,18836.32,23922.62,5086.30,18210.28,714.42,3539.33,11337.79,22091.11,22096.64,5.53,2.11,0.54,2.18,0.97,214.63,124.33,8.04,60.01,2.02,1.11,2.39,13.21,6.21,14.57,0,-1.93,0,16611.63,3996.40,3314.59,0.57,16.86,5068.88,4295.11,10044.45,3870.72,6.93,201.28,506.21,3.38,18.95,3517.00,4736.91,5257.46,1343.42,19490.76,16644.07,6441.65,10.34,220.94,6661.06,1.58,0.37,0.16,1.31,-0.40,-0.36,2.05,0.54,0.39,0.77,0.68,0.41,213.61,215.81,214.48,123.25,124.88,124.85,16.61,4.35,3.16
"2015-06-26 11:00:00",0,0,0,18836.83,23923.13,5086.30,18210.66,714.42,3539.33,11337.97,22091.68,22097.21,5.53,1.85,0.27,1.87,0.99,213.83,123.87,8.02,60.01,2.07,1.24,2.48,13.21,6.21,14.57,0,-1.93,0,16612.02,3996.47,3314.63,0.57,16.86,5068.88,4295.44,10044.51,3870.72,6.93,201.28,506.21,3.38,18.95,3517.00,4736.91,5257.55,1343.51,19491.27,16644.24,6441.74,10.34,220.94,6661.06,1.58,0.17,0.11,1.30,-0.53,-0.35,2.05,0.55,0.37,0.78,0.25,0.28,213.03,215.02,213.44,122.81,124.45,124.34,16.66,4.46,2.94
"2015-06-26 11:15:00",0,0,0,18837.30,23923.60,5086.30,18210.99,714.42,3539.33,11338.17,22092.17,22097.69,5.53,1.89,0.52,2.01,0.95,214.02,123.97,7.72,60.00,2.00,0.76,2.19,13.21,6.21,14.57,0,-1.93,0,16612.42,3996.52,3314.66,0.57,16.86,5068.88,4295.76,10044.51,3870.72,6.93,201.28,506.21,3.38,18.95,3517.00,4736.91,5257.66,1343.60,19491.78,16644.37,6441.84,10.34,220.94,6661.06,1.57,0.19,0.14,1.29,-0.42,-0.34,2.03,0.46,0.37,0.77,0.40,0.38,213.10,215.20,213.63,122.84,124.59,124.42,16.23,3.08,3.00
"2015-06-26 11:30:00",0,0,0,18837.76,23924.05,5086.30,18211.34,714.42,3539.33,11338.37,22092.67,22098.19,5.53,1.78,1.49,2.32,0.77,214.14,124.05,7.98,60.01,1.87,0.45,1.93,13.21,6.21,14.57,0,-1.93,0,16612.79,3996.57,3314.69,0.57,16.86,5068.88,4296.07,10044.55,3870.72,6.93,201.28,506.21,3.38,18.95,3517.00,4736.91,5257.77,1343.68,19492.27,16644.53,6441.93,10.34,220.94,6661.06,1.35,0.33,0.09,1.33,0.51,-0.35,1.90,0.61,0.37,0.71,0.55,0.26,213.08,215.41,213.95,123.11,124.39,124.65,15.06,5.95,2.92
"2015-06-26 11:45:00",0,0,0,18838.26,23924.56,5086.30,18211.76,714.42,3539.33,11338.49,22093.27,22098.79,5.53,2.14,1.62,2.69,0.80,214.47,124.24,8.02,60.02,1.87,0.73,2.08,13.21,6.21,14.57,0,-1.93,0,16613.15,3996.68,3314.73,0.57,16.86,5068.88,4296.38,10044.66,3870.72,6.93,201.28,506.21,3.38,18.95,3517.00,4736.91,5257.81,1343.77,19492.75,16644.71,6442.03,10.34,220.94,6661.06,1.44,0.57,0.13,1.35,0.68,-0.41,1.97,0.88,0.43,0.73,0.64,0.31,213.50,215.54,214.38,123.53,124.51,124.68,14.93,6.00,3.12
