time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kWh)","Accumulated Real Energy, Phase B, Import (kWh)","Accumulated Real Energy, Phase C, Import (kWh)","Accumulated Real Energy, Phase A, Export (kWh)","Accumulated Real Energy, Phase B, Export (kWh)","Accumulated Real Energy, Phase C, Export (kWh)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-06-26 12:00:00",0,0,0,18838.76,23925.06,5086.30,18212.18,714.42,3539.33,11338.61,22093.87,22099.39,5.53,1.82,1.49,2.35,0.77,214.01,123.98,7.55,59.94,2.05,1.20,2.43,13.21,6.21,14.57,0,-1.93,0,16613.51,3996.78,3314.77,0.57,16.86,5068.88,4296.69,10044.77,3870.72,6.93,201.28,506.21,3.38,18.95,3517.00,4736.91,5257.84,1343.86,19493.22,16644.89,6442.12,10.34,220.94,6661.06,1.29,0.33,0.14,1.21,0.54,-0.37,1.77,0.64,0.39,0.78,0.39,0.38,213.23,214.98,213.82,123.34,124.25,124.35,14.36,5.13,3.16
"2015-06-26 12:15:00",0,0,0,18839.16,23925.46,5086.30,18212.56,714.42,3539.33,11338.74,22094.35,22099.88,5.53,0.62,0.08,0.62,0.99,214.50,124.27,5.87,60.02,1.95,1.18,2.33,13.21,6.21,14.57,0,-1.93,0,16613.79,3996.87,3314.80,0.57,16.86,5068.88,4296.97,10044.87,3870.72,6.93,201.28,506.21,3.38,18.95,3517.00,4736.91,5257.89,1343.95,19493.62,16645.07,6442.22,10.34,220.94,6661.06,0.37,0.12,0.11,1.05,-0.69,-0.36,1.12,0.70,0.37,0.34,0.17,0.30,213.42,214.88,214.97,124.05,124.13,124.49,9.27,4.35,2.68
"2015-06-26 12:30:00",0,0,0,18839.31,23925.61,5086.30,18212.85,714.42,3539.33,11338.96,22094.53,22100.06,5.53,0.53,0.08,0.54,0.99,215.83,125.03,5.43,60.01,1.41,0.87,1.72,13.21,6.21,14.57,0,-1.93,0,16613.88,3996.90,3314.83,0.57,16.86,5068.88,4297.24,10044.89,3870.72,6.93,201.28,506.21,3.38,18.95,3517.00,4736.91,5258.02,1344.03,19493.91,16645.22,6442.30,10.34,220.94,6661.06,0.34,0.10,0.09,1.10,-0.68,-0.33,1.15,0.69,0.35,0.29,0.14,0.26,214.97,216.72,215.79,124.62,125.22,125.25,9.20,4.44,2.66
"2015-06-26 12:45:00",0,0,0,18839.57,23925.87,5086.30,18213.17,714.42,3539.33,11339.18,22094.83,22100.36,5.53,0.55,-0.12,0.56,0.98,214.02,123.99,5.45,60.01,0.59,0.31,0.73,13.21,6.21,14.57,0,-1.93,0,16613.96,3996.99,3314.92,0.57,16.86,5068.88,4297.51,10044.94,3870.72,6.93,201.28,506.21,3.38,18.95,3517.00,4736.91,5258.13,1344.14,19494.19,16645.42,6442.46,10.34,220.94,6661.06,0.33,0.12,0.10,1.10,-0.86,-0.36,1.14,0.87,0.37,0.29,0.14,0.27,213.19,215.09,213.78,123.40,124.43,124.13,9.18,4.30,2.86
"2015-06-26 13:00:00",0,0,0,18839.75,23926.05,5086.30,18213.56,714.42,3539.33,11339.30,22095.18,22100.71,5.53,0.67,1.04,1.24,0.54,214.15,124.06,5.15,60.06,1.06,0.47,1.25,13.21,6.21,14.57,0,-1.93,0,16614.02,3997.08,3314.95,0.57,16.86,5068.88,4297.77,10045.07,3870.72,6.93,201.28,506.21,3.38,18.95,3517.00,4736.92,5258.15,1344.23,19494.46,16645.59,6442.55,10.34,220.94,6661.06,0.21,0.32,0.15,1.03,0.36,-0.35,1.05,0.48,0.38,0.20,0.66,0.38,213.30,214.98,214.22,123.71,124.33,124.18,8.57,4.03,2.94
"2015-06-26 13:15:00",0,0,0,18839.93,23926.23,5086.30,18213.88,714.42,3539.33,11339.46,22095.51,22101.04,5.53,0.56,1.39,1.50,0.38,213.02,123.41,6.31,59.98,0.72,1.00,1.41,13.21,6.21,14.57,0,-1.93,0,16614.08,3997.17,3314.99,0.57,16.86,5068.88,4297.96,10045.20,3870.72,6.94,201.28,506.21,3.38,18.95,3517.00,4736.98,5258.16,1344.31,19494.72,16645.77,6442.64,10.35,220.94,6661.06,0.24,0.31,0.12,1.45,0.40,-0.34,1.47,0.51,0.36,0.16,0.61,0.33,212.19,213.84,213.00,123.17,123.59,123.47,9.01,3.54,2.75
"2015-06-26 13:30:00",0,0,0,18840.12,23926.42,5086.30,18214.23,714.43,3539.34,11339.59,22095.86,22101.38,5.53,0.86,1.52,1.74,0.49,212.90,123.34,5.73,59.97,0.74,0.74,1.35,13.21,6.21,14.57,0,-1.93,0,16614.13,3997.26,3315.02,0.57,16.86,5068.88,4298.18,10045.33,3870.72,6.94,201.28,506.21,3.38,18.95,3517.00,4737.01,5258.18,1344.40,19494.98,16645.94,6442.74,10.35,220.94,6661.06,0.20,0.50,0.16,1.10,0.77,-0.36,1.12,0.92,0.39,0.18,0.54,0.40,212.26,213.61,212.82,122.91,123.63,123.48,8.41,5.49,3.29
"2015-06-26 13:45:00",0,0,0,18840.27,23926.57,5086.30,18214.53,714.43,3539.34,11339.77,22096.08,22101.60,5.53,0.53,0.34,0.63,0.85,213.09,123.46,5.57,59.93,0.74,0.95,1.38,13.21,6.21,14.57,0,-1.93,0,16614.21,3997.31,3315.05,0.57,16.86,5068.88,4298.44,10045.37,3870.72,6.94,201.28,506.21,3.38,18.95,3517.00,4737.01,5258.28,1344.49,19495.25,16646.10,6442.83,10.35,220.94,6661.06,0.34,0.09,0.11,1.05,-0.40,-0.32,1.10,0.41,0.34,0.31,0.21,0.32,211.94,214.07,213.26,123.08,123.72,123.57,8.87,4.82,3.02
"2015-06-26 14:00:00",0,0,0,18840.42,23926.72,5086.30,18214.80,714.43,3539.34,11339.99,22096.25,22101.78,5.53,0.60,1.51,1.62,0.37,212.08,122.88,5.00,60.00,0.59,0.35,0.79,13.21,6.21,14.57,0,-1.93,0,16614.29,3997.34,3315.08,0.57,16.86,5068.88,4298.69,10045.39,3870.72,6.94,201.28,506.21,3.38,18.95,3517.00,4737.01,5258.41,1344.57,19495.52,16646.25,6442.92,10.35,220.94,6661.06,0.35,0.14,0.11,1.04,0.77,-0.30,1.10,0.78,0.32,0.32,0.18,0.33,211.13,212.88,212.24,122.54,123.11,122.98,8.54,3.73,2.73
"2015-06-26 14:15:00",0,0,0,18840.89,23927.19,5086.30,18215.30,714.43,3539.34,11340.07,22096.89,22102.42,5.53,2.21,2.51,3.36,0.64,212.16,122.92,9.25,59.97,0.58,0.21,0.71,13.21,6.21,14.57,0,-1.93,0,16614.59,3997.41,3315.20,0.57,16.86,5068.88,4298.95,10045.47,3870.89,6.94,201.28,506.21,3.38,18.95,3517.00,4737.01,5258.48,1344.59,19495.91,16646.41,6443.14,10.35,220.94,6661.06,1.34,0.35,0.52,1.01,0.66,0.84,1.68,0.75,0.99,0.80,0.47,0.53,211.60,212.87,211.94,122.56,123.22,122.94,13.77,4.72,8.10
