time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kWh)","Accumulated Real Energy, Phase B, Import (kWh)","Accumulated Real Energy, Phase C, Import (kWh)","Accumulated Real Energy, Phase A, Export (kWh)","Accumulated Real Energy, Phase B, Export (kWh)","Accumulated Real Energy, Phase C, Export (kWh)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-06-26 15:30:00",0,0,0,18843.34,23929.64,5086.30,18217.89,714.43,3539.34,11340.39,22100.28,22105.80,5.53,1.99,2.02,2.84,0.70,211.65,122.61,7.97,60.00,1.72,1.29,2.19,13.21,6.21,14.57,0,-1.93,0,16616.09,3997.74,3315.80,0.57,16.86,5068.88,4300.13,10045.88,3871.87,6.94,201.28,506.21,3.38,18.95,3517.00,4737.01,5258.79,1344.59,19497.83,16647.23,6444.29,10.35,220.94,6661.06,1.11,0.52,0.35,0.91,0.44,0.67,1.43,0.69,0.76,0.77,0.76,0.47,210.92,212.79,211.24,122.21,123.04,122.59,12.26,5.43,6.21
"2015-06-26 15:45:00",0,0,0,18843.89,23930.19,5086.30,18218.44,714.43,3539.34,11340.41,22101.07,22106.59,5.53,1.76,2.45,3.02,0.58,212.40,123.04,7.42,60.01,1.82,1.59,2.45,13.21,6.21,14.57,0,-1.93,0,16616.35,3997.90,3315.95,0.57,16.86,5068.88,4300.38,10046.04,3872.02,6.94,201.28,506.21,3.38,18.95,3517.00,4737.01,5258.80,1344.60,19498.19,16647.47,6444.53,10.35,220.94,6661.06,0.95,0.50,0.31,1.08,0.69,0.68,1.44,0.85,0.75,0.66,0.59,0.41,211.51,213.22,212.46,122.67,123.17,123.29,10.93,5.32,6.03
"2015-06-26 16:00:00",0,0,0,18844.11,23930.41,5086.30,18218.81,714.43,3539.34,11340.51,22101.44,22106.97,5.53,0.61,1.01,1.18,0.51,210.60,122.00,4.68,60.02,2.18,2.10,3.13,13.21,6.21,14.57,0,-1.93,0,16616.44,3997.99,3315.99,0.57,16.86,5068.88,4300.60,10046.16,3872.05,6.94,201.28,506.21,3.38,18.95,3517.00,4737.02,5258.82,1344.67,19498.44,16647.64,6444.63,10.35,220.94,6661.06,0.21,0.29,0.11,0.86,0.48,-0.32,0.88,0.56,0.34,0.24,0.51,0.31,209.64,211.69,210.45,121.71,122.07,122.22,7.61,3.74,2.68
"2015-06-26 16:15:00",0,0,0,18844.29,23930.59,5086.30,18219.14,714.43,3539.34,11340.63,22101.76,22107.28,5.53,0.71,0.80,1.07,0.66,211.04,122.26,4.67,60.01,0.73,0.91,1.30,13.21,6.21,14.57,0,-1.93,0,16616.49,3998.08,3316.02,0.57,16.86,5068.88,4300.81,10046.28,3872.05,6.94,201.28,506.21,3.38,18.95,3517.00,4737.04,5258.84,1344.75,19498.68,16647.80,6444.72,10.35,220.94,6661.06,0.27,0.32,0.13,0.82,0.29,-0.31,0.86,0.43,0.33,0.31,0.74,0.38,209.83,212.20,211.10,121.82,122.31,122.64,7.79,3.54,2.68
"2015-06-26 16:30:00",0,0,0,18844.44,23930.74,5086.30,18219.40,714.43,3539.34,11340.82,22101.95,22107.48,5.53,0.61,-0.02,0.61,1.00,211.02,122.24,4.60,59.93,0.71,0.80,1.24,13.21,6.21,14.57,0,-1.93,0,16616.57,3998.12,3316.05,0.57,16.86,5068.88,4301.04,10046.31,3872.05,6.94,201.28,506.21,3.38,18.95,3517.00,4737.04,5258.95,1344.83,19498.92,16647.96,6444.81,10.35,220.94,6661.06,0.38,0.13,0.13,0.90,-0.36,-0.30,0.97,0.38,0.33,0.37,0.23,0.32,210.21,212.06,210.78,121.74,122.77,122.22,8.00,3.10,2.70
"2015-06-26 16:45:00",0,0,0,18845.09,23931.39,5086.30,18219.91,714.43,3539.34,11340.97,22102.73,22108.25,5.53,1.61,2.24,2.74,0.49,209.79,121.53,7.65,60.01,0.59,0.17,0.71,13.21,6.21,14.57,0,-1.93,0,16616.82,3998.31,3316.26,0.57,16.86,5068.88,4301.33,10046.44,3872.15,6.94,201.28,506.21,3.38,18.95,3517.00,4737.04,5259.04,1344.89,19499.33,16648.27,6445.08,10.35,220.94,6661.06,0.69,0.38,0.54,1.17,0.62,0.45,1.36,0.72,0.70,0.51,0.52,0.77,209.13,210.65,209.59,121.16,121.85,121.57,11.24,5.94,5.78
"2015-06-26 17:00:00",0,0,0,18845.28,23931.58,5086.30,18220.21,714.43,3539.34,11341.12,22103.00,22108.53,5.53,0.96,1.08,1.44,0.67,210.88,122.15,5.24,60.09,2.60,1.47,3.13,13.21,6.21,14.57,0,-1.93,0,16616.90,3998.38,3316.29,0.57,16.86,5068.88,4301.55,10046.52,3872.15,6.94,201.28,506.21,3.38,18.95,3517.01,4737.05,5259.11,1344.96,19499.57,16648.44,6445.16,10.35,220.94,6661.07,0.36,0.48,0.12,0.95,0.46,-0.33,1.01,0.66,0.35,0.36,0.73,0.34,209.84,211.42,211.38,122.15,121.89,122.42,8.49,4.56,2.66
"2015-06-26 17:15:00",0,0,0,18845.46,23931.76,5086.30,18220.54,714.43,3539.34,11341.24,22103.32,22108.85,5.53,0.67,1.32,1.48,0.45,209.87,121.57,5.20,60.01,0.79,0.66,1.17,13.21,6.21,14.57,0,-1.93,0,16616.96,3998.48,3316.32,0.57,16.86,5068.88,4301.75,10046.64,3872.15,6.94,201.28,506.21,3.38,18.95,3517.01,4737.06,5259.13,1345.04,19499.80,16648.61,6445.25,10.35,220.94,6661.07,0.19,0.34,0.14,0.87,0.78,-0.34,0.89,0.85,0.37,0.21,0.40,0.39,209.20,211.07,209.35,121.17,121.89,121.65,6.98,5.51,3.12
"2015-06-26 17:30:00",0,0,0,18845.64,23931.94,5086.30,18220.88,714.43,3539.34,11341.35,22103.63,22109.16,5.53,0.58,-1.55,1.65,0.35,210.62,122.00,4.34,60.02,0.72,0.86,1.26,13.21,6.21,14.57,0,-1.93,0,16617.02,3998.56,3316.36,0.57,16.86,5068.88,4301.97,10046.76,3872.15,6.94,201.28,506.21,3.38,18.95,3517.01,4737.07,5259.16,1345.13,19500.03,16648.78,6445.34,10.35,220.94,6661.07,0.20,0.29,0.09,-0.79,-0.39,-0.37,0.82,0.48,0.38,0.25,0.60,0.24,209.89,211.64,210.33,121.64,122.26,122.10,5.92,4.15,2.96
"2015-06-26 17:45:00",0,0,0,18845.80,23932.10,5086.30,18221.19,714.43,3539.34,11341.49,22103.90,22109.43,5.53,0.36,0.01,0.36,1.00,209.57,121.39,4.07,60.02,0.70,0.90,1.25,13.21,6.21,14.57,0,-1.93,0,16617.07,3998.64,3316.39,0.57,16.86,5068.88,4302.18,10046.85,3872.15,6.94,201.28,506.21,3.38,18.95,3517.01,4737.07,5259.21,1345.20,19500.26,16648.95,6445.43,10.35,220.94,6661.07,0.19,0.11,0.06,1.03,-0.72,-0.30,1.04,0.73,0.31,0.18,0.14,0.21,208.94,210.46,209.32,121.00,121.65,121.52,6.63,2.79,2.77
