time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kWh)","Accumulated Real Energy, Phase B, Import (kWh)","Accumulated Real Energy, Phase C, Import (kWh)","Accumulated Real Energy, Phase A, Export (kWh)","Accumulated Real Energy, Phase B, Export (kWh)","Accumulated Real Energy, Phase C, Export (kWh)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-06-26 18:45:00",0,0,0,18847.92,23934.22,5086.30,18223.04,714.43,3539.35,11342.00,22106.55,22112.07,5.53,9.61,6.18,11.42,0.84,210.31,121.81,30.24,60.01,0.83,0.85,1.32,13.21,6.21,14.57,0,-1.93,0,16617.82,3999.37,3317.03,0.57,16.86,5068.88,4303.24,10047.42,3872.39,6.94,201.28,506.21,3.38,18.95,3517.01,4737.09,5259.42,1345.49,19501.64,16650.08,6446.31,10.35,220.94,6661.07,3.19,3.31,3.11,2.12,2.05,2.01,3.83,3.89,3.70,0.83,0.85,0.84,209.57,211.18,210.19,121.67,121.92,121.84,31.24,30.92,28.56
"2015-06-26 19:00:00",0,0,0,18848.47,23934.77,5086.30,18223.55,714.43,3539.35,11342.09,22107.28,22112.81,5.53,0.62,1.26,1.41,0.44,210.07,121.67,4.51,60.02,4.37,2.53,5.16,13.21,6.21,14.57,0,-1.93,0,16618.00,3999.58,3317.20,0.57,16.86,5068.88,4303.49,10047.59,3872.46,6.95,201.28,506.21,3.38,18.95,3517.01,4737.10,5259.44,1345.55,19501.99,16650.38,6446.53,10.36,220.94,6661.07,0.21,0.28,0.13,0.86,0.73,-0.33,0.89,0.78,0.36,0.24,0.35,0.36,209.45,211.23,209.54,121.19,122.08,121.74,7.38,3.58,2.57
"2015-06-26 19:15:00",0,0,0,18848.60,23934.90,5086.30,18223.80,714.43,3539.35,11342.29,22107.46,22112.98,5.53,0.64,-0.16,0.66,0.97,209.70,121.45,5.23,60.06,0.83,0.98,1.44,13.21,6.21,14.57,0,-1.93,0,16618.06,3999.61,3317.23,0.57,16.86,5068.88,4303.72,10047.62,3872.46,6.95,201.28,506.21,3.38,18.95,3517.01,4737.10,5259.56,1345.63,19502.22,16650.53,6446.61,10.36,220.94,6661.07,0.31,0.19,0.15,0.98,-0.50,-0.31,1.03,0.53,0.34,0.30,0.35,0.44,209.00,210.91,209.22,121.04,121.81,121.54,8.04,3.68,2.77
"2015-06-26 19:30:00",0,0,0,18849.51,23935.81,5086.30,18224.43,714.43,3539.35,11342.41,22108.52,22114.04,5.53,9.67,5.49,11.12,0.87,207.66,120.27,30.74,60.00,0.53,0.18,0.66,13.21,6.21,14.57,0,-1.93,0,16618.40,3999.89,3317.52,0.57,16.86,5068.88,4304.05,10047.79,3872.59,6.95,201.28,506.21,3.38,18.95,3517.01,4737.10,5259.63,1345.68,19502.72,16650.92,6446.97,10.36,220.95,6661.07,3.35,3.02,3.26,2.06,1.81,1.61,3.93,3.52,3.64,0.85,0.86,0.90,207.03,208.77,207.39,120.01,120.50,120.43,32.62,28.68,30.09
"2015-06-26 19:45:00",0,0,0,18849.76,23936.07,5086.30,18224.81,714.43,3539.35,11342.53,22108.90,22114.43,5.53,1.07,0.89,1.39,0.77,210.26,121.77,5.71,60.01,3.92,2.25,4.63,13.21,6.21,14.57,0,-1.93,0,16618.51,3999.98,3317.58,0.57,16.86,5068.88,4304.30,10047.90,3872.61,6.95,201.28,506.21,3.38,18.95,3517.01,4737.10,5259.68,1345.75,19503.00,16651.11,6447.09,10.36,220.95,6661.07,0.39,0.51,0.17,0.82,0.41,-0.34,0.91,0.65,0.38,0.43,0.78,0.44,209.69,211.02,210.08,121.62,122.07,121.64,9.41,4.91,2.81
"2015-06-26 20:00:00",0,0,0,18849.96,23936.26,5086.30,18225.17,714.43,3539.35,11342.64,22109.24,22114.77,5.53,0.75,1.10,1.33,0.56,209.73,121.47,5.09,59.94,0.79,0.90,1.26,13.21,6.21,14.57,0,-1.93,0,16618.57,4000.08,3317.61,0.57,16.86,5068.88,4304.53,10048.03,3872.61,6.95,201.28,506.21,3.38,18.95,3517.01,4737.10,5259.70,1345.84,19503.24,16651.29,6447.17,10.36,220.95,6661.07,0.27,0.33,0.16,0.86,0.57,-0.34,0.90,0.66,0.37,0.30,0.49,0.43,209.09,210.61,209.48,121.36,121.79,121.26,8.74,3.73,2.79
"2015-06-26 20:15:00",0,0,0,18850.88,23937.18,5086.30,18225.87,714.43,3539.35,11342.70,22110.40,22115.92,5.53,0.64,0.35,0.73,0.87,210.76,122.06,5.18,60.01,1.91,1.59,2.61,13.21,6.21,14.57,0,-1.93,0,16618.88,4000.41,3317.90,0.57,16.86,5068.88,4304.86,10048.26,3872.75,6.95,201.28,506.21,3.38,18.95,3517.01,4737.10,5259.71,1345.89,19503.73,16651.71,6447.53,10.36,220.95,6661.07,0.24,0.31,0.12,0.91,0.48,-0.36,0.94,0.58,0.38,0.16,0.68,0.44,210.06,211.73,210.47,121.81,122.50,121.87,7.72,4.71,3.10
"2015-06-26 20:30:00",0,0,0,18851.35,23937.66,5086.30,18226.36,714.43,3539.35,11342.80,22111.03,22116.56,5.53,9.82,5.32,11.26,0.87,208.65,120.84,30.82,59.96,2.52,1.98,3.33,13.21,6.21,14.57,0,-1.93,0,16619.04,4000.58,3318.04,0.57,16.86,5068.88,4305.14,10048.42,3872.80,6.95,201.28,506.21,3.38,18.95,3517.01,4737.10,5259.74,1345.96,19504.07,16651.98,6447.73,10.36,220.95,6661.07,3.33,3.13,3.35,2.04,1.69,1.60,3.91,3.55,3.71,0.85,0.88,0.90,208.05,209.52,208.28,120.46,121.28,120.73,32.51,29.20,30.61
"2015-06-26 20:45:00",0,0,0,18851.93,23938.23,5086.30,18226.84,714.43,3539.35,11342.97,22111.72,22117.24,5.53,0.55,0.24,0.56,0.97,209.92,121.57,4.85,60.01,3.25,2.17,4.01,13.21,6.21,14.57,0,-1.93,0,16619.26,4000.75,3318.22,0.57,16.86,5068.88,4305.44,10048.52,3872.88,6.95,201.28,506.21,3.38,18.95,3517.01,4737.10,5259.85,1346.02,19504.47,16652.27,6447.98,10.36,220.95,6661.07,0.30,0.11,0.13,0.96,-0.40,-0.32,1.00,0.41,0.35,0.30,0.27,0.37,209.14,211.04,209.60,121.18,121.91,121.64,7.88,3.22,2.81
"2015-06-26 21:00:00",0,0,0,18852.88,23939.19,5086.30,18227.49,714.43,3539.35,11343.10,22112.82,22118.35,5.53,1.44,2.89,3.23,0.45,209.75,121.47,7.55,60.01,0.94,0.50,1.18,13.21,6.21,14.57,0,-1.93,0,16619.62,4001.04,3318.53,0.57,16.86,5068.88,4305.78,10048.69,3873.02,6.95,201.28,506.21,3.38,18.95,3517.01,4737.10,5259.93,1346.07,19504.99,16652.68,6448.36,10.36,220.95,6661.07,0.48,0.49,0.47,1.49,0.93,0.47,1.57,1.05,0.67,0.31,0.47,0.71,208.94,210.72,209.60,121.21,121.63,121.59,9.99,6.58,6.08
