time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kWh)","Accumulated Real Energy, Phase B, Import (kWh)","Accumulated Real Energy, Phase C, Import (kWh)","Accumulated Real Energy, Phase A, Export (kWh)","Accumulated Real Energy, Phase B, Export (kWh)","Accumulated Real Energy, Phase C, Export (kWh)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-06-26 22:15:00",0,0,0,18856.01,23942.31,5086.30,18230.11,714.43,3539.35,11343.68,22116.71,22122.23,5.53,9.81,5.47,11.23,0.87,208.06,120.50,30.85,59.94,2.91,1.53,3.44,13.21,6.21,14.57,0,-1.93,0,16620.66,4002.14,3319.51,0.57,16.86,5068.88,4307.22,10049.50,3873.39,6.95,201.28,506.21,3.38,18.95,3517.01,4737.10,5260.15,1346.43,19506.89,16654.27,6449.65,10.36,220.95,6661.07,3.35,3.09,3.31,2.17,1.72,1.49,3.99,3.53,3.63,0.86,0.86,0.89,207.63,209.05,207.51,119.82,121.11,120.55,33.30,29.16,30.09
"2015-06-26 22:30:00",0,0,0,18856.36,23942.66,5086.30,18230.52,714.43,3539.35,11343.80,22117.20,22122.72,5.53,1.04,1.24,1.62,0.64,210.05,121.64,5.49,59.94,3.53,1.96,4.13,13.21,6.21,14.57,0,-1.93,0,16620.79,4002.26,3319.61,0.57,16.86,5068.88,4307.48,10049.62,3873.43,6.95,201.28,506.21,3.38,18.95,3517.01,4737.10,5260.20,1346.50,19507.20,16654.48,6449.80,10.36,220.95,6661.07,0.35,0.51,0.13,0.97,0.35,-0.32,1.03,0.62,0.34,0.34,0.82,0.37,209.52,211.17,209.47,120.96,122.06,121.93,7.84,5.46,2.90
"2015-06-26 22:45:00",0,0,0,18857.35,23943.66,5086.30,18231.24,714.44,3539.35,11343.88,22118.42,22123.95,5.53,0.72,0.33,0.79,0.91,214.14,124.02,5.45,60.10,0.77,0.77,1.18,13.21,6.21,14.57,0,-1.93,0,16621.13,4002.61,3319.92,0.57,16.86,5068.88,4307.80,10049.87,3873.57,6.95,201.28,506.21,3.38,18.95,3517.02,4737.11,5260.22,1346.55,19507.70,16654.93,6450.18,10.36,220.95,6661.08,0.27,0.27,0.01,1.06,0.49,-0.37,1.09,0.56,0.37,0.18,0.53,0.61,213.61,215.18,213.64,123.30,124.65,124.10,8.85,4.52,2.98
"2015-06-26 23:00:00",0,0,0,18857.53,23943.84,5086.30,18231.54,714.45,3539.35,11344.01,22118.74,22124.26,5.53,0.62,1.39,1.52,0.41,213.41,123.59,5.50,60.02,3.95,2.57,4.88,13.21,6.21,14.57,0,-1.93,0,16621.18,4002.70,3319.95,0.57,16.86,5068.88,4308.01,10049.96,3873.57,6.96,201.28,506.21,3.39,18.95,3517.02,4737.13,5260.25,1346.63,19507.93,16655.09,6450.27,10.37,220.95,6661.08,0.19,0.32,0.11,0.96,0.76,-0.33,0.98,0.83,0.35,0.20,0.39,0.31,212.79,214.69,212.75,122.57,124.09,124.09,7.50,5.88,3.12
"2015-06-26 23:15:00",0,0,0,18858.45,23944.76,5086.30,18232.23,714.45,3539.35,11344.09,22119.88,22125.40,5.53,0.48,0.05,0.48,0.99,212.81,123.24,4.67,59.98,0.83,0.81,1.40,13.21,6.21,14.57,0,-1.93,0,16621.48,4003.02,3320.25,0.57,16.86,5068.88,4308.33,10050.19,3873.71,6.96,201.28,506.21,3.39,18.95,3517.02,4737.14,5260.27,1346.68,19508.41,16655.52,6450.63,10.38,220.95,6661.08,0.18,0.17,0.13,0.99,-0.63,-0.31,1.01,0.65,0.34,0.18,0.26,0.40,212.01,213.95,212.47,122.66,123.40,123.65,8.16,3.08,2.77
"2015-06-26 23:30:00",0,0,0,18859.04,23945.35,5086.30,18232.70,714.45,3539.35,11344.26,22120.56,22126.09,5.53,9.99,5.52,11.41,0.88,212.30,122.94,31.28,60.01,3.52,2.21,4.31,13.21,6.21,14.57,0,-1.93,0,16621.71,4003.20,3320.44,0.57,16.86,5068.88,4308.62,10050.29,3873.79,6.96,201.28,506.21,3.39,18.95,3517.02,4737.14,5260.38,1346.74,19508.80,16655.81,6450.88,10.38,220.95,6661.08,3.54,3.09,3.36,2.06,1.80,1.66,4.09,3.58,3.75,0.86,0.86,0.90,211.47,213.21,212.21,122.27,123.30,123.26,33.93,29.39,30.52
"2015-06-26 23:45:00",0,0,0,18859.47,23945.77,5086.30,18233.10,714.45,3539.35,11344.44,22121.07,22126.60,5.53,0.56,0.00,0.56,1.00,213.01,123.36,4.94,59.93,3.48,1.92,4.06,13.21,6.21,14.57,0,-1.93,0,16621.89,4003.32,3320.56,0.57,16.86,5068.88,4308.89,10050.36,3873.85,6.96,201.28,506.21,3.39,18.95,3517.02,4737.14,5260.50,1346.81,19509.14,16656.05,6451.07,10.38,220.95,6661.08,0.35,0.13,0.15,0.93,-0.49,-0.30,0.99,0.50,0.33,0.35,0.25,0.45,212.20,213.86,212.98,122.93,123.59,123.56,8.04,4.09,2.70
"2015-06-27 00:00:00",0,0,0,18860.42,23946.72,5086.30,18233.82,714.45,3539.36,11344.51,22122.25,22127.77,5.53,0.74,1.03,0.83,0.96,214.02,123.94,4.97,60.02,0.64,0.29,0.81,13.21,6.21,14.57,0,-1.93,0,16622.22,4003.65,3320.86,0.57,16.86,5068.88,4309.23,10050.60,3873.99,6.96,201.28,506.21,3.39,18.95,3517.02,4737.14,5260.51,1346.86,19509.64,16656.48,6451.43,10.38,220.95,6661.08,0.21,0.36,0.16,0.97,0.36,-0.30,0.99,0.51,0.34,0.21,0.71,0.48,213.36,215.02,213.69,123.50,124.33,124.00,8.05,4.10,2.75
"2015-06-27 00:15:00",0,0,0,18860.62,23946.92,5086.30,18234.14,714.46,3539.36,11344.65,22122.59,22128.11,5.53,0.94,1.27,1.58,0.59,214.33,124.12,5.37,60.02,3.81,2.61,4.72,13.21,6.21,14.57,0,-1.93,0,16622.29,4003.74,3320.89,0.57,16.86,5068.88,4309.44,10050.71,3873.99,6.97,201.28,506.21,3.39,18.95,3517.02,4737.16,5260.55,1346.94,19509.89,16656.66,6451.52,10.38,220.95,6661.08,0.29,0.47,0.17,0.85,0.73,-0.31,0.90,0.87,0.36,0.32,0.55,0.49,213.40,215.61,213.98,123.44,124.56,124.38,8.70,4.90,2.52
"2015-06-27 00:30:00",0,0,0,18861.67,23947.97,5086.30,18234.80,714.46,3539.36,11344.78,22123.83,22129.35,5.53,4.69,0.85,4.77,0.98,213.49,123.64,16.30,60.02,1.30,0.98,1.94,13.21,6.21,14.57,0,-1.93,0,16622.59,4004.16,3321.22,0.57,16.86,5068.88,4309.76,10050.92,3874.13,6.98,201.28,506.21,3.39,18.95,3517.02,4737.17,5260.60,1347.01,19510.37,16657.16,6451.92,10.39,220.95,6661.08,0.20,2.57,1.92,0.88,1.08,-1.11,0.90,2.78,2.22,0.22,0.92,0.87,212.67,214.32,213.49,123.28,123.84,123.81,8.44,22.25,18.22
