time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kWh)","Accumulated Real Energy, Phase B, Import (kWh)","Accumulated Real Energy, Phase C, Import (kWh)","Accumulated Real Energy, Phase A, Export (kWh)","Accumulated Real Energy, Phase B, Export (kWh)","Accumulated Real Energy, Phase C, Export (kWh)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-06-27 01:30:00",0,0,0,18863.85,23950.16,5086.31,18236.80,714.47,3539.36,11345.29,22126.62,22132.14,5.53,0.77,0.06,0.77,1.00,214.06,123.97,5.56,59.96,3.72,2.60,4.66,13.21,6.21,14.57,0,-1.93,0,16623.36,4004.93,3321.87,0.57,16.86,5068.88,4310.91,10051.50,3874.40,6.98,201.28,506.21,3.39,18.95,3517.02,4737.18,5260.82,1347.29,19511.85,16658.33,6452.82,10.40,220.95,6661.08,0.27,0.34,0.16,1.12,-0.74,-0.31,1.15,0.81,0.35,0.23,0.41,0.46,213.38,215.40,213.41,123.40,124.22,124.30,8.85,4.82,3.00
"2015-06-27 01:45:00",0,0,0,18864.71,23951.02,5086.31,18237.48,714.47,3539.37,11345.37,22127.71,22133.23,5.53,0.95,1.34,1.64,0.58,215.14,124.60,6.43,60.02,0.82,1.04,1.39,13.21,6.21,14.57,0,-1.93,0,16623.65,4005.23,3322.14,0.57,16.86,5068.88,4311.23,10051.72,3874.53,6.99,201.28,506.21,3.39,18.95,3517.03,4737.19,5260.84,1347.34,19512.31,16658.73,6453.16,10.40,220.95,6661.09,0.33,0.49,0.13,0.99,0.71,-0.36,1.04,0.86,0.38,0.32,0.56,0.35,214.42,216.21,214.80,124.16,124.66,124.97,9.12,7.16,3.00
"2015-06-27 02:00:00",0,0,0,18864.90,23951.21,5086.31,18237.82,714.48,3539.37,11345.51,22128.05,22133.57,5.53,0.81,1.19,1.43,0.57,213.23,123.49,5.51,60.01,3.45,2.30,4.37,13.21,6.21,14.57,0,-1.93,0,16623.71,4005.32,3322.18,0.57,16.86,5068.88,4311.45,10051.84,3874.53,6.99,201.28,506.21,3.39,18.95,3517.03,4737.21,5260.87,1347.42,19512.57,16658.91,6453.25,10.40,220.95,6661.09,0.19,0.47,0.15,1.00,0.50,-0.30,1.02,0.68,0.34,0.19,0.69,0.44,212.77,214.25,212.88,122.96,124.03,123.61,8.19,5.03,2.88
"2015-06-27 02:15:00",0,0,0,18865.09,23951.40,5086.31,18238.19,714.48,3539.37,11345.61,22128.39,22133.92,5.53,1.92,1.13,2.23,0.86,214.48,124.22,7.93,60.01,0.73,0.93,1.35,13.21,6.21,14.57,0,-1.93,0,16623.77,4005.42,3322.21,0.57,16.86,5068.88,4311.70,10051.97,3874.53,6.99,201.28,506.21,3.39,18.95,3517.03,4737.21,5260.89,1347.50,19512.82,16659.08,6453.34,10.40,220.95,6661.09,1.18,0.31,0.44,0.88,0.54,-0.29,1.47,0.62,0.52,0.80,0.50,0.83,213.82,215.67,213.95,123.51,124.72,124.42,13.44,5.75,4.60
"2015-06-27 02:30:00",0,0,0,18867.81,23954.12,5086.31,18239.61,714.48,3539.37,11345.61,22131.46,22136.99,5.53,10.87,5.74,12.29,0.88,214.54,124.25,33.30,60.02,2.20,1.73,2.92,13.21,6.21,14.57,0,-1.93,0,16624.80,4006.21,3323.12,0.57,16.86,5068.88,4312.24,10052.44,3874.93,6.99,201.28,506.21,3.39,18.95,3517.03,4737.21,5260.89,1347.50,19513.99,16660.01,6454.33,10.40,220.95,6661.09,4.10,3.11,3.67,2.17,1.87,1.70,4.64,3.62,4.04,0.88,0.86,0.91,213.84,215.75,214.02,123.49,124.66,124.60,37.71,29.72,32.47
"2015-06-27 02:45:00",0,0,0,18870.59,23956.90,5086.31,18241.04,714.48,3539.37,11345.61,22134.59,22140.12,5.53,10.48,5.50,11.83,0.89,211.13,122.27,32.30,60.01,10.95,5.74,12.36,13.21,6.21,14.57,0,-1.93,0,16625.88,4007.00,3324.01,0.57,16.86,5068.88,4312.77,10052.92,3875.36,6.99,201.28,506.21,3.39,18.95,3517.03,4737.21,5260.89,1347.50,19515.20,16660.94,6455.33,10.40,220.95,6661.09,3.92,3.09,3.46,2.20,1.85,1.44,4.50,3.60,3.75,0.87,0.86,0.92,210.97,211.83,210.59,121.75,122.87,122.20,36.86,28.96,31.09
"2015-06-27 03:00:00",0,0,0,18873.53,23959.84,5086.31,18242.54,714.48,3539.37,11345.61,22137.89,22143.42,5.53,11.07,6.16,12.67,0.87,211.71,122.61,34.42,60.02,11.13,5.72,12.52,13.21,6.21,14.57,0,-1.93,0,16627.09,4007.79,3324.97,0.57,16.86,5068.88,4313.41,10053.39,3875.74,6.99,201.28,506.21,3.39,18.95,3517.03,4737.21,5260.89,1347.50,19516.57,16661.85,6456.36,10.40,220.95,6661.09,4.29,3.23,3.64,2.44,2.01,1.43,4.93,3.81,3.91,0.87,0.85,0.93,210.88,212.93,211.28,121.56,123.13,123.13,41.06,30.30,32.14
"2015-06-27 03:15:00",0,0,0,18876.18,23962.48,5086.31,18243.98,714.48,3539.37,11345.61,22140.91,22146.43,5.53,3.28,2.78,4.30,0.76,212.43,123.03,11.85,60.01,11.78,5.99,13.22,13.21,6.21,14.57,0,-1.93,0,16628.15,4008.52,3325.82,0.57,16.86,5068.88,4314.03,10053.84,3876.12,6.99,201.28,506.21,3.39,18.95,3517.03,4737.21,5260.89,1347.50,19517.79,16662.71,6457.29,10.40,220.95,6661.09,1.80,0.54,0.94,1.60,0.71,0.47,2.41,0.89,1.05,0.75,0.60,0.90,211.86,213.71,211.72,121.72,123.82,123.54,19.26,7.78,8.51
"2015-06-27 03:30:00",0,0,0,18877.61,23963.91,5086.31,18244.77,714.48,3539.37,11345.76,22142.50,22148.02,5.53,10.36,5.51,11.73,0.88,211.98,122.77,32.46,60.01,9.70,5.07,10.99,13.21,6.21,14.57,0,-1.93,0,16628.80,4008.88,3326.24,0.57,16.86,5068.88,4314.45,10054.05,3876.26,6.99,201.28,506.21,3.39,18.95,3517.03,4737.21,5260.96,1347.59,19518.57,16663.18,6457.78,10.40,220.95,6661.09,4.37,2.85,3.13,2.38,1.70,1.43,4.98,3.32,3.44,0.88,0.86,0.91,211.37,213.21,211.36,121.81,123.18,123.32,41.96,27.24,28.18
"2015-06-27 03:45:00",0,0,0,18879.36,23965.67,5086.31,18245.83,714.48,3539.37,11345.81,22144.54,22150.06,5.53,2.14,-0.02,2.14,1.00,214.35,124.15,8.71,60.02,6.47,3.24,7.31,13.21,6.21,14.57,0,-1.93,0,16629.61,4009.33,3326.73,0.57,16.86,5068.88,4314.97,10054.37,3876.50,6.99,201.28,506.21,3.39,18.95,3517.03,4737.21,5260.97,1347.62,19519.53,16663.75,6458.34,10.40,220.95,6661.09,1.59,0.39,0.16,1.04,-0.71,-0.35,1.90,0.81,0.39,0.84,0.49,0.41,213.43,215.46,214.18,123.32,124.59,124.54,16.38,6.59,3.16
