time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kWh)","Accumulated Real Energy, Phase B, Import (kWh)","Accumulated Real Energy, Phase C, Import (kWh)","Accumulated Real Energy, Phase A, Export (kWh)","Accumulated Real Energy, Phase B, Export (kWh)","Accumulated Real Energy, Phase C, Export (kWh)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-06-27 08:15:00",0,0,0,18896.72,23983.03,5086.31,18257.26,714.48,3539.38,11348.04,22164.50,22170.02,5.53,2.43,0.51,2.49,0.98,214.53,124.24,8.55,60.01,2.11,1.17,2.47,13.21,6.21,14.57,0,-1.93,0,16639.16,4013.45,3330.42,0.57,16.86,5068.88,4321.86,10057.27,3878.13,6.99,201.28,506.21,3.39,18.95,3517.04,4737.21,5262.01,1348.82,19531.36,16669.68,6463.23,10.40,220.95,6661.10,1.67,0.59,0.16,1.29,-0.41,-0.36,2.11,0.72,0.40,0.79,0.82,0.41,213.74,215.30,214.55,123.42,124.65,124.66,17.37,5.22,3.06
"2015-06-27 08:30:00",0,0,0,18897.26,23983.57,5086.31,18257.67,714.48,3539.38,11348.19,22165.12,22170.64,5.53,2.07,1.62,2.63,0.79,215.05,124.54,7.74,60.10,2.18,1.19,2.54,13.21,6.21,14.57,0,-1.93,0,16639.56,4013.55,3330.46,0.57,16.86,5068.88,4322.18,10057.37,3878.13,6.99,201.28,506.21,3.39,18.95,3517.04,4737.21,5262.06,1348.91,19531.87,16669.86,6463.33,10.40,220.95,6661.10,1.56,0.36,0.16,1.38,0.62,-0.38,2.08,0.71,0.41,0.75,0.50,0.38,214.31,215.95,214.89,123.59,125.09,124.94,16.06,4.13,3.04
"2015-06-27 08:45:00",0,0,0,18897.71,23984.02,5086.31,18258.00,714.48,3539.38,11348.39,22165.60,22171.13,5.53,1.72,0.09,1.72,1.00,214.32,124.12,8.41,60.08,2.11,1.01,2.43,13.21,6.21,14.57,0,-1.93,0,16639.93,4013.60,3330.49,0.57,16.86,5068.88,4322.49,10057.39,3878.13,6.99,201.28,506.21,3.39,18.95,3517.04,4737.21,5262.19,1348.99,19532.36,16670.01,6463.42,10.40,220.95,6661.10,1.40,0.13,0.12,1.29,-0.83,-0.36,1.90,0.84,0.38,0.74,0.19,0.38,213.62,215.41,213.92,123.07,124.81,124.48,15.44,6.74,3.04
"2015-06-27 09:00:00",0,0,0,18898.27,23984.58,5086.31,18258.37,714.48,3539.38,11348.62,22166.19,22171.72,5.53,1.83,0.56,1.91,0.96,214.64,124.31,7.62,59.93,1.76,0.45,1.88,13.21,6.21,14.57,0,-1.93,0,16640.29,4013.70,3330.59,0.57,16.86,5068.88,4322.80,10057.45,3878.13,6.99,201.28,506.21,3.39,18.95,3517.04,4737.21,5262.29,1349.11,19532.85,16670.22,6463.58,10.40,220.95,6661.10,1.49,0.19,0.15,1.27,-0.46,-0.34,1.96,0.50,0.37,0.76,0.38,0.40,213.85,215.60,214.34,123.28,124.95,124.62,15.80,3.18,2.88
"2015-06-27 09:15:00",0,0,0,18898.76,23985.06,5086.31,18258.77,714.48,3539.38,11348.77,22166.75,22172.28,5.53,1.98,1.40,2.57,0.76,215.33,124.71,7.91,59.98,2.24,0.57,2.37,13.21,6.21,14.57,0,-1.93,0,16640.66,4013.78,3330.62,0.57,16.86,5068.88,4323.11,10057.53,3878.13,6.99,201.28,506.21,3.39,18.95,3517.04,4737.21,5262.36,1349.20,19533.33,16670.39,6463.67,10.40,220.95,6661.10,1.48,0.36,0.14,1.27,0.49,-0.36,1.95,0.61,0.39,0.76,0.59,0.36,214.60,216.32,215.14,123.75,125.27,125.15,15.97,4.97,2.86
"2015-06-27 09:30:00",0,0,0,18899.29,23985.60,5086.31,18259.20,714.48,3539.38,11348.90,22167.38,22172.91,5.53,2.04,1.89,2.78,0.73,215.00,124.52,8.34,60.01,1.99,1.08,2.33,13.21,6.21,14.57,0,-1.93,0,16641.06,4013.88,3330.66,0.57,16.86,5068.88,4323.44,10057.63,3878.13,6.99,201.28,506.21,3.39,18.95,3517.04,4737.21,5262.40,1349.29,19533.85,16670.57,6463.77,10.40,220.95,6661.10,1.58,0.33,0.13,1.44,0.80,-0.36,2.13,0.87,0.38,0.74,0.38,0.35,214.11,215.75,215.15,123.88,124.74,124.94,16.54,5.68,2.79
"2015-06-27 09:45:00",0,0,0,18899.82,23986.13,5086.31,18259.62,714.48,3539.38,11349.04,22168.01,22173.53,5.53,1.98,0.87,2.16,0.92,215.39,124.75,7.53,60.01,2.14,1.23,2.52,13.21,6.21,14.57,0,-1.93,0,16641.46,4013.98,3330.70,0.57,16.86,5068.88,4323.76,10057.73,3878.13,6.99,201.28,506.21,3.39,18.95,3517.04,4737.21,5262.45,1349.37,19534.36,16670.75,6463.87,10.40,220.95,6661.10,1.43,0.38,0.17,1.81,-0.60,-0.34,2.30,0.71,0.38,0.62,0.53,0.44,214.63,216.38,215.16,123.81,125.30,125.12,15.69,4.10,2.79
"2015-06-27 10:00:00",0,0,0,18900.31,23986.62,5086.31,18259.97,714.48,3539.38,11349.23,22168.54,22174.06,5.53,1.81,0.28,1.83,0.99,215.68,124.92,7.79,60.01,2.17,1.08,2.52,13.21,6.21,14.57,0,-1.93,0,16641.84,4014.05,3330.73,0.57,16.86,5068.88,4324.07,10057.77,3878.13,6.99,201.28,506.21,3.39,18.95,3517.04,4737.21,5262.56,1349.46,19534.86,16670.92,6463.96,10.40,220.95,6661.10,1.50,0.19,0.14,1.27,-0.55,-0.33,1.97,0.58,0.36,0.74,0.26,0.33,214.81,216.77,215.47,124.04,125.50,125.22,15.84,4.64,2.88
"2015-06-27 10:15:00",0,0,0,18900.75,23987.06,5086.31,18260.30,714.48,3539.38,11349.46,22169.00,22174.52,5.53,1.76,0.15,1.77,1.00,215.75,124.96,7.57,59.94,1.88,0.56,2.02,13.21,6.21,14.57,0,-1.93,0,16642.21,4014.09,3330.76,0.57,16.86,5068.88,4324.39,10057.78,3878.13,6.99,201.28,506.21,3.39,18.95,3517.04,4737.21,5262.70,1349.55,19535.35,16671.07,6464.05,10.40,220.95,6661.10,1.41,0.14,0.10,1.40,-0.45,-0.35,1.99,0.47,0.36,0.71,0.29,0.28,214.72,216.85,215.35,123.80,125.49,125.40,15.22,3.35,2.77
"2015-06-27 10:30:00",0,0,0,18901.22,23987.53,5086.31,18260.66,714.48,3539.38,11349.65,22169.51,22175.04,5.53,2.17,1.19,2.48,0.88,215.78,124.97,7.92,59.98,1.77,0.38,1.83,13.21,6.21,14.57,0,-1.93,0,16642.58,4014.16,3330.80,0.57,16.86,5068.88,4324.71,10057.82,3878.13,6.99,201.28,506.21,3.39,18.95,3517.04,4737.21,5262.80,1349.64,19535.83,16671.24,6464.15,10.40,220.95,6661.10,1.51,0.54,0.12,1.19,0.37,-0.37,1.92,0.65,0.39,0.79,0.83,0.32,215.10,216.83,215.69,124.05,125.54,125.48,15.99,5.09,2.90
