time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kWh)","Accumulated Real Energy, Phase B, Import (kWh)","Accumulated Real Energy, Phase C, Import (kWh)","Accumulated Real Energy, Phase A, Export (kWh)","Accumulated Real Energy, Phase B, Export (kWh)","Accumulated Real Energy, Phase C, Export (kWh)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-06-27 11:30:00",0,0,0,18903.94,23990.25,5086.31,18262.67,714.48,3539.38,11350.11,22172.68,22178.20,5.53,3.13,1.42,3.36,0.95,215.18,124.63,12.36,60.00,3.41,2.00,3.98,13.21,6.21,14.57,0,-1.93,0,16644.63,4014.49,3331.13,0.57,16.86,5068.88,4326.05,10058.11,3878.51,6.99,201.28,506.21,3.39,18.95,3517.04,4737.21,5263.08,1349.81,19538.30,16671.91,6464.80,10.40,220.95,6661.10,2.44,0.18,0.51,1.47,-0.82,0.77,2.84,0.84,0.92,0.86,0.21,0.55,214.43,216.33,214.75,123.58,125.34,124.95,22.39,5.27,7.22
"2015-06-27 11:45:00",0,0,0,18904.87,23991.18,5086.31,18263.23,714.48,3539.38,11350.23,22173.72,22179.25,5.53,3.46,2.77,4.43,0.78,214.88,124.46,12.31,60.01,3.20,1.60,3.59,13.21,6.21,14.57,0,-1.93,0,16645.25,4014.60,3331.33,0.57,16.86,5068.88,4326.38,10058.17,3878.68,6.99,201.28,506.21,3.39,18.95,3517.04,4737.21,5263.19,1349.83,19539.01,16672.13,6465.09,10.40,220.95,6661.10,2.48,0.41,0.57,1.26,0.70,0.80,2.78,0.81,0.99,0.89,0.50,0.58,213.97,216.28,214.40,123.22,125.16,125.01,22.56,6.49,7.89
"2015-06-27 12:00:00",0,0,0,18905.68,23991.99,5086.31,18263.83,714.48,3539.38,11350.27,22174.73,22180.25,5.53,3.13,2.34,3.91,0.80,215.64,124.90,10.94,59.94,3.73,1.85,4.25,13.21,6.21,14.57,0,-1.93,0,16645.84,4014.70,3331.46,0.57,16.86,5068.88,4326.70,10058.28,3878.86,6.99,201.28,506.21,3.39,18.95,3517.04,4737.21,5263.23,1349.83,19539.68,16672.31,6465.31,10.40,220.95,6661.10,2.30,0.38,0.48,1.20,0.47,0.75,2.59,0.60,0.89,0.89,0.63,0.54,215.03,216.64,215.17,124.00,125.46,125.20,21.11,3.96,7.02
"2015-06-27 12:15:00",0,0,0,18906.38,23992.69,5086.31,18264.43,714.48,3539.38,11350.31,22175.63,22181.16,5.53,2.15,0.80,2.29,0.94,214.65,124.33,9.42,60.01,3.23,2.26,4.00,13.21,6.21,14.57,0,-1.93,0,16646.32,4014.80,3331.56,0.57,16.86,5068.88,4327.00,10058.39,3879.04,6.99,201.28,506.21,3.39,18.95,3517.04,4737.21,5263.26,1349.83,19540.26,16672.49,6465.52,10.40,220.95,6661.10,0.94,0.53,0.37,1.54,0.75,0.71,1.80,0.91,0.80,0.52,0.58,0.46,214.00,215.33,214.64,123.90,124.62,124.48,11.71,5.37,6.53
"2015-06-27 12:30:00",0,0,0,18906.87,23993.18,5086.31,18264.99,714.48,3539.38,11350.35,22176.36,22181.88,5.53,1.15,2.74,2.97,0.39,215.58,124.87,6.98,60.02,2.62,2.21,3.48,13.21,6.21,14.57,0,-1.93,0,16646.62,4014.89,3331.66,0.57,16.86,5068.88,4327.27,10058.49,3879.22,6.99,201.28,506.21,3.39,18.95,3517.04,4737.21,5263.30,1349.83,19540.67,16672.66,6465.73,10.40,220.95,6661.10,0.65,0.24,0.26,1.22,0.76,0.76,1.38,0.79,0.80,0.47,0.30,0.32,214.81,216.22,215.72,124.52,125.10,124.99,9.93,4.95,6.06
"2015-06-27 12:45:00",0,0,0,18907.25,23993.56,5086.31,18265.47,714.48,3539.38,11350.47,22176.89,22182.42,5.53,1.40,2.11,2.53,0.55,215.60,124.88,7.47,60.01,1.88,1.99,2.78,13.21,6.21,14.57,0,-1.93,0,16646.90,4014.92,3331.74,0.57,16.86,5068.88,4327.55,10058.52,3879.40,6.99,201.28,506.21,3.39,18.96,3517.04,4737.21,5263.42,1349.83,19541.06,16672.81,6465.92,10.40,220.95,6661.10,0.99,0.11,0.29,1.04,0.36,0.71,1.44,0.37,0.76,0.69,0.29,0.38,214.81,216.40,215.58,124.29,125.19,125.16,12.20,4.07,6.13
"2015-06-27 13:00:00",0,0,0,18907.37,23993.68,5086.31,18265.74,714.49,3539.39,11350.69,22177.06,22182.59,5.53,0.45,0.09,0.46,0.98,214.33,124.14,5.52,59.99,1.38,1.29,1.93,13.21,6.21,14.57,0,-1.93,0,16646.96,4014.95,3331.77,0.57,16.86,5068.88,4327.80,10058.54,3879.40,7.00,201.28,506.21,3.39,18.96,3517.04,4737.23,5263.55,1349.91,19541.33,16672.96,6466.01,10.41,220.95,6661.10,0.14,0.08,0.15,1.08,-0.64,-0.28,1.09,0.64,0.32,0.13,0.13,0.48,213.68,215.01,214.07,123.59,124.49,124.23,8.31,2.75,2.81
"2015-06-27 13:15:00",0,0,0,18907.54,23993.85,5086.31,18266.03,714.50,3539.39,11350.86,22177.37,22182.89,5.53,0.81,-0.03,0.81,1.00,213.79,123.84,6.53,60.01,0.46,0.19,0.72,13.21,6.21,14.57,0,-1.93,0,16647.02,4015.03,3331.80,0.57,16.86,5068.88,4327.98,10058.65,3879.40,7.01,201.28,506.21,3.39,18.96,3517.04,4737.30,5263.58,1349.99,19541.58,16673.13,6466.10,10.43,220.95,6661.10,0.13,0.29,0.12,-1.24,0.77,-0.34,1.25,0.82,0.36,0.11,0.35,0.34,212.96,214.88,213.81,123.43,124.09,124.16,7.70,3.42,2.68
"2015-06-27 13:30:00",0,0,0,18907.72,23994.03,5086.31,18266.38,714.51,3539.39,11350.99,22177.70,22183.23,5.53,0.71,1.23,1.42,0.50,213.47,123.65,5.11,59.99,0.72,0.55,1.28,13.21,6.21,14.57,0,-1.93,0,16647.07,4015.12,3331.84,0.57,16.86,5068.88,4328.20,10058.78,3879.40,7.02,201.28,506.21,3.39,18.96,3517.04,4737.32,5263.60,1350.07,19541.84,16673.30,6466.18,10.43,220.95,6661.10,0.27,0.32,0.12,1.00,0.56,-0.32,1.04,0.64,0.34,0.26,0.49,0.35,212.56,214.39,213.47,123.24,123.77,123.95,8.83,3.71,2.79
"2015-06-27 13:45:00",0,0,0,18907.93,23994.24,5086.31,18266.78,714.51,3539.39,11351.08,22178.08,22183.61,5.53,0.99,1.19,1.54,0.64,212.97,123.36,5.73,59.94,0.72,1.05,1.39,13.21,6.21,14.57,0,-1.93,0,16647.16,4015.21,3331.87,0.57,16.86,5068.88,4328.46,10058.91,3879.40,7.02,201.28,506.21,3.39,18.96,3517.04,4737.32,5263.61,1350.15,19542.12,16673.48,6466.27,10.43,220.95,6661.10,0.32,0.50,0.16,1.04,0.48,-0.33,1.09,0.69,0.37,0.30,0.72,0.44,212.18,213.87,212.87,122.84,123.55,123.71,8.44,5.74,3.00
