time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kWh)","Accumulated Real Energy, Phase B, Import (kWh)","Accumulated Real Energy, Phase C, Import (kWh)","Accumulated Real Energy, Phase A, Export (kWh)","Accumulated Real Energy, Phase B, Export (kWh)","Accumulated Real Energy, Phase C, Export (kWh)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-06-27 15:00:00",0,0,0,18908.88,23995.19,5086.31,18268.46,714.51,3539.39,11351.85,22179.54,22185.07,5.53,0.81,1.08,1.34,0.60,213.44,123.62,5.29,60.02,0.71,1.15,1.38,13.21,6.21,14.57,0,-1.93,0,16647.49,4015.60,3332.10,0.57,16.86,5068.88,4329.72,10059.35,3879.40,7.02,201.28,506.21,3.39,18.96,3517.04,4737.33,5263.94,1350.59,19543.42,16674.36,6466.78,10.43,220.95,6661.10,0.34,0.31,0.16,1.05,0.35,-0.33,1.10,0.47,0.36,0.31,0.66,0.44,212.38,214.42,213.52,123.12,123.78,123.97,8.56,4.37,2.92
"2015-06-27 15:15:00",0,0,0,18909.06,23995.38,5086.31,18268.79,714.51,3539.39,11352.00,22179.82,22185.35,5.53,0.64,-0.21,0.67,0.95,212.25,122.93,6.03,60.01,0.76,1.13,1.40,13.21,6.21,14.57,0,-1.93,0,16647.58,4015.66,3332.13,0.57,16.86,5068.88,4329.97,10059.42,3879.40,7.02,201.28,506.21,3.39,18.96,3517.04,4737.33,5264.00,1350.67,19543.69,16674.53,6466.87,10.43,220.95,6661.10,0.28,0.12,0.11,1.13,0.71,-0.32,1.17,0.72,0.34,0.24,0.17,0.31,211.47,213.41,212.12,122.35,123.32,123.28,7.72,2.92,2.70
"2015-06-27 15:30:00",0,0,0,18909.21,23995.52,5086.31,18269.06,714.51,3539.39,11352.21,22179.99,22185.52,5.53,0.64,-0.03,0.64,1.00,211.35,122.41,4.96,59.93,0.70,0.58,1.00,13.21,6.21,14.57,0,-1.93,0,16647.67,4015.69,3332.16,0.57,16.86,5068.88,4330.22,10059.44,3879.40,7.02,201.28,506.21,3.39,18.96,3517.04,4737.33,5264.13,1350.75,19543.96,16674.68,6466.96,10.43,220.95,6661.10,0.36,0.13,0.15,0.88,-0.59,-0.32,0.95,0.61,0.35,0.37,0.21,0.43,210.24,212.42,211.40,122.03,122.59,122.61,8.69,3.33,2.86
"2015-06-27 15:45:00",0,0,0,18909.34,23995.66,5086.31,18269.37,714.51,3539.39,11352.40,22180.19,22185.72,5.53,0.69,1.44,1.60,0.43,212.21,122.90,5.86,59.94,0.57,0.23,0.69,13.21,6.21,14.57,0,-1.93,0,16647.73,4015.74,3332.19,0.57,16.86,5068.88,4330.48,10059.49,3879.40,7.02,201.28,506.21,3.39,18.96,3517.04,4737.33,5264.24,1350.83,19544.22,16674.83,6467.04,10.43,220.95,6661.10,0.19,0.34,0.16,0.97,0.79,-0.32,0.98,0.86,0.36,0.19,0.39,0.45,211.14,213.20,212.29,122.47,123.13,123.10,9.82,4.76,3.00
"2015-06-27 16:00:00",0,0,0,18909.53,23995.84,5086.31,18269.73,714.51,3539.39,11352.50,22180.53,22186.06,5.53,0.89,1.41,1.67,0.53,211.13,122.28,5.76,60.02,0.58,0.60,0.93,13.21,6.21,14.57,0,-1.93,0,16647.79,4015.83,3332.23,0.57,16.86,5068.88,4330.72,10059.61,3879.40,7.02,201.28,506.21,3.39,18.96,3517.04,4737.33,5264.26,1350.91,19544.47,16675.01,6467.13,10.43,220.95,6661.10,0.24,0.50,0.15,0.94,0.81,-0.33,0.97,0.95,0.37,0.25,0.53,0.42,209.95,212.34,211.11,121.77,122.35,122.73,8.47,5.83,2.98
"2015-06-27 16:15:00",0,0,0,18909.71,23996.02,5086.31,18270.08,714.51,3539.39,11352.63,22180.86,22186.38,5.53,0.73,1.45,1.62,0.45,212.00,122.78,5.62,59.93,0.74,1.02,1.33,13.21,6.21,14.57,0,-1.93,0,16647.84,4015.92,3332.26,0.57,16.86,5068.88,4330.96,10059.72,3879.40,7.02,201.28,506.21,3.39,18.96,3517.04,4737.34,5264.29,1351.00,19544.73,16675.18,6467.22,10.44,220.95,6661.10,0.21,0.32,0.14,0.99,0.59,-0.35,1.01,0.67,0.38,0.22,0.39,0.42,210.81,213.07,212.10,122.26,122.94,123.14,8.28,5.46,3.10
"2015-06-27 16:30:00",0,0,0,18909.89,23996.21,5086.31,18270.46,714.51,3539.39,11352.74,22181.19,22186.72,5.53,0.57,0.07,0.57,0.99,212.62,123.14,4.65,59.99,0.71,0.92,1.30,13.21,6.21,14.57,0,-1.93,0,16647.91,4016.00,3332.29,0.57,16.86,5068.88,4331.21,10059.84,3879.40,7.02,201.28,506.21,3.39,18.96,3517.04,4737.34,5264.32,1351.08,19544.99,16675.35,6467.31,10.44,220.95,6661.10,0.30,0.12,0.14,1.05,-0.66,-0.31,1.09,0.68,0.34,0.28,0.18,0.42,211.53,213.39,212.95,122.62,123.42,123.36,8.04,2.98,2.92
"2015-06-27 16:45:00",0,0,0,18910.13,23996.44,5086.31,18270.77,714.51,3539.39,11352.94,22181.47,22187.00,5.53,9.15,5.48,10.66,0.86,210.69,122.02,28.96,59.99,0.73,0.92,1.24,13.21,6.21,14.57,0,-1.93,0,16648.03,4016.06,3332.36,0.57,16.86,5068.88,4331.48,10059.88,3879.42,7.02,201.28,506.21,3.39,18.96,3517.04,4737.34,5264.44,1351.16,19545.29,16675.53,6467.43,10.44,220.95,6661.10,3.23,2.80,3.12,2.10,1.73,1.65,3.85,3.29,3.53,0.84,0.85,0.88,209.74,211.62,210.71,121.36,122.28,122.41,31.45,26.66,28.76
"2015-06-27 17:00:00",0,0,0,18910.69,23997.00,5086.31,18271.28,714.51,3539.39,11353.08,22182.17,22187.70,5.53,0.63,1.29,1.43,0.44,212.65,123.15,5.03,60.01,2.23,1.24,2.61,13.21,6.21,14.57,0,-1.93,0,16648.25,4016.22,3332.53,0.57,16.86,5068.88,4331.78,10060.00,3879.50,7.02,201.28,506.21,3.39,18.96,3517.04,4737.34,5264.53,1351.22,19545.69,16675.81,6467.67,10.44,220.95,6661.11,0.36,0.13,0.13,1.00,0.60,-0.32,1.06,0.62,0.34,0.34,0.21,0.39,211.59,213.72,212.64,122.55,123.26,123.64,9.43,3.00,2.66
"2015-06-27 17:15:00",0,0,0,18910.88,23997.19,5086.31,18271.64,714.51,3539.39,11353.19,22182.50,22188.03,5.53,0.37,1.19,1.25,0.30,213.34,123.54,4.55,60.01,0.97,0.73,1.34,13.21,6.21,14.57,0,-1.93,0,16648.32,4016.31,3332.56,0.57,16.86,5068.88,4332.03,10060.11,3879.50,7.02,201.28,506.21,3.39,18.96,3517.04,4737.34,5264.56,1351.30,19545.95,16675.98,6467.76,10.44,220.95,6661.11,-0.05,0.22,0.15,0.86,0.39,-0.34,0.86,0.45,0.37,-0.05,0.34,0.46,212.32,214.25,213.44,123.01,123.71,123.92,7.02,3.61,3.00
