time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kWh)","Accumulated Real Energy, Phase B, Import (kWh)","Accumulated Real Energy, Phase C, Import (kWh)","Accumulated Real Energy, Phase A, Export (kWh)","Accumulated Real Energy, Phase B, Export (kWh)","Accumulated Real Energy, Phase C, Export (kWh)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-06-27 18:15:00",0,0,0,18912.51,23998.82,5086.31,18273.44,714.51,3539.39,11353.70,22184.70,22190.23,5.53,0.66,1.92,2.03,0.33,211.08,122.23,4.62,60.02,4.05,2.53,4.86,13.21,6.21,14.57,0,-1.93,0,16648.89,4016.89,3333.04,0.57,16.86,5068.88,4333.13,10060.63,3879.67,7.03,201.28,506.21,3.39,18.96,3517.04,4737.35,5264.74,1351.61,19547.27,16676.95,6468.48,10.44,220.95,6661.11,0.37,0.06,0.04,0.77,-0.52,-0.32,0.85,0.53,0.32,0.35,0.34,0.24,210.44,211.72,211.07,121.71,122.46,122.52,6.97,4.29,2.61
"2015-06-27 18:30:00",0,0,0,18912.68,23999.00,5086.31,18273.75,714.51,3539.39,11353.85,22184.97,22190.50,5.53,0.69,1.21,1.39,0.49,211.67,122.58,4.97,59.99,0.58,0.39,0.81,13.21,6.21,14.57,0,-1.93,0,16648.97,4016.95,3333.07,0.57,16.86,5068.88,4333.38,10060.70,3879.67,7.03,201.28,506.21,3.39,18.96,3517.05,4737.35,5264.81,1351.69,19547.54,16677.11,6468.57,10.44,220.95,6661.11,0.22,0.34,0.12,0.97,0.55,-0.31,0.99,0.65,0.34,0.22,0.52,0.37,211.20,212.44,211.38,122.20,122.61,122.93,8.04,4.12,2.75
"2015-06-27 18:45:00",0,0,0,18912.96,23999.27,5086.31,18274.18,714.51,3539.39,11353.94,22185.42,22190.95,5.53,9.57,5.65,11.11,0.86,211.80,122.65,30.07,59.94,0.71,0.75,1.15,13.21,6.21,14.57,0,-1.93,0,16649.06,4017.07,3333.14,0.57,16.86,5068.88,4333.64,10060.85,3879.69,7.03,201.28,506.21,3.39,18.96,3517.05,4737.35,5264.82,1351.77,19547.82,16677.32,6468.69,10.44,220.95,6661.11,3.23,3.11,3.23,2.11,1.91,1.63,3.86,3.65,3.61,0.84,0.85,0.89,211.04,212.66,211.69,122.05,122.76,123.14,31.59,29.21,29.40
"2015-06-27 19:00:00",0,0,0,18913.86,24000.18,5086.31,18274.88,714.51,3539.39,11354.02,22186.56,22192.09,5.53,0.77,-0.87,1.16,0.66,212.47,123.04,5.37,60.02,2.42,1.98,3.24,13.21,6.21,14.57,0,-1.93,0,16649.36,4017.39,3333.43,0.57,16.86,5068.88,4333.97,10061.09,3879.82,7.03,201.28,506.21,3.39,18.96,3517.05,4737.36,5264.83,1351.82,19548.31,16677.73,6469.05,10.44,220.95,6661.11,0.52,0.25,-0.01,-1.17,0.60,-0.29,1.28,0.65,0.29,0.41,0.38,-0.03,211.67,213.34,212.38,122.67,123.25,123.19,10.36,3.42,2.32
"2015-06-27 19:15:00",0,0,0,18914.04,24000.35,5086.31,18275.20,714.52,3539.39,11354.16,22186.85,22192.38,5.53,0.65,1.17,1.34,0.49,212.01,122.78,5.24,60.02,2.31,1.79,3.13,13.21,6.21,14.57,0,-1.93,0,16649.42,4017.46,3333.46,0.57,16.86,5068.88,4334.20,10061.18,3879.82,7.03,201.28,506.21,3.39,18.96,3517.05,4737.38,5264.89,1351.90,19548.56,16677.90,6469.13,10.44,220.95,6661.11,0.36,0.15,0.13,1.01,0.49,-0.32,1.07,0.51,0.34,0.35,0.31,0.47,211.26,212.74,212.03,122.29,122.96,123.08,8.74,4.17,2.79
"2015-06-27 19:30:00",0,0,0,18914.78,24001.09,5086.31,18275.76,714.52,3539.40,11354.30,22187.73,22193.26,5.53,9.85,5.14,11.11,0.89,210.31,121.79,30.77,60.01,0.68,0.67,1.09,13.21,6.21,14.57,0,-1.93,0,16649.71,4017.69,3333.70,0.57,16.86,5068.88,4334.51,10061.32,3879.93,7.03,201.28,506.21,3.39,18.96,3517.05,4737.38,5264.97,1351.95,19549.02,16678.24,6469.43,10.44,220.95,6661.11,3.48,3.02,3.34,1.63,1.95,1.55,3.85,3.60,3.68,0.91,0.84,0.91,209.80,211.16,209.98,121.05,122.18,122.15,33.67,28.45,30.20
"2015-06-27 19:45:00",0,0,0,18915.10,24001.42,5086.31,18276.14,714.52,3539.40,11354.45,22188.16,22193.69,5.53,0.82,1.27,1.51,0.54,210.26,121.76,5.06,60.02,3.67,2.18,4.40,13.21,6.21,14.57,0,-1.93,0,16649.85,4017.78,3333.79,0.57,16.86,5068.88,4334.78,10061.40,3879.97,7.03,201.28,506.21,3.39,18.96,3517.05,4737.38,5265.06,1352.01,19549.33,16678.45,6469.57,10.44,220.95,6661.12,0.20,0.36,0.27,0.93,0.66,-0.32,0.95,0.75,0.42,0.21,0.47,0.64,209.94,210.91,209.92,121.21,122.19,121.89,8.12,3.89,3.16
"2015-06-27 20:00:00",0,0,0,18915.55,24001.86,5086.32,18276.59,714.52,3539.40,11354.55,22188.77,22194.30,5.53,10.33,5.55,11.73,0.88,209.49,121.32,32.17,60.02,0.64,0.44,0.92,13.21,6.21,14.57,0,-1.93,0,16650.00,4017.95,3333.91,0.57,16.86,5068.89,4335.03,10061.55,3880.01,7.03,201.28,506.21,3.39,18.96,3517.06,4737.39,5265.09,1352.08,19549.65,16678.71,6469.75,10.45,220.95,6661.12,3.44,3.50,3.39,2.07,1.86,1.62,4.02,3.96,3.75,0.86,0.88,0.90,209.04,210.15,209.28,120.89,121.57,121.50,33.49,32.34,30.68
"2015-06-27 20:15:00",0,0,0,18916.34,24002.66,5086.32,18277.21,714.52,3539.40,11354.65,22189.75,22195.28,5.53,0.63,1.06,1.23,0.51,209.14,121.12,4.76,60.01,3.15,2.09,3.94,13.21,6.21,14.57,0,-1.93,0,16650.23,4018.26,3334.17,0.57,16.86,5068.89,4335.33,10061.77,3880.10,7.03,201.28,506.21,3.39,18.96,3517.06,4737.39,5265.10,1352.16,19550.06,16679.10,6470.08,10.45,220.95,6661.12,0.21,0.31,0.11,0.93,0.37,-0.28,0.95,0.48,0.30,0.23,0.61,0.30,208.73,209.75,208.95,120.59,121.44,121.32,7.88,3.93,2.47
"2015-06-27 20:30:00",0,0,0,18917.25,24003.56,5086.32,18277.88,714.52,3539.40,11354.72,22190.87,22196.40,5.53,10.09,5.57,11.53,0.88,209.79,121.49,31.57,59.99,1.77,1.41,2.41,13.21,6.21,14.57,0,-1.93,0,16650.53,4018.58,3334.46,0.57,16.86,5068.89,4335.65,10062.00,3880.22,7.03,201.28,506.21,3.39,18.96,3517.06,4737.39,5265.11,1352.22,19550.53,16679.52,6470.43,10.45,220.95,6661.12,3.40,3.31,3.39,2.11,1.86,1.61,3.99,3.79,3.75,0.85,0.87,0.90,209.13,210.62,209.60,120.85,121.78,121.84,32.84,31.10,30.77
