time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kWh)","Accumulated Real Energy, Phase B, Import (kWh)","Accumulated Real Energy, Phase C, Import (kWh)","Accumulated Real Energy, Phase A, Export (kWh)","Accumulated Real Energy, Phase B, Export (kWh)","Accumulated Real Energy, Phase C, Export (kWh)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-06-27 21:30:00",0,0,0,18919.67,24005.99,5086.32,18279.91,714.52,3539.41,11355.21,22193.86,22199.39,5.53,0.67,1.06,1.25,0.53,209.36,121.24,5.05,59.95,1.48,1.14,1.99,13.21,6.21,14.57,0,-1.93,0,16651.42,4019.38,3335.19,0.57,16.86,5068.89,4336.81,10062.57,3880.53,7.03,201.28,506.21,3.39,18.96,3517.06,4737.39,5265.37,1352.45,19552.09,16680.74,6471.39,10.45,220.95,6661.12,0.20,0.33,0.14,0.96,0.42,-0.32,0.98,0.53,0.35,0.20,0.61,0.39,208.79,210.09,209.19,120.63,121.57,121.52,8.07,4.17,2.92
"2015-06-27 21:45:00",0,0,0,18920.48,24006.80,5086.32,18280.53,714.52,3539.41,11355.28,22194.87,22200.40,5.53,10.31,5.62,11.74,0.88,209.91,121.56,32.11,60.02,3.46,2.37,4.32,13.21,6.21,14.57,0,-1.93,0,16651.68,4019.67,3335.44,0.57,16.86,5068.89,4337.12,10062.78,3880.64,7.03,201.28,506.21,3.39,18.96,3517.06,4737.39,5265.38,1352.51,19552.54,16681.12,6471.71,10.45,220.95,6661.12,3.49,3.37,3.45,2.20,1.87,1.55,4.12,3.85,3.78,0.85,0.87,0.91,209.23,210.54,209.96,120.98,121.86,121.85,33.80,31.28,31.26
"2015-06-27 22:00:00",0,0,0,18920.88,24007.20,5086.32,18280.96,714.52,3539.41,11355.40,22195.41,22200.94,5.53,0.40,-0.06,0.40,0.99,208.65,120.83,4.53,60.01,4.19,2.73,5.12,13.21,6.21,14.57,0,-1.93,0,16651.82,4019.82,3335.56,0.58,16.86,5068.89,4337.37,10062.90,3880.68,7.04,201.28,506.21,3.39,18.96,3517.06,4737.39,5265.44,1352.57,19552.85,16681.37,6471.88,10.45,220.96,6661.13,0.21,0.11,0.08,0.92,-0.67,-0.31,0.95,0.68,0.32,0.22,0.16,0.24,208.11,209.57,208.28,120.19,121.41,120.90,7.26,3.78,2.54
"2015-06-27 22:15:00",0,0,0,18921.96,24008.28,5086.32,18281.66,714.52,3539.41,11355.51,22196.67,22202.20,5.53,0.50,-0.19,0.53,0.94,208.98,121.02,4.63,60.01,0.61,0.61,1.02,13.21,6.21,14.57,0,-1.93,0,16652.21,4020.15,3335.92,0.58,16.86,5068.89,4337.72,10063.10,3880.84,7.04,201.28,506.21,3.39,18.96,3517.06,4737.39,5265.50,1352.61,19553.40,16681.82,6472.30,10.45,220.96,6661.13,0.30,0.10,0.09,0.90,-0.75,-0.34,0.95,0.76,0.35,0.32,0.13,0.27,208.58,209.94,208.42,120.36,121.42,121.27,7.91,3.24,2.73
"2015-06-27 22:30:00",0,0,0,18922.27,24008.58,5086.32,18282.01,714.52,3539.42,11355.68,22197.05,22202.58,5.53,10.05,5.31,11.47,0.87,208.20,120.57,31.42,60.01,4.34,2.39,5.04,13.21,6.21,14.57,0,-1.93,0,16652.35,4020.23,3336.00,0.58,16.86,5068.89,4337.97,10063.17,3880.87,7.04,201.28,506.21,3.39,18.96,3517.07,4737.39,5265.60,1352.68,19553.70,16682.02,6472.43,10.45,220.96,6661.13,3.47,3.22,3.35,1.93,1.85,1.53,3.97,3.71,3.68,0.87,0.87,0.91,207.54,209.14,207.97,119.97,120.95,120.83,33.91,30.27,30.52
"2015-06-27 22:45:00",0,0,0,18923.39,24009.71,5086.32,18282.74,714.52,3539.42,11355.75,22198.38,22203.91,5.53,4.42,1.06,4.54,0.97,208.77,120.91,15.06,60.01,2.64,1.46,3.12,13.21,6.21,14.57,0,-1.93,0,16652.75,4020.61,3336.34,0.58,16.86,5068.89,4338.31,10063.42,3881.01,7.04,201.28,506.21,3.39,18.96,3517.07,4737.39,5265.61,1352.74,19554.23,16682.50,6472.84,10.45,220.96,6661.13,0.60,2.03,1.79,0.91,1.00,-1.13,1.09,2.26,2.12,0.55,0.90,0.85,208.12,209.43,208.59,120.38,121.07,121.17,9.23,18.68,17.35
"2015-06-27 23:00:00",0,0,0,18924.51,24010.82,5086.32,18283.48,714.52,3539.42,11355.83,22199.71,22205.24,5.53,1.38,2.46,2.72,0.50,211.10,122.25,7.76,59.97,3.41,1.97,4.05,13.21,6.21,14.57,0,-1.93,0,16653.10,4021.01,3336.71,0.58,16.86,5068.89,4338.64,10063.69,3881.16,7.04,201.28,506.21,3.39,18.96,3517.07,4737.39,5265.62,1352.81,19554.75,16683.00,6473.28,10.45,220.96,6661.13,0.44,0.50,0.44,1.08,0.89,0.49,1.16,1.02,0.66,0.38,0.49,0.67,210.17,211.59,211.28,121.80,122.29,122.51,9.72,7.62,5.50
"2015-06-27 23:15:00",0,0,0,18924.73,24011.04,5086.32,18283.83,714.53,3539.42,11355.94,22200.07,22205.60,5.53,0.82,1.29,1.53,0.54,210.40,121.84,5.89,59.98,4.19,2.70,5.14,13.21,6.21,14.57,0,-1.93,0,16653.19,4021.11,3336.75,0.58,16.86,5068.89,4338.87,10063.80,3881.16,7.04,201.28,506.21,3.39,18.96,3517.07,4737.40,5265.66,1352.88,19555.00,16683.17,6473.37,10.45,220.96,6661.13,0.36,0.31,0.15,0.94,0.67,-0.32,1.01,0.74,0.35,0.36,0.43,0.41,209.92,211.48,209.79,120.94,122.71,121.88,8.42,6.15,3.10
"2015-06-27 23:30:00",0,0,0,18925.82,24012.13,5086.32,18284.55,714.53,3539.42,11356.04,22201.34,22206.87,5.53,0.56,-0.09,1.44,0.37,212.69,123.17,5.97,59.94,0.85,0.91,1.33,13.21,6.21,14.57,0,-1.93,0,16653.58,4021.45,3337.10,0.58,16.86,5068.89,4339.23,10064.01,3881.32,7.04,201.28,506.21,3.39,18.96,3517.07,4737.40,5265.71,1352.92,19555.56,16683.62,6473.79,10.45,220.96,6661.13,0.34,0.10,0.13,1.02,-0.78,-0.32,1.07,0.79,0.34,0.31,0.13,0.37,211.95,213.81,212.53,122.46,123.65,123.52,8.44,3.44,2.49
"2015-06-27 23:45:00",0,0,0,18926.53,24012.85,5086.32,18285.08,714.53,3539.42,11356.19,22202.17,22207.70,5.53,10.15,5.54,11.51,0.88,210.36,121.82,31.71,60.01,4.33,2.39,5.03,13.21,6.21,14.57,0,-1.93,0,16653.86,4021.66,3337.33,0.58,16.86,5068.89,4339.54,10064.13,3881.42,7.04,201.28,506.21,3.39,18.96,3517.07,4737.40,5265.81,1352.98,19556.00,16683.95,6474.08,10.45,220.96,6661.13,3.51,3.21,3.43,2.33,1.64,1.57,4.21,3.60,3.77,0.83,0.89,0.91,209.83,211.26,210.26,121.51,122.14,121.97,34.02,29.78,31.19
