time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kWh)","Accumulated Real Energy, Phase B, Import (kWh)","Accumulated Real Energy, Phase C, Import (kWh)","Accumulated Real Energy, Phase A, Export (kWh)","Accumulated Real Energy, Phase B, Export (kWh)","Accumulated Real Energy, Phase C, Export (kWh)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-06-28 01:00:00",0,0,0,18929.64,24015.96,5086.32,18287.74,714.54,3539.43,11356.80,22206.19,22211.72,5.53,9.70,5.69,11.24,0.86,212.51,123.06,30.42,59.94,2.25,1.24,2.94,13.21,6.21,14.57,0,-1.93,0,16654.95,4022.73,3338.28,0.58,16.86,5068.89,4340.95,10064.96,3881.84,7.05,201.28,506.21,3.39,18.96,3517.08,4737.48,5266.04,1353.28,19557.99,16685.54,6475.33,10.46,220.96,6661.14,3.37,3.04,3.27,2.25,1.84,1.55,4.05,3.55,3.62,0.83,0.86,0.90,211.89,213.21,212.17,122.45,123.46,123.13,32.73,28.52,29.68
"2015-06-28 01:15:00",0,0,0,18930.13,24016.45,5086.32,18288.22,714.54,3539.43,11356.94,22206.81,22212.34,5.53,0.86,1.21,1.48,0.58,213.63,123.71,5.13,60.02,3.59,1.96,4.34,13.21,6.21,14.57,0,-1.93,0,16655.15,4022.88,3338.42,0.58,16.86,5068.89,4341.25,10065.07,3881.91,7.05,201.28,506.21,3.39,18.96,3517.08,4737.48,5266.11,1353.34,19558.37,16685.79,6475.54,10.46,220.96,6661.14,0.37,0.33,0.17,1.02,0.51,-0.33,1.09,0.61,0.37,0.34,0.54,0.45,212.88,214.60,213.43,123.13,123.96,124.05,8.68,3.93,2.77
"2015-06-28 01:30:00",0,0,0,18930.96,24017.28,5086.32,18288.83,714.54,3539.43,11357.05,22207.81,22213.34,5.53,10.09,5.74,11.60,0.87,212.58,123.10,31.37,60.01,0.73,0.66,1.11,13.21,6.21,14.57,0,-1.93,0,16655.40,4023.19,3338.69,0.58,16.86,5068.89,4341.56,10065.29,3881.99,7.05,201.28,506.21,3.39,18.96,3517.08,4737.49,5266.13,1353.44,19558.79,16686.19,6475.87,10.46,220.96,6661.14,3.33,3.43,3.33,2.16,1.95,1.63,3.97,3.94,3.70,0.84,0.87,0.90,212.04,213.63,212.07,122.22,123.76,123.33,32.49,31.70,29.93
"2015-06-28 01:45:00",0,0,0,18931.44,24017.76,5086.32,18289.34,714.54,3539.43,11357.15,22208.48,22214.01,5.53,0.66,1.11,1.29,0.51,213.48,123.63,5.58,60.01,4.37,2.61,5.21,13.21,6.21,14.57,0,-1.93,0,16655.56,4023.37,3338.82,0.58,16.86,5068.89,4341.83,10065.46,3882.05,7.05,201.28,506.21,3.39,18.96,3517.08,4737.50,5266.15,1353.50,19559.14,16686.46,6476.07,10.46,220.96,6661.14,0.25,0.30,0.11,0.82,0.75,-0.38,0.86,0.81,0.40,0.29,0.37,0.29,212.73,214.68,212.89,122.91,124.03,123.87,7.98,4.07,2.75
"2015-06-28 02:00:00",0,0,0,18931.71,24018.03,5086.32,18289.62,714.54,3539.43,11357.34,22208.84,22214.37,5.53,1.32,-0.06,1.32,1.00,214.61,124.28,6.99,59.98,0.79,1.03,1.43,13.21,6.21,14.57,0,-1.93,0,16655.62,4023.55,3338.86,0.58,16.86,5068.89,4342.06,10065.52,3882.05,7.05,201.28,506.21,3.39,18.96,3517.08,4737.52,5266.23,1353.58,19559.39,16686.70,6476.16,10.46,220.96,6661.14,0.20,0.92,0.11,1.10,-0.60,-0.37,1.12,1.10,0.39,0.18,0.84,0.30,213.57,215.46,214.80,124.07,124.20,124.58,7.65,8.30,2.81
"2015-06-28 02:15:00",0,0,0,18931.84,24018.16,5086.32,18289.87,714.54,3539.43,11357.56,22209.04,22214.57,5.53,0.23,-1.44,0.38,0.90,213.98,123.92,4.02,60.00,1.12,0.24,1.40,13.21,6.21,14.57,0,-1.93,0,16655.68,4023.59,3338.89,0.58,16.86,5068.89,4342.28,10065.54,3882.05,7.05,201.28,506.21,3.39,18.96,3517.08,4737.54,5266.36,1353.66,19559.65,16686.86,6476.24,10.47,220.96,6661.14,-0.01,0.08,0.17,-0.80,-0.31,-0.33,0.80,0.32,0.37,-0.02,0.25,0.44,213.17,214.92,213.73,123.31,124.28,124.10,7.29,3.98,2.81
"2015-06-28 02:30:00",0,0,0,18931.99,24018.31,5086.32,18290.16,714.54,3539.44,11357.74,22209.31,22214.84,5.53,0.55,0.27,0.61,0.90,215.05,124.54,5.57,60.02,0.46,0.09,0.79,13.21,6.21,14.57,0,-1.93,0,16655.75,4023.64,3338.92,0.58,16.86,5068.89,4342.51,10065.60,3882.05,7.05,201.28,506.21,3.39,18.96,3517.08,4737.56,5266.44,1353.73,19559.91,16687.01,6476.32,10.47,220.96,6661.15,0.19,0.24,0.12,1.24,-0.69,-0.28,1.26,0.73,0.31,0.15,0.33,0.39,214.07,216.18,214.90,123.92,124.66,125.03,8.10,5.79,2.81
"2015-06-28 02:45:00",0,0,0,18932.22,24018.54,5086.32,18290.55,714.54,3539.44,11357.83,22209.69,22215.22,5.53,2.20,1.56,2.70,0.82,214.57,124.26,8.99,60.01,0.66,0.60,1.15,13.21,6.21,14.57,0,-1.93,0,16655.86,4023.72,3338.96,0.58,16.86,5068.89,4342.77,10065.72,3882.05,7.05,201.28,506.21,3.39,18.96,3517.08,4737.57,5266.46,1353.81,19560.20,16687.18,6476.41,10.47,220.96,6661.15,1.61,0.48,0.11,1.25,0.64,-0.33,2.04,0.80,0.35,0.79,0.60,0.32,213.60,215.67,214.43,123.42,124.34,125.01,18.03,6.26,2.68
"2015-06-28 03:00:00",0,0,0,18932.74,24019.06,5086.32,18290.95,714.54,3539.44,11357.97,22210.29,22215.83,5.53,2.26,0.23,2.28,0.99,214.21,124.05,8.89,60.01,1.12,1.13,1.69,13.21,6.21,14.57,0,-1.93,0,16656.25,4023.82,3338.99,0.58,16.86,5068.89,4343.08,10065.82,3882.05,7.05,201.28,506.21,3.39,18.96,3517.08,4737.57,5266.51,1353.89,19560.71,16687.36,6476.50,10.47,220.96,6661.15,1.59,0.52,0.15,1.25,0.75,-0.33,2.02,0.91,0.36,0.79,0.57,0.40,213.13,215.54,213.94,123.00,124.30,124.84,16.55,5.81,2.92
"2015-06-28 03:15:00",0,0,0,18933.26,24019.58,5086.32,18291.36,714.54,3539.44,11358.10,22210.90,22216.43,5.53,2.16,1.18,2.46,0.88,214.09,123.99,8.06,60.01,2.10,1.09,2.43,13.21,6.21,14.57,0,-1.93,0,16656.63,4023.92,3339.03,0.58,16.86,5068.89,4343.39,10065.92,3882.05,7.05,201.28,506.21,3.39,18.96,3517.08,4737.57,5266.55,1353.98,19561.19,16687.54,6476.60,10.47,220.96,6661.15,1.48,0.57,0.11,1.21,0.35,-0.37,1.91,0.67,0.39,0.78,0.85,0.28,213.22,215.40,213.65,122.97,124.32,124.67,15.47,5.90,2.81
