time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kWh)","Accumulated Real Energy, Phase B, Import (kWh)","Accumulated Real Energy, Phase C, Import (kWh)","Accumulated Real Energy, Phase A, Export (kWh)","Accumulated Real Energy, Phase B, Export (kWh)","Accumulated Real Energy, Phase C, Export (kWh)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-06-28 04:15:00",0,0,0,18935.44,24021.76,5086.32,18293.01,714.54,3539.44,11358.65,22213.40,22218.93,5.53,1.72,0.67,1.85,0.93,215.28,124.69,7.30,60.01,2.10,1.14,2.45,13.21,6.21,14.57,0,-1.93,0,16658.15,4024.37,3339.24,0.58,16.86,5068.89,4344.62,10066.34,3882.05,7.05,201.28,506.21,3.39,18.96,3517.09,4737.57,5266.73,1354.36,19563.15,16688.30,6477.05,10.47,220.96,6661.15,1.44,0.12,0.16,1.48,-0.56,-0.25,2.06,0.57,0.30,0.70,0.21,0.55,214.51,216.14,215.19,123.59,125.21,125.27,15.01,3.96,2.94
"2015-06-28 04:30:00",0,0,0,18935.92,24022.24,5086.32,18293.32,714.54,3539.44,11358.88,22213.89,22219.42,5.53,1.90,0.54,1.98,0.96,214.86,124.45,7.93,60.08,2.60,0.87,2.81,13.21,6.21,14.57,0,-1.93,0,16658.54,4024.42,3339.28,0.58,16.86,5068.89,4344.92,10066.35,3882.05,7.05,201.28,506.21,3.39,18.96,3517.09,4737.57,5266.87,1354.44,19563.65,16688.46,6477.14,10.47,220.96,6661.15,1.59,0.18,0.14,1.25,-0.40,-0.32,2.02,0.43,0.34,0.79,0.40,0.40,213.97,216.00,214.61,123.28,124.91,125.14,16.20,4.72,2.88
"2015-06-28 04:45:00",0,0,0,18936.37,24022.69,5086.32,18293.62,714.54,3539.45,11359.09,22214.36,22219.89,5.53,1.99,1.32,2.39,0.83,215.40,124.77,8.21,60.06,1.90,0.33,1.96,13.21,6.21,14.57,0,-1.93,0,16658.92,4024.46,3339.31,0.58,16.86,5068.89,4345.22,10066.36,3882.05,7.05,201.28,506.21,3.39,18.96,3517.09,4737.57,5267.00,1354.52,19564.13,16688.61,6477.23,10.47,220.96,6661.15,1.48,0.34,0.17,1.06,0.73,-0.46,1.82,0.80,0.49,0.81,0.43,0.35,214.43,216.36,215.43,123.98,125.14,125.18,15.70,5.91,3.00
"2015-06-28 05:00:00",0,0,0,18936.87,24023.19,5086.32,18294.03,714.54,3539.45,11359.22,22214.95,22220.48,5.53,1.91,1.36,2.34,0.81,215.67,124.92,7.80,60.01,1.82,0.46,1.94,13.21,6.21,14.57,0,-1.93,0,16659.29,4024.56,3339.35,0.58,16.86,5068.89,4345.51,10066.46,3882.05,7.05,201.28,506.21,3.39,18.96,3517.09,4737.57,5267.04,1354.61,19564.60,16688.79,6477.32,10.47,220.96,6661.15,1.46,0.33,0.14,1.16,0.57,-0.36,1.87,0.65,0.39,0.78,0.50,0.37,214.75,216.54,215.71,123.95,125.27,125.54,15.05,5.22,3.12
"2015-06-28 05:15:00",0,0,0,18937.38,24023.70,5086.32,18294.44,714.54,3539.45,11359.34,22215.54,22221.07,5.53,1.95,0.18,1.95,1.00,215.26,124.69,7.70,60.01,2.00,1.10,2.35,13.21,6.21,14.57,0,-1.93,0,16659.66,4024.66,3339.38,0.58,16.86,5068.89,4345.82,10066.57,3882.05,7.05,201.28,506.21,3.39,18.96,3517.09,4737.57,5267.08,1354.70,19565.08,16688.96,6477.42,10.47,220.96,6661.15,1.47,0.34,0.13,1.19,-0.64,-0.37,1.89,0.72,0.39,0.78,0.47,0.34,214.40,215.73,215.63,124.00,124.87,125.20,15.36,4.52,3.22
"2015-06-28 05:30:00",0,0,0,18937.91,24024.23,5086.32,18294.85,714.54,3539.45,11359.48,22216.16,22221.69,5.53,2.31,1.33,2.66,0.87,215.46,124.80,8.17,60.01,2.03,1.14,2.38,13.21,6.21,14.57,0,-1.93,0,16660.05,4024.76,3339.42,0.58,16.86,5068.89,4346.12,10066.67,3882.05,7.05,201.28,506.21,3.39,18.96,3517.09,4737.57,5267.12,1354.79,19565.58,16689.14,6477.52,10.47,220.96,6661.15,1.55,0.55,0.21,1.30,0.37,-0.33,2.02,0.66,0.39,0.77,0.83,0.53,214.57,216.31,215.49,123.99,125.17,125.25,15.78,5.44,3.29
"2015-06-28 05:45:00",0,0,0,18938.43,24024.75,5086.32,18295.22,714.54,3539.45,11359.64,22216.74,22222.27,5.53,2.25,-0.29,2.27,0.99,214.67,124.36,9.09,60.02,2.18,1.12,2.50,13.21,6.21,14.57,0,-1.93,0,16660.45,4024.85,3339.46,0.58,16.86,5068.89,4346.43,10066.74,3882.05,7.05,201.28,506.21,3.39,18.96,3517.10,4737.57,5267.20,1354.88,19566.08,16689.31,6477.61,10.47,220.96,6661.16,1.71,0.39,0.14,0.84,-0.77,-0.36,1.91,0.87,0.39,0.90,0.45,0.37,213.80,215.58,214.64,123.50,124.79,124.78,17.80,6.32,3.16
"2015-06-28 06:00:00",0,0,0,18938.91,24025.23,5086.32,18295.53,714.54,3539.45,11359.86,22217.22,22222.76,5.53,1.94,0.18,1.95,1.00,215.40,124.78,8.37,60.00,2.04,0.71,2.23,13.21,6.21,14.57,0,-1.93,0,16660.84,4024.89,3339.49,0.58,16.86,5068.89,4346.73,10066.74,3882.05,7.05,201.28,506.21,3.39,18.96,3517.10,4737.57,5267.34,1354.96,19566.58,16689.47,6477.70,10.47,220.96,6661.16,1.62,0.21,0.16,1.25,-0.66,-0.35,2.04,0.70,0.38,0.79,0.31,0.42,214.49,216.41,215.31,123.84,125.19,125.30,16.51,5.56,3.04
"2015-06-28 06:15:00",0,0,0,18939.37,24025.69,5086.32,18295.84,714.54,3539.45,11360.07,22217.70,22223.23,5.53,2.16,-0.18,2.17,1.00,213.25,123.50,7.97,60.02,1.89,0.34,1.94,13.21,6.21,14.57,0,-1.93,0,16661.21,4024.95,3339.53,0.58,16.86,5068.89,4347.03,10066.76,3882.05,7.05,201.28,506.21,3.39,18.96,3517.10,4737.57,5267.46,1355.05,19567.06,16689.62,6477.80,10.47,220.96,6661.16,1.72,0.40,0.04,0.68,-0.46,-0.41,1.85,0.61,0.41,0.93,0.66,0.10,212.38,214.20,213.16,122.66,124.02,123.83,17.16,4.35,2.39
"2015-06-28 06:30:00",0,0,0,18939.86,24026.18,5086.32,18296.22,714.54,3539.46,11360.21,22218.28,22223.81,5.53,2.09,1.32,2.47,0.85,213.16,123.45,7.71,59.95,1.85,0.50,1.97,13.21,6.21,14.57,0,-1.93,0,16661.58,4025.05,3339.56,0.58,16.86,5068.89,4347.33,10066.84,3882.05,7.05,201.28,506.21,3.39,18.96,3517.10,4737.57,5267.51,1355.14,19567.54,16689.79,6477.89,10.47,220.96,6661.16,1.52,0.39,0.18,1.09,0.58,-0.36,1.87,0.70,0.40,0.81,0.55,0.45,212.26,214.05,213.17,122.66,123.97,123.73,15.93,4.07,3.12
