time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kWh)","Accumulated Real Energy, Phase B, Import (kWh)","Accumulated Real Energy, Phase C, Import (kWh)","Accumulated Real Energy, Phase A, Export (kWh)","Accumulated Real Energy, Phase B, Export (kWh)","Accumulated Real Energy, Phase C, Export (kWh)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-06-28 07:45:00",0,0,0,18942.45,24028.77,5086.32,18298.08,714.54,3539.46,11361.07,22221.13,22226.67,5.53,1.94,1.61,2.52,0.77,213.71,123.77,7.87,60.02,1.86,0.38,1.93,13.21,6.21,14.57,0,-1.93,0,16663.48,4025.49,3339.80,0.58,16.86,5068.89,4348.87,10067.16,3882.05,7.05,201.28,506.21,3.39,18.96,3517.10,4737.57,5267.91,1355.60,19569.99,16690.66,6478.42,10.47,220.96,6661.16,1.47,0.34,0.12,1.20,0.75,-0.34,1.90,0.83,0.36,0.78,0.42,0.34,212.60,214.74,213.77,122.85,124.04,124.43,15.49,5.27,2.86
"2015-06-28 08:00:00",0,0,0,18942.95,24029.27,5086.32,18298.49,714.54,3539.46,11361.20,22221.72,22227.26,5.53,1.93,1.47,2.43,0.79,214.42,124.19,8.29,60.01,1.95,0.98,2.25,13.21,6.21,14.57,0,-1.93,0,16663.84,4025.59,3339.83,0.58,16.86,5068.89,4349.18,10067.26,3882.05,7.05,201.28,506.21,3.39,18.96,3517.10,4737.57,5267.95,1355.68,19570.47,16690.84,6478.52,10.47,220.96,6661.16,1.45,0.34,0.14,1.25,0.72,-0.34,1.91,0.80,0.37,0.76,0.51,0.34,213.26,215.62,214.39,123.18,124.64,124.74,15.51,6.41,2.94
"2015-06-28 08:15:00",0,0,0,18943.46,24029.78,5086.32,18298.91,714.54,3539.46,11361.32,22222.33,22227.86,5.53,2.08,1.63,2.52,0.84,213.75,123.80,8.40,60.02,2.00,1.14,2.36,13.21,6.21,14.57,0,-1.93,0,16664.21,4025.69,3339.87,0.58,16.86,5068.89,4349.49,10067.37,3882.05,7.05,201.28,506.21,3.39,18.96,3517.10,4737.57,5267.98,1355.77,19570.95,16691.02,6478.61,10.47,220.96,6661.16,1.58,0.35,0.15,1.33,0.61,-0.31,2.06,0.70,0.34,0.76,0.50,0.45,212.76,214.86,213.76,122.86,124.16,124.45,16.49,3.74,2.81
"2015-06-28 08:30:00",0,0,0,18943.97,24030.29,5086.32,18299.29,714.54,3539.46,11361.48,22222.91,22228.44,5.53,2.13,0.15,2.13,1.00,214.18,124.04,7.92,60.01,2.07,1.19,2.45,13.21,6.21,14.57,0,-1.93,0,16664.61,4025.78,3339.91,0.58,16.86,5068.89,4349.80,10067.44,3882.05,7.05,201.28,506.21,3.39,18.96,3517.10,4737.57,5268.05,1355.86,19571.46,16691.19,6478.71,10.47,220.96,6661.16,1.61,0.38,0.14,1.28,-0.74,-0.39,2.05,0.83,0.41,0.78,0.46,0.33,213.18,215.07,214.28,123.26,124.39,124.46,16.62,4.40,2.73
"2015-06-28 08:45:00",0,0,0,18944.45,24030.77,5086.32,18299.63,714.54,3539.46,11361.69,22223.41,22228.94,5.53,1.91,0.30,1.93,0.99,213.83,123.84,8.10,59.98,2.04,0.82,2.26,13.21,6.21,14.57,0,-1.93,0,16665.00,4025.83,3339.94,0.58,16.86,5068.89,4350.12,10067.45,3882.05,7.05,201.28,506.21,3.39,18.96,3517.10,4737.57,5268.18,1355.94,19571.96,16691.34,6478.80,10.47,220.96,6661.16,1.58,0.19,0.14,1.22,-0.57,-0.35,1.99,0.60,0.37,0.79,0.32,0.37,212.84,214.60,214.05,123.06,124.15,124.30,16.84,4.43,3.02
"2015-06-28 09:00:00",0,0,0,18944.92,24031.24,5086.32,18299.96,714.54,3539.46,11361.90,22223.91,22229.44,5.53,1.92,1.37,2.36,0.81,213.81,123.83,7.93,59.99,1.88,0.47,1.99,13.21,6.21,14.57,0,-1.93,0,16665.39,4025.88,3339.97,0.58,16.86,5068.89,4350.44,10067.48,3882.05,7.05,201.28,506.21,3.39,18.96,3517.10,4737.57,5268.31,1356.03,19572.47,16691.49,6478.89,10.47,220.96,6661.16,1.43,0.33,0.13,1.26,0.56,-0.35,1.91,0.65,0.38,0.75,0.51,0.34,212.94,214.63,213.73,122.98,124.12,124.31,15.49,3.66,2.96
"2015-06-28 09:15:00",0,0,0,18945.43,24031.75,5086.32,18300.38,714.54,3539.46,11362.03,22224.51,22230.04,5.53,1.67,1.48,2.27,0.71,215.11,124.57,7.31,60.01,1.90,0.62,2.06,13.21,6.21,14.57,0,-1.93,0,16665.76,4025.98,3340.01,0.58,16.86,5068.89,4350.75,10067.58,3882.05,7.05,201.28,506.21,3.39,18.96,3517.10,4737.57,5268.35,1356.11,19572.96,16691.67,6478.98,10.47,220.96,6661.16,1.18,0.32,0.16,1.10,0.69,-0.31,1.61,0.76,0.35,0.73,0.42,0.46,214.06,215.91,215.23,123.75,124.83,125.06,14.17,3.73,3.08
"2015-06-28 09:30:00",0,0,0,18945.94,24032.26,5086.32,18300.79,714.54,3539.46,11362.16,22225.11,22230.64,5.53,2.17,0.12,2.17,1.00,214.72,124.35,7.95,60.01,2.02,1.11,2.38,13.21,6.21,14.57,0,-1.93,0,16666.13,4026.08,3340.05,0.58,16.86,5068.89,4351.07,10067.68,3882.05,7.05,201.28,506.21,3.39,18.96,3517.10,4737.57,5268.39,1356.20,19573.45,16691.85,6479.08,10.47,220.96,6661.16,1.50,0.54,0.13,1.15,-0.67,-0.36,1.89,0.86,0.38,0.79,0.63,0.36,213.65,215.59,214.94,123.56,124.63,124.87,15.93,5.06,2.86
"2015-06-28 09:45:00",0,0,0,18946.46,24032.78,5086.32,18301.21,714.54,3539.46,11362.28,22225.73,22231.26,5.53,2.76,1.54,3.16,0.87,215.20,124.63,8.92,60.02,2.06,1.18,2.43,13.21,6.21,14.57,0,-1.93,0,16666.50,4026.19,3340.08,0.58,16.86,5068.89,4351.39,10067.78,3882.05,7.05,201.28,506.21,3.39,18.96,3517.10,4737.57,5268.43,1356.29,19573.94,16692.03,6479.17,10.47,220.96,6661.16,1.93,0.57,0.26,1.35,0.48,-0.29,2.35,0.74,0.39,0.82,0.77,0.67,214.23,215.95,215.41,124.03,124.79,125.07,18.44,5.24,3.08
"2015-06-28 10:00:00",0,0,0,18947.07,24033.39,5086.32,18301.60,714.54,3539.46,11362.50,22226.38,22231.91,5.53,1.91,1.75,2.60,0.74,215.35,124.71,8.24,60.01,2.09,1.15,2.46,13.21,6.21,14.57,0,-1.93,0,16666.90,4026.31,3340.19,0.58,16.86,5068.89,4351.71,10067.84,3882.05,7.05,201.28,506.21,3.39,18.96,3517.10,4737.57,5268.53,1356.41,19574.46,16692.24,6479.34,10.47,220.96,6661.16,1.61,0.18,0.12,1.34,0.75,-0.34,2.10,0.77,0.36,0.77,0.23,0.34,214.53,215.85,215.65,124.05,125.00,125.09,16.94,4.87,2.90
