time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kWh)","Accumulated Real Energy, Phase B, Import (kWh)","Accumulated Real Energy, Phase C, Import (kWh)","Accumulated Real Energy, Phase A, Export (kWh)","Accumulated Real Energy, Phase B, Export (kWh)","Accumulated Real Energy, Phase C, Export (kWh)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-06-28 17:45:00",0,0,0,18957.59,24043.91,5086.32,18313.85,714.57,3539.46,11366.54,22240.53,22246.06,5.53,0.72,0.05,0.72,1.00,211.65,122.56,5.05,60.01,1.01,1.10,1.53,13.21,6.21,14.57,0,-1.93,0,16673.37,4028.64,3341.90,0.58,16.86,5068.89,4360.20,10070.30,3883.35,7.08,201.28,506.21,3.39,18.97,3517.11,4737.62,5270.52,1358.41,19585.91,16697.40,6483.11,10.50,220.96,6661.17,0.21,0.35,0.16,0.86,-0.49,-0.33,0.89,0.60,0.36,0.24,0.59,0.43,210.84,212.04,212.07,122.04,122.88,122.76,6.94,5.12,3.10
"2015-06-28 18:00:00",0,0,0,18957.75,24044.07,5086.32,18314.16,714.57,3539.47,11366.69,22240.79,22246.32,5.53,0.73,0.79,1.07,0.68,209.77,121.48,4.34,60.02,0.70,0.93,1.26,13.21,6.21,14.57,0,-1.93,0,16673.46,4028.69,3341.93,0.58,16.86,5068.89,4360.43,10070.37,3883.35,7.08,201.28,506.21,3.39,18.97,3517.11,4737.62,5270.59,1358.48,19586.16,16697.56,6483.19,10.50,220.96,6661.17,0.35,0.26,0.12,0.79,0.29,-0.30,0.87,0.39,0.32,0.41,0.67,0.36,209.22,210.42,209.66,120.84,122.09,121.51,7.18,3.22,2.64
"2015-06-28 18:15:00",0,0,0,18958.04,24044.36,5086.32,18314.47,714.57,3539.47,11366.90,22241.12,22246.65,5.53,0.61,0.05,0.61,1.00,212.87,123.28,4.71,59.98,0.63,0.56,0.97,13.21,6.21,14.57,0,-1.93,0,16673.54,4028.79,3342.03,0.58,16.86,5068.89,4360.68,10070.44,3883.35,7.08,201.28,506.21,3.39,18.97,3517.11,4737.62,5270.69,1358.59,19586.43,16697.77,6483.35,10.50,220.96,6661.18,0.34,0.16,0.14,0.96,-0.35,-0.31,1.01,0.38,0.34,0.33,0.41,0.42,212.42,213.50,212.69,122.50,123.88,123.44,8.27,3.06,2.79
"2015-06-28 18:30:00",0,0,0,18958.22,24044.55,5086.32,18314.79,714.57,3539.47,11367.05,22241.39,22246.93,5.53,0.95,1.08,1.43,0.66,212.26,122.92,5.63,60.00,1.15,0.35,1.30,13.21,6.21,14.57,0,-1.93,0,16673.63,4028.86,3342.06,0.58,16.86,5068.89,4360.93,10070.52,3883.35,7.08,201.28,506.21,3.39,18.97,3517.11,4737.62,5270.76,1358.68,19586.69,16697.94,6483.44,10.50,220.96,6661.18,0.34,0.47,0.14,0.97,0.44,-0.33,1.03,0.65,0.36,0.33,0.73,0.38,211.74,212.63,212.41,122.37,123.26,123.14,8.79,5.24,2.88
"2015-06-28 18:45:00",0,0,0,18958.43,24044.76,5086.32,18315.17,714.57,3539.47,11367.15,22241.76,22247.29,5.53,0.84,1.09,1.38,0.61,211.49,122.48,5.40,59.94,0.78,0.86,1.23,13.21,6.21,14.57,0,-1.93,0,16673.71,4028.95,3342.10,0.58,16.86,5068.89,4361.18,10070.65,3883.35,7.08,201.28,506.21,3.39,18.97,3517.11,4737.62,5270.77,1358.76,19586.96,16698.11,6483.52,10.50,220.96,6661.18,0.35,0.34,0.15,0.97,0.44,-0.32,1.03,0.56,0.35,0.34,0.62,0.44,210.95,212.23,211.31,121.87,122.82,122.74,8.38,4.77,3.04
"2015-06-28 19:00:00",0,0,0,18958.64,24044.96,5086.32,18315.55,714.57,3539.47,11367.24,22242.11,22247.64,5.53,0.72,1.06,1.28,0.56,211.13,122.27,5.02,60.01,0.83,1.14,1.44,13.21,6.21,14.57,0,-1.93,0,16673.80,4029.04,3342.13,0.58,16.86,5068.89,4361.42,10070.78,3883.35,7.08,201.28,506.21,3.39,18.97,3517.11,4737.62,5270.78,1358.84,19587.22,16698.28,6483.61,10.50,220.96,6661.18,0.29,0.28,0.15,0.90,0.43,-0.27,0.95,0.51,0.31,0.31,0.54,0.47,210.62,211.77,211.00,121.65,122.80,122.36,8.73,3.47,2.86
"2015-06-28 19:15:00",0,0,0,18958.82,24045.14,5086.32,18315.87,714.57,3539.47,11367.38,22242.40,22247.93,5.53,0.52,1.01,1.13,0.46,210.33,121.80,4.38,60.01,0.82,1.09,1.41,13.21,6.21,14.57,0,-1.93,0,16673.87,4029.11,3342.16,0.58,16.86,5068.89,4361.65,10070.86,3883.35,7.08,201.28,506.21,3.39,18.97,3517.11,4737.63,5270.84,1358.92,19587.47,16698.44,6483.70,10.50,220.96,6661.18,0.22,0.11,0.17,0.87,-0.39,-0.24,0.89,0.40,0.30,0.27,0.42,0.34,209.85,210.86,210.26,121.26,122.12,122.02,7.38,3.31,2.44
"2015-06-28 19:30:00",0,0,0,18958.93,24045.26,5086.32,18316.11,714.58,3539.47,11367.59,22242.54,22248.07,5.53,0.44,0.36,0.48,0.97,210.11,121.68,4.56,60.01,0.66,0.58,1.05,13.21,6.21,14.57,0,-1.93,0,16673.92,4029.14,3342.19,0.58,16.86,5068.89,4361.89,10070.88,3883.35,7.09,201.28,506.21,3.39,18.97,3517.12,4737.63,5270.97,1358.99,19587.71,16698.59,6483.78,10.50,220.96,6661.18,0.21,0.11,0.12,0.98,-0.35,-0.27,1.00,0.37,0.29,0.21,0.31,0.41,209.39,210.74,210.26,121.23,122.03,121.81,8.16,4.77,3.00
"2015-06-28 19:45:00",0,0,0,18959.05,24045.38,5086.32,18316.38,714.58,3539.47,11367.79,22242.70,22248.23,5.53,0.64,1.09,1.27,0.50,210.84,122.11,5.58,59.97,0.45,0.16,0.55,13.21,6.21,14.57,0,-1.93,0,16673.97,4029.18,3342.22,0.58,16.86,5068.89,4362.12,10070.90,3883.35,7.09,201.28,506.21,3.39,18.97,3517.12,4737.63,5271.09,1359.07,19587.95,16698.74,6483.86,10.50,220.96,6661.18,0.22,0.32,0.10,0.97,0.43,-0.31,0.99,0.54,0.32,0.22,0.59,0.30,209.91,211.74,210.88,121.71,122.19,122.41,8.34,5.70,2.68
"2015-06-28 20:00:00",0,0,0,18959.26,24045.58,5086.32,18316.72,714.58,3539.47,11367.90,22243.03,22248.56,5.53,0.98,1.18,1.54,0.64,209.70,121.44,5.37,60.01,0.52,0.35,0.73,13.21,6.21,14.57,0,-1.93,0,16674.06,4029.27,3342.26,0.58,16.86,5068.89,4362.36,10071.01,3883.35,7.09,201.28,506.21,3.39,18.97,3517.12,4737.63,5271.12,1359.15,19588.21,16698.91,6483.95,10.50,220.96,6661.18,0.34,0.52,0.13,1.00,0.51,-0.33,1.06,0.73,0.36,0.32,0.71,0.36,209.21,210.52,209.37,120.97,121.80,121.55,7.81,5.39,2.92
