time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kWh)","Accumulated Real Energy, Phase B, Import (kWh)","Accumulated Real Energy, Phase C, Import (kWh)","Accumulated Real Energy, Phase A, Export (kWh)","Accumulated Real Energy, Phase B, Export (kWh)","Accumulated Real Energy, Phase C, Export (kWh)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-06-28 21:15:00",0,0,0,18960.08,24046.41,5086.33,18318.24,714.59,3539.48,11368.64,22244.31,22249.84,5.53,0.82,1.04,1.32,0.62,209.63,121.40,5.16,60.07,0.45,0.15,0.65,13.21,6.21,14.57,0,-1.93,0,16674.39,4029.61,3342.42,0.58,16.86,5068.89,4363.52,10071.37,3883.35,7.10,201.28,506.21,3.39,18.97,3517.12,4737.64,5271.47,1359.53,19589.42,16699.71,6484.37,10.51,220.96,6661.18,0.21,0.45,0.16,0.86,0.48,-0.30,0.88,0.66,0.34,0.24,0.68,0.47,208.96,210.47,209.44,120.75,121.81,121.64,7.85,4.74,2.88
"2015-06-28 21:30:00",0,0,0,18961.03,24047.36,5086.33,18318.88,714.59,3539.48,11368.75,22245.43,22250.96,5.53,0.68,1.11,1.30,0.52,210.51,121.91,4.59,60.01,1.79,1.33,2.36,13.21,6.21,14.57,0,-1.93,0,16674.67,4029.96,3342.73,0.58,16.86,5068.89,4363.83,10071.60,3883.46,7.10,201.28,506.21,3.39,18.97,3517.12,4737.64,5271.49,1359.62,19589.87,16700.16,6484.75,10.51,220.96,6661.18,0.23,0.40,0.08,0.85,0.32,-0.27,0.88,0.51,0.28,0.27,0.77,0.28,209.73,211.41,210.27,121.23,122.32,122.12,7.66,5.43,2.59
"2015-06-28 21:45:00",0,0,0,18961.24,24047.56,5086.33,18319.23,714.59,3539.48,11368.85,22245.77,22251.30,5.53,0.78,0.94,1.22,0.64,209.96,121.60,5.21,60.02,2.66,1.63,3.27,13.21,6.21,14.57,0,-1.93,0,16674.75,4030.05,3342.76,0.58,16.86,5068.89,4364.06,10071.71,3883.46,7.10,201.28,506.21,3.39,18.97,3517.12,4737.64,5271.51,1359.70,19590.12,16700.33,6484.83,10.51,220.96,6661.18,0.35,0.31,0.12,0.93,0.30,-0.29,0.99,0.43,0.31,0.35,0.71,0.39,209.32,210.80,209.77,121.09,122.12,121.58,8.66,4.04,2.92
"2015-06-28 22:00:00",0,0,0,18961.43,24047.75,5086.33,18319.55,714.59,3539.48,11368.98,22246.06,22251.60,5.53,0.56,0.27,0.62,0.90,209.88,121.55,4.91,60.02,0.82,1.00,1.35,13.21,6.21,14.57,0,-1.93,0,16674.84,4030.12,3342.79,0.58,16.86,5068.89,4364.29,10071.80,3883.46,7.10,201.28,506.21,3.39,18.97,3517.12,4737.64,5271.57,1359.77,19590.37,16700.49,6484.92,10.51,220.96,6661.18,0.31,0.12,0.13,0.97,-0.36,-0.34,1.02,0.38,0.36,0.31,0.32,0.35,209.16,210.63,209.84,121.19,121.84,121.60,8.27,3.66,2.79
"2015-06-28 22:15:00",0,0,0,18961.55,24047.88,5086.33,18319.80,714.59,3539.48,11369.18,22246.21,22251.74,5.53,0.48,0.19,0.52,0.93,209.85,121.53,4.63,60.01,0.73,0.64,1.08,13.21,6.21,14.57,0,-1.93,0,16674.90,4030.16,3342.82,0.58,16.86,5068.89,4364.53,10071.82,3883.46,7.10,201.28,506.21,3.39,18.97,3517.12,4737.64,5271.69,1359.85,19590.61,16700.64,6485.00,10.51,220.96,6661.19,0.21,0.13,0.14,1.00,-0.51,-0.29,1.02,0.53,0.32,0.21,0.25,0.42,209.19,210.70,209.66,120.85,122.06,121.68,8.19,3.06,2.64
"2015-06-28 22:30:00",0,0,0,18961.67,24048.00,5086.33,18320.06,714.59,3539.48,11369.38,22246.37,22251.90,5.53,0.67,1.06,1.46,0.46,210.10,121.67,5.13,59.98,0.47,0.17,0.58,13.21,6.21,14.57,0,-1.93,0,16674.95,4030.19,3342.85,0.58,16.86,5068.89,4364.76,10071.84,3883.46,7.10,201.28,506.21,3.39,18.97,3517.12,4737.64,5271.81,1359.93,19590.85,16700.79,6485.08,10.51,220.96,6661.19,0.24,0.32,0.11,1.00,0.38,-0.32,1.03,0.50,0.34,0.23,0.64,0.33,209.66,211.40,210.43,121.41,122.01,122.28,7.62,4.28,2.57
"2015-06-28 22:45:00",0,0,0,18962.77,24049.09,5086.33,18320.82,714.59,3539.48,11369.43,22247.70,22253.23,5.53,0.91,1.16,1.47,0.62,210.31,121.80,5.61,60.01,1.62,0.89,1.93,13.21,6.21,14.57,0,-1.93,0,16675.31,4030.58,3343.20,0.58,16.86,5068.89,4365.11,10072.10,3883.61,7.10,201.28,506.21,3.39,18.97,3517.12,4737.64,5271.82,1359.97,19591.38,16701.27,6485.50,10.51,220.96,6661.19,0.22,0.52,0.15,0.97,0.47,-0.32,0.99,0.70,0.35,0.26,0.70,0.40,209.80,210.93,210.21,121.29,122.07,122.03,8.19,5.76,2.88
"2015-06-28 23:00:00",0,0,0,18962.98,24049.30,5086.33,18321.16,714.59,3539.48,11369.54,22248.04,22253.57,5.53,0.78,0.97,1.49,0.53,210.24,121.75,4.99,60.02,3.29,2.33,4.16,13.21,6.21,14.57,0,-1.93,0,16675.39,4030.68,3343.24,0.58,16.86,5068.89,4365.34,10072.21,3883.61,7.10,201.28,506.21,3.39,18.97,3517.12,4737.64,5271.86,1360.05,19591.63,16701.45,6485.58,10.51,220.96,6661.19,0.27,0.34,0.17,0.87,0.43,-0.33,0.91,0.55,0.37,0.30,0.62,0.46,209.59,211.09,209.94,120.98,122.20,122.02,8.63,3.53,2.81
"2015-06-28 23:15:00",0,0,0,18963.19,24049.51,5086.33,18321.51,714.59,3539.48,11369.65,22248.37,22253.90,5.53,0.80,-0.03,0.80,1.00,210.75,122.05,5.42,59.94,0.84,0.91,1.31,13.21,6.21,14.57,0,-1.93,0,16675.47,4030.77,3343.27,0.58,16.86,5068.89,4365.58,10072.32,3883.61,7.10,201.28,506.21,3.39,18.97,3517.13,4737.64,5271.89,1360.12,19591.88,16701.61,6485.67,10.51,220.96,6661.19,0.37,0.29,0.15,0.76,-0.49,-0.31,0.85,0.56,0.34,0.44,0.51,0.43,210.09,211.46,210.70,121.39,122.62,122.12,9.22,4.28,2.77
"2015-06-28 23:30:00",0,0,0,18963.35,24049.68,5086.33,18321.79,714.59,3539.48,11369.82,22248.60,22254.13,5.53,0.53,-0.13,0.55,0.97,210.64,121.99,5.10,60.01,0.83,0.94,1.33,13.21,6.21,14.57,0,-1.93,0,16675.55,4030.82,3343.30,0.58,16.86,5068.89,4365.81,10072.37,3883.61,7.10,201.28,506.21,3.39,18.97,3517.13,4737.64,5271.98,1360.20,19592.13,16701.77,6485.75,10.51,220.96,6661.19,0.32,0.11,0.11,0.97,-0.77,-0.32,1.02,0.78,0.34,0.31,0.14,0.32,210.08,211.56,210.29,121.17,122.56,122.23,8.44,4.23,2.64
