time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kWh)","Accumulated Real Energy, Phase B, Import (kWh)","Accumulated Real Energy, Phase C, Import (kWh)","Accumulated Real Energy, Phase A, Export (kWh)","Accumulated Real Energy, Phase B, Export (kWh)","Accumulated Real Energy, Phase C, Export (kWh)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-06-29 00:30:00",0,0,0,18964.94,24051.26,5086.33,18323.50,714.59,3539.49,11370.30,22250.71,22256.24,5.53,0.84,0.37,0.92,0.91,211.32,122.38,5.67,60.01,0.73,1.05,1.32,13.21,6.21,14.57,0,-1.93,0,16676.12,4031.39,3343.75,0.58,16.86,5068.89,4366.87,10072.86,3883.77,7.10,201.28,506.21,3.39,18.97,3517.13,4737.64,5272.18,1360.48,19593.40,16702.71,6486.42,10.51,220.96,6661.19,0.29,0.31,0.24,1.13,-0.46,-0.30,1.17,0.55,0.38,0.25,0.56,0.61,210.69,212.19,211.09,121.59,122.94,122.60,9.59,4.32,3.10
"2015-06-29 00:45:00",0,0,0,18965.26,24051.59,5086.33,18323.87,714.59,3539.49,11370.44,22251.14,22256.67,5.53,0.56,0.18,0.59,0.95,211.48,122.47,5.08,60.02,0.83,0.95,1.33,13.21,6.21,14.57,0,-1.93,0,16676.20,4031.54,3343.85,0.58,16.86,5068.89,4367.11,10072.99,3883.77,7.10,201.28,506.21,3.39,18.97,3517.13,4737.64,5272.21,1360.59,19593.65,16702.94,6486.58,10.51,220.96,6661.19,0.30,0.14,0.11,1.02,-0.53,-0.30,1.06,0.55,0.32,0.29,0.25,0.35,211.01,212.27,211.16,121.90,123.12,122.39,8.24,4.37,2.64
"2015-06-29 01:00:00",0,0,0,18966.32,24052.65,5086.33,18324.58,714.59,3539.49,11370.55,22252.38,22257.91,5.53,1.39,2.22,2.62,0.53,211.82,122.67,7.35,60.01,1.28,0.77,1.63,13.21,6.21,14.57,0,-1.93,0,16676.59,4031.87,3344.19,0.58,16.86,5068.89,4367.46,10073.18,3883.93,7.10,201.28,506.21,3.39,18.97,3517.13,4737.64,5272.28,1360.63,19594.20,16703.39,6486.99,10.51,220.96,6661.19,0.51,0.41,0.44,1.02,0.83,0.47,1.14,0.92,0.64,0.44,0.44,0.68,210.78,212.53,211.43,121.91,123.12,122.56,8.96,5.65,5.48
"2015-06-29 01:15:00",0,0,0,18966.44,24052.77,5086.33,18324.85,714.59,3539.49,11370.75,22252.56,22258.09,5.53,0.56,-0.30,0.63,0.88,212.25,122.92,4.61,60.01,4.23,2.45,4.99,13.21,6.21,14.57,0,-1.93,0,16676.64,4031.90,3344.22,0.58,16.86,5068.89,4367.70,10073.21,3883.94,7.10,201.28,506.21,3.39,18.97,3517.13,4737.65,5272.40,1360.70,19594.45,16703.54,6487.07,10.51,220.96,6661.20,0.30,0.18,0.08,0.74,-0.65,-0.39,0.80,0.67,0.40,0.38,0.26,0.20,211.64,212.81,212.30,122.58,123.41,122.77,7.80,3.29,2.75
"2015-06-29 01:30:00",0,0,0,18966.62,24052.95,5086.33,18325.18,714.59,3539.49,11370.87,22252.87,22258.40,5.53,0.74,1.06,1.29,0.57,212.86,123.27,5.61,59.96,0.49,0.32,0.76,13.21,6.21,14.57,0,-1.93,0,16676.70,4031.99,3344.26,0.58,16.86,5068.89,4367.93,10073.32,3883.94,7.10,201.28,506.21,3.39,18.97,3517.14,4737.65,5272.43,1360.78,19594.70,16703.71,6487.16,10.52,220.96,6661.20,0.30,0.28,0.16,0.80,0.56,-0.30,0.86,0.63,0.34,0.35,0.45,0.46,212.16,213.90,212.51,122.64,123.74,123.42,9.37,4.76,2.70
"2015-06-29 01:45:00",0,0,0,18966.80,24053.13,5086.33,18325.55,714.59,3539.50,11370.96,22253.21,22258.74,5.53,0.85,1.45,1.68,0.51,212.86,123.27,5.54,59.95,0.72,0.90,1.26,13.21,6.21,14.57,0,-1.93,0,16676.76,4032.08,3344.29,0.58,16.86,5068.89,4368.17,10073.44,3883.94,7.10,201.28,506.21,3.39,18.97,3517.14,4737.66,5272.45,1360.86,19594.95,16703.88,6487.24,10.52,220.96,6661.20,0.36,0.33,0.17,1.00,0.78,-0.33,1.06,0.85,0.37,0.34,0.38,0.46,212.09,214.00,212.49,122.47,123.88,123.47,8.73,5.05,2.84
"2015-06-29 02:00:00",0,0,0,18967.01,24053.33,5086.33,18325.92,714.59,3539.50,11371.06,22253.56,22259.09,5.53,0.98,1.06,1.44,0.68,212.43,123.02,5.70,59.98,0.74,1.08,1.36,13.21,6.21,14.57,0,-1.93,0,16676.84,4032.17,3344.32,0.58,16.86,5068.89,4368.42,10073.57,3883.94,7.10,201.28,506.21,3.39,18.97,3517.14,4737.66,5272.47,1360.94,19595.21,16704.05,6487.33,10.52,220.96,6661.20,0.37,0.50,0.14,0.99,0.51,-0.30,1.05,0.72,0.33,0.35,0.70,0.42,211.78,213.83,211.97,122.12,123.78,123.33,8.98,4.67,2.96
"2015-06-29 02:15:00",0,0,0,18967.19,24053.52,5086.33,18326.24,714.59,3539.50,11371.21,22253.83,22259.37,5.53,0.62,0.30,0.69,0.90,213.30,123.52,4.74,60.01,0.86,1.11,1.44,13.21,6.21,14.57,0,-1.93,0,16676.93,4032.24,3344.35,0.58,16.86,5068.89,4368.67,10073.64,3883.94,7.10,201.28,506.21,3.39,18.97,3517.14,4737.66,5272.54,1361.02,19595.47,16704.21,6487.42,10.52,220.96,6661.20,0.36,0.14,0.12,1.01,-0.38,-0.33,1.07,0.40,0.35,0.34,0.34,0.34,212.84,214.16,212.91,122.82,124.06,123.69,8.80,2.81,2.61
"2015-06-29 02:30:00",0,0,0,18968.23,24054.55,5086.33,18326.98,714.59,3539.50,11371.33,22255.05,22260.59,5.53,0.63,0.00,0.63,1.00,213.93,123.89,5.17,59.93,0.68,0.57,0.96,13.21,6.21,14.57,0,-1.93,0,16677.30,4032.56,3344.70,0.58,16.86,5068.89,4369.03,10073.84,3884.10,7.10,201.28,506.21,3.39,18.97,3517.14,4737.66,5272.61,1361.06,19596.03,16704.65,6487.83,10.52,220.96,6661.20,0.35,0.15,0.13,1.02,-0.72,-0.30,1.08,0.74,0.32,0.33,0.20,0.40,213.23,215.03,213.52,123.17,124.31,124.18,8.95,3.82,2.73
"2015-06-29 02:45:00",0,0,0,18968.37,24054.69,5086.33,18327.28,714.59,3539.50,11371.50,22255.26,22260.79,5.53,0.62,1.12,1.28,0.49,212.62,123.14,5.36,59.93,4.15,2.45,4.87,13.21,6.21,14.57,0,-1.93,0,16677.36,4032.60,3344.73,0.58,16.86,5068.89,4369.29,10073.89,3884.10,7.10,201.28,506.21,3.39,18.97,3517.14,4737.66,5272.70,1361.14,19596.29,16704.80,6487.92,10.52,220.96,6661.20,0.20,0.30,0.11,1.03,0.49,-0.33,1.05,0.58,0.35,0.23,0.48,0.37,212.08,213.90,211.89,122.32,123.58,123.51,8.54,4.70,2.84
