time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kWh)","Accumulated Real Energy, Phase B, Import (kWh)","Accumulated Real Energy, Phase C, Import (kWh)","Accumulated Real Energy, Phase A, Export (kWh)","Accumulated Real Energy, Phase B, Export (kWh)","Accumulated Real Energy, Phase C, Export (kWh)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-06-29 03:45:00",0,0,0,18970.52,24056.84,5086.33,18328.73,714.59,3539.50,11372.23,22257.62,22263.15,5.53,2.13,0.31,2.15,0.99,215.89,125.02,8.06,59.93,2.42,0.49,2.49,13.21,6.21,14.57,0,-1.93,0,16678.84,4033.07,3344.93,0.58,16.86,5068.89,4370.51,10074.12,3884.10,7.10,201.28,506.21,3.39,18.97,3517.14,4737.66,5273.06,1361.51,19598.21,16705.59,6488.35,10.52,220.96,6661.20,1.56,0.43,0.14,1.40,-0.74,-0.35,2.10,0.86,0.38,0.74,0.50,0.36,214.97,217.12,215.59,123.83,125.55,125.69,16.16,5.31,2.73
"2015-06-29 04:00:00",0,0,0,18971.53,24057.86,5086.33,18329.40,714.59,3539.50,11372.33,22258.79,22264.33,5.53,3.41,2.86,4.45,0.77,215.02,124.52,11.78,60.02,1.96,0.71,2.16,13.21,6.21,14.57,0,-1.93,0,16679.40,4033.32,3345.15,0.58,16.86,5068.89,4370.91,10074.30,3884.20,7.10,201.28,506.21,3.39,18.97,3517.14,4737.66,5273.10,1361.57,19598.90,16705.93,6488.63,10.52,220.96,6661.20,2.11,0.81,0.47,1.67,0.63,0.48,2.69,1.03,0.67,0.78,0.77,0.71,214.23,215.89,214.95,123.57,125.00,124.98,21.76,8.20,5.37
"2015-06-29 04:15:00",0,0,0,18972.04,24058.36,5086.33,18329.81,714.59,3539.50,11372.46,22259.38,22264.92,5.53,2.10,1.38,2.52,0.84,212.86,123.27,7.87,60.02,4.10,2.33,4.78,13.21,6.21,14.57,0,-1.93,0,16679.77,4033.41,3345.18,0.58,16.86,5068.89,4371.21,10074.40,3884.20,7.10,201.28,506.21,3.39,18.97,3517.14,4737.66,5273.14,1361.66,19599.38,16706.11,6488.72,10.52,220.96,6661.20,1.45,0.52,0.13,1.23,0.49,-0.34,1.90,0.71,0.36,0.76,0.73,0.36,212.27,213.99,212.31,121.94,123.92,123.94,15.67,5.12,2.81
"2015-06-29 04:30:00",0,0,0,18972.53,24058.86,5086.33,18330.21,714.59,3539.50,11372.59,22259.96,22265.49,5.53,2.16,1.13,2.44,0.89,213.93,123.89,7.86,59.94,1.98,1.04,2.30,13.21,6.21,14.57,0,-1.93,0,16680.13,4033.51,3345.22,0.58,16.86,5068.89,4371.51,10074.50,3884.20,7.10,201.28,506.21,3.39,18.97,3517.14,4737.66,5273.19,1361.75,19599.85,16706.29,6488.82,10.52,220.96,6661.20,1.43,0.57,0.15,1.15,0.31,-0.33,1.84,0.65,0.37,0.78,0.88,0.41,213.00,215.08,213.72,122.78,124.50,124.40,15.05,5.52,3.02
"2015-06-29 04:45:00",0,0,0,18973.04,24059.36,5086.33,18330.59,714.59,3539.50,11372.72,22260.54,22266.07,5.53,1.98,0.52,2.05,0.97,213.62,123.71,7.74,60.01,1.98,1.07,2.31,13.21,6.21,14.57,0,-1.93,0,16680.49,4033.62,3345.26,0.58,16.86,5068.89,4371.80,10074.59,3884.20,7.10,201.28,506.21,3.39,18.97,3517.14,4737.66,5273.24,1361.83,19600.32,16706.46,6488.91,10.52,220.96,6661.20,1.55,0.35,0.09,1.35,-0.45,-0.38,2.05,0.57,0.39,0.75,0.61,0.23,212.53,214.79,213.54,122.48,124.34,124.32,15.85,4.37,3.00
"2015-06-29 05:00:00",0,0,0,18973.56,24059.89,5086.33,18330.99,714.59,3539.50,11372.85,22261.16,22266.70,5.53,2.10,1.70,2.70,0.78,213.87,123.86,7.76,60.01,2.02,1.01,2.34,13.21,6.21,14.57,0,-1.93,0,16680.88,4033.72,3345.30,0.58,16.86,5068.89,4372.11,10074.69,3884.20,7.10,201.28,506.21,3.39,18.97,3517.14,4737.66,5273.28,1361.91,19600.82,16706.64,6489.00,10.52,220.96,6661.20,1.59,0.42,0.16,1.25,0.26,-0.33,2.02,0.49,0.36,0.78,0.41,0.44,213.17,215.15,213.28,122.71,124.54,124.32,16.44,3.93,2.92
"2015-06-29 05:15:00",0,0,0,18974.10,24060.43,5086.33,18331.40,714.59,3539.50,11372.98,22261.78,22267.31,5.53,2.14,1.45,2.51,0.84,215.15,124.60,8.33,60.02,2.12,1.13,2.47,13.21,6.21,14.57,0,-1.93,0,16681.28,4033.82,3345.33,0.58,16.86,5068.89,4372.42,10074.78,3884.20,7.10,201.28,506.21,3.39,18.97,3517.14,4737.66,5273.33,1362.00,19601.33,16706.82,6489.10,10.52,220.96,6661.21,1.62,0.36,0.16,1.22,0.58,-0.36,2.03,0.68,0.39,0.80,0.53,0.41,214.49,216.29,215.00,123.50,125.28,125.20,16.64,4.56,3.06
"2015-06-29 05:30:00",0,0,0,18974.63,24060.96,5086.33,18331.82,714.59,3539.50,11373.11,22262.40,22267.93,5.53,1.80,1.13,2.12,0.85,213.59,123.70,6.94,60.01,2.13,1.12,2.47,13.21,6.21,14.57,0,-1.93,0,16681.67,4033.92,3345.37,0.58,16.86,5068.89,4372.73,10074.89,3884.20,7.10,201.28,506.21,3.39,18.97,3517.14,4737.66,5273.37,1362.08,19601.83,16706.99,6489.19,10.52,220.96,6661.21,1.28,0.31,0.21,1.13,0.35,-0.34,1.71,0.46,0.40,0.75,0.66,0.52,212.78,214.73,213.27,122.63,124.20,124.28,13.92,3.71,3.18
"2015-06-29 05:45:00",0,0,0,18975.10,24061.42,5086.33,18332.15,714.59,3539.50,11373.31,22262.90,22268.43,5.53,1.80,0.27,1.82,0.99,215.08,124.56,7.08,60.00,2.12,1.14,2.46,13.21,6.21,14.57,0,-1.93,0,16682.04,4033.98,3345.41,0.58,16.86,5068.89,4373.03,10074.92,3884.20,7.10,201.28,506.21,3.39,18.97,3517.14,4737.66,5273.48,1362.17,19602.31,16707.15,6489.28,10.52,220.96,6661.21,1.46,0.19,0.15,1.23,-0.62,-0.34,1.91,0.65,0.37,0.76,0.29,0.40,213.99,216.45,214.79,123.33,125.03,125.32,15.35,3.02,2.86
"2015-06-29 06:00:00",0,0,0,18975.53,24061.86,5086.33,18332.46,714.59,3539.50,11373.54,22263.34,22268.88,5.53,1.77,0.23,1.78,0.99,215.27,124.67,7.21,59.99,1.82,0.41,1.90,13.21,6.21,14.57,0,-1.93,0,16682.40,4034.02,3345.44,0.58,16.86,5068.89,4373.34,10074.92,3884.20,7.10,201.28,506.21,3.39,18.97,3517.14,4737.66,5273.63,1362.25,19602.79,16707.31,6489.38,10.52,220.96,6661.21,1.46,0.18,0.17,1.23,-0.35,-0.34,1.91,0.40,0.38,0.78,0.27,0.37,214.13,216.66,215.03,123.70,125.09,125.24,15.43,3.16,3.04
"2015-06-29 06:15:00",0,0,0,18976.02,24062.35,5086.33,18332.84,714.59,3539.50,11373.70,22263.89,22269.42,5.53,2.01,1.33,2.41,0.83,214.44,124.19,7.75,60.01,1.75,0.34,1.80,13.21,6.21,14.57,0,-1.93,0,16682.77,4034.10,3345.47,0.58,16.86,5068.89,4373.65,10074.99,3884.20,7.10,201.28,506.21,3.39,18.97,3517.14,4737.66,5273.70,1362.34,19603.27,16707.47,6489.47,10.52,220.96,6661.21,1.50,0.38,0.13,1.49,0.22,-0.38,2.11,0.43,0.40,0.71,0.87,0.33,213.29,215.69,214.35,123.12,124.45,124.99,15.48,4.67,3.10
