time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kWh)","Accumulated Real Energy, Phase B, Import (kWh)","Accumulated Real Energy, Phase C, Import (kWh)","Accumulated Real Energy, Phase A, Export (kWh)","Accumulated Real Energy, Phase B, Export (kWh)","Accumulated Real Energy, Phase C, Export (kWh)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-06-29 10:30:00",0,0,0,18984.64,24070.97,5086.33,18339.25,714.59,3539.51,11376.48,22273.57,22279.10,5.53,1.95,0.27,1.97,0.99,212.78,123.21,8.02,60.01,1.76,0.42,1.84,13.21,6.21,14.57,0,-1.93,0,16689.19,4035.57,3346.20,0.58,16.86,5068.90,4378.90,10076.16,3884.20,7.10,201.28,506.21,3.39,18.97,3517.16,4737.66,5274.97,1363.85,19611.61,16710.41,6491.19,10.52,220.96,6661.22,1.47,0.34,0.14,1.10,-0.49,-0.35,1.83,0.59,0.37,0.80,0.58,0.38,211.78,213.65,212.91,122.58,123.32,123.74,15.90,5.02,3.14
"2015-06-29 10:45:00",0,0,0,18985.15,24071.48,5086.33,18339.66,714.59,3539.51,11376.61,22274.17,22279.70,5.53,2.38,1.53,2.83,0.84,212.46,123.03,8.71,60.01,1.85,0.72,2.08,13.21,6.21,14.57,0,-1.93,0,16689.57,4035.67,3346.24,0.58,16.86,5068.90,4379.21,10076.25,3884.20,7.10,201.28,506.21,3.39,18.97,3517.16,4737.66,5275.01,1363.94,19612.10,16710.58,6491.28,10.52,220.96,6661.22,1.86,0.37,0.16,1.24,0.62,-0.34,2.23,0.72,0.37,0.83,0.51,0.42,211.52,213.45,212.40,122.17,123.42,123.50,18.29,4.82,3.00
"2015-06-29 11:00:00",0,0,0,18985.71,24072.04,5086.33,18340.06,714.59,3539.51,11376.74,22274.81,22280.34,5.53,2.14,1.26,2.49,0.86,211.96,122.75,7.92,60.01,2.14,1.14,2.48,13.21,6.21,14.57,0,-1.93,0,16689.98,4035.78,3346.28,0.58,16.86,5068.90,4379.51,10076.35,3884.20,7.10,201.28,506.21,3.39,18.97,3517.16,4737.66,5275.05,1364.03,19612.62,16710.76,6491.38,10.52,220.96,6661.22,1.44,0.53,0.18,1.21,-0.37,-0.34,1.88,0.65,0.38,0.78,0.74,0.43,211.05,213.07,211.77,121.88,123.19,123.17,15.39,5.24,3.12
"2015-06-29 11:15:00",0,0,0,18986.55,24072.88,5086.33,18340.65,714.59,3539.51,11376.79,22275.81,22281.35,5.53,3.36,1.56,3.71,0.91,211.99,122.76,11.62,60.01,2.34,1.22,2.70,13.21,6.21,14.57,0,-1.93,0,16690.59,4035.88,3346.41,0.58,16.86,5068.90,4379.84,10076.43,3884.39,7.10,201.28,506.21,3.39,18.97,3517.16,4737.66,5275.10,1364.03,19613.31,16710.92,6491.61,10.52,220.96,6661.22,2.61,0.21,0.53,1.32,-0.33,0.78,2.92,0.39,0.95,0.89,0.55,0.56,210.96,213.35,211.65,121.90,123.15,123.23,23.97,4.44,7.59
"2015-06-29 11:30:00",0,0,0,18987.36,24073.69,5086.33,18341.18,714.59,3539.51,11376.92,22276.72,22282.25,5.53,3.23,1.67,3.64,0.89,211.20,122.31,11.72,59.97,3.38,2.10,4.00,13.21,6.21,14.57,0,-1.93,0,16691.23,4035.92,3346.54,0.58,16.86,5068.90,4380.17,10076.44,3884.58,7.10,201.28,506.21,3.39,18.97,3517.16,4737.66,5275.24,1364.03,19614.03,16711.07,6491.84,10.52,220.96,6661.22,2.53,0.20,0.51,1.37,-0.45,0.75,2.87,0.49,0.91,0.88,0.40,0.56,210.39,212.25,210.95,121.52,122.68,122.73,23.40,4.28,7.49
"2015-06-29 11:45:00",0,0,0,18988.18,24074.51,5086.33,18341.71,714.59,3539.51,11377.06,22277.63,22283.16,5.53,3.16,1.94,3.71,0.85,211.46,122.47,11.61,59.97,3.24,1.57,3.61,13.21,6.21,14.57,0,-1.93,0,16691.87,4035.96,3346.68,0.58,16.86,5068.90,4380.50,10076.44,3884.77,7.10,201.28,506.21,3.39,18.97,3517.16,4737.66,5275.37,1364.03,19614.74,16711.22,6492.08,10.52,220.96,6661.22,2.48,0.15,0.53,1.52,-0.33,0.75,2.91,0.36,0.92,0.85,0.42,0.58,210.55,212.79,211.04,121.51,123.03,122.86,22.90,4.25,7.69
"2015-06-29 12:00:00",0,0,0,18989.02,24075.35,5086.33,18342.29,714.59,3539.51,11377.12,22278.63,22284.16,5.53,3.23,2.41,4.03,0.80,212.42,123.02,10.96,60.01,3.28,1.64,3.68,13.21,6.21,14.57,0,-1.93,0,16692.48,4036.06,3346.81,0.58,16.86,5068.90,4380.82,10076.53,3884.94,7.10,201.28,506.21,3.39,18.97,3517.16,4737.66,5275.43,1364.03,19615.44,16711.40,6492.29,10.52,220.96,6661.22,2.34,0.41,0.49,1.08,0.56,0.76,2.58,0.69,0.90,0.91,0.58,0.54,211.63,213.57,212.07,122.23,123.45,123.38,21.23,4.29,7.36
"2015-06-29 12:15:00",0,0,0,18989.72,24076.05,5086.33,18342.86,714.59,3539.51,11377.15,22279.52,22285.05,5.53,1.92,2.51,3.16,0.61,212.18,122.89,7.88,60.01,3.32,2.12,3.99,13.21,6.21,14.57,0,-1.93,0,16692.98,4036.16,3346.91,0.58,16.86,5068.90,4381.11,10076.63,3885.12,7.10,201.28,506.21,3.39,18.97,3517.16,4737.66,5275.47,1364.03,19616.02,16711.57,6492.50,10.52,220.96,6661.22,1.20,0.35,0.40,1.10,0.30,0.70,1.63,0.46,0.81,0.74,0.75,0.50,211.01,213.25,211.95,122.29,123.06,123.13,13.19,4.96,6.64
"2015-06-29 12:30:00",0,0,0,18990.63,24076.96,5086.33,18343.55,714.59,3539.51,11377.20,22280.67,22286.20,5.53,10.11,6.19,11.86,0.85,209.39,121.28,32.61,60.02,2.67,2.12,3.46,13.21,6.21,14.57,0,-1.93,0,16693.37,4036.41,3347.18,0.58,16.86,5068.90,4381.41,10076.81,3885.33,7.10,201.28,506.21,3.39,18.97,3517.16,4737.66,5275.49,1364.05,19616.53,16711.90,6492.87,10.52,220.96,6661.22,3.90,3.01,3.20,2.11,1.81,2.26,4.44,3.51,3.91,0.88,0.86,0.82,208.56,210.30,209.32,121.02,121.54,121.29,36.66,28.92,32.27
"2015-06-29 12:45:00",0,0,0,18992.03,24078.35,5086.33,18344.56,714.59,3539.51,11377.24,22282.38,22287.91,5.53,1.59,1.27,2.04,0.78,212.19,122.90,7.90,60.01,4.80,3.18,5.85,13.21,6.21,14.57,0,-1.93,0,16693.97,4036.77,3347.61,0.58,16.86,5068.90,4381.81,10077.06,3885.69,7.10,201.28,506.21,3.39,18.97,3517.16,4737.66,5275.53,1364.05,19617.26,16712.39,6493.44,10.52,220.97,6661.22,1.15,0.14,0.31,1.01,-0.42,0.68,1.52,0.44,0.75,0.75,0.31,0.41,211.24,212.96,212.37,122.67,123.04,122.98,13.45,4.40,5.85
