time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kWh)","Accumulated Real Energy, Phase B, Import (kWh)","Accumulated Real Energy, Phase C, Import (kWh)","Accumulated Real Energy, Phase A, Export (kWh)","Accumulated Real Energy, Phase B, Export (kWh)","Accumulated Real Energy, Phase C, Export (kWh)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-06-29 14:00:00",0,0,0,18994.25,24080.58,5086.33,18346.91,714.60,3539.52,11377.87,22285.35,22290.88,5.53,0.64,0.32,0.72,0.90,212.39,123.01,4.88,59.94,1.77,1.51,2.42,13.21,6.21,14.57,0,-1.93,0,16694.78,4037.55,3348.25,0.58,16.86,5068.90,4383.22,10077.71,3885.98,7.11,201.28,506.21,3.39,18.97,3517.16,4737.67,5275.81,1364.39,19618.99,16713.66,6494.39,10.53,220.97,6661.22,0.36,0.15,0.13,0.94,-0.32,-0.30,1.00,0.35,0.33,0.36,0.43,0.40,211.63,213.09,212.47,122.69,123.18,123.15,8.61,3.44,2.59
"2015-06-29 14:15:00",0,0,0,18994.38,24080.71,5086.33,18347.18,714.60,3539.52,11378.08,22285.52,22291.05,5.53,0.41,0.30,0.51,0.81,212.57,123.11,5.02,59.94,2.48,1.86,3.20,13.21,6.21,14.57,0,-1.93,0,16694.85,4037.58,3348.28,0.58,16.86,5068.90,4383.47,10077.73,3885.98,7.11,201.28,506.21,3.39,18.97,3517.16,4737.67,5275.94,1364.47,19619.26,16713.81,6494.48,10.53,220.97,6661.22,0.20,0.09,0.10,1.02,0.47,-0.33,1.04,0.47,0.34,0.20,0.24,0.29,211.96,213.29,212.46,122.86,123.55,122.91,8.43,3.84,2.79
"2015-06-29 14:30:00",0,0,0,18995.16,24081.49,5086.33,18347.81,714.60,3539.52,11378.21,22286.47,22292.00,5.53,0.46,0.25,0.52,0.88,211.63,122.56,5.29,59.93,0.52,0.26,0.66,13.21,6.21,14.57,0,-1.93,0,16695.14,4037.82,3348.54,0.58,16.86,5068.90,4383.81,10077.89,3886.12,7.11,201.28,506.21,3.39,18.97,3517.16,4737.67,5276.02,1364.52,19619.73,16714.17,6494.82,10.53,220.97,6661.22,0.20,0.13,0.13,0.96,-0.40,-0.31,0.98,0.42,0.34,0.21,0.30,0.39,210.93,212.20,211.77,122.58,122.62,122.48,7.89,4.97,3.00
"2015-06-29 14:45:00",0,0,0,18995.34,24081.67,5086.33,18348.17,714.60,3539.52,11378.32,22286.78,22292.31,5.53,0.90,0.81,1.21,0.74,211.90,122.72,5.36,60.01,3.14,2.03,3.82,13.21,6.21,14.57,0,-1.93,0,16695.19,4037.90,3348.58,0.58,16.86,5068.90,4384.05,10078.00,3886.12,7.11,201.28,506.21,3.39,18.97,3517.16,4737.67,5276.05,1364.61,19619.98,16714.34,6494.91,10.53,220.97,6661.22,0.38,0.33,0.20,0.88,0.25,-0.32,0.96,0.41,0.38,0.39,0.79,0.52,210.97,212.40,212.33,122.56,122.64,122.95,9.45,3.84,2.79
"2015-06-29 15:00:00",0,0,0,18995.52,24081.85,5086.33,18348.52,714.60,3539.52,11378.44,22287.10,22292.63,5.53,0.72,0.92,1.17,0.62,209.23,121.17,4.91,60.01,0.71,1.02,1.30,13.21,6.21,14.57,0,-1.93,0,16695.25,4037.99,3348.61,0.58,16.86,5068.90,4384.29,10078.11,3886.12,7.11,201.28,506.21,3.39,18.97,3517.16,4737.67,5276.08,1364.69,19620.22,16714.51,6495.00,10.53,220.97,6661.22,0.31,0.30,0.11,0.91,0.34,-0.33,0.96,0.45,0.35,0.32,0.66,0.31,208.67,209.49,209.53,121.21,121.25,121.06,8.37,3.56,2.79
"2015-06-29 15:15:00",0,0,0,18996.59,24082.92,5086.33,18349.26,714.60,3539.52,11378.53,22288.38,22293.91,5.53,1.03,0.87,1.34,0.76,211.44,122.45,6.00,60.01,1.55,1.39,2.19,13.21,6.21,14.57,0,-1.93,0,16695.59,4038.37,3348.96,0.58,16.86,5068.90,4384.62,10078.37,3886.26,7.11,201.28,506.21,3.39,18.97,3517.16,4737.67,5276.09,1364.77,19620.72,16714.99,6495.42,10.53,220.97,6661.22,0.28,0.48,0.16,0.91,0.62,-0.36,0.96,0.79,0.40,0.40,0.81,0.44,210.92,211.99,211.47,122.24,122.76,122.39,7.81,6.40,3.24
"2015-06-29 15:30:00",0,0,0,18996.75,24083.08,5086.33,18349.55,714.60,3539.52,11378.71,22288.61,22294.14,5.53,0.59,0.25,0.63,0.92,211.57,122.53,4.88,59.94,3.50,2.19,4.26,13.21,6.21,14.57,0,-1.93,0,16695.67,4038.42,3348.99,0.58,16.86,5068.90,4384.86,10078.43,3886.26,7.11,201.28,506.21,3.39,18.97,3517.16,4737.67,5276.19,1364.85,19620.98,16715.15,6495.51,10.53,220.97,6661.22,0.35,0.12,0.12,1.00,-0.42,-0.33,1.06,0.44,0.35,0.33,0.27,0.34,210.84,212.17,211.71,122.33,122.86,122.39,8.82,2.81,3.00
"2015-06-29 15:45:00",0,0,0,18997.62,24083.95,5086.33,18350.20,714.60,3539.52,11378.83,22289.65,22295.18,5.53,0.52,0.29,0.60,0.87,212.86,123.28,5.15,59.98,0.60,0.34,0.81,13.21,6.21,14.57,0,-1.93,0,16695.99,4038.69,3349.28,0.58,16.86,5068.90,4385.19,10078.60,3886.41,7.11,201.28,506.21,3.39,18.97,3517.16,4737.67,5276.26,1364.90,19621.46,16715.54,6495.87,10.53,220.97,6661.22,0.23,0.15,0.14,0.95,-0.37,-0.29,0.98,0.40,0.32,0.24,0.37,0.44,212.22,213.36,213.00,122.84,123.78,123.22,7.66,4.87,2.90
"2015-06-29 16:00:00",0,0,0,18997.78,24084.11,5086.33,18350.47,714.60,3539.52,11379.00,22289.89,22295.42,5.53,0.71,0.96,1.19,0.60,213.21,123.48,4.74,60.09,3.47,2.06,4.13,13.21,6.21,14.57,0,-1.93,0,16696.04,4038.75,3349.31,0.58,16.86,5068.90,4385.40,10078.67,3886.41,7.11,201.28,506.21,3.39,18.97,3517.16,4737.68,5276.34,1364.97,19621.69,16715.70,6495.95,10.53,220.97,6661.22,0.28,0.29,0.14,0.84,0.38,-0.27,0.89,0.48,0.30,0.31,0.61,0.46,212.56,213.91,213.15,123.08,123.91,123.44,8.10,3.51,2.61
"2015-06-29 16:15:00",0,0,0,18998.07,24084.40,5086.33,18350.85,714.61,3539.52,11379.11,22290.34,22295.87,5.53,9.02,5.59,10.61,0.85,210.98,122.19,28.74,60.01,0.64,0.52,1.05,13.21,6.21,14.57,0,-1.93,0,16696.14,4038.88,3349.39,0.58,16.86,5068.90,4385.62,10078.81,3886.43,7.12,201.28,506.21,3.39,18.97,3517.16,4737.70,5276.36,1365.05,19621.95,16715.92,6496.08,10.54,220.97,6661.22,3.18,2.97,3.07,1.80,1.73,1.56,3.65,3.44,3.44,0.87,0.86,0.89,210.21,211.46,210.82,121.88,122.40,122.02,31.50,28.42,28.39
