time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kWh)","Accumulated Real Energy, Phase B, Import (kWh)","Accumulated Real Energy, Phase C, Import (kWh)","Accumulated Real Energy, Phase A, Export (kWh)","Accumulated Real Energy, Phase B, Export (kWh)","Accumulated Real Energy, Phase C, Export (kWh)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-06-29 17:15:00",0,0,0,19000.60,24086.93,5086.33,18352.88,714.61,3539.53,11379.60,22293.42,22298.95,5.53,9.82,5.15,11.09,0.89,208.10,120.53,30.88,60.01,2.25,1.15,2.65,13.21,6.21,14.57,0,-1.93,0,16697.07,4039.71,3350.15,0.58,16.86,5068.90,4386.72,10079.39,3886.78,7.12,201.28,506.21,3.39,18.97,3517.16,4737.70,5276.62,1365.28,19623.48,16717.17,6497.09,10.54,220.97,6661.23,3.28,3.24,3.29,2.08,1.75,1.48,3.88,3.68,3.60,0.84,0.88,0.91,207.70,208.86,207.77,120.34,120.91,120.35,32.04,30.69,30.21
"2015-06-29 17:30:00",0,0,0,19000.91,24087.24,5086.33,18353.30,714.61,3539.53,11379.68,22293.90,22299.43,5.53,0.57,1.14,1.31,0.43,210.26,121.77,5.17,59.97,3.41,1.89,4.00,13.21,6.21,14.57,0,-1.93,0,16697.17,4039.84,3350.23,0.58,16.86,5068.90,4386.95,10079.54,3886.81,7.12,201.28,506.21,3.39,18.97,3517.17,4737.71,5276.63,1365.34,19623.75,16717.39,6497.23,10.54,220.97,6661.23,0.18,0.27,0.12,0.97,0.49,-0.32,0.98,0.56,0.35,0.19,0.48,0.35,209.60,210.80,210.49,121.80,121.81,121.76,7.66,4.56,2.94
"2015-06-29 17:45:00",0,0,0,19001.81,24088.14,5086.33,18353.98,714.61,3539.53,11379.75,22295.02,22300.55,5.53,0.62,0.22,0.65,0.94,210.17,121.72,4.74,60.01,0.70,0.99,1.28,13.21,6.21,14.57,0,-1.93,0,16697.47,4040.15,3350.51,0.58,16.86,5068.90,4387.27,10079.77,3886.94,7.12,201.28,506.21,3.39,18.97,3517.17,4737.71,5276.64,1365.39,19624.21,16717.80,6497.58,10.54,220.97,6661.23,0.17,0.32,0.13,0.95,-0.39,-0.34,0.96,0.51,0.36,0.17,0.63,0.36,209.76,210.65,210.11,121.58,122.09,121.49,6.77,4.59,2.86
"2015-06-29 18:00:00",0,0,0,19002.01,24088.34,5086.33,18354.32,714.61,3539.53,11379.85,22295.35,22300.88,5.53,1.08,0.86,1.38,0.78,209.98,121.61,5.37,60.01,3.59,2.45,4.48,13.21,6.21,14.57,0,-1.93,0,16697.55,4040.25,3350.55,0.58,16.86,5068.90,4387.48,10079.89,3886.94,7.12,201.28,506.21,3.39,18.97,3517.17,4737.71,5276.67,1365.47,19624.45,16717.97,6497.66,10.54,220.97,6661.23,0.54,0.43,0.11,0.71,0.43,-0.28,0.89,0.61,0.30,0.60,0.71,0.36,209.33,210.85,209.77,121.45,121.77,121.60,8.87,4.71,2.54
"2015-06-29 18:15:00",0,0,0,19003.12,24089.45,5086.33,18355.00,714.61,3539.53,11379.95,22296.64,22302.18,5.53,0.40,-0.00,0.40,1.00,209.11,121.10,4.37,60.01,1.06,1.07,1.59,13.21,6.21,14.57,0,-1.93,0,16697.91,4040.61,3350.93,0.58,16.86,5068.90,4387.82,10080.12,3887.06,7.12,201.28,506.21,3.39,18.97,3517.17,4737.71,5276.72,1365.52,19624.97,16718.46,6498.10,10.54,220.97,6661.23,0.20,0.07,0.13,0.77,-0.45,-0.33,0.79,0.45,0.35,0.25,0.16,0.38,208.50,209.79,209.03,120.99,121.33,120.99,7.94,2.73,2.44
"2015-06-29 18:30:00",0,0,0,19003.44,24089.77,5086.33,18355.33,714.61,3539.54,11380.13,22297.03,22302.56,5.53,9.55,4.83,10.68,0.88,208.88,120.97,29.51,60.01,4.18,2.11,4.83,13.21,6.21,14.57,0,-1.93,0,16698.05,4040.70,3351.02,0.58,16.86,5068.90,4388.06,10080.18,3887.09,7.12,201.28,506.21,3.39,18.97,3517.18,4737.71,5276.83,1365.58,19625.26,16718.66,6498.24,10.54,220.97,6661.24,3.45,2.93,3.17,1.51,1.77,1.54,3.77,3.42,3.52,0.92,0.86,0.90,208.41,209.19,208.94,120.76,121.15,120.95,33.57,27.19,29.25
"2015-06-29 18:45:00",0,0,0,19004.29,24090.62,5086.33,18355.98,714.61,3539.54,11380.19,22298.09,22303.62,5.53,0.69,1.12,1.31,0.53,210.28,121.78,5.54,60.01,2.55,1.31,2.99,13.21,6.21,14.57,0,-1.93,0,16698.34,4040.99,3351.29,0.58,16.86,5068.90,4388.37,10080.40,3887.22,7.12,201.28,506.21,3.39,18.97,3517.18,4737.71,5276.85,1365.63,19625.71,16719.05,6498.58,10.54,220.97,6661.24,0.22,0.32,0.15,0.94,0.52,-0.34,0.96,0.61,0.37,0.23,0.53,0.39,209.69,210.95,210.21,121.64,122.00,121.69,7.92,5.46,3.24
"2015-06-29 19:00:00",0,0,0,19004.95,24091.28,5086.33,18356.55,714.61,3539.54,11380.27,22298.93,22304.46,5.53,9.66,5.86,11.30,0.86,209.62,121.40,30.30,60.01,2.12,1.72,2.84,13.21,6.21,14.57,0,-1.93,0,16698.56,4041.23,3351.49,0.58,16.86,5068.90,4388.66,10080.58,3887.30,7.12,201.28,506.21,3.39,18.97,3517.18,4737.71,5276.86,1365.70,19626.11,16719.37,6498.84,10.54,220.97,6661.24,3.25,3.17,3.24,2.40,1.71,1.74,4.04,3.60,3.68,0.80,0.88,0.88,208.74,210.48,209.63,121.28,121.46,121.45,31.53,29.66,29.71
"2015-06-29 19:15:00",0,0,0,19005.53,24091.86,5086.33,18357.10,714.61,3539.54,11380.35,22299.71,22305.24,5.53,0.75,0.96,1.22,0.62,209.80,121.50,5.47,60.02,3.99,2.59,4.85,13.21,6.21,14.57,0,-1.93,0,16698.76,4041.45,3351.66,0.58,16.86,5068.90,4388.94,10080.77,3887.38,7.12,201.28,506.21,3.39,18.97,3517.18,4737.71,5276.88,1365.77,19626.48,16719.67,6499.08,10.54,220.97,6661.24,0.35,0.28,0.12,0.93,0.33,-0.31,1.00,0.44,0.33,0.35,0.65,0.36,209.29,210.38,209.74,121.53,121.44,121.52,8.29,5.27,2.84
"2015-06-29 19:30:00",0,0,0,19006.58,24092.91,5086.33,18357.81,714.61,3539.54,11380.42,22300.96,22306.49,5.53,9.68,5.65,11.21,0.86,207.34,120.08,30.62,60.02,1.01,1.23,1.67,13.21,6.21,14.57,0,-1.93,0,16699.13,4041.79,3351.99,0.58,16.86,5068.90,4389.28,10081.01,3887.53,7.12,201.28,506.21,3.39,18.97,3517.18,4737.71,5276.89,1365.82,19627.01,16720.12,6499.47,10.54,220.97,6661.24,3.48,2.99,3.21,1.83,1.79,1.67,3.93,3.48,3.62,0.89,0.86,0.89,206.77,207.93,207.10,119.86,120.28,119.97,33.74,28.46,29.67
