time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kWh)","Accumulated Real Energy, Phase B, Import (kWh)","Accumulated Real Energy, Phase C, Import (kWh)","Accumulated Real Energy, Phase A, Export (kWh)","Accumulated Real Energy, Phase B, Export (kWh)","Accumulated Real Energy, Phase C, Export (kWh)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-06-29 20:45:00",0,0,0,19009.87,24096.21,5086.33,18360.46,714.61,3539.55,11380.94,22305.04,22310.57,5.53,0.92,0.97,1.34,0.69,209.03,121.06,5.16,60.00,5.26,3.20,6.26,13.21,6.21,14.57,0,-1.93,0,16700.28,4042.92,3353.00,0.58,16.86,5068.90,4390.67,10081.83,3887.95,7.12,201.28,506.21,3.39,18.97,3517.18,4737.71,5277.12,1366.11,19628.96,16721.75,6500.79,10.54,220.97,6661.24,0.34,0.46,0.12,0.82,0.42,-0.28,0.89,0.63,0.30,0.38,0.74,0.40,208.13,210.12,208.84,120.81,121.05,121.31,7.50,5.25,2.73
"2015-06-29 21:00:00",0,0,0,19011.21,24097.55,5086.33,18361.27,714.61,3539.55,11381.02,22306.59,22312.13,5.53,0.61,0.13,0.62,0.98,207.91,120.41,4.18,60.02,0.79,0.94,1.28,13.21,6.21,14.57,0,-1.93,0,16700.76,4043.35,3353.44,0.58,16.86,5068.90,4391.03,10082.09,3888.15,7.12,201.28,506.21,3.39,18.97,3517.18,4737.71,5277.16,1366.14,19629.56,16722.29,6501.29,10.54,220.97,6661.24,0.25,0.18,0.18,0.71,-0.31,-0.27,0.75,0.36,0.32,0.33,0.51,0.55,207.33,208.90,207.51,120.01,120.65,120.57,6.91,3.14,2.49
"2015-06-29 21:15:00",0,0,0,19011.83,24098.17,5086.33,18361.69,714.62,3539.55,11381.18,22307.29,22312.83,5.53,10.21,5.30,11.50,0.89,209.23,121.17,31.85,59.93,5.32,2.84,6.13,13.21,6.21,14.57,0,-1.93,0,16700.95,4043.56,3353.66,0.58,16.86,5068.90,4391.27,10082.22,3888.21,7.12,201.28,506.21,3.39,18.98,3517.18,4737.71,5277.23,1366.23,19629.89,16722.60,6501.57,10.54,220.98,6661.25,3.51,3.19,3.46,2.12,1.81,1.59,4.10,3.66,3.81,0.87,0.88,0.91,208.51,210.35,208.83,120.68,121.38,121.45,34.01,30.18,31.37
"2015-06-29 21:30:00",0,0,0,19012.86,24099.19,5086.33,18362.41,714.62,3539.55,11381.24,22308.54,22314.07,5.53,0.59,0.10,0.60,0.99,210.28,121.78,5.32,60.01,3.89,1.81,4.41,13.21,6.21,14.57,0,-1.93,0,16701.30,4043.90,3353.99,0.58,16.86,5068.90,4391.59,10082.47,3888.36,7.12,201.28,506.21,3.39,18.98,3517.18,4737.71,5277.24,1366.28,19630.39,16723.04,6501.96,10.54,220.98,6661.25,0.18,0.29,0.14,0.87,-0.64,-0.32,0.89,0.70,0.35,0.20,0.41,0.39,209.52,211.07,210.34,121.46,121.85,122.07,7.22,5.25,2.92
"2015-06-29 21:45:00",0,0,0,19014.29,24100.63,5086.33,18363.30,714.62,3539.55,11381.28,22310.24,22315.77,5.53,1.45,2.31,2.73,0.53,209.10,121.09,7.78,59.93,2.70,1.98,3.46,13.21,6.21,14.57,0,-1.93,0,16701.78,4044.39,3354.46,0.58,16.86,5068.90,4391.96,10082.78,3888.57,7.12,201.28,506.21,3.39,18.98,3517.18,4737.71,5277.25,1366.31,19631.02,16723.64,6502.50,10.54,220.98,6661.25,0.47,0.53,0.45,0.99,0.79,0.53,1.10,0.95,0.69,0.43,0.56,0.65,208.67,210.48,208.14,120.54,121.53,121.20,8.86,8.97,5.50
"2015-06-29 22:00:00",0,0,0,19014.50,24100.84,5086.33,18363.63,714.62,3539.55,11381.39,22310.57,22316.11,5.53,12.01,6.86,13.83,0.87,209.45,121.29,36.84,60.02,5.75,3.41,6.78,13.21,6.21,14.57,0,-1.93,0,16701.84,4044.49,3354.51,0.58,16.86,5068.90,4392.16,10082.90,3888.57,7.13,201.28,506.21,3.39,18.98,3517.18,4737.73,5277.28,1366.38,19631.24,16723.82,6502.59,10.54,220.98,6661.25,3.87,4.10,4.03,2.88,2.02,1.96,4.82,4.57,4.48,0.80,0.90,0.90,208.96,210.56,208.82,120.95,121.57,121.36,36.91,37.55,36.06
"2015-06-29 22:15:00",0,0,0,19015.92,24102.26,5086.33,18364.48,714.62,3539.55,11381.45,22312.23,22317.76,5.53,0.88,0.22,0.91,0.97,210.70,122.02,5.17,60.01,2.24,1.52,2.86,13.21,6.21,14.57,0,-1.93,0,16702.32,4044.97,3354.97,0.58,16.86,5068.90,4392.52,10083.19,3888.78,7.13,201.28,506.21,3.39,18.98,3517.18,4737.73,5277.31,1366.41,19631.86,16724.41,6503.12,10.54,220.98,6661.25,0.38,0.33,0.18,0.94,-0.42,-0.30,1.01,0.53,0.35,0.37,0.63,0.51,210.08,211.74,210.29,121.44,122.34,122.27,8.32,4.35,2.84
"2015-06-29 22:30:00",0,0,0,19017.19,24103.53,5086.34,18365.27,714.62,3539.56,11381.53,22313.71,22319.24,5.53,1.43,2.10,2.44,0.54,210.87,122.12,7.11,60.02,4.25,2.44,5.04,13.21,6.21,14.57,0,-1.93,0,16702.78,4045.36,3355.39,0.58,16.86,5068.90,4392.87,10083.43,3888.97,7.13,201.29,506.21,3.39,18.98,3517.19,4737.73,5277.35,1366.45,19632.46,16724.93,6503.61,10.54,220.98,6661.25,0.50,0.41,0.52,1.10,0.64,0.36,1.21,0.76,0.64,0.42,0.54,0.82,210.15,212.00,210.70,121.68,122.32,122.49,9.50,6.11,6.04
"2015-06-29 22:45:00",0,0,0,19018.53,24104.86,5086.34,18365.80,714.62,3539.56,11381.92,22315.09,22320.62,5.53,14.67,6.66,16.11,0.91,208.73,120.88,44.36,60.01,5.49,2.89,6.38,13.21,6.21,14.57,0,-1.93,0,16703.41,4045.91,3355.55,0.58,16.86,5068.90,4393.34,10083.47,3888.99,7.13,201.29,506.21,3.39,18.98,3517.19,4737.73,5277.64,1366.55,19633.25,16725.56,6503.82,10.54,220.98,6661.25,5.57,5.53,3.57,3.65,1.89,1.11,6.65,5.84,3.74,0.84,0.95,0.96,207.83,209.92,208.43,120.23,121.10,121.30,54.64,46.62,31.82
"2015-06-29 23:00:00",0,0,0,19020.61,24106.94,5086.34,18366.64,714.62,3539.56,11382.14,22317.29,22322.82,5.53,5.06,-0.12,5.06,1.00,211.08,122.24,16.96,60.01,6.95,1.33,7.22,13.21,6.21,14.57,0,-1.93,0,16704.27,4046.71,3355.96,0.58,16.86,5068.90,4393.93,10083.58,3889.13,7.13,201.29,506.21,3.39,18.98,3517.19,4737.73,5277.81,1366.61,19634.30,16726.42,6504.29,10.54,220.98,6661.25,2.56,2.26,0.30,1.83,-1.34,-0.32,3.15,2.63,0.43,0.81,0.86,0.68,209.92,212.43,211.00,121.27,122.84,122.66,26.48,21.10,3.29
