time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kWh)","Accumulated Real Energy, Phase B, Import (kWh)","Accumulated Real Energy, Phase C, Import (kWh)","Accumulated Real Energy, Phase A, Export (kWh)","Accumulated Real Energy, Phase B, Export (kWh)","Accumulated Real Energy, Phase C, Export (kWh)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-06-30 00:15:00",0,0,0,19026.14,24112.47,5086.34,18370.07,714.62,3539.56,11382.69,22323.69,22329.22,5.53,10.33,5.36,11.64,0.89,210.00,121.61,32.17,60.02,4.65,2.61,5.45,13.21,6.21,14.57,0,-1.93,0,16706.28,4048.61,3357.58,0.58,16.86,5068.90,4395.71,10084.58,3889.79,7.13,201.29,506.21,3.39,18.98,3517.19,4737.73,5278.11,1366.85,19637.09,16728.82,6506.22,10.54,220.98,6661.26,3.45,3.46,3.41,2.33,1.62,1.41,4.16,3.82,3.69,0.83,0.91,0.92,209.78,210.62,209.59,121.17,122.10,121.57,33.45,32.12,30.93
"2015-06-30 00:30:00",0,0,0,19026.44,24112.78,5086.34,18370.44,714.63,3539.56,11382.81,22324.13,22329.66,5.53,1.21,1.16,1.67,0.72,212.88,123.28,5.76,60.01,5.19,2.69,5.94,13.21,6.21,14.57,0,-1.93,0,16706.37,4048.73,3357.68,0.58,16.86,5068.90,4395.92,10084.70,3889.82,7.13,201.29,506.21,3.39,18.98,3517.19,4737.74,5278.15,1366.92,19637.35,16729.03,6506.37,10.55,220.98,6661.26,0.17,0.59,0.45,1.05,0.51,-0.41,1.07,0.78,0.60,0.16,0.76,0.74,212.22,213.69,212.72,122.61,123.71,123.51,6.41,6.16,4.71
"2015-06-30 00:45:00",0,0,0,19027.77,24114.11,5086.34,18371.27,714.63,3539.56,11382.87,22325.69,22331.22,5.53,1.05,1.39,1.74,0.60,212.85,123.26,5.71,60.01,1.31,0.95,1.80,13.21,6.21,14.57,0,-1.93,0,16706.79,4049.17,3358.15,0.58,16.86,5068.90,4396.29,10084.98,3890.00,7.13,201.29,506.21,3.39,18.98,3517.19,4737.74,5278.16,1366.96,19637.94,16729.57,6506.89,10.55,220.98,6661.26,0.19,0.44,0.42,0.86,0.87,-0.34,0.88,0.97,0.54,0.22,0.45,0.78,212.19,213.64,212.71,122.66,123.82,123.29,8.23,4.43,4.46
"2015-06-30 01:00:00",0,0,0,19028.46,24114.79,5086.34,18371.80,714.63,3539.56,11382.96,22326.54,22332.07,5.53,10.04,5.59,11.49,0.87,211.00,122.19,31.24,60.02,4.86,2.89,5.76,13.21,6.21,14.57,0,-1.93,0,16707.00,4049.40,3358.40,0.58,16.86,5068.90,4396.57,10085.16,3890.07,7.13,201.29,506.21,3.39,18.98,3517.19,4737.75,5278.18,1367.03,19638.32,16729.88,6507.18,10.55,220.98,6661.26,3.42,3.27,3.40,2.00,1.88,1.51,3.96,3.77,3.72,0.85,0.87,0.90,210.46,211.74,210.81,121.66,122.83,122.08,32.56,30.68,30.49
"2015-06-30 01:15:00",0,0,0,19029.35,24115.69,5086.34,18372.41,714.63,3539.56,11383.10,22327.57,22333.10,5.53,0.59,0.13,0.60,0.98,212.28,122.93,5.04,60.02,4.10,2.41,4.86,13.21,6.21,14.57,0,-1.93,0,16707.30,4049.67,3358.71,0.58,16.86,5068.90,4396.90,10085.32,3890.19,7.13,201.29,506.21,3.39,18.98,3517.19,4737.75,5278.26,1367.09,19638.80,16730.27,6507.54,10.55,220.98,6661.26,0.30,0.11,0.17,0.94,-0.52,-0.29,0.99,0.53,0.34,0.31,0.21,0.52,211.39,213.16,212.02,122.40,123.25,122.99,8.41,3.14,2.81
"2015-06-30 01:30:00",0,0,0,19030.34,24116.68,5086.34,18373.08,714.63,3539.56,11383.23,22328.72,22334.25,5.53,9.86,5.65,11.36,0.87,211.69,122.59,30.78,60.01,2.16,1.07,2.52,13.21,6.21,14.57,0,-1.93,0,16707.67,4049.97,3359.03,0.58,16.86,5068.90,4397.25,10085.50,3890.34,7.13,201.29,506.21,3.39,18.98,3517.19,4737.75,5278.34,1367.14,19639.32,16730.69,6507.94,10.55,220.98,6661.26,3.34,3.16,3.36,2.39,1.71,1.56,4.11,3.59,3.70,0.81,0.88,0.91,211.12,212.63,211.32,122.05,123.06,122.66,32.40,29.45,30.49
"2015-06-30 01:45:00",0,0,0,19030.71,24117.04,5086.34,18373.52,714.63,3539.56,11383.35,22329.23,22334.76,5.53,0.84,1.30,1.55,0.54,213.50,123.64,5.15,60.01,4.77,2.77,5.61,13.21,6.21,14.57,0,-1.93,0,16707.81,4050.10,3359.14,0.58,16.86,5068.90,4397.51,10085.62,3890.38,7.13,201.29,506.21,3.39,18.98,3517.19,4737.75,5278.40,1367.20,19639.64,16730.92,6508.10,10.55,220.98,6661.26,0.16,0.54,0.14,1.14,0.48,-0.32,1.15,0.73,0.35,0.14,0.75,0.40,212.94,214.61,212.95,123.15,124.13,123.65,7.26,5.18,3.00
"2015-06-30 02:00:00",0,0,0,19030.89,24117.22,5086.34,18373.88,714.63,3539.56,11383.46,22329.56,22335.09,5.53,0.68,1.28,1.45,0.47,213.86,123.85,5.01,60.01,0.70,0.78,1.15,13.21,6.21,14.57,0,-1.93,0,16707.86,4050.19,3359.17,0.58,16.86,5068.90,4397.74,10085.75,3890.38,7.13,201.29,506.21,3.39,18.98,3517.20,4737.76,5278.42,1367.29,19639.89,16731.10,6508.19,10.55,220.98,6661.26,0.20,0.30,0.11,0.96,0.42,-0.35,0.98,0.52,0.36,0.19,0.47,0.41,213.10,215.06,213.43,123.22,124.38,123.95,7.94,4.17,2.92
"2015-06-30 02:15:00",0,0,0,19031.36,24117.70,5086.34,18374.32,714.63,3539.56,11383.59,22330.18,22335.71,5.53,11.17,5.54,12.37,0.89,212.27,122.93,33.82,60.01,0.71,0.99,1.31,13.21,6.21,14.57,0,-1.93,0,16708.02,4050.35,3359.33,0.58,16.86,5068.90,4398.00,10085.90,3890.42,7.13,201.29,506.21,3.39,18.98,3517.20,4737.77,5278.44,1367.37,19640.23,16731.34,6508.40,10.55,220.98,6661.26,4.21,3.24,3.71,2.26,1.65,1.64,4.78,3.63,4.06,0.88,0.89,0.92,211.84,212.86,212.31,122.66,123.44,122.79,38.65,29.86,32.96
"2015-06-30 02:30:00",0,0,0,19034.15,24120.49,5086.34,18375.76,714.63,3539.56,11383.59,22333.33,22338.86,5.53,11.10,5.67,12.46,0.89,212.27,122.93,33.82,60.03,3.41,1.98,4.12,13.21,6.21,14.57,0,-1.93,0,16709.07,4051.16,3360.27,0.58,16.86,5068.90,4398.55,10086.37,3890.84,7.13,201.29,506.21,3.39,18.98,3517.20,4737.77,5278.44,1367.37,19641.41,16732.28,6509.43,10.55,220.98,6661.26,4.19,3.17,3.74,2.09,1.92,1.66,4.68,3.70,4.09,0.90,0.86,0.91,211.83,213.05,211.92,122.16,123.49,123.14,38.73,29.54,33.18
