time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kWh)","Accumulated Real Energy, Phase B, Import (kWh)","Accumulated Real Energy, Phase C, Import (kWh)","Accumulated Real Energy, Phase A, Export (kWh)","Accumulated Real Energy, Phase B, Export (kWh)","Accumulated Real Energy, Phase C, Export (kWh)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-06-30 03:45:00",0,0,0,19047.73,24134.07,5086.34,18382.84,714.63,3539.56,11383.67,22348.63,22354.16,5.53,10.90,6.43,12.65,0.86,212.44,123.03,33.65,60.01,7.52,3.70,8.46,13.21,6.21,14.57,0,-1.93,0,16714.95,4054.77,3364.35,0.58,16.86,5068.90,4401.72,10088.51,3892.62,7.13,201.29,506.21,3.39,18.98,3517.20,4737.77,5278.47,1367.43,19648.11,16736.50,6513.92,10.55,220.98,6661.26,4.13,3.63,3.14,3.01,1.72,1.70,5.10,4.01,3.57,0.81,0.90,0.88,211.70,213.06,212.56,122.32,123.77,122.99,40.42,32.29,28.26
"2015-06-30 04:00:00",0,0,0,19049.29,24135.63,5086.34,18383.72,714.63,3539.56,11383.78,22350.38,22355.92,5.53,10.06,6.08,11.75,0.86,213.27,123.51,31.52,59.93,11.03,6.00,12.56,13.21,6.21,14.57,0,-1.93,0,16715.67,4055.22,3364.74,0.58,16.86,5068.90,4402.20,10088.73,3892.80,7.13,201.29,506.21,3.39,18.98,3517.20,4737.77,5278.54,1367.47,19648.98,16737.05,6514.39,10.55,220.98,6661.26,4.31,2.75,3.00,2.80,1.70,1.59,5.13,3.23,3.39,0.84,0.85,0.88,212.57,214.15,213.09,122.69,124.07,123.76,41.28,25.97,27.32
"2015-06-30 04:15:00",0,0,0,19051.59,24137.93,5086.34,18385.10,714.63,3539.56,11383.79,22353.06,22358.59,5.53,2.19,1.36,2.52,0.85,214.26,124.08,8.19,60.01,6.12,3.14,6.93,13.21,6.21,14.57,0,-1.93,0,16716.67,4055.84,3365.41,0.58,16.86,5068.90,4402.83,10089.12,3893.15,7.13,201.29,506.21,3.39,18.98,3517.20,4737.77,5278.54,1367.48,19650.17,16737.80,6515.15,10.55,220.98,6661.26,1.58,0.46,0.15,1.36,0.35,-0.35,2.08,0.58,0.38,0.76,0.80,0.39,213.93,214.94,213.87,123.15,124.92,124.15,16.57,6.08,3.02
"2015-06-30 04:30:00",0,0,0,19053.14,24139.47,5086.34,18386.06,714.63,3539.56,11383.86,22354.86,22360.39,5.53,10.34,6.25,12.08,0.86,213.32,123.54,32.34,59.98,7.99,4.74,9.32,13.21,6.21,14.57,0,-1.93,0,16717.41,4056.25,3365.81,0.58,16.86,5068.90,4403.33,10089.40,3893.34,7.13,201.29,506.21,3.39,18.98,3517.20,4737.77,5278.57,1367.53,19651.05,16738.32,6515.63,10.55,220.98,6661.26,4.23,3.01,3.09,2.81,1.85,1.60,5.08,3.53,3.48,0.83,0.85,0.89,212.62,214.20,213.13,122.57,124.31,123.74,40.66,28.32,28.05
"2015-06-30 04:45:00",0,0,0,19054.65,24140.99,5086.34,18387.01,714.63,3539.57,11383.92,22356.62,22362.15,5.53,1.85,1.73,2.53,0.73,214.93,124.47,7.29,60.02,7.41,4.29,8.57,13.21,6.21,14.57,0,-1.93,0,16718.12,4056.67,3366.20,0.58,16.86,5068.90,4403.81,10089.67,3893.53,7.13,201.29,506.21,3.39,18.98,3517.20,4737.77,5278.59,1367.56,19651.91,16738.84,6516.09,10.55,220.98,6661.26,1.44,0.35,0.05,1.51,0.58,-0.36,2.08,0.68,0.36,0.69,0.52,0.14,214.18,215.82,214.80,123.52,125.27,124.62,14.87,4.63,2.37
"2015-06-30 05:00:00",0,0,0,19056.60,24142.93,5086.34,18388.19,714.63,3539.57,11383.96,22358.89,22364.42,5.53,1.84,1.67,2.48,0.74,213.72,123.77,7.42,60.02,4.84,2.79,5.65,13.21,6.21,14.57,0,-1.93,0,16718.96,4057.23,3366.75,0.58,16.86,5068.90,4404.37,10090.03,3893.80,7.13,201.29,506.21,3.39,18.98,3517.20,4737.77,5278.60,1367.58,19652.93,16739.51,6516.71,10.55,220.98,6661.26,1.41,0.39,0.12,1.21,0.36,-0.34,1.85,0.53,0.36,0.71,0.45,0.37,213.00,214.68,213.49,122.79,124.25,124.29,15.07,4.26,2.92
"2015-06-30 05:15:00",0,0,0,19057.95,24144.28,5086.34,18389.05,714.63,3539.57,11384.04,22360.46,22365.99,5.53,10.64,6.08,12.28,0.86,214.03,123.95,32.99,59.96,7.77,4.59,9.06,13.21,6.21,14.57,0,-1.93,0,16719.61,4057.59,3367.08,0.58,16.86,5068.90,4404.82,10090.27,3893.96,7.13,201.29,506.21,3.39,18.98,3517.20,4737.77,5278.63,1367.64,19653.73,16739.98,6517.11,10.55,220.98,6661.26,4.43,3.18,3.03,2.73,1.79,1.56,5.20,3.65,3.41,0.85,0.87,0.89,213.22,214.46,213.82,122.96,124.51,124.03,42.50,29.35,27.52
"2015-06-30 05:30:00",0,0,0,19059.15,24145.49,5086.34,18389.77,714.63,3539.57,11384.13,22361.83,22367.36,5.53,11.60,5.89,13.01,0.89,213.69,123.75,35.30,60.02,6.77,3.87,7.83,13.21,6.21,14.57,0,-1.93,0,16720.21,4057.92,3367.36,0.58,16.86,5068.90,4405.24,10090.50,3894.03,7.13,201.29,506.21,3.39,18.98,3517.20,4737.77,5278.66,1367.70,19654.46,16740.41,6517.45,10.55,220.98,6661.26,4.90,3.43,3.26,2.60,1.75,1.54,5.55,3.85,3.61,0.88,0.89,0.91,213.22,214.20,213.65,122.80,124.34,124.12,45.75,31.09,29.07
"2015-06-30 05:45:00",0,0,0,19060.97,24147.31,5086.34,18390.86,714.63,3539.57,11384.17,22363.94,22369.47,5.53,1.92,0.65,2.02,0.95,214.60,124.28,7.26,60.01,4.69,2.47,5.36,13.21,6.21,14.57,0,-1.93,0,16721.04,4058.43,3367.84,0.58,16.86,5068.90,4405.77,10090.81,3894.28,7.13,201.29,506.21,3.39,18.98,3517.20,4737.77,5278.68,1367.73,19655.45,16741.01,6518.01,10.55,220.98,6661.26,1.39,0.34,0.18,1.32,-0.37,-0.29,1.91,0.51,0.35,0.73,0.68,0.53,214.04,215.13,214.62,123.54,124.72,124.59,14.89,3.69,3.20
"2015-06-30 06:00:00",0,0,0,19061.46,24147.79,5086.34,18391.21,714.63,3539.57,11384.35,22364.47,22370.00,5.53,1.97,0.44,2.02,0.98,215.20,124.63,8.14,59.93,6.03,3.50,7.02,13.21,6.21,14.57,0,-1.93,0,16721.42,4058.50,3367.87,0.58,16.86,5068.90,4406.09,10090.85,3894.28,7.13,201.29,506.21,3.39,18.98,3517.20,4737.77,5278.77,1367.81,19655.94,16741.17,6518.10,10.55,220.98,6661.26,1.63,0.17,0.17,1.25,-0.50,-0.31,2.05,0.53,0.35,0.79,0.33,0.49,214.42,215.99,215.18,123.65,125.23,125.01,16.81,4.46,3.16
