time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kWh)","Accumulated Real Energy, Phase B, Import (kWh)","Accumulated Real Energy, Phase C, Import (kWh)","Accumulated Real Energy, Phase A, Export (kWh)","Accumulated Real Energy, Phase B, Export (kWh)","Accumulated Real Energy, Phase C, Export (kWh)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-06-30 11:00:00",0,0,0,19071.57,24157.91,5086.34,18398.79,714.63,3539.58,11387.79,22375.79,22381.32,5.53,2.22,1.36,2.60,0.85,212.93,123.32,8.46,60.00,2.45,0.85,2.67,13.21,6.21,14.57,0,-1.93,0,16729.03,4060.18,3368.69,0.58,16.86,5068.90,4412.39,10092.13,3894.28,7.13,201.29,506.21,3.39,18.98,3517.21,4737.77,5280.42,1369.60,19665.87,16744.65,6520.10,10.55,220.98,6661.28,1.55,0.52,0.14,1.35,0.38,-0.37,2.06,0.65,0.40,0.76,0.81,0.35,212.39,213.53,212.88,122.63,123.84,123.49,16.48,5.88,3.00
"2015-06-30 11:15:00",0,0,0,19072.10,24158.44,5086.34,18399.21,714.63,3539.58,11387.91,22376.41,22381.94,5.53,1.96,1.61,2.24,0.95,213.22,123.48,8.42,60.02,2.15,1.18,2.51,13.21,6.21,14.57,0,-1.93,0,16729.42,4060.29,3368.73,0.58,16.86,5068.90,4412.71,10092.23,3894.28,7.13,201.29,506.21,3.39,18.98,3517.21,4737.77,5280.45,1369.69,19666.38,16744.82,6520.20,10.55,220.98,6661.28,1.53,0.36,0.07,1.57,0.41,-0.37,2.19,0.54,0.38,0.70,0.65,0.20,212.64,213.78,213.04,122.69,123.94,123.69,16.21,4.06,2.61
"2015-06-30 11:30:00",0,0,0,19072.59,24158.93,5086.34,18399.61,714.63,3539.59,11388.06,22376.98,22382.51,5.53,1.76,0.08,1.76,1.00,212.81,123.25,7.86,60.01,2.10,1.20,2.47,13.21,6.21,14.57,0,-1.93,0,16729.78,4060.38,3368.77,0.58,16.86,5068.90,4413.02,10092.31,3894.28,7.13,201.29,506.21,3.39,18.98,3517.22,4737.77,5280.51,1369.77,19666.86,16744.99,6520.30,10.55,220.98,6661.28,1.43,0.19,0.13,0.98,-0.50,-0.41,1.73,0.53,0.43,0.83,0.36,0.31,212.16,213.31,212.97,122.68,123.76,123.31,15.36,5.02,3.20
"2015-06-30 11:45:00",0,0,0,19073.03,24159.37,5086.34,18399.92,714.63,3539.59,11388.28,22377.43,22382.96,5.53,1.61,0.42,1.66,0.97,212.95,123.34,7.17,60.01,1.92,0.84,2.19,13.21,6.21,14.57,0,-1.93,0,16730.14,4060.42,3368.80,0.58,16.86,5068.90,4413.33,10092.32,3894.28,7.13,201.29,506.21,3.39,18.98,3517.22,4737.77,5280.65,1369.86,19667.34,16745.14,6520.39,10.55,220.98,6661.28,1.37,0.13,0.11,1.20,-0.43,-0.36,1.83,0.44,0.38,0.75,0.28,0.29,212.28,213.74,212.82,122.55,123.90,123.56,14.89,3.58,3.04
"2015-06-30 12:00:00",0,0,0,19073.44,24159.78,5086.34,18400.23,714.63,3539.59,11388.50,22377.87,22383.40,5.53,1.47,0.36,1.52,0.97,212.81,123.26,6.24,60.01,1.73,0.36,1.80,13.21,6.21,14.57,0,-1.93,0,16730.49,4060.46,3368.83,0.58,16.86,5068.90,4413.63,10092.33,3894.28,7.13,201.29,506.21,3.39,18.98,3517.22,4737.77,5280.79,1369.94,19667.80,16745.29,6520.48,10.55,220.98,6661.28,1.22,0.15,0.10,1.00,-0.36,-0.29,1.58,0.39,0.30,0.77,0.39,0.33,212.23,213.55,212.64,122.65,123.79,123.34,12.84,3.04,2.84
"2015-06-30 12:15:00",0,0,0,19073.87,24160.21,5086.34,18400.61,714.63,3539.59,11388.63,22378.39,22383.92,5.53,0.78,1.12,0.85,0.91,213.16,123.47,5.36,60.01,1.68,0.40,1.78,13.21,6.21,14.57,0,-1.93,0,16730.79,4060.56,3368.86,0.58,16.86,5068.90,4413.90,10092.43,3894.28,7.13,201.29,506.21,3.39,18.98,3517.22,4737.77,5280.83,1370.03,19668.21,16745.47,6520.57,10.55,220.98,6661.28,0.33,0.31,0.14,1.04,0.43,-0.34,1.09,0.53,0.37,0.31,0.59,0.38,212.37,213.71,213.25,123.20,123.66,123.46,9.00,4.10,2.96
"2015-06-30 12:30:00",0,0,0,19074.08,24160.42,5086.34,18400.99,714.63,3539.59,11388.73,22378.75,22384.28,5.53,1.04,1.13,1.54,0.68,212.96,123.35,5.74,59.98,1.56,1.06,2.00,13.21,6.21,14.57,0,-1.93,0,16730.87,4060.65,3368.90,0.58,16.86,5068.90,4414.16,10092.56,3894.28,7.13,201.29,506.21,3.39,18.98,3517.22,4737.77,5280.85,1370.11,19668.48,16745.64,6520.66,10.55,220.98,6661.28,0.36,0.52,0.16,1.03,0.43,-0.33,1.09,0.67,0.37,0.33,0.77,0.45,212.24,213.59,213.06,123.12,123.62,123.32,8.82,5.43,2.96
"2015-06-30 12:45:00",0,0,0,19074.29,24160.63,5086.34,18401.38,714.63,3539.59,11388.82,22379.12,22384.65,5.53,0.82,0.19,0.84,0.97,213.73,123.80,6.20,59.93,0.87,1.15,1.48,13.21,6.21,14.57,0,-1.93,0,16730.95,4060.75,3368.93,0.58,16.86,5068.90,4414.41,10092.69,3894.28,7.13,201.29,506.21,3.39,18.98,3517.22,4737.77,5280.86,1370.19,19668.75,16745.82,6520.75,10.55,220.98,6661.28,0.22,0.45,0.14,1.01,-0.46,-0.35,1.03,0.65,0.38,0.21,0.70,0.38,212.92,214.27,214.00,123.73,123.84,123.81,8.84,6.81,2.96
"2015-06-30 13:00:00",0,0,0,19074.43,24160.76,5086.34,18401.67,714.64,3539.59,11389.00,22379.34,22384.87,5.53,0.38,0.37,0.53,0.72,212.21,122.91,4.93,60.02,0.82,1.17,1.46,13.21,6.21,14.57,0,-1.93,0,16731.01,4060.79,3368.96,0.58,16.86,5068.90,4414.65,10092.74,3894.28,7.14,201.29,506.21,3.39,18.98,3517.22,4737.78,5280.95,1370.28,19669.00,16745.97,6520.84,10.56,220.98,6661.28,0.20,0.11,0.07,1.02,-0.31,-0.34,1.04,0.33,0.35,0.19,0.33,0.21,211.82,212.36,212.44,122.91,123.21,122.62,8.47,3.49,2.84
"2015-06-30 13:15:00",0,0,0,19074.54,24160.88,5086.34,18401.92,714.64,3539.59,11389.22,22379.50,22385.03,5.53,0.48,0.96,1.07,0.44,213.12,123.44,5.27,59.97,0.49,0.28,0.76,13.21,6.21,14.57,0,-1.93,0,16731.06,4060.82,3368.99,0.58,16.86,5068.90,4414.88,10092.76,3894.28,7.14,201.29,506.21,3.39,18.98,3517.22,4737.79,5281.08,1370.36,19669.26,16746.12,6520.92,10.56,220.98,6661.28,0.29,0.13,0.13,0.97,-0.59,-0.31,1.01,0.61,0.33,0.23,0.39,0.35,212.53,213.43,213.41,123.39,123.58,123.36,8.22,4.90,2.68
