time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kWh)","Accumulated Real Energy, Phase B, Import (kWh)","Accumulated Real Energy, Phase C, Import (kWh)","Accumulated Real Energy, Phase A, Export (kWh)","Accumulated Real Energy, Phase B, Export (kWh)","Accumulated Real Energy, Phase C, Export (kWh)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-06-30 14:30:00",0,0,0,19076.01,24162.35,5086.34,18403.83,714.64,3539.59,11389.92,22381.54,22387.07,5.53,0.53,0.36,0.64,0.82,212.69,123.19,4.93,60.01,0.66,0.66,1.03,13.21,6.21,14.57,0,-1.93,0,16731.58,4061.39,3369.38,0.58,16.86,5068.90,4416.16,10093.30,3894.38,7.14,201.29,506.21,3.39,18.98,3517.22,4737.79,5281.35,1370.78,19670.67,16747.16,6521.61,10.56,220.98,6661.28,0.25,0.14,0.14,0.96,-0.29,-0.31,0.99,0.32,0.34,0.25,0.44,0.42,211.94,212.99,213.15,123.33,123.11,123.13,8.01,3.93,2.84
"2015-06-30 14:45:00",0,0,0,19076.13,24162.47,5086.34,18404.10,714.64,3539.59,11390.11,22381.71,22387.24,5.53,0.83,-0.14,0.84,0.99,212.36,122.99,5.90,59.96,0.49,0.17,0.61,13.21,6.21,14.57,0,-1.93,0,16731.63,4061.43,3369.41,0.58,16.86,5068.90,4416.39,10093.33,3894.38,7.14,201.29,506.21,3.39,18.98,3517.22,4737.79,5281.47,1370.86,19670.91,16747.32,6521.70,10.56,220.98,6661.28,0.36,0.32,0.14,0.70,-0.46,-0.38,0.79,0.56,0.40,0.46,0.58,0.36,211.74,212.77,212.57,122.92,123.19,122.87,9.09,5.95,2.66
"2015-06-30 15:00:00",0,0,0,19077.00,24163.34,5086.34,18404.80,714.64,3539.59,11390.18,22382.81,22388.34,5.53,0.84,1.09,1.38,0.61,211.63,122.57,5.11,60.01,0.51,0.40,0.77,13.21,6.21,14.57,0,-1.93,0,16731.94,4061.73,3369.67,0.58,16.86,5068.90,4416.72,10093.56,3894.52,7.14,201.29,506.21,3.39,18.98,3517.22,4737.79,5281.48,1370.91,19671.39,16747.71,6522.04,10.56,220.98,6661.28,0.34,0.36,0.15,0.94,0.49,-0.34,0.99,0.61,0.37,0.34,0.59,0.40,210.60,212.28,212.01,122.52,122.51,122.70,7.78,4.67,2.88
"2015-06-30 15:15:00",0,0,0,19077.21,24163.54,5086.34,18405.16,714.64,3539.59,11390.27,22383.15,22388.69,5.53,0.70,1.03,1.25,0.56,211.13,122.28,4.98,59.93,3.49,2.54,4.42,13.21,6.21,14.57,0,-1.93,0,16732.02,4061.82,3369.71,0.58,16.86,5068.90,4416.95,10093.69,3894.52,7.14,201.29,506.21,3.39,18.98,3517.22,4737.79,5281.49,1370.99,19671.63,16747.88,6522.13,10.56,220.98,6661.28,0.30,0.29,0.11,0.96,0.40,-0.33,1.01,0.49,0.35,0.29,0.59,0.33,210.53,211.70,211.17,122.32,122.41,122.12,7.62,4.37,2.94
"2015-06-30 15:30:00",0,0,0,19077.42,24163.76,5086.34,18405.53,714.64,3539.59,11390.38,22383.51,22389.04,5.53,1.00,0.98,1.57,0.65,210.73,122.05,5.37,60.01,0.85,1.06,1.40,13.21,6.21,14.57,0,-1.93,0,16732.10,4061.91,3369.74,0.58,16.86,5068.90,4417.19,10093.82,3894.52,7.14,201.29,506.21,3.39,18.98,3517.22,4737.79,5281.51,1371.08,19671.89,16748.06,6522.22,10.56,220.98,6661.28,0.34,0.50,0.16,0.97,0.32,-0.31,1.02,0.60,0.35,0.33,0.84,0.46,210.09,211.33,210.76,121.92,122.27,121.96,8.31,5.22,3.10
"2015-06-30 15:45:00",0,0,0,19077.55,24163.89,5086.34,18405.80,714.64,3539.59,11390.57,22383.68,22389.21,5.53,0.48,1.06,1.17,0.42,210.09,121.69,4.97,59.94,0.84,1.08,1.41,13.21,6.21,14.57,0,-1.93,0,16732.16,4061.95,3369.77,0.58,16.86,5068.90,4417.43,10093.86,3894.52,7.14,201.29,506.21,3.39,18.98,3517.22,4737.79,5281.62,1371.16,19672.14,16748.21,6522.31,10.56,220.98,6661.28,0.20,0.16,0.13,0.96,0.41,-0.30,0.98,0.44,0.33,0.21,0.36,0.39,209.42,210.60,210.26,121.77,121.78,121.50,7.75,4.20,2.94
"2015-06-30 16:00:00",0,0,0,19077.66,24164.00,5086.34,18406.06,714.64,3539.59,11390.78,22383.84,22389.37,5.53,0.31,0.26,0.41,0.77,211.35,122.41,4.50,60.01,0.45,0.18,0.58,13.21,6.21,14.57,0,-1.93,0,16732.21,4061.98,3369.80,0.58,16.86,5068.90,4417.66,10093.88,3894.52,7.14,201.29,506.21,3.39,18.98,3517.22,4737.79,5281.74,1371.24,19672.37,16748.37,6522.39,10.56,220.98,6661.28,0.15,0.09,0.08,1.01,-0.40,-0.35,1.02,0.41,0.36,0.14,0.21,0.24,210.71,212.02,211.34,122.25,122.57,122.42,7.09,3.78,2.64
"2015-06-30 16:15:00",0,0,0,19077.94,24164.27,5086.34,18406.43,714.64,3539.59,11390.90,22384.23,22389.77,5.53,9.03,5.54,10.60,0.85,209.84,121.54,28.81,60.01,0.45,0.21,0.62,13.21,6.21,14.57,0,-1.93,0,16732.31,4062.09,3369.87,0.58,16.86,5068.90,4417.90,10093.99,3894.54,7.14,201.29,506.21,3.39,18.98,3517.22,4737.79,5281.80,1371.32,19672.65,16748.57,6522.52,10.56,220.98,6661.29,3.19,2.97,3.04,1.87,1.63,1.58,3.69,3.39,3.43,0.83,0.86,0.87,208.99,210.55,209.99,121.81,121.55,121.26,30.31,27.85,28.26
"2015-06-30 16:30:00",0,0,0,19078.98,24165.32,5086.34,18407.16,714.64,3539.59,11390.99,22385.49,22391.02,5.53,0.71,0.95,1.18,0.60,210.23,121.76,5.33,59.96,2.36,1.71,3.04,13.21,6.21,14.57,0,-1.93,0,16732.64,4062.47,3370.22,0.58,16.86,5068.90,4418.23,10094.25,3894.68,7.14,201.29,506.21,3.39,18.98,3517.22,4737.79,5281.80,1371.40,19673.13,16749.04,6522.94,10.56,220.98,6661.29,0.37,0.31,0.11,0.83,0.59,-0.35,0.91,0.67,0.37,0.41,0.46,0.30,209.37,210.90,210.20,121.75,121.63,121.77,8.15,4.39,2.75
"2015-06-30 16:45:00",0,0,0,19079.19,24165.53,5086.34,18407.52,714.64,3539.59,11391.08,22385.84,22391.37,5.53,0.78,1.01,1.28,0.61,210.37,121.84,5.63,59.98,2.96,1.95,3.67,13.21,6.21,14.57,0,-1.93,0,16732.72,4062.56,3370.25,0.58,16.86,5068.90,4418.46,10094.38,3894.68,7.14,201.29,506.21,3.39,18.98,3517.22,4737.79,5281.81,1371.48,19673.38,16749.21,6523.03,10.56,220.98,6661.29,0.32,0.32,0.14,0.94,0.41,-0.34,0.99,0.52,0.37,0.32,0.62,0.39,209.50,210.89,210.72,121.73,121.92,121.86,7.71,6.10,3.08
"2015-06-30 17:00:00",0,0,0,19079.38,24165.71,5086.34,18407.85,714.64,3539.59,11391.22,22386.13,22391.66,5.53,0.50,0.25,0.56,0.89,209.44,121.30,4.42,60.02,0.83,1.08,1.39,13.21,6.21,14.57,0,-1.93,0,16732.80,4062.63,3370.28,0.58,16.86,5068.90,4418.69,10094.48,3894.68,7.14,201.29,506.21,3.39,18.98,3517.22,4737.79,5281.87,1371.57,19673.62,16749.38,6523.13,10.56,220.98,6661.29,0.28,0.11,0.11,1.06,-0.47,-0.34,1.10,0.48,0.35,0.26,0.23,0.31,208.80,210.20,209.32,121.15,121.58,121.16,7.12,3.06,3.08
"2015-06-30 17:15:00",0,0,0,19079.80,24166.14,5086.34,18408.25,714.64,3539.59,11391.40,22386.65,22392.18,5.53,9.28,5.25,10.66,0.87,210.47,121.90,29.28,59.95,0.71,0.61,1.07,13.21,6.21,14.57,0,-1.93,0,16732.96,4062.76,3370.42,0.58,16.86,5068.90,4418.96,10094.56,3894.74,7.14,201.29,506.21,3.39,18.98,3517.22,4737.79,5281.97,1371.64,19673.96,16749.63,6523.33,10.56,220.98,6661.29,3.22,2.91,3.14,1.98,1.66,1.61,3.78,3.35,3.53,0.85,0.87,0.89,209.83,211.13,210.45,121.89,122.10,121.72,31.46,27.38,28.99
