time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kWh)","Accumulated Real Energy, Phase B, Import (kWh)","Accumulated Real Energy, Phase C, Import (kWh)","Accumulated Real Energy, Phase A, Export (kWh)","Accumulated Real Energy, Phase B, Export (kWh)","Accumulated Real Energy, Phase C, Export (kWh)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-06-30 21:30:00",0,0,0,19090.93,24177.27,5086.34,18417.13,714.66,3539.61,11393.28,22400.31,22405.84,5.53,0.60,1.02,1.18,0.51,210.13,121.69,4.62,59.97,3.00,1.90,3.64,13.21,6.21,14.57,0,-1.93,0,16736.72,4066.67,3373.88,0.58,16.86,5068.90,4423.70,10097.34,3896.09,7.16,201.29,506.21,3.39,18.98,3517.23,4737.80,5282.72,1372.76,19680.46,16755.17,6527.80,10.58,220.98,6661.30,0.18,0.30,0.11,0.83,0.40,-0.32,0.85,0.50,0.34,0.22,0.60,0.34,209.31,210.90,210.18,121.41,121.74,121.94,7.01,4.07,2.77
"2015-06-30 21:45:00",0,0,0,19091.71,24178.05,5086.34,18417.72,714.66,3539.61,11393.36,22401.27,22406.80,5.53,10.27,5.48,11.68,0.89,208.24,120.59,32.24,60.02,3.18,2.18,3.98,13.21,6.21,14.57,0,-1.93,0,16736.98,4066.95,3374.12,0.58,16.86,5068.90,4423.99,10097.54,3896.19,7.16,201.29,506.21,3.39,18.98,3517.23,4737.80,5282.73,1372.82,19680.88,16755.54,6528.11,10.58,220.98,6661.30,3.35,3.45,3.48,2.19,1.72,1.56,4.00,3.85,3.81,0.84,0.90,0.91,207.75,208.83,207.98,120.19,120.71,120.80,32.26,32.62,31.54
"2015-06-30 22:00:00",0,0,0,19092.44,24178.79,5086.34,18418.23,714.66,3539.61,11393.51,22402.13,22407.67,5.53,0.50,-0.05,0.50,1.00,209.56,121.36,4.51,60.01,4.51,2.68,5.35,13.21,6.21,14.57,0,-1.93,0,16737.20,4067.21,3374.38,0.58,16.86,5068.90,4424.25,10097.70,3896.28,7.16,201.29,506.21,3.39,18.98,3517.24,4737.81,5282.80,1372.90,19681.25,16755.91,6528.43,10.58,220.98,6661.30,0.24,0.11,0.15,0.80,-0.55,-0.30,0.83,0.56,0.34,0.29,0.20,0.45,209.07,210.50,209.12,120.87,121.80,121.41,8.59,2.29,2.66
"2015-06-30 22:15:00",0,0,0,19093.77,24180.11,5086.34,18419.03,714.66,3539.61,11393.60,22403.65,22409.18,5.53,1.40,2.32,2.71,0.52,209.92,121.57,7.12,60.01,1.53,0.72,1.88,13.21,6.21,14.57,0,-1.93,0,16737.67,4067.62,3374.82,0.58,16.86,5068.90,4424.62,10097.94,3896.47,7.16,201.29,506.21,3.39,18.98,3517.24,4737.81,5282.85,1372.94,19681.87,16756.44,6528.93,10.58,220.98,6661.30,0.55,0.37,0.47,1.10,0.74,0.49,1.23,0.82,0.68,0.45,0.45,0.70,209.38,210.78,209.59,120.99,121.99,121.72,9.60,6.01,5.76
"2015-06-30 22:30:00",0,0,0,19094.08,24180.42,5086.34,18419.40,714.66,3539.61,11393.71,22404.08,22409.61,5.53,2.05,1.50,1.57,0.81,209.50,121.33,6.06,60.01,5.36,2.96,6.21,13.21,6.21,14.57,0,-1.93,0,16737.75,4067.76,3374.90,0.58,16.86,5068.90,4424.84,10098.09,3896.48,7.16,201.29,506.21,3.39,18.98,3517.24,4737.81,5282.87,1373.03,19682.11,16756.66,6529.06,10.58,220.98,6661.30,0.32,1.20,0.53,0.88,1.05,-0.43,0.94,0.58,0.68,0.34,1.00,0.77,208.71,210.37,209.11,120.80,121.56,121.44,7.76,11.41,5.79
"2015-06-30 22:45:00",0,0,0,19095.60,24181.94,5086.34,18420.27,714.66,3539.61,11393.77,22405.82,22411.36,5.53,1.34,1.40,2.20,0.81,210.39,121.84,7.95,60.02,1.35,1.01,1.77,13.21,6.21,14.57,0,-1.93,0,16738.23,4068.28,3375.43,0.58,16.86,5068.90,4425.21,10098.39,3896.67,7.16,201.29,506.21,3.39,18.98,3517.24,4737.81,5282.89,1373.08,19682.73,16757.27,6529.65,10.58,220.98,6661.30,0.37,0.34,0.62,0.94,1.01,-0.55,1.01,1.07,0.83,0.37,0.32,0.75,210.15,211.37,210.22,121.35,122.48,122.04,7.70,4.37,6.25
"2015-06-30 23:00:00",0,0,0,19096.25,24182.59,5086.34,18420.79,714.66,3539.61,11393.88,22406.60,22412.13,5.53,10.58,5.39,11.88,0.89,209.45,121.30,32.72,60.02,6.05,3.20,6.92,13.21,6.21,14.57,0,-1.93,0,16738.43,4068.50,3375.65,0.58,16.86,5068.90,4425.48,10098.57,3896.73,7.16,201.29,506.21,3.39,18.98,3517.24,4737.81,5282.90,1373.17,19683.09,16757.58,6529.93,10.58,220.98,6661.30,3.46,3.63,3.49,2.01,1.79,1.60,4.00,4.05,3.83,0.87,0.90,0.91,208.93,210.24,209.19,120.82,121.77,121.33,33.46,33.28,31.43
"2015-06-30 23:15:00",0,0,0,19097.18,24183.53,5086.34,18421.42,714.67,3539.61,11393.95,22407.72,22413.25,5.53,1.14,0.25,1.16,0.98,209.79,121.50,6.12,60.02,3.89,2.30,4.59,13.21,6.21,14.57,0,-1.93,0,16738.72,4068.82,3375.98,0.58,16.86,5068.90,4425.78,10098.79,3896.85,7.17,201.29,506.21,3.39,18.98,3517.24,4737.81,5282.92,1373.22,19683.54,16757.98,6530.30,10.59,220.98,6661.30,0.18,0.52,0.44,1.01,-0.40,-0.36,1.02,0.66,0.57,0.17,0.79,0.78,209.38,210.66,209.32,120.82,122.10,121.57,6.48,7.26,4.63
"2015-06-30 23:30:00",0,0,0,19098.37,24184.71,5086.34,18422.18,714.67,3539.61,11394.03,22409.12,22414.65,5.53,0.68,0.95,1.17,0.58,210.00,121.62,4.99,59.95,2.37,1.55,2.94,13.21,6.21,14.57,0,-1.93,0,16739.10,4069.23,3376.39,0.58,16.86,5068.90,4426.12,10099.04,3897.02,7.17,201.29,506.21,3.39,18.98,3517.24,4737.81,5282.94,1373.27,19684.07,16758.49,6530.78,10.59,220.98,6661.30,0.26,0.24,0.26,0.72,0.58,-0.35,0.76,0.62,0.43,0.15,0.71,0.40,209.67,210.64,209.69,121.08,122.30,121.47,6.31,5.09,3.58
"2015-06-30 23:45:00",0,0,0,19098.70,24185.04,5086.34,18422.57,714.67,3539.61,11394.13,22409.58,22415.11,5.53,10.09,5.21,11.36,0.89,208.88,120.97,31.32,60.01,4.73,2.77,5.59,13.21,6.21,14.57,0,-1.93,0,16739.21,4069.35,3376.48,0.58,16.86,5068.90,4426.36,10099.17,3897.04,7.17,201.29,506.21,3.39,18.98,3517.24,4737.81,5282.97,1373.35,19684.35,16758.70,6530.91,10.59,220.98,6661.30,3.46,3.28,3.35,1.90,1.81,1.50,3.94,3.75,3.67,0.88,0.88,0.91,207.91,209.37,207.84,119.96,121.35,120.73,33.54,30.90,30.51
