time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kWh)","Accumulated Real Energy, Phase B, Import (kWh)","Accumulated Real Energy, Phase C, Import (kWh)","Accumulated Real Energy, Phase A, Export (kWh)","Accumulated Real Energy, Phase B, Export (kWh)","Accumulated Real Energy, Phase C, Export (kWh)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-07-01 01:15:00",0,0,0,19103.25,24189.59,5086.34,18426.08,714.67,3539.61,11394.72,22415.14,22420.68,5.53,0.80,0.97,1.26,0.64,210.97,122.18,5.89,59.98,2.03,1.54,2.65,13.21,6.21,14.57,0,-1.93,0,16740.80,4070.89,3377.90,0.58,16.86,5068.90,4428.17,10100.31,3897.61,7.17,201.29,506.21,3.39,18.98,3517.24,4737.82,5283.18,1373.72,19686.89,16760.82,6532.70,10.59,220.98,6661.30,0.32,0.33,0.15,0.90,0.41,-0.35,0.96,0.53,0.38,0.34,0.63,0.39,210.38,211.97,210.54,121.44,122.83,122.26,8.06,6.51,3.10
"2015-07-01 01:30:00",0,0,0,19103.41,24189.76,5086.34,18426.36,714.67,3539.61,11394.90,22415.36,22420.89,5.53,0.57,0.08,0.58,0.99,213.17,123.45,5.41,59.97,2.90,2.14,3.70,13.21,6.21,14.57,0,-1.93,0,16740.88,4070.94,3377.93,0.58,16.86,5068.90,4428.40,10100.35,3897.61,7.17,201.29,506.21,3.39,18.98,3517.24,4737.82,5283.28,1373.80,19687.14,16760.98,6532.79,10.59,220.98,6661.30,0.34,0.11,0.12,0.86,-0.41,-0.38,0.93,0.43,0.40,0.37,0.26,0.32,212.27,214.21,213.03,122.66,123.85,123.83,8.58,4.99,2.66
"2015-07-01 01:45:00",0,0,0,19104.31,24190.65,5086.34,18427.01,714.67,3539.61,11395.03,22416.42,22421.95,5.53,0.61,-0.15,0.61,0.99,213.42,123.60,4.71,60.01,1.18,0.56,1.40,13.21,6.21,14.57,0,-1.93,0,16741.22,4071.21,3378.22,0.58,16.86,5068.90,4428.74,10100.52,3897.75,7.17,201.29,506.21,3.39,18.98,3517.24,4737.82,5283.36,1373.85,19687.64,16761.37,6533.15,10.59,220.98,6661.30,0.47,0.16,-0.01,0.71,-0.54,-0.33,0.85,0.56,0.33,0.55,0.28,-0.04,212.51,214.37,213.07,122.82,123.98,123.81,7.62,4.01,2.70
"2015-07-01 02:00:00",0,0,0,19104.54,24190.88,5086.34,18427.35,714.67,3539.61,11395.17,22416.75,22422.28,5.53,1.09,0.76,1.33,0.82,213.53,123.66,6.06,60.02,3.03,1.82,3.64,13.21,6.21,14.57,0,-1.93,0,16741.29,4071.28,3378.31,0.58,16.86,5068.90,4428.97,10100.62,3897.75,7.17,201.29,506.21,3.39,18.98,3517.24,4737.82,5283.41,1373.94,19687.88,16761.54,6533.29,10.59,220.98,6661.30,0.29,0.33,0.47,0.85,0.41,-0.50,0.90,0.53,0.68,0.32,0.63,0.69,212.77,214.47,213.35,123.10,124.12,123.77,8.57,4.67,4.94
"2015-07-01 02:15:00",0,0,0,19104.74,24191.08,5086.34,18427.72,714.67,3539.61,11395.27,22417.09,22422.62,5.53,0.67,0.90,1.12,0.59,213.67,123.74,5.24,60.02,0.99,0.87,1.40,13.21,6.21,14.57,0,-1.93,0,16741.34,4071.37,3378.36,0.58,16.86,5068.90,4429.21,10100.75,3897.75,7.17,201.29,506.21,3.39,18.98,3517.24,4737.82,5283.42,1374.04,19688.13,16761.71,6533.40,10.59,220.98,6661.30,0.29,0.32,0.06,0.89,0.34,-0.33,0.93,0.47,0.33,0.31,0.69,0.17,212.97,214.78,213.27,122.95,124.22,124.05,8.22,4.76,2.73
"2015-07-01 02:30:00",0,0,0,19104.92,24191.26,5086.34,18428.09,714.67,3539.61,11395.38,22417.42,22422.96,5.53,0.64,0.98,1.17,0.55,213.84,123.84,4.90,59.97,0.74,1.06,1.33,13.21,6.21,14.57,0,-1.93,0,16741.40,4071.46,3378.40,0.58,16.86,5068.90,4429.45,10100.88,3897.75,7.17,201.29,506.21,3.39,18.98,3517.24,4737.82,5283.44,1374.12,19688.38,16761.89,6533.49,10.59,220.98,6661.30,0.24,0.28,0.12,0.95,-0.40,-0.34,0.98,0.48,0.36,0.24,0.60,0.31,212.92,214.92,213.67,123.27,124.01,124.22,7.92,3.89,2.90
"2015-07-01 02:45:00",0,0,0,19105.38,24191.72,5086.34,18428.50,714.67,3539.61,11395.51,22417.99,22423.52,5.53,2.66,0.98,2.68,1.00,213.72,123.76,10.13,60.01,0.71,1.08,1.34,13.21,6.21,14.57,0,-1.93,0,16741.72,4071.56,3378.44,0.58,16.86,5068.90,4429.76,10100.99,3897.75,7.17,201.29,506.21,3.39,18.98,3517.24,4737.82,5283.47,1374.21,19688.83,16762.07,6533.59,10.59,220.98,6661.30,1.55,0.51,0.59,1.25,0.55,-0.82,1.99,0.75,1.01,0.78,0.69,0.58,212.34,214.76,213.37,122.41,124.13,124.36,16.23,6.83,7.09
"2015-07-01 03:00:00",0,0,0,19108.22,24194.56,5086.34,18429.95,714.67,3539.61,11395.52,22421.17,22426.70,5.53,11.80,6.12,13.29,0.89,211.79,122.65,36.31,60.01,2.87,1.50,3.30,13.21,6.21,14.57,0,-1.93,0,16742.99,4072.30,3379.28,0.58,16.86,5068.90,4430.41,10101.42,3898.11,7.17,201.29,506.21,3.39,18.98,3517.24,4737.82,5283.48,1374.22,19690.26,16762.92,6534.51,10.59,220.98,6661.30,5.26,3.10,3.44,2.88,1.80,1.44,5.99,3.58,3.73,0.88,0.87,0.92,211.05,212.89,211.43,121.56,123.33,123.05,48.91,29.21,30.82
"2015-07-01 03:15:00",0,0,0,19111.15,24197.49,5086.34,18431.48,714.67,3539.61,11395.52,22424.48,22430.01,5.53,11.99,6.10,13.45,0.89,212.82,123.25,36.45,60.00,11.93,6.07,13.39,13.21,6.21,14.57,0,-1.93,0,16744.31,4073.02,3380.16,0.58,16.86,5068.90,4431.10,10101.88,3898.51,7.17,201.29,506.21,3.39,18.98,3517.24,4737.82,5283.48,1374.22,19691.75,16763.78,6535.47,10.59,220.98,6661.30,5.33,2.99,3.67,2.70,1.66,1.73,5.97,3.42,4.05,0.89,0.87,0.90,212.16,213.89,212.40,121.94,123.96,123.84,48.95,28.26,32.14
"2015-07-01 03:30:00",0,0,0,19114.20,24200.54,5086.34,18432.99,714.67,3539.61,11395.52,22427.89,22433.42,5.53,11.65,6.70,13.44,0.87,213.15,123.44,35.51,60.01,11.75,6.13,13.25,13.21,6.21,14.57,0,-1.93,0,16745.62,4073.83,3381.10,0.58,16.86,5068.90,4431.76,10102.36,3898.87,7.17,201.29,506.21,3.39,18.98,3517.24,4737.82,5283.48,1374.22,19693.22,16764.72,6536.48,10.59,220.98,6661.30,5.27,3.03,3.35,3.09,2.08,1.53,6.11,3.67,3.68,0.86,0.83,0.91,212.53,214.12,212.80,122.37,124.16,123.80,48.10,28.55,29.89
