time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kWh)","Accumulated Real Energy, Phase B, Import (kWh)","Accumulated Real Energy, Phase C, Import (kWh)","Accumulated Real Energy, Phase A, Export (kWh)","Accumulated Real Energy, Phase B, Export (kWh)","Accumulated Real Energy, Phase C, Export (kWh)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-07-01 08:15:00",0,0,0,19136.37,24222.71,5086.34,18446.46,714.67,3539.62,11397.73,22453.07,22458.60,5.53,1.43,0.57,1.54,0.93,213.38,123.59,7.44,60.02,1.79,0.45,1.91,13.21,6.21,14.57,0,-1.93,0,16757.33,4079.15,3386.24,0.58,16.86,5068.91,4439.60,10105.86,3901.00,7.17,201.29,506.21,3.39,18.98,3517.25,4737.82,5284.44,1375.48,19707.39,16771.90,6542.92,10.59,220.99,6661.31,1.27,0.11,0.05,1.66,-0.68,-0.41,2.08,0.69,0.41,0.61,0.16,0.13,212.56,214.33,213.27,122.72,124.24,123.82,14.24,5.06,3.02
"2015-07-01 08:30:00",0,0,0,19136.85,24223.19,5086.34,18446.83,714.67,3539.62,11397.89,22453.61,22459.14,5.53,1.97,0.40,2.01,0.98,213.48,123.65,8.47,60.02,1.75,0.41,1.85,13.21,6.21,14.57,0,-1.93,0,16757.69,4079.23,3386.27,0.58,16.86,5068.91,4439.90,10105.93,3901.00,7.17,201.29,506.21,3.39,18.98,3517.25,4737.82,5284.51,1375.56,19707.87,16772.07,6543.01,10.59,220.99,6661.31,1.43,0.43,0.12,1.34,-0.50,-0.43,1.95,0.66,0.45,0.73,0.65,0.27,212.57,213.64,214.23,123.17,123.81,123.97,15.05,7.06,3.31
"2015-07-01 08:45:00",0,0,0,19137.38,24223.72,5086.34,18447.24,714.67,3539.62,11398.02,22454.22,22459.76,5.53,2.04,0.52,2.11,0.97,213.63,123.74,8.08,60.02,1.97,0.94,2.26,13.21,6.21,14.57,0,-1.93,0,16758.08,4079.33,3386.31,0.58,16.86,5068.91,4440.22,10106.03,3901.00,7.17,201.29,506.21,3.39,18.98,3517.25,4737.82,5284.56,1375.65,19708.37,16772.25,6543.11,10.59,220.99,6661.31,1.57,0.37,0.16,1.21,-0.52,-0.35,1.98,0.63,0.38,0.79,0.58,0.41,213.04,214.33,213.53,122.99,124.32,123.91,16.07,5.08,3.08
"2015-07-01 09:00:00",0,0,0,19137.91,24224.25,5086.34,18447.62,714.67,3539.63,11398.16,22454.82,22460.35,5.53,2.07,1.67,2.65,0.78,214.75,124.39,8.69,60.01,2.12,1.09,2.45,13.21,6.21,14.57,0,-1.93,0,16758.47,4079.43,3386.35,0.58,16.86,5068.91,4440.53,10106.10,3901.00,7.17,201.29,506.21,3.39,18.98,3517.25,4737.82,5284.60,1375.74,19708.87,16772.41,6543.21,10.59,220.99,6661.32,1.55,0.35,0.16,1.33,0.68,-0.34,2.05,0.76,0.38,0.76,0.46,0.43,213.93,215.39,214.93,123.73,124.84,124.61,16.40,6.45,3.24
"2015-07-01 09:15:00",0,0,0,19138.45,24224.80,5086.34,18448.04,714.67,3539.63,11398.31,22455.45,22460.98,5.53,5.08,0.99,5.18,0.98,213.79,123.83,16.78,60.02,2.11,0.97,2.38,13.21,6.21,14.57,0,-1.93,0,16758.86,4079.53,3386.40,0.58,16.86,5068.91,4440.85,10106.20,3901.00,7.17,201.29,506.21,3.39,18.98,3517.25,4737.82,5284.65,1375.84,19709.38,16772.59,6543.32,10.59,220.99,6661.32,1.47,1.78,1.83,1.19,0.96,-1.16,1.89,2.02,2.16,0.78,0.88,0.85,213.28,214.16,213.94,123.24,124.23,124.02,15.95,16.91,17.48
"2015-07-01 09:30:00",0,0,0,19138.99,24225.34,5086.34,18448.40,714.67,3539.63,11398.52,22456.02,22461.55,5.53,1.64,0.53,1.72,0.95,214.83,124.44,8.12,60.02,2.50,1.05,2.78,13.21,6.21,14.57,0,-1.93,0,16759.23,4079.63,3386.48,0.58,16.86,5068.91,4441.15,10106.25,3901.00,7.17,201.29,506.21,3.39,18.98,3517.26,4737.82,5284.76,1375.94,19709.86,16772.79,6543.46,10.59,220.99,6661.32,1.35,0.14,0.15,1.33,-0.44,-0.36,1.89,0.46,0.38,0.71,0.30,0.38,214.08,215.58,214.84,123.64,124.95,124.73,15.45,5.71,3.20
"2015-07-01 09:45:00",0,0,0,19139.43,24225.78,5086.34,18448.73,714.67,3539.63,11398.74,22456.49,22462.02,5.53,2.11,2.55,3.31,0.64,214.92,124.49,8.52,60.02,1.80,0.53,1.96,13.21,6.21,14.57,0,-1.93,0,16759.60,4079.67,3386.51,0.58,16.86,5068.91,4441.46,10106.27,3901.00,7.17,201.29,506.21,3.39,18.98,3517.26,4737.82,5284.89,1376.03,19710.34,16772.94,6543.55,10.59,220.99,6661.32,1.41,0.38,0.11,1.16,0.88,-0.37,1.83,0.96,0.38,0.71,0.33,0.42,214.23,215.70,214.84,123.71,124.93,124.82,14.80,7.69,3.08
"2015-07-01 10:00:00",0,0,0,19139.95,24226.29,5086.34,18449.15,714.67,3539.63,11398.87,22457.09,22462.62,5.53,2.17,1.63,2.71,0.80,215.49,124.82,8.88,60.01,1.80,0.52,1.93,13.21,6.21,14.57,0,-1.93,0,16759.97,4079.77,3386.55,0.58,16.86,5068.91,4441.78,10106.38,3901.00,7.17,201.29,506.21,3.39,18.98,3517.26,4737.82,5284.93,1376.12,19710.83,16773.12,6543.65,10.59,220.99,6661.32,1.64,0.40,0.12,1.33,0.68,-0.38,2.11,0.79,0.40,0.78,0.51,0.30,214.69,216.19,215.58,124.08,125.24,125.13,16.91,6.74,2.98
"2015-07-01 10:15:00",0,0,0,19140.48,24226.83,5086.34,18449.59,714.67,3539.63,11398.99,22457.73,22463.26,5.53,2.05,0.39,2.08,0.98,215.11,124.60,8.68,59.97,2.06,1.20,2.43,13.21,6.21,14.57,0,-1.93,0,16760.37,4079.87,3386.59,0.58,16.86,5068.91,4442.11,10106.49,3901.00,7.17,201.29,506.21,3.39,18.98,3517.26,4737.82,5284.96,1376.21,19711.35,16773.30,6543.75,10.59,220.99,6661.32,1.59,0.31,0.15,1.25,-0.48,-0.37,2.02,0.57,0.40,0.79,0.54,0.37,214.43,215.77,215.14,123.87,124.96,124.96,16.64,6.15,3.24
"2015-07-01 10:30:00",0,0,0,19141.02,24227.36,5086.34,18450.00,714.67,3539.63,11399.13,22458.35,22463.88,5.53,2.17,1.91,2.89,0.75,215.65,124.91,8.31,60.00,2.15,1.26,2.54,13.21,6.21,14.57,0,-1.93,0,16760.77,4079.97,3386.62,0.58,16.86,5068.91,4442.43,10106.58,3901.00,7.17,201.29,506.21,3.39,18.98,3517.26,4737.82,5285.02,1376.30,19711.86,16773.48,6543.85,10.59,220.99,6661.32,1.51,0.49,0.16,1.56,0.69,-0.35,2.17,0.85,0.38,0.70,0.58,0.43,214.95,216.34,215.67,124.10,125.38,125.27,15.46,6.14,3.35
"2015-07-01 10:45:00",0,0,0,19141.51,24227.86,5086.34,18450.37,714.67,3539.63,11399.32,22458.88,22464.42,5.53,1.83,0.35,1.87,0.98,215.95,125.09,8.11,59.94,2.18,1.04,2.50,13.21,6.21,14.57,0,-1.93,0,16761.16,4080.04,3386.66,0.58,16.86,5068.91,4442.75,10106.62,3901.00,7.17,201.29,506.21,3.39,18.98,3517.26,4737.82,5285.12,1376.39,19712.37,16773.65,6543.94,10.59,220.99,6661.32,1.49,0.17,0.18,1.28,-0.66,-0.35,1.96,0.68,0.39,0.77,0.31,0.42,215.15,216.57,216.14,124.43,125.44,125.40,15.77,5.42,3.14
"2015-07-01 11:00:00",0,0,0,19141.96,24228.30,5086.34,18450.69,714.67,3539.63,11399.55,22459.34,22464.87,5.53,1.71,0.26,1.73,0.99,213.59,123.73,7.14,60.00,1.89,0.60,2.03,13.21,6.21,14.57,0,-1.93,0,16761.53,4080.08,3386.70,0.58,16.86,5068.91,4443.06,10106.63,3901.00,7.17,201.29,506.21,3.39,18.98,3517.26,4737.82,5285.26,1376.48,19712.85,16773.80,6544.04,10.59,220.99,6661.32,1.46,0.15,0.11,1.19,-0.57,-0.36,1.88,0.58,0.38,0.78,0.25,0.28,212.63,214.70,213.44,122.71,124.25,124.22,15.56,2.90,2.94
"2015-07-01 11:15:00",0,0,0,19142.77,24229.12,5086.34,18451.26,714.67,3539.63,11399.64,22460.30,22465.83,5.53,3.35,2.37,4.11,0.82,213.75,123.82,11.78,60.00,1.95,0.54,2.06,13.21,6.21,14.57,0,-1.93,0,16762.14,4080.15,3386.83,0.58,16.86,5068.91,4443.39,10106.68,3901.19,7.17,201.29,506.21,3.39,18.98,3517.26,4737.82,5285.34,1376.48,19713.54,16773.96,6544.27,10.59,220.99,6661.32,2.43,0.37,0.56,1.28,0.33,0.75,2.75,0.50,0.93,0.88,0.74,0.59,213.08,214.68,213.49,122.91,124.41,124.13,22.41,5.36,7.58
"2015-07-01 11:30:00",0,0,0,19143.63,24229.98,5086.34,18451.88,714.67,3539.63,11399.68,22461.35,22466.88,5.53,3.68,1.01,3.82,0.96,213.51,123.68,12.53,60.01,3.32,2.06,3.94,13.21,6.21,14.57,0,-1.93,0,16762.76,4080.26,3386.96,0.58,16.86,5068.91,4443.72,10106.78,3901.38,7.17,201.29,506.21,3.39,18.98,3517.26,4737.82,5285.38,1376.48,19714.25,16774.13,6544.51,10.59,220.99,6661.32,2.68,0.39,0.61,0.95,-0.64,0.71,2.84,0.76,0.93,0.94,0.52,0.65,212.76,214.50,213.27,122.82,124.26,123.97,24.88,4.71,8.01
