time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kWh)","Accumulated Real Energy, Phase B, Import (kWh)","Accumulated Real Energy, Phase C, Import (kWh)","Accumulated Real Energy, Phase A, Export (kWh)","Accumulated Real Energy, Phase B, Export (kWh)","Accumulated Real Energy, Phase C, Export (kWh)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-07-01 11:45:00",0,0,0,19144.53,24230.88,5086.34,18452.52,714.67,3539.63,11399.72,22462.44,22467.97,5.53,3.54,1.69,3.92,0.90,213.87,123.90,11.91,59.94,3.47,2.33,4.21,13.21,6.21,14.57,0,-1.93,0,16763.41,4080.36,3387.11,0.58,16.86,5068.91,4444.06,10106.89,3901.57,7.17,201.29,506.21,3.39,18.98,3517.26,4737.82,5285.42,1376.48,19714.98,16774.31,6544.75,10.59,220.99,6661.32,2.57,0.36,0.59,1.35,-0.40,0.77,2.90,0.54,0.97,0.88,0.65,0.62,213.29,214.78,213.55,122.96,124.69,124.05,23.58,4.30,7.85
"2015-07-01 12:00:00",0,0,0,19145.46,24231.81,5086.34,18453.14,714.67,3539.63,11399.77,22463.54,22469.07,5.53,6.41,1.96,6.70,0.96,212.18,122.92,19.28,59.95,3.58,2.40,4.34,13.21,6.21,14.57,0,-1.93,0,16764.04,4080.49,3387.28,0.58,16.86,5068.91,4444.41,10107.01,3901.73,7.17,201.29,506.21,3.39,18.98,3517.26,4737.82,5285.46,1376.49,19715.70,16774.53,6545.01,10.59,220.99,6661.32,2.49,1.75,2.17,1.29,1.19,-0.52,2.80,2.12,2.23,0.89,0.83,0.97,211.46,212.89,212.17,122.24,123.30,123.21,23.20,16.69,17.95
"2015-07-01 12:15:00",0,0,0,19146.21,24232.55,5086.34,18453.63,714.67,3539.63,11399.91,22464.37,22469.90,5.53,2.44,2.07,3.20,0.76,214.18,124.08,9.59,60.02,3.83,2.18,4.46,13.21,6.21,14.57,0,-1.93,0,16764.59,4080.56,3387.41,0.58,16.86,5068.91,4444.71,10107.03,3901.90,7.17,201.29,506.21,3.39,18.98,3517.26,4737.82,5285.59,1376.50,19716.33,16774.70,6545.23,10.59,220.99,6661.32,2.07,0.07,0.30,0.89,0.42,0.75,2.25,0.43,0.81,0.92,0.17,0.37,213.45,214.95,214.13,123.49,124.52,124.24,19.21,3.24,6.32
"2015-07-01 12:30:00",0,0,0,19146.66,24233.00,5086.34,18454.11,714.67,3539.63,11400.03,22464.95,22470.48,5.53,1.66,2.42,2.94,0.57,214.53,124.28,7.44,60.00,2.79,1.38,3.13,13.21,6.21,14.57,0,-1.93,0,16764.90,4080.59,3387.51,0.58,16.86,5068.91,4444.97,10107.05,3902.09,7.17,201.29,506.21,3.39,18.98,3517.26,4737.82,5285.71,1376.50,19716.74,16774.85,6545.44,10.59,220.99,6661.32,0.97,0.36,0.33,1.10,0.60,0.72,1.47,0.70,0.79,0.66,0.52,0.42,213.78,215.19,214.61,124.06,124.46,124.31,11.41,4.63,6.29
"2015-07-01 12:45:00",0,0,0,19147.06,24233.41,5086.34,18454.67,714.67,3539.63,11400.04,22465.64,22471.17,5.53,1.60,1.15,1.97,0.81,214.33,124.17,7.87,60.01,1.62,1.50,2.24,13.21,6.21,14.57,0,-1.93,0,16765.14,4080.68,3387.59,0.58,16.86,5068.91,4445.23,10107.18,3902.26,7.17,201.29,506.21,3.39,18.98,3517.26,4737.82,5285.73,1376.50,19717.10,16775.02,6545.63,10.59,220.99,6661.32,0.98,0.35,0.33,1.04,0.64,0.70,1.43,0.73,0.77,0.69,0.48,0.42,213.40,214.93,214.37,123.99,124.19,124.14,11.67,6.81,6.27
"2015-07-01 13:00:00",0,0,0,19147.27,24233.62,5086.34,18455.05,714.67,3539.63,11400.15,22466.00,22471.53,5.53,0.77,1.09,1.49,0.54,215.03,124.57,5.28,60.01,1.52,2.09,2.60,13.21,6.21,14.57,0,-1.93,0,16765.22,4080.77,3387.63,0.58,16.86,5068.91,4445.48,10107.31,3902.26,7.17,201.29,506.21,3.39,18.98,3517.26,4737.82,5285.74,1376.58,19717.36,16775.19,6545.73,10.59,220.99,6661.32,0.23,0.36,0.18,0.89,0.55,-0.35,0.92,0.66,0.39,0.26,0.54,0.46,214.39,215.35,215.48,124.37,124.82,124.60,7.84,3.86,2.86
"2015-07-01 13:15:00",0,0,0,19147.48,24233.82,5086.34,18455.41,714.67,3539.63,11400.26,22466.34,22471.87,5.53,0.95,1.28,1.59,0.60,214.22,124.10,6.04,60.01,0.83,1.04,1.40,13.21,6.21,14.57,0,-1.93,0,16765.30,4080.86,3387.66,0.58,16.86,5068.91,4445.72,10107.43,3902.26,7.17,201.29,506.21,3.39,18.98,3517.26,4737.82,5285.77,1376.67,19717.62,16775.37,6545.82,10.59,220.99,6661.32,0.33,0.48,0.14,1.00,0.65,-0.37,1.05,0.81,0.40,0.31,0.60,0.36,213.40,214.64,214.62,124.01,124.12,124.17,8.14,6.84,3.14
"2015-07-01 13:30:00",0,0,0,19147.64,24233.99,5086.34,18455.70,714.67,3539.63,11400.45,22466.56,22472.09,5.53,0.62,-0.03,0.62,1.00,213.20,123.51,4.97,59.96,0.86,1.02,1.40,13.21,6.21,14.57,0,-1.93,0,16765.39,4080.91,3387.69,0.58,16.86,5068.91,4445.96,10107.47,3902.26,7.17,201.29,506.21,3.39,18.98,3517.26,4737.82,5285.87,1376.76,19717.88,16775.53,6545.92,10.59,220.99,6661.32,0.36,0.14,0.13,0.96,-0.59,-0.40,1.02,0.61,0.42,0.35,0.23,0.30,212.54,213.63,213.42,123.09,123.94,123.49,8.75,3.24,2.92
"2015-07-01 13:45:00",0,0,0,19147.76,24234.11,5086.34,18455.96,714.67,3539.63,11400.67,22466.70,22472.23,5.53,0.50,-0.04,0.51,1.00,212.41,123.05,5.30,59.96,0.60,0.25,0.74,13.21,6.21,14.57,0,-1.93,0,16765.45,4080.94,3387.72,0.58,16.86,5068.91,4446.21,10107.49,3902.26,7.17,201.29,506.21,3.39,18.98,3517.26,4737.82,5286.00,1376.84,19718.13,16775.67,6546.01,10.59,220.99,6661.32,0.24,0.13,0.13,0.96,-0.68,-0.32,0.99,0.69,0.35,0.24,0.19,0.37,211.61,213.09,212.52,122.65,123.38,123.12,7.84,5.03,3.02
"2015-07-01 14:00:00",0,0,0,19147.91,24234.26,5086.35,18456.25,714.67,3539.63,11400.85,22466.94,22472.47,5.53,0.83,0.10,0.83,0.99,211.90,122.76,5.18,60.02,0.45,0.16,0.56,13.21,6.21,14.57,0,-1.93,0,16765.50,4081.01,3387.75,0.58,16.86,5068.91,4446.43,10107.56,3902.26,7.17,201.29,506.21,3.39,18.98,3517.26,4737.84,5286.08,1376.93,19718.38,16775.84,6546.10,10.59,220.99,6661.32,0.27,0.42,0.14,1.14,-0.69,-0.35,1.17,0.81,0.37,0.23,0.52,0.37,211.05,212.63,212.04,122.43,122.93,122.93,8.10,4.52,2.90
