time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kWh)","Accumulated Real Energy, Phase B, Import (kWh)","Accumulated Real Energy, Phase C, Import (kWh)","Accumulated Real Energy, Phase A, Export (kWh)","Accumulated Real Energy, Phase B, Export (kWh)","Accumulated Real Energy, Phase C, Export (kWh)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-07-01 15:15:00",0,0,0,19149.06,24235.40,5086.35,18457.89,714.67,3539.64,11401.65,22468.56,22474.09,5.53,1.81,-0.21,1.82,0.99,210.71,122.06,8.35,59.94,0.57,0.27,0.85,13.21,6.21,14.57,0,-1.93,0,16766.01,4081.38,3388.01,0.58,16.86,5068.91,4447.61,10108.01,3902.26,7.17,201.29,506.21,3.39,18.98,3517.26,4737.86,5286.38,1377.41,19719.71,16776.71,6546.66,10.59,220.99,6661.33,1.12,0.34,0.35,1.09,-0.80,-0.50,1.56,0.87,0.61,0.71,0.39,0.57,209.97,211.48,210.69,121.73,122.24,122.21,12.65,7.47,4.94
"2015-07-01 15:30:00",0,0,0,19149.51,24235.86,5086.35,18458.28,714.67,3539.64,11401.79,22469.10,22474.63,5.53,1.87,1.53,2.42,0.78,210.31,121.83,7.89,59.93,1.44,0.34,1.58,13.21,6.21,14.57,0,-1.93,0,16766.28,4081.48,3388.10,0.58,16.86,5068.91,4447.88,10108.14,3902.26,7.17,201.29,506.21,3.39,18.98,3517.26,4737.86,5286.40,1377.53,19720.10,16776.89,6546.81,10.59,220.99,6661.33,1.08,0.46,0.33,1.06,0.91,-0.45,1.51,1.02,0.55,0.71,0.45,0.59,209.79,210.97,210.16,121.54,122.30,121.64,12.92,5.96,4.79
"2015-07-01 15:45:00",0,0,0,19150.47,24236.81,5086.35,18458.92,714.67,3539.64,11401.89,22470.20,22475.73,5.53,1.99,1.06,2.26,0.88,211.82,122.70,7.84,59.99,1.83,1.04,2.15,13.21,6.21,14.57,0,-1.93,0,16766.73,4081.73,3388.36,0.58,16.86,5068.91,4448.21,10108.35,3902.37,7.17,201.29,506.21,3.39,18.98,3517.26,4737.86,5286.41,1377.61,19720.66,16777.23,6547.14,10.59,220.99,6661.33,1.14,0.51,0.35,1.12,0.50,-0.46,1.60,0.71,0.57,0.74,0.69,0.55,211.06,212.41,212.00,122.77,122.67,122.68,13.01,5.82,4.67
"2015-07-01 16:00:00",0,0,0,19150.94,24237.29,5086.35,18459.31,714.67,3539.64,11402.03,22470.76,22476.29,5.53,1.89,1.25,2.27,0.83,211.28,122.39,7.57,60.01,3.79,2.16,4.42,13.21,6.21,14.57,0,-1.93,0,16767.03,4081.82,3388.44,0.58,16.86,5068.91,4448.48,10108.46,3902.37,7.17,201.29,506.21,3.39,18.98,3517.26,4737.86,5286.44,1377.73,19721.06,16777.41,6547.28,10.59,220.99,6661.33,1.15,0.31,0.28,1.30,0.38,-0.48,1.73,0.49,0.55,0.66,0.63,0.51,210.44,211.85,211.45,122.21,122.44,122.45,12.12,3.59,4.19
"2015-07-01 16:15:00",0,0,0,19151.39,24237.73,5086.35,18459.61,714.67,3539.64,11402.26,22471.24,22476.77,5.53,1.91,1.43,2.38,0.80,210.36,121.85,8.34,60.02,1.91,0.90,2.22,13.21,6.21,14.57,0,-1.93,0,16767.33,4081.86,3388.54,0.58,16.86,5068.91,4448.74,10108.50,3902.37,7.17,201.29,506.21,3.39,18.98,3517.26,4737.87,5286.55,1377.84,19721.47,16777.56,6547.43,10.59,220.99,6661.33,1.13,0.15,0.63,1.28,0.50,-0.34,1.70,0.52,0.71,0.66,0.29,0.88,209.48,210.42,211.19,121.84,121.88,121.83,12.77,5.96,6.28
"2015-07-01 16:30:00",0,0,0,19151.85,24238.19,5086.35,18459.90,714.67,3539.64,11402.50,22471.73,22477.26,5.53,1.61,0.13,1.61,1.00,210.60,121.99,8.02,60.02,1.80,0.24,1.93,13.21,6.21,14.57,0,-1.93,0,16767.63,4081.91,3388.66,0.58,16.86,5068.91,4449.00,10108.53,3902.37,7.17,201.29,506.21,3.39,18.98,3517.26,4737.87,5286.68,1377.95,19721.88,16777.72,6547.60,10.59,220.99,6661.33,1.15,0.08,0.38,1.22,-0.73,-0.36,1.68,0.73,0.52,0.69,0.11,0.72,209.70,211.18,210.92,121.73,122.14,122.10,12.81,6.39,4.85
"2015-07-01 16:45:00",0,0,0,19153.00,24239.34,5086.35,18460.65,714.67,3539.64,11402.56,22473.10,22478.63,5.53,0.83,1.04,1.33,0.62,212.06,122.83,5.82,60.02,2.90,0.82,3.16,13.21,6.21,14.57,0,-1.93,0,16768.09,4082.25,3389.01,0.58,16.86,5068.91,4449.35,10108.77,3902.54,7.17,201.29,506.21,3.39,18.98,3517.26,4737.87,5286.69,1378.00,19722.48,16778.16,6548.02,10.59,220.99,6661.33,0.25,0.47,0.11,0.93,0.42,-0.30,0.96,0.63,0.32,0.26,0.75,0.33,211.30,212.51,212.36,122.81,122.88,122.80,8.22,6.49,2.75
"2015-07-01 17:00:00",0,0,0,19153.18,24239.52,5086.35,18461.00,714.68,3539.64,11402.67,22473.43,22478.96,5.53,0.71,1.31,1.49,0.48,209.97,121.62,5.65,60.10,3.35,2.24,4.16,13.21,6.21,14.57,0,-1.93,0,16768.14,4082.34,3389.04,0.58,16.86,5068.91,4449.57,10108.89,3902.54,7.18,201.29,506.21,3.39,18.98,3517.27,4737.88,5286.71,1378.07,19722.72,16778.33,6548.11,10.60,220.99,6661.33,0.23,0.33,0.13,0.89,0.75,-0.30,0.92,0.82,0.33,0.25,0.40,0.41,209.37,210.50,210.03,121.77,121.77,121.31,7.55,6.71,2.68
"2015-07-01 17:15:00",0,0,0,19153.35,24239.70,5086.35,18461.35,714.68,3539.64,11402.77,22473.76,22479.29,5.53,0.76,1.42,1.61,0.47,210.97,122.21,5.70,59.97,0.70,0.98,1.31,13.21,6.21,14.57,0,-1.93,0,16768.20,4082.43,3389.08,0.58,16.86,5068.91,4449.80,10109.02,3902.54,7.18,201.29,506.21,3.39,18.98,3517.27,4737.88,5286.73,1378.15,19722.96,16778.50,6548.19,10.60,220.99,6661.33,0.32,0.29,0.15,0.97,0.78,-0.33,1.03,0.83,0.36,0.31,0.35,0.41,210.07,211.56,211.29,122.25,122.19,122.18,8.13,5.91,3.06
"2015-07-01 17:30:00",0,0,0,19153.54,24239.89,5086.35,18461.67,714.68,3539.64,11402.91,22474.04,22479.57,5.53,0.49,0.03,0.49,1.00,211.30,122.39,5.12,59.99,0.73,0.99,1.31,13.21,6.21,14.57,0,-1.93,0,16768.28,4082.50,3389.11,0.58,16.86,5068.91,4450.03,10109.10,3902.54,7.18,201.29,506.21,3.39,18.98,3517.27,4737.88,5286.79,1378.23,19723.21,16778.67,6548.28,10.60,220.99,6661.33,0.31,0.08,0.09,0.97,-0.64,-0.31,1.02,0.64,0.32,0.31,0.13,0.29,209.84,211.62,212.45,122.93,121.43,122.81,8.15,4.39,2.81
"2015-07-01 17:45:00",0,0,0,19154.26,24240.60,5086.35,18462.19,714.68,3539.64,11403.10,22474.85,22480.38,5.53,9.38,5.32,10.78,0.87,209.43,121.31,29.74,60.01,0.72,0.59,1.03,13.21,6.21,14.57,0,-1.93,0,16768.52,4082.73,3389.36,0.58,16.86,5068.91,4450.33,10109.24,3902.62,7.18,201.29,506.21,3.39,18.98,3517.27,4737.88,5286.89,1378.33,19723.61,16779.03,6548.60,10.60,220.99,6661.33,3.33,2.91,3.12,2.09,1.70,1.60,3.93,3.37,3.50,0.84,0.88,0.89,208.78,209.85,209.45,121.19,121.55,121.08,32.41,27.74,28.92
