time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kWh)","Accumulated Real Energy, Phase B, Import (kWh)","Accumulated Real Energy, Phase C, Import (kWh)","Accumulated Real Energy, Phase A, Export (kWh)","Accumulated Real Energy, Phase B, Export (kWh)","Accumulated Real Energy, Phase C, Export (kWh)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-07-01 19:00:00",0,0,0,19156.35,24242.70,5086.35,18464.46,714.68,3539.64,11403.69,22477.72,22483.25,5.53,0.56,-0.12,0.57,0.98,211.09,122.25,5.85,60.02,0.77,0.94,1.30,13.21,6.21,14.57,0,-1.93,0,16769.28,4083.48,3389.95,0.58,16.86,5068.91,4451.65,10109.95,3902.86,7.18,201.29,506.21,3.40,18.98,3517.27,4737.89,5287.12,1378.68,19725.24,16780.29,6549.49,10.60,220.99,6661.33,0.33,0.12,0.09,0.96,-0.78,-0.33,1.01,0.79,0.35,0.34,0.15,0.27,210.15,211.74,211.37,122.22,122.42,122.13,8.28,6.42,2.84
"2015-07-01 19:15:00",0,0,0,19156.49,24242.84,5086.35,18464.70,714.68,3539.65,11403.89,22477.90,22483.43,5.53,0.67,0.13,0.57,0.98,210.19,121.74,5.35,60.02,4.03,2.28,4.74,13.21,6.21,14.57,0,-1.93,0,16769.36,4083.51,3389.97,0.58,16.86,5068.91,4451.87,10109.97,3902.86,7.18,201.29,506.21,3.40,18.98,3517.27,4737.90,5287.24,1378.75,19725.48,16780.44,6549.57,10.60,220.99,6661.34,0.40,0.12,0.14,0.98,-0.54,-0.31,1.06,0.56,0.34,0.38,0.22,0.41,209.40,210.79,210.39,121.41,122.11,121.70,8.74,4.55,2.77
"2015-07-01 19:30:00",0,0,0,19156.66,24243.01,5086.35,18465.00,714.69,3539.65,11404.03,22478.18,22483.71,5.53,0.69,1.35,1.52,0.46,209.70,121.45,5.21,60.06,0.56,0.19,0.72,13.21,6.21,14.57,0,-1.93,0,16769.42,4083.58,3390.01,0.58,16.86,5068.91,4452.08,10110.06,3902.86,7.19,201.29,506.21,3.40,18.98,3517.27,4737.91,5287.30,1378.83,19725.71,16780.61,6549.65,10.61,220.99,6661.34,0.18,0.33,0.18,0.97,0.68,-0.30,0.99,0.75,0.35,0.19,0.44,0.50,208.88,210.47,209.74,121.22,121.84,121.30,8.13,4.60,2.90
"2015-07-01 19:45:00",0,0,0,19157.67,24244.02,5086.35,18465.71,714.70,3539.65,11404.10,22479.41,22484.94,5.53,0.55,1.28,1.40,0.39,210.86,122.12,5.37,60.01,0.69,0.76,1.19,13.21,6.21,14.57,0,-1.93,0,16769.76,4083.94,3390.32,0.58,16.86,5068.91,4452.40,10110.30,3903.01,7.19,201.29,506.21,3.40,18.98,3517.27,4737.91,5287.32,1378.87,19726.21,16781.05,6550.04,10.61,220.99,6661.34,-0.03,0.31,0.27,0.88,0.59,-0.18,0.88,0.66,0.32,-0.03,0.47,0.83,210.09,211.56,210.92,121.78,122.45,122.13,6.00,6.67,3.44
"2015-07-01 20:00:00",0,0,0,19157.85,24244.20,5086.35,18466.04,714.70,3539.65,11404.21,22479.72,22485.25,5.53,0.86,1.49,1.72,0.50,210.51,121.92,5.77,60.02,4.06,2.54,4.92,13.21,6.21,14.57,0,-1.93,0,16769.81,4084.03,3390.36,0.58,16.86,5068.91,4452.62,10110.42,3903.01,7.20,201.29,506.21,3.40,18.98,3517.28,4737.92,5287.35,1378.95,19726.44,16781.23,6550.12,10.62,220.99,6661.34,0.15,0.53,0.16,0.90,0.64,-0.33,0.91,0.83,0.37,0.18,0.61,0.53,209.69,211.15,210.68,121.81,122.02,121.92,7.50,6.80,3.02
"2015-07-01 20:15:00",0,0,0,19158.17,24244.52,5086.35,18466.36,714.70,3539.65,11404.39,22480.10,22485.63,5.53,0.78,-0.05,0.81,1.00,208.91,120.99,5.49,60.01,0.74,0.90,1.27,13.21,6.21,14.57,0,-1.93,0,16769.91,4084.16,3390.45,0.58,16.86,5068.91,4452.84,10110.51,3903.01,7.20,201.29,506.21,3.40,18.98,3517.28,4737.92,5287.41,1379.06,19726.69,16781.45,6550.27,10.62,220.99,6661.34,0.42,0.20,0.16,0.89,-0.58,-0.35,0.99,0.62,0.39,0.43,0.33,0.41,208.70,209.75,208.62,120.69,121.45,121.02,7.05,5.40,3.14
"2015-07-01 20:30:00",0,0,0,19159.13,24245.47,5086.35,18466.98,714.70,3539.65,11404.51,22481.21,22486.74,5.53,0.36,-0.30,0.47,0.77,208.88,120.97,5.16,59.99,1.24,0.47,1.46,13.21,6.21,14.57,0,-1.93,0,16770.28,4084.44,3390.76,0.58,16.86,5068.91,4453.16,10110.68,3903.14,7.20,201.29,506.21,3.40,18.98,3517.28,4737.92,5287.49,1379.10,19727.20,16781.85,6550.64,10.62,220.99,6661.34,-0.11,0.17,0.30,0.78,-0.77,-0.30,0.78,0.79,0.43,-0.14,0.22,0.71,208.67,209.47,208.51,120.63,121.50,120.79,6.33,5.33,3.82
"2015-07-01 20:45:00",0,0,0,19159.27,24245.62,5086.35,18467.23,714.71,3539.66,11404.68,22481.43,22486.96,5.53,0.88,0.91,1.27,0.69,208.01,120.47,5.36,60.02,3.79,2.03,4.44,13.21,6.21,14.57,0,-1.93,0,16770.34,4084.49,3390.79,0.58,16.86,5068.91,4453.36,10110.73,3903.15,7.21,201.29,506.21,3.40,18.98,3517.28,4737.93,5287.58,1379.17,19727.43,16782.00,6550.72,10.63,220.99,6661.35,0.58,0.25,0.06,0.91,0.39,-0.39,1.08,0.46,0.39,0.53,0.54,0.14,207.98,208.47,207.59,120.22,121.03,120.16,10.24,3.16,2.68
"2015-07-01 21:00:00",0,0,0,19160.27,24246.62,5086.35,18467.91,714.71,3539.66,11404.74,22482.63,22488.16,5.53,0.72,1.30,1.49,0.49,209.12,121.11,5.52,60.01,0.59,0.40,0.91,13.21,6.21,14.57,0,-1.93,0,16770.70,4084.83,3391.09,0.58,16.86,5068.91,4453.68,10110.94,3903.28,7.21,201.29,506.21,3.40,18.98,3517.28,4737.93,5287.59,1379.22,19727.93,16782.42,6551.09,10.63,220.99,6661.35,0.38,0.35,0.08,0.88,0.58,-0.36,0.96,0.68,0.36,0.29,0.46,0.51,208.81,209.91,208.65,120.76,121.36,121.21,7.98,5.57,3.00
"2015-07-01 21:15:00",0,0,0,19160.49,24246.84,5086.35,18468.24,714.71,3539.66,11404.85,22482.96,22488.49,5.53,0.98,1.08,1.45,0.70,209.60,121.38,5.45,60.01,4.04,2.49,4.83,13.21,6.21,14.57,0,-1.93,0,16770.78,4084.92,3391.13,0.58,16.86,5068.91,4453.91,10111.05,3903.28,7.21,201.29,506.21,3.40,18.98,3517.28,4737.93,5287.62,1379.30,19728.18,16782.59,6551.18,10.63,220.99,6661.35,0.35,0.48,0.15,0.89,0.49,-0.31,0.96,0.68,0.34,0.37,0.70,0.44,208.89,210.34,209.41,121.08,121.33,121.65,7.62,6.05,2.90
